Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	41/530	1.063002e-34	1.924033e-32	0	0	2.084505e+01	1.630642e+03	NOTCH1;HDAC1;FLT4;PIK3R3;FASLG;CSF2RB;PIK3R2;PIK3R1;CBL;RELA;IKBKB;NRAS;RXRA;ERBB2;RAC3;JAK2;HRAS;MAPK3;APPL1;JAK1;NTRK1;PDGFRA;CREBBP;SMAD4;MAP2K1;IGF1;ESR1;NFKB1;PTK2;TGFBR1;BMP4;PIK3CA;GNB1;KIT;GNB3;GRB2;ARHGEF1;KRAS;GNB5;TP53;CRK
KEGG_2019_Human	PI3K-Akt signaling pathway	32/354	5.290467e-29	3.927644e-27	0	0	2.234197e+01	1.454665e+03	IRS1;FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;IKBKB;NRAS;RXRA;CD19;ERBB2;KDR;JAK2;HRAS;YWHAH;MAPK3;JAK1;NTRK1;PDGFRA;MAP2K1;IGF1;NFKB1;PTK2;PIK3CA;GNB1;KIT;GNB3;GRB2;KRAS;GNB5;TP53
KEGG_2019_Human	Ras signaling pathway	28/232	6.509908e-29	3.927644e-27	0	0	2.967873e+01	1.926199e+03	FLT4;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;IKBKB;NRAS;PAK1;KDR;RAC3;HRAS;MAPK3;NTRK1;PDGFRA;MAP2K1;GAB1;RRAS2;IGF1;GAB2;NFKB1;PIK3CA;GNB1;KIT;GNB3;GRB2;KRAS;GNB5
KEGG_2019_Human	Chronic myeloid leukemia	20/76	4.799428e-28	2.171741e-26	0	0	7.151876e+01	4.498808e+03	MAP2K1;SMAD4;HDAC1;PIK3R3;PIK3R2;GAB2;PIK3R1;CBL;TGFBR1;RELA;NFKB1;IKBKB;NRAS;PIK3CA;KRAS;GRB2;HRAS;TP53;CRK;MAPK3
KEGG_2019_Human	Chemokine signaling pathway	24/190	2.633182e-25	9.532120e-24	0	0	3.000380e+01	1.698108e+03	MAP2K1;PRKCD;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;FGR;IKBKB;HCK;NRAS;PAK1;PIK3CA;GNB1;GNB3;RAC3;GRB2;KRAS;GNB5;JAK2;CRK;HRAS;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	24/201	1.053633e-24	3.178460e-23	0	0	2.812346e+01	1.552691e+03	MAP2K1;DDX5;CAV1;GAB1;PIK3R3;RRAS2;FASLG;PIK3R2;IGF1;PIK3R1;CBL;ESR1;PTK2;NRAS;PAK1;PIK3CA;ERBB2;KDR;GRB2;ARHGEF1;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	20/119	8.820459e-24	2.280719e-22	0	0	4.036731e+01	2.142897e+03	NTRK1;MAP2K1;IRS1;PRKCD;GAB1;PIK3R3;PIK3R2;FASLG;PIK3R1;NFKB1;RELA;IKBKB;NRAS;PIK3CA;GRB2;KRAS;TP53;HRAS;CRK;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	24/225	1.656131e-23	3.746995e-22	0	0	2.473527e+01	1.297488e+03	PDGFRA;MAP2K1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;IKBKB;NRAS;PIK3CA;GNB1;GNB3;RAC3;GRB2;ARHGEF1;KRAS;GNB5;TP53;CRK;HRAS;MAPK3;JAK1
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	20/139	2.316704e-22	4.659150e-21	0	0	3.354893e+01	1.671298e+03	ACVR1;SMAD1;SMAD4;MAP2K1;PIK3R3;PIK3R2;IGF1;PIK3R1;ACVR2B;BMP4;NRAS;ACVR1C;PIK3CA;GRB2;KRAS;JAK2;HRAS;BMPR1A;MAPK3;JAK1
KEGG_2019_Human	Prostate cancer	18/97	2.608654e-22	4.721664e-21	0	0	4.467176e+01	2.220099e+03	PDGFRA;MAP2K1;CREBBP;PIK3R3;PIK3R2;PIK3R1;IGF1;NFKB1;RELA;IKBKB;NRAS;PIK3CA;ERBB2;GRB2;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Pancreatic cancer	16/75	5.538392e-21	9.113173e-20	0	0	5.218891e+01	2.434226e+03	MAP2K1;SMAD4;PIK3R3;PIK3R2;PIK3R1;TGFBR1;RELA;NFKB1;IKBKB;PIK3CA;ERBB2;RAC3;KRAS;TP53;JAK1;MAPK3
KEGG_2019_Human	Hepatitis B	20/163	6.232433e-21	9.400587e-20	0	0	2.788444e+01	1.297310e+03	CREBBP;SMAD4;MAP2K1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;TGFBR1;IKBKB;NRAS;PIK3CA;GRB2;KRAS;JAK2;TP53;HRAS;MAPK3;JAK1
KEGG_2019_Human	ErbB signaling pathway	16/85	4.854821e-20	6.759405e-19	0	0	4.460279e+01	1.983563e+03	MAP2K1;GAB1;PIK3R3;PIK3R2;PIK3R1;CBL;PTK2;NRAS;PAK1;PIK3CA;ERBB2;KRAS;GRB2;HRAS;CRK;MAPK3
KEGG_2019_Human	FoxO signaling pathway	18/132	9.014075e-20	1.035077e-18	0	0	3.090203e+01	1.355144e+03	CREBBP;SMAD4;MAP2K1;IRS1;IRS4;PIK3R3;FASLG;PIK3R2;IGF1;PIK3R1;TGFBR1;IKBKB;NRAS;PIK3CA;GRB2;KRAS;HRAS;MAPK3
KEGG_2019_Human	Prolactin signaling pathway	15/70	9.144653e-20	1.035077e-18	0	0	5.199126e+01	2.279220e+03	MAP2K1;PIK3R3;PIK3R2;PIK3R1;ESR1;RELA;NFKB1;NRAS;PIK3CA;KRAS;GRB2;JAK2;SOCS6;HRAS;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	20/186	9.149850e-20	1.035077e-18	0	0	2.399294e+01	1.051802e+03	CREBBP;MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;IKBKB;HCK;NRAS;PIK3CA;GNB1;GNB3;KRAS;GNB5;JAK2;TP53;HRAS;MAPK3;JAK1
KEGG_2019_Human	B cell receptor signaling pathway	15/71	1.153758e-19	1.228412e-18	0	0	5.106027e+01	2.226539e+03	MAP2K1;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;IKBKB;NRAS;PIK3CA;CD19;RAC3;KRAS;GRB2;HRAS;MAPK3
KEGG_2019_Human	MAPK signaling pathway	23/295	1.968480e-19	1.979416e-18	0	0	1.727202e+01	7.439380e+02	NTRK1;PDGFRA;MAP2K1;FLT4;RRAS2;FASLG;IGF1;RELA;NFKB1;TGFBR1;IKBKB;NRAS;PAK1;ERBB2;KIT;KDR;RAC3;GRB2;KRAS;TP53;CRK;HRAS;MAPK3
KEGG_2019_Human	Thyroid hormone signaling pathway	17/116	2.816940e-19	2.683506e-18	0	0	3.330303e+01	1.422488e+03	MAP2K1;CREBBP;NOTCH1;THRB;HDAC1;PIK3R3;PIK3R2;PIK3R1;ESR1;BMP4;NRAS;RXRA;PIK3CA;KRAS;TP53;HRAS;MAPK3
KEGG_2019_Human	Focal adhesion	20/199	3.568360e-19	3.229366e-18	0	0	2.223577e+01	9.445088e+02	PDGFRA;MAP2K1;CAV1;FLT4;ILK;PIK3R3;PIK3R2;IGF1;PIK3R1;PTK2;PAK1;PIK3CA;ERBB2;KDR;RAC3;GRB2;FYN;CRK;HRAS;MAPK3
