Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	MicroRNAs in cancer	19/299	2.418742e-13	3.821612e-11	0	0	1.116621e+01	3.243823e+02	CDKN1B;MIR15A;MIRLET7I;MIR29C;MIR21;MIR451A;MIR29A;BRCA1;MIR16-2;MIR19A;SIRT1;MIR107;EGFR;MIRLET7B;MIR221;MIR363;MYC;PDCD4;EZH2
KEGG_2019_Human	Ribosome	10/153	1.093163e-07	8.635985e-06	0	0	1.077306e+01	1.726815e+02	RPL4;RPL21;RPL31;RPS6;RPL35A;RPS20;RPS3A;RPS2;RPL17;RPL6
KEGG_2019_Human	Homologous recombination	5/41	8.924926e-06	4.700461e-04	0	0	2.070384e+01	2.407166e+02	TOP3B;BARD1;RPA3;RPA2;BRCA1
KEGG_2019_Human	Mismatch repair	4/23	1.735255e-05	6.117167e-04	0	0	3.117518e+01	3.417352e+02	MSH3;RPA3;RPA2;PMS2
KEGG_2019_Human	RNA transport	8/165	1.935812e-05	6.117167e-04	0	0	7.723665e+00	8.382029e+01	EEF1A1;FXR1;NXF1;PRMT5;EIF4A3;SUMO2;EIF4E;EIF4B
KEGG_2019_Human	Fanconi anemia pathway	5/54	3.505158e-05	7.994939e-04	0	0	1.520101e+01	1.559425e+02	TOP3B;RPA3;PMS2;RPA2;BRCA1
KEGG_2019_Human	PI3K-Akt signaling pathway	11/354	3.551532e-05	7.994939e-04	0	0	4.928927e+00	5.049955e+01	NTRK1;HSP90AA1;CDKN1B;HSP90AB1;MYC;RPS6;BRCA1;IKBKG;EIF4E;EGFR;EIF4B
KEGG_2019_Human	Spliceosome	7/134	4.048070e-05	7.994939e-04	0	0	8.303480e+00	8.398709e+01	SF3B3;EIF4A3;DHX15;HNRNPU;HNRNPC;HNRNPA1;SF3B1
KEGG_2019_Human	Prostate cancer	6/97	5.713633e-05	1.003060e-03	0	0	9.875624e+00	9.648555e+01	RB1;HSP90AA1;CDKN1B;HSP90AB1;IKBKG;EGFR
KEGG_2019_Human	Proteoglycans in cancer	8/201	7.871719e-05	1.243732e-03	0	0	6.271503e+00	5.926350e+01	CDC42;CTSL;MYC;RPS6;PDCD4;MIR21;EGFR;EIF4B
KEGG_2019_Human	Cellular senescence	7/160	1.239752e-04	1.780734e-03	0	0	6.883351e+00	6.191870e+01	RB1;MAP2K3;MYC;HUS1;RAD1;SIRT1;RAD9A
KEGG_2019_Human	Viral carcinogenesis	7/201	4.982245e-04	6.559956e-03	0	0	5.417329e+00	4.119586e+01	RB1;CDC42;CDKN1B;HIST4H4;HIST1H2BG;IKBKG;HDAC6
KEGG_2019_Human	HIF-1 signaling pathway	5/100	6.476704e-04	7.871687e-03	0	0	7.822319e+00	5.743247e+01	CDKN1B;RPS6;GAPDH;EIF4E;EGFR
KEGG_2019_Human	Pancreatic cancer	4/75	1.805357e-03	1.871885e-02	0	0	8.320790e+00	5.256241e+01	RB1;CDC42;IKBKG;EGFR
KEGG_2019_Human	Transcriptional misregulation in cancer	6/186	1.860638e-03	1.871885e-02	0	0	4.970202e+00	3.124685e+01	NTRK1;HIST1H3A;CDKN1B;MYC;LMO2;NSD2
KEGG_2019_Human	Chronic myeloid leukemia	4/76	1.895579e-03	1.871885e-02	0	0	8.204809e+00	5.142964e+01	RB1;CDKN1B;MYC;IKBKG
KEGG_2019_Human	Ubiquitin mediated proteolysis	5/137	2.624147e-03	2.352165e-02	0	0	5.619162e+00	3.339467e+01	CUL7;ITCH;CDC34;BRCA1;RCHY1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	5/139	2.793713e-03	2.352165e-02	0	0	5.534732e+00	3.254635e+01	HSP90AA1;HSP90AB1;CTSL;SUMO2;IKBKG
KEGG_2019_Human	Bladder cancer	3/41	2.828553e-03	2.352165e-02	0	0	1.159298e+01	6.802751e+01	RB1;MYC;EGFR
KEGG_2019_Human	Pathways in cancer	10/530	3.769645e-03	2.966478e-02	0	0	2.905950e+00	1.621745e+01	RB1;NTRK1;CDC42;HSP90AA1;CDKN1B;HSP90AB1;MSH3;MYC;IKBKG;EGFR
KEGG_2019_Human	Small cell lung cancer	4/93	3.942787e-03	2.966478e-02	0	0	6.631897e+00	3.671330e+01	RB1;CDKN1B;MYC;IKBKG
KEGG_2019_Human	Necroptosis	5/162	5.354977e-03	3.845847e-02	0	0	4.718404e+00	2.467598e+01	RNF31;HSP90AA1;HSP90AB1;PARP1;HIST1H2AE
KEGG_2019_Human	Alcoholism	5/180	8.275505e-03	5.684912e-02	0	0	4.229216e+00	2.027679e+01	HIST1H3A;HIST4H4;HIST1H2AE;HIST1H2BG;HDAC6
KEGG_2019_Human	Central carbon metabolism in cancer	3/65	1.028013e-02	6.497044e-02	0	0	7.096774e+00	3.248578e+01	NTRK1;MYC;EGFR
KEGG_2019_Human	Shigellosis	3/65	1.028013e-02	6.497044e-02	0	0	7.096774e+00	3.248578e+01	CDC42;MAD2L2;IKBKG
KEGG_2019_Human	Cell cycle	4/124	1.076106e-02	6.539412e-02	0	0	4.910945e+00	2.225553e+01	RB1;MAD2L2;CDKN1B;MYC
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	3/68	1.162010e-02	6.799913e-02	0	0	6.768205e+00	3.015248e+01	CDC42;IKBKG;EGFR
KEGG_2019_Human	Epstein-Barr virus infection	5/201	1.289939e-02	7.278944e-02	0	0	3.772058e+00	1.641062e+01	RB1;MAP2K3;CDKN1B;MYC;IKBKG
KEGG_2019_Human	Systemic lupus erythematosus	4/133	1.363142e-02	7.426775e-02	0	0	4.566239e+00	1.961372e+01	HIST1H3A;HIST4H4;HIST1H2AE;HIST1H2BG
KEGG_2019_Human	Bacterial invasion of epithelial cells	3/74	1.458895e-02	7.683513e-02	0	0	6.194366e+00	2.618663e+01	CDC42;MAD2L2;DNM2
KEGG_2019_Human	Antigen processing and presentation	3/77	1.621958e-02	8.067884e-02	0	0	5.942342e+00	2.449158e+01	HSP90AA1;HSP90AB1;CTSL
KEGG_2019_Human	MAPK signaling pathway	6/295	1.667166e-02	8.067884e-02	0	0	3.078484e+00	1.260345e+01	MAP2K3;NTRK1;CDC42;MYC;IKBKG;EGFR
KEGG_2019_Human	Apoptosis	4/143	1.734461e-02	8.067884e-02	0	0	4.235585e+00	1.717307e+01	NTRK1;PARP1;CTSL;IKBKG
KEGG_2019_Human	RNA degradation	3/79	1.736127e-02	8.067884e-02	0	0	5.785380e+00	2.345112e+01	CNOT6;CNOT7;HSPD1
KEGG_2019_Human	Breast cancer	4/147	1.899001e-02	8.475536e-02	0	0	4.116272e+00	1.631625e+01	RB1;MYC;BRCA1;EGFR
KEGG_2019_Human	Gastric cancer	4/149	1.984777e-02	8.475536e-02	0	0	4.059084e+00	1.591024e+01	RB1;CDKN1B;MYC;EGFR
KEGG_2019_Human	Non-alcoholic fatty liver disease (NAFLD)	4/149	1.984777e-02	8.475536e-02	0	0	4.059084e+00	1.591024e+01	COX8A;CDC42;ITCH;NDUFA4
KEGG_2019_Human	ErbB signaling pathway	3/85	2.104981e-02	8.752291e-02	0	0	5.360434e+00	2.069590e+01	CDKN1B;MYC;EGFR
KEGG_2019_Human	Colorectal cancer	3/86	2.170310e-02	8.792536e-02	0	0	5.295582e+00	2.028367e+01	MSH3;MYC;EGFR
KEGG_2019_Human	Hepatitis C	4/155	2.256322e-02	8.912471e-02	0	0	3.896610e+00	1.477374e+01	RB1;MYC;IKBKG;EGFR
KEGG_2019_Human	DNA replication	2/36	2.555041e-02	9.347200e-02	0	0	8.576125e+00	3.144952e+01	RPA3;RPA2
KEGG_2019_Human	Hepatitis B	4/163	2.652074e-02	9.347200e-02	0	0	3.699052e+00	1.342692e+01	RB1;MAP2K3;MYC;IKBKG
KEGG_2019_Human	GnRH signaling pathway	3/93	2.658456e-02	9.347200e-02	0	0	4.881975e+00	1.770900e+01	MAP2K3;CDC42;EGFR
KEGG_2019_Human	IL-17 signaling pathway	3/93	2.658456e-02	9.347200e-02	0	0	4.881975e+00	1.770900e+01	HSP90AA1;HSP90AB1;IKBKG
KEGG_2019_Human	Thyroid cancer	2/37	2.689023e-02	9.347200e-02	0	0	8.330672e+00	3.012365e+01	NTRK1;MYC
KEGG_2019_Human	Endocytosis	5/244	2.721337e-02	9.347200e-02	0	0	3.086639e+00	1.112439e+01	CDC42;ITCH;AP2B1;EGFR;DNM2
KEGG_2019_Human	Progesterone-mediated oocyte maturation	3/99	3.119722e-02	1.048758e-01	0	0	4.575463e+00	1.586508e+01	MAD2L2;HSP90AA1;HSP90AB1
KEGG_2019_Human	NOD-like receptor signaling pathway	4/178	3.500118e-02	1.152122e-01	0	0	3.377595e+00	1.132296e+01	RNF31;HSP90AA1;HSP90AB1;IKBKG
KEGG_2019_Human	Th17 cell differentiation	3/107	3.795697e-02	1.223919e-01	0	0	4.221795e+00	1.381077e+01	HSP90AA1;HSP90AB1;IKBKG
KEGG_2019_Human	TNF signaling pathway	3/110	4.066930e-02	1.285150e-01	0	0	4.102804e+00	1.313833e+01	MAP2K3;ITCH;IKBKG
KEGG_2019_Human	Nucleotide excision repair	2/47	4.174808e-02	1.293372e-01	0	0	6.476144e+00	2.056889e+01	RPA3;RPA2
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	2/48	4.337056e-02	1.317798e-01	0	0	6.335038e+00	1.987919e+01	AP2B1;DNM2
KEGG_2019_Human	Huntington disease	4/193	4.488609e-02	1.338114e-01	0	0	3.107163e+00	9.643475e+00	COX8A;POLR2A;NDUFA4;AP2B1
KEGG_2019_Human	Legionellosis	2/55	5.535654e-02	1.619691e-01	0	0	5.496393e+00	1.590634e+01	EEF1A1;HSPD1
KEGG_2019_Human	Endometrial cancer	2/58	6.080937e-02	1.746887e-01	0	0	5.201155e+00	1.456329e+01	MYC;EGFR
KEGG_2019_Human	Lysine degradation	2/59	6.266643e-02	1.757746e-01	0	0	5.109649e+00	1.415337e+01	NSD2;EZH2
KEGG_2019_Human	FoxO signaling pathway	3/132	6.341236e-02	1.757746e-01	0	0	3.399311e+00	9.375627e+00	CDKN1B;SIRT1;EGFR
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	4/219	6.534631e-02	1.772025e-01	0	0	2.727803e+00	7.441594e+00	RB1;KAT5;MYC;IKBKG
KEGG_2019_Human	Apelin signaling pathway	3/137	6.925192e-02	1.772025e-01	0	0	3.271642e+00	8.735298e+00	MYL4;MYLK2;RPS6
KEGG_2019_Human	Estrogen signaling pathway	3/137	6.925192e-02	1.772025e-01	0	0	3.271642e+00	8.735298e+00	HSP90AA1;HSP90AB1;EGFR
KEGG_2019_Human	Insulin signaling pathway	3/137	6.925192e-02	1.772025e-01	0	0	3.271642e+00	8.735298e+00	PRKAR1A;RPS6;EIF4E
KEGG_2019_Human	Measles	3/138	7.044825e-02	1.772025e-01	0	0	3.247243e+00	8.614536e+00	CDKN1B;IKBKG;RCHY1
KEGG_2019_Human	Human cytomegalovirus infection	4/225	7.065671e-02	1.772025e-01	0	0	2.652934e+00	7.030070e+00	RB1;MYC;IKBKG;EGFR
KEGG_2019_Human	Acute myeloid leukemia	2/66	7.618240e-02	1.818747e-01	0	0	4.549173e+00	1.171241e+01	MYC;IKBKG
KEGG_2019_Human	Non-small cell lung cancer	2/66	7.618240e-02	1.818747e-01	0	0	4.549173e+00	1.171241e+01	RB1;EGFR
