Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	15/137	2.515591e-13	4.553219e-11	0	0	1.695518e+01	4.918883e+02	PRKN;CUL5;UBA6;SMURF1;CUL1;UBE2D1;UBE2J1;ANAPC11;ITCH;CDC23;CDC27;UBE2N;BIRC6;BTRC;SKP2
KEGG_2019_Human	Protein processing in endoplasmic reticulum	11/165	8.154037e-08	7.379404e-06	0	0	9.566569e+00	1.561471e+02	PRKN;BCAP31;LMAN1;HSP90AA1;HSP90AB1;RPN1;CUL1;UBE2D1;SSR1;CKAP4;UBE2J1
KEGG_2019_Human	Pathways in cancer	18/530	2.170069e-07	1.309275e-05	0	0	4.854074e+00	7.447769e+01	RB1;TCF7L2;RALBP1;HSP90AA1;CDKN1B;HSP90AB1;CUL1;FOS;EGFR;NFKB2;BCR;NFKBIA;APC;CDH1;CASP3;CTNNA1;SKP2;TP53
KEGG_2019_Human	Epstein-Barr virus infection	11/201	5.964148e-07	2.257470e-05	0	0	7.739778e+00	1.109290e+02	RB1;NFKBIA;CDKN1B;PSMD4;CASP3;TAB2;TAB1;SKP2;TP53;TNF;NFKB2
KEGG_2019_Human	Cell cycle	9/124	6.236105e-07	2.257470e-05	0	0	1.036142e+01	1.480413e+02	RB1;CDC23;CDKN1B;CDC27;CUL1;SKP2;TP53;YWHAZ;ANAPC11
KEGG_2019_Human	Prostate cancer	8/97	1.011892e-06	3.052541e-05	0	0	1.183700e+01	1.633943e+02	RB1;NFKBIA;TCF7L2;HSP90AA1;CDKN1B;HSP90AB1;TP53;EGFR
KEGG_2019_Human	NOD-like receptor signaling pathway	10/178	1.554005e-06	4.018213e-05	0	0	7.912645e+00	1.058291e+02	RNF31;NFKBIA;HSP90AA1;HSP90AB1;PRKCD;ERBIN;TAB2;RBCK1;TAB1;TNF
KEGG_2019_Human	Gastric cancer	9/149	2.897838e-06	6.556358e-05	0	0	8.500384e+00	1.083930e+02	RB1;TCF7L2;CDKN1B;APC;CDH1;CSNK1A1;CTNNA1;TP53;EGFR
KEGG_2019_Human	Endocytosis	11/244	3.955454e-06	7.954858e-05	0	0	6.297597e+00	7.834472e+01	ITCH;TSG101;UBB;HGS;SMURF1;AP2S1;ARRB1;AP2B1;EGFR;AP2M1;EPN1
KEGG_2019_Human	Viral carcinogenesis	10/201	4.623439e-06	8.368424e-05	0	0	6.951677e+00	8.539698e+01	RB1;NFKBIA;HNRNPK;CDKN1B;CASP3;PXN;SKP2;TP53;YWHAZ;NFKB2
KEGG_2019_Human	Hepatitis B	9/163	6.049178e-06	9.610626e-05	0	0	7.722130e+00	9.278594e+01	RB1;NFKBIA;CASP3;TAB2;TAB1;FOS;TP53;TNF;YWHAZ
KEGG_2019_Human	Endometrial cancer	6/58	6.371686e-06	9.610626e-05	0	0	1.502277e+01	1.797271e+02	TCF7L2;APC;CDH1;CTNNA1;TP53;EGFR
KEGG_2019_Human	Human immunodeficiency virus 1 infection	10/212	7.403184e-06	1.030751e-04	0	0	6.569441e+00	7.760875e+01	NFKBIA;CUL5;CASP3;PXN;CUL1;TAB2;TAB1;FOS;BTRC;TNF
KEGG_2019_Human	IL-17 signaling pathway	7/93	9.012515e-06	1.165189e-04	0	0	1.064931e+01	1.237120e+02	NFKBIA;HSP90AA1;HSP90AB1;CASP3;TAB2;FOS;TNF
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	10/219	9.841986e-06	1.187600e-04	0	0	6.347149e+00	7.317534e+01	RB1;NFKBIA;CDC23;XPO1;CDC27;FOS;TP53;TNF;NFKB2;ANAPC11
KEGG_2019_Human	Breast cancer	8/147	2.236225e-05	2.529730e-04	0	0	7.559904e+00	8.095248e+01	RB1;TCF7L2;APC;CSNK1A1;FOS;TP53;EGFR;NFKB2
KEGG_2019_Human	TNF signaling pathway	7/110	2.706580e-05	2.881712e-04	0	0	8.884010e+00	9.343526e+01	NFKBIA;ITCH;CASP3;TAB2;TAB1;FOS;TNF
KEGG_2019_Human	Hedgehog signaling pathway	5/47	3.388818e-05	3.407645e-04	0	0	1.540616e+01	1.585671e+02	CSNK1A1;SMURF1;CUL1;ARRB1;BTRC
KEGG_2019_Human	Wnt signaling pathway	8/158	3.753539e-05	3.575740e-04	0	0	7.001600e+00	7.134789e+01	RNF43;TCF7L2;APC;CSNK1A1;RUVBL1;CUL1;BTRC;TP53
KEGG_2019_Human	Colorectal cancer	6/86	6.170723e-05	5.584504e-04	0	0	9.750987e+00	9.451738e+01	TCF7L2;APC;CASP3;FOS;TP53;EGFR
KEGG_2019_Human	Human papillomavirus infection	11/330	6.512513e-05	5.613166e-04	0	0	4.579639e+00	4.414405e+01	RB1;BCAP31;TCF7L2;CDKN1B;APC;CSNK1A1;CASP3;PXN;TP53;TNF;EGFR
KEGG_2019_Human	Small cell lung cancer	6/93	9.560582e-05	7.865752e-04	0	0	8.963249e+00	8.295735e+01	RB1;NFKBIA;CDKN1B;CASP3;SKP2;TP53
KEGG_2019_Human	MAPK signaling pathway	10/295	1.226380e-04	9.651077e-04	0	0	4.636558e+00	4.175811e+01	CASP3;HSPB1;TAB2;ARRB1;TAB1;FOS;TP53;TNF;EGFR;NFKB2
KEGG_2019_Human	MicroRNAs in cancer	10/299	1.368868e-04	1.032355e-03	0	0	4.571449e+00	4.066923e+01	HNRNPK;CDKN1B;APC;CASP3;BMI1;TP53;SIRT1;EGFR;EZH2;MCL1
KEGG_2019_Human	Apoptosis	7/143	1.430958e-04	1.036014e-03	0	0	6.717082e+00	5.945958e+01	NFKBIA;CASP3;BIRC6;FOS;TNF;TP53;MCL1
KEGG_2019_Human	Ribosome	7/153	2.172233e-04	1.512208e-03	0	0	6.253833e+00	5.274848e+01	RPS26;RPL23;RPS6;RPL11;RPS3;RPL26;RPL28
KEGG_2019_Human	Hepatitis C	7/155	2.352242e-04	1.576873e-03	0	0	6.168695e+00	5.153927e+01	RB1;NFKBIA;CASP3;TNF;TP53;YWHAZ;EGFR
KEGG_2019_Human	Leishmaniasis	5/74	2.998562e-04	1.857814e-03	0	0	9.364876e+00	7.596982e+01	NFKBIA;TAB2;FOS;TAB1;TNF
KEGG_2019_Human	Bladder cancer	4/41	3.023960e-04	1.857814e-03	0	0	1.390312e+01	1.126678e+02	RB1;CDH1;TP53;EGFR
KEGG_2019_Human	Necroptosis	7/162	3.079250e-04	1.857814e-03	0	0	5.888015e+00	4.760846e+01	RNF31;HSP90AA1;HSP90AB1;HIST1H2AE;RBCK1;HMGB1;TNF
KEGG_2019_Human	Chronic myeloid leukemia	5/76	3.395734e-04	1.982671e-03	0	0	9.100156e+00	7.269042e+01	RB1;BCR;NFKBIA;CDKN1B;TP53
KEGG_2019_Human	Oocyte meiosis	6/125	4.783391e-04	2.705605e-03	0	0	6.542349e+00	5.001750e+01	CDC23;CDC27;CUL1;BTRC;YWHAZ;ANAPC11
KEGG_2019_Human	Osteoclast differentiation	6/127	5.203995e-04	2.854312e-03	0	0	6.433558e+00	4.864358e+01	NFKBIA;TAB2;TAB1;FOS;TNF;NFKB2
KEGG_2019_Human	Amyotrophic lateral sclerosis (ALS)	4/51	7.018991e-04	3.736581e-03	0	0	1.093949e+01	7.943949e+01	CASP3;TNF;TP53;SOD1
KEGG_2019_Human	Measles	6/138	8.057162e-04	4.166704e-03	0	0	5.894139e+00	4.198854e+01	NFKBIA;CDKN1B;CASP3;TAB2;FOS;TP53
KEGG_2019_Human	Legionellosis	4/55	9.347933e-04	4.620325e-03	0	0	1.007945e+01	7.030603e+01	NFKBIA;CASP3;TNF;NFKB2
KEGG_2019_Human	NF-kappa B signaling pathway	5/95	9.444863e-04	4.620325e-03	0	0	7.172113e+00	4.995283e+01	NFKBIA;TAB2;TAB1;TNF;NFKB2
KEGG_2019_Human	Proteoglycans in cancer	7/201	1.108073e-03	5.276161e-03	0	0	4.695023e+00	3.195025e+01	DDX5;CASP3;RPS6;PXN;TP53;TNF;EGFR
KEGG_2019_Human	Progesterone-mediated oocyte maturation	5/99	1.136852e-03	5.276161e-03	0	0	6.865526e+00	4.654478e+01	HSP90AA1;CDC23;HSP90AB1;CDC27;ANAPC11
KEGG_2019_Human	Toll-like receptor signaling pathway	5/104	1.416394e-03	6.409183e-03	0	0	6.517132e+00	4.275005e+01	NFKBIA;TAB2;TAB1;FOS;TNF
KEGG_2019_Human	Hippo signaling pathway	6/160	1.724977e-03	7.523778e-03	0	0	5.046480e+00	3.210844e+01	TCF7L2;APC;CDH1;CTNNA1;BTRC;YWHAZ
KEGG_2019_Human	Mitophagy	4/65	1.745849e-03	7.523778e-03	0	0	8.422823e+00	5.348926e+01	PRKN;UBB;TP53;OPTN
KEGG_2019_Human	Toxoplasmosis	5/113	2.042812e-03	8.598815e-03	0	0	5.971314e+00	3.698291e+01	NFKBIA;CASP3;TAB2;TAB1;TNF
