Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	MicroRNAs in cancer	25/299	2.123094e-20	3.205872e-18	0	0	1.625000e+01	7.361059e+02	CDKN1B;MIR451A;MIR107;EGFR;CCND2;MIR16-1;CCND1;MYC;IGF2BP1;CREBBP;UBE2I;MIR15A;MIRLET7I;MIR29C;MIR21;DICER1;MIR29A;MIR16-2;MIR19A;MIRLET7B;APC;MIR221;MIR363;FGFR3;EZH2
KEGG_2019_Human	Wnt signaling pathway	14/158	3.446406e-12	2.602037e-10	0	0	1.584562e+01	4.182242e+02	TCF7L2;CREBBP;CTBP2;CSNK2A1;CTBP1;CTNNBIP1;CSNK2A2;CCND2;APC;CCND1;MYC;RUVBL1;BTRC;PPARD
KEGG_2019_Human	Prostate cancer	9/97	1.922758e-08	9.677881e-07	0	0	1.605276e+01	2.852081e+02	AR;TCF7L2;CREBBP;HSP90AA1;CDKN1B;HSP90AB1;CCND1;ERG;EGFR
KEGG_2019_Human	Pathways in cancer	17/530	1.092859e-07	4.125541e-06	0	0	5.434698e+00	8.711440e+01	TCF7L2;CREBBP;HSP90AA1;CDKN1B;HSP90AB1;CTBP2;CTBP1;FOS;PML;EGFR;AR;CCND2;APC;CCND1;MYC;FGFR3;PPARD
KEGG_2019_Human	Hippo signaling pathway	8/160	1.319715e-05	3.985539e-04	0	0	8.169499e+00	9.178848e+01	SOX2;TCF7L2;CCND2;APC;CCND1;MYC;BTRC;TEAD1
KEGG_2019_Human	Colorectal cancer	6/86	2.554744e-05	6.429440e-04	0	0	1.150291e+01	1.216429e+02	TCF7L2;CCND1;APC;MYC;FOS;EGFR
KEGG_2019_Human	Measles	7/138	4.245142e-05	8.442362e-04	0	0	8.238192e+00	8.293511e+01	CCND2;CDKN1B;CCND1;CSNK2A1;CSNK2A2;FOS;HSPA1A
KEGG_2019_Human	Endometrial cancer	5/58	4.472774e-05	8.442362e-04	0	0	1.437736e+01	1.439880e+02	TCF7L2;CCND1;APC;MYC;EGFR
KEGG_2019_Human	Acute myeloid leukemia	5/66	8.355127e-05	1.401805e-03	0	0	1.248676e+01	1.172513e+02	TCF7L2;CCND1;MYC;PML;PPARD
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	8/219	1.224379e-04	1.738470e-03	0	0	5.867522e+00	5.285409e+01	CREBBP;CCND2;CCND1;MSX2;KAT5;MYC;SRF;FOS
KEGG_2019_Human	Adherens junction	5/72	1.266435e-04	1.738470e-03	0	0	1.136510e+01	1.019919e+02	TCF7L2;CREBBP;CSNK2A1;CSNK2A2;EGFR
KEGG_2019_Human	PI3K-Akt signaling pathway	10/354	1.478056e-04	1.786589e-03	0	0	4.539767e+00	4.003899e+01	HSP90AA1;CCND2;CDKN1B;HSP90AB1;CCND1;MYC;MLST8;FGFR3;EGFR;EIF4B
KEGG_2019_Human	Chronic myeloid leukemia	5/76	1.636586e-04	1.786589e-03	0	0	1.072264e+01	9.347709e+01	CDKN1B;CCND1;CTBP2;CTBP1;MYC
KEGG_2019_Human	Bladder cancer	4/41	1.656440e-04	1.786589e-03	0	0	1.636311e+01	1.424518e+02	CCND1;MYC;FGFR3;EGFR
KEGG_2019_Human	Spliceosome	6/134	2.995522e-04	3.015492e-03	0	0	7.171875e+00	5.818701e+01	SF3B3;EIF4A3;HNRNPU;HNRNPC;HNRNPA1;HSPA1A
KEGG_2019_Human	Breast cancer	6/147	4.911346e-04	4.635083e-03	0	0	6.506350e+00	4.957053e+01	TCF7L2;APC;CCND1;MYC;FOS;EGFR
KEGG_2019_Human	Gastric cancer	6/149	5.275505e-04	4.685890e-03	0	0	6.414702e+00	4.841346e+01	TCF7L2;CDKN1B;APC;CCND1;MYC;EGFR
KEGG_2019_Human	Cellular senescence	6/160	7.669753e-04	6.434071e-03	0	0	5.953186e+00	4.270254e+01	MAP2K3;CCND2;CCND1;MYC;BTRC;FOXM1
KEGG_2019_Human	MAPK signaling pathway	8/295	8.960823e-04	6.796587e-03	0	0	4.297073e+00	3.015461e+01	MAP2K3;DAXX;MYC;SRF;FOS;FGFR3;EGFR;HSPA1A
KEGG_2019_Human	RNA transport	6/165	9.002101e-04	6.796587e-03	0	0	5.764517e+00	4.042588e+01	EEF1A1;FXR1;UBE2I;EIF4A3;DDX20;EIF4B
KEGG_2019_Human	Cell cycle	5/124	1.541355e-03	1.108307e-02	0	0	6.382030e+00	4.132424e+01	CREBBP;CCND2;CDKN1B;CCND1;MYC
KEGG_2019_Human	Transcriptional misregulation in cancer	6/186	1.664272e-03	1.142296e-02	0	0	5.086563e+00	3.254570e+01	CCND2;CDKN1B;FUS;MYC;ERG;PML
KEGG_2019_Human	Antigen processing and presentation	4/77	1.835552e-03	1.205079e-02	0	0	8.278574e+00	5.215841e+01	HSP90AA1;HSP90AB1;RFXANK;HSPA1A
KEGG_2019_Human	Thyroid cancer	3/37	1.975844e-03	1.225437e-02	0	0	1.325602e+01	8.254203e+01	TCF7L2;CCND1;MYC
KEGG_2019_Human	FoxO signaling pathway	5/132	2.028870e-03	1.225437e-02	0	0	5.977589e+00	3.706271e+01	CREBBP;CCND2;CDKN1B;CCND1;EGFR
KEGG_2019_Human	Ubiquitin mediated proteolysis	5/137	2.385677e-03	1.322784e-02	0	0	5.749709e+00	3.471831e+01	ITCH;UBE2I;UBE2L6;BTRC;PML
KEGG_2019_Human	Estrogen signaling pathway	5/137	2.385677e-03	1.322784e-02	0	0	5.749709e+00	3.471831e+01	HSP90AA1;HSP90AB1;FOS;EGFR;HSPA1A
KEGG_2019_Human	Viral carcinogenesis	6/201	2.457239e-03	1.322784e-02	0	0	4.691711e+00	2.819116e+01	CREBBP;CCND2;CDKN1B;CCND1;HIST4H4;SRF
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	5/139	2.540445e-03	1.322784e-02	0	0	5.663318e+00	3.384068e+01	SOX2;APC;MYC;HNF1A;FGFR3
KEGG_2019_Human	IL-17 signaling pathway	4/93	3.645613e-03	1.834959e-02	0	0	6.784801e+00	3.809144e+01	HSP90AA1;HSP90AB1;FOS;ELAVL1
KEGG_2019_Human	Hedgehog signaling pathway	3/47	3.925956e-03	1.906823e-02	0	0	1.023812e+01	5.672067e+01	CCND2;CCND1;BTRC
KEGG_2019_Human	Cushing syndrome	5/155	4.052485e-03	1.906823e-02	0	0	5.055128e+00	2.784579e+01	TCF7L2;CDKN1B;APC;CCND1;EGFR
KEGG_2019_Human	Notch signaling pathway	3/48	4.167230e-03	1.906823e-02	0	0	1.001010e+01	5.486040e+01	CREBBP;CTBP2;CTBP1
KEGG_2019_Human	HIF-1 signaling pathway	4/100	4.722334e-03	2.097272e-02	0	0	6.287850e+00	3.367428e+01	CREBBP;CDKN1B;GAPDH;EGFR
KEGG_2019_Human	JAK-STAT signaling pathway	5/162	4.882962e-03	2.106650e-02	0	0	4.828025e+00	2.569477e+01	CREBBP;CCND2;CCND1;MYC;EGFR
KEGG_2019_Human	Hepatocellular carcinoma	5/168	5.685483e-03	2.384744e-02	0	0	4.648891e+00	2.403402e+01	TCF7L2;APC;CCND1;MYC;EGFR
KEGG_2019_Human	Legionellosis	3/55	6.108223e-03	2.492815e-02	0	0	8.659528e+00	4.414731e+01	EEF1A1;HSPD1;HSPA1A
KEGG_2019_Human	Endocytosis	6/244	6.307433e-03	2.506375e-02	0	0	3.835646e+00	1.943148e+01	ITCH;FGFR3;PML;EGFR;HSPA1A;DNM2
KEGG_2019_Human	Human papillomavirus infection	7/330	7.169789e-03	2.775995e-02	0	0	3.308678e+00	1.633785e+01	TCF7L2;CREBBP;CCND2;CDKN1B;APC;CCND1;EGFR
KEGG_2019_Human	Central carbon metabolism in cancer	3/65	9.685765e-03	3.656376e-02	0	0	7.259164e+00	3.366146e+01	MYC;FGFR3;EGFR
KEGG_2019_Human	Epstein-Barr virus infection	5/201	1.181683e-02	4.160054e-02	0	0	3.859694e+00	1.713021e+01	MAP2K3;CCND2;CDKN1B;CCND1;MYC
KEGG_2019_Human	Proteoglycans in cancer	5/201	1.181683e-02	4.160054e-02	0	0	3.859694e+00	1.713021e+01	CCND1;MYC;MIR21;EGFR;EIF4B
KEGG_2019_Human	Prolactin signaling pathway	3/70	1.184651e-02	4.160054e-02	0	0	6.715739e+00	2.978915e+01	CCND2;CCND1;FOS
KEGG_2019_Human	RNA degradation	3/79	1.638221e-02	5.622075e-02	0	0	5.917763e+00	2.433124e+01	DDX6;CNOT9;HSPD1
KEGG_2019_Human	ErbB signaling pathway	3/85	1.987550e-02	6.611519e-02	0	0	5.483093e+00	2.148423e+01	CDKN1B;MYC;EGFR
KEGG_2019_Human	Oxytocin signaling pathway	4/153	2.014105e-02	6.611519e-02	0	0	4.040371e+00	1.577763e+01	EEF2K;CCND1;FOS;EGFR
KEGG_2019_Human	Hepatitis B	4/163	2.471795e-02	7.903233e-02	0	0	3.784339e+00	1.400291e+01	MAP2K3;CREBBP;MYC;FOS
KEGG_2019_Human	Small cell lung cancer	3/93	2.512286e-02	7.903233e-02	0	0	4.993687e+00	1.839663e+01	CDKN1B;CCND1;MYC
KEGG_2019_Human	Protein processing in endoplasmic reticulum	4/165	2.570263e-02	7.920608e-02	0	0	3.736949e+00	1.368158e+01	HSP90AA1;HSP90AB1;UBXN6;HSPA1A
KEGG_2019_Human	NF-kappa B signaling pathway	3/95	2.654008e-02	8.015104e-02	0	0	4.884634e+00	1.772682e+01	UBE2I;CSNK2A1;CSNK2A2
KEGG_2019_Human	Influenza A	4/171	2.879721e-02	8.526232e-02	0	0	3.601591e+00	1.277656e+01	MAP2K3;CREBBP;PML;HSPA1A
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	3/101	3.104376e-02	9.014629e-02	0	0	4.584184e+00	1.591792e+01	FBL;CSNK2A1;CSNK2A2
KEGG_2019_Human	Th17 cell differentiation	3/107	3.592299e-02	1.023466e-01	0	0	4.318400e+00	1.436463e+01	HSP90AA1;HSP90AB1;FOS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	4/186	3.746721e-02	1.047694e-01	0	0	3.302240e+00	1.084551e+01	CREBBP;CCND1;MYC;FOS
KEGG_2019_Human	TNF signaling pathway	3/110	3.850208e-02	1.057057e-01	0	0	4.196686e+00	1.366879e+01	MAP2K3;ITCH;FOS
KEGG_2019_Human	Thyroid hormone signaling pathway	3/116	4.393566e-02	1.184694e-01	0	0	3.972647e+00	1.241464e+01	CREBBP;CCND1;MYC
KEGG_2019_Human	Amyotrophic lateral sclerosis (ALS)	2/51	4.651009e-02	1.232110e-01	0	0	6.081326e+00	1.865803e+01	MAP2K3;DAXX
KEGG_2019_Human	AMPK signaling pathway	3/120	4.775932e-02	1.243389e-01	0	0	3.836053e+00	1.166767e+01	EEF2K;CCND1;ELAVL1
KEGG_2019_Human	Lysine degradation	2/59	6.029516e-02	1.543147e-01	0	0	5.225696e+00	1.467638e+01	KMT5A;EZH2
KEGG_2019_Human	Basal cell carcinoma	2/63	6.764846e-02	1.684249e-01	0	0	4.882041e+00	1.314944e+01	TCF7L2;APC
KEGG_2019_Human	Fluid shear stress and atherosclerosis	3/139	6.803920e-02	1.684249e-01	0	0	3.296959e+00	8.861141e+00	HSP90AA1;HSP90AB1;FOS
KEGG_2019_Human	Mitophagy	2/65	7.143105e-02	1.739692e-01	0	0	4.726578e+00	1.247355e+01	CSNK2A1;CSNK2A2
KEGG_2019_Human	Non-small cell lung cancer	2/66	7.334772e-02	1.758017e-01	0	0	4.652491e+00	1.215484e+01	CCND1;EGFR
KEGG_2019_Human	Non-homologous end-joining	1/13	8.430660e-02	1.919811e-01	0	0	1.234639e+01	3.053627e+01	LIG4
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	2/72	8.518369e-02	1.919811e-01	0	0	4.252417e+00	1.047347e+01	TCF7L2;EMD
KEGG_2019_Human	p53 signaling pathway	2/72	8.518369e-02	1.919811e-01	0	0	4.252417e+00	1.047347e+01	CCND2;CCND1
KEGG_2019_Human	Melanoma	2/72	8.518369e-02	1.919811e-01	0	0	4.252417e+00	1.047347e+01	CCND1;EGFR
KEGG_2019_Human	Hepatitis C	3/155	8.766027e-02	1.946574e-01	0	0	2.947518e+00	7.175103e+00	CCND1;MYC;EGFR
KEGG_2019_Human	Glioma	2/75	9.130430e-02	1.969564e-01	0	0	4.077042e+00	9.758634e+00	CCND1;EGFR
KEGG_2019_Human	Pancreatic cancer	2/75	9.130430e-02	1.969564e-01	0	0	4.077042e+00	9.758634e+00	CCND1;EGFR
KEGG_2019_Human	Necroptosis	3/162	9.691571e-02	2.061165e-01	0	0	2.816752e+00	6.574057e+00	HSP90AA1;HSP90AB1;HIST1H2AE
KEGG_2019_Human	Pantothenate and CoA biosynthesis	1/19	1.207997e-01	2.501510e-01	0	0	8.228441e+00	1.739181e+01	BCAT1
KEGG_2019_Human	Tuberculosis	3/179	1.209339e-01	2.501510e-01	0	0	2.542485e+00	5.371027e+00	CREBBP;RFXANK;HSPD1
KEGG_2019_Human	TGF-beta signaling pathway	2/90	1.236348e-01	2.522818e-01	0	0	3.379528e+00	7.064645e+00	CREBBP;MYC
KEGG_2019_Human	GnRH signaling pathway	2/93	1.303979e-01	2.625344e-01	0	0	3.267620e+00	6.656680e+00	MAP2K3;EGFR
KEGG_2019_Human	Choline metabolism in cancer	2/99	1.441696e-01	2.827222e-01	0	0	3.064569e+00	5.935349e+00	FOS;EGFR
KEGG_2019_Human	Progesterone-mediated oocyte maturation	2/99	1.441696e-01	2.827222e-01	0	0	3.064569e+00	5.935349e+00	HSP90AA1;HSP90AB1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	2/100	1.464941e-01	2.835976e-01	0	0	3.033144e+00	5.825972e+00	CDKN1B;CCND1
KEGG_2019_Human	Melanogenesis	2/101	1.488265e-01	2.844658e-01	0	0	3.002354e+00	5.719408e+00	TCF7L2;CREBBP
KEGG_2019_Human	Focal adhesion	3/199	1.516483e-01	2.862361e-01	0	0	2.280728e+00	4.301890e+00	CCND2;CCND1;EGFR
KEGG_2019_Human	Toll-like receptor signaling pathway	2/104	1.558681e-01	2.905690e-01	0	0	2.913608e+00	5.415653e+00	MAP2K3;FOS
KEGG_2019_Human	Parathyroid hormone synthesis, secretion and action	2/106	1.605977e-01	2.929012e-01	0	0	2.857287e+00	5.225558e+00	FOS;EGFR
KEGG_2019_Human	Maturity onset diabetes of the young	1/26	1.615540e-01	2.929012e-01	0	0	5.922388e+00	1.079602e+01	HNF1A
KEGG_2019_Human	Rap1 signaling pathway	3/206	1.629384e-01	2.929012e-01	0	0	2.201299e+00	3.993999e+00	MAP2K3;FGFR3;EGFR
KEGG_2019_Human	Human immunodeficiency virus 1 infection	3/212	1.728115e-01	3.069945e-01	0	0	2.137451e+00	3.752411e+00	MAP2K3;FOS;BTRC
KEGG_2019_Human	Regulation of actin cytoskeleton	3/214	1.761401e-01	3.078114e-01	0	0	2.116975e+00	3.676076e+00	APC;FGFR3;EGFR
KEGG_2019_Human	Toxoplasmosis	2/113	1.773483e-01	3.078114e-01	0	0	2.676150e+00	4.628775e+00	MAP2K3;HSPA1A
KEGG_2019_Human	Circadian rhythm	1/31	1.895106e-01	3.251830e-01	0	0	4.934080e+00	8.206905e+00	BTRC
KEGG_2019_Human	Human cytomegalovirus infection	3/225	1.947563e-01	3.304292e-01	0	0	2.010954e+00	3.289934e+00	CCND1;MYC;EGFR
KEGG_2019_Human	Oocyte meiosis	2/125	2.066308e-01	3.466806e-01	0	0	2.413595e+00	3.805809e+00	AR;BTRC
KEGG_2019_Human	Prion diseases	1/35	2.112081e-01	3.504663e-01	0	0	4.352722e+00	6.768095e+00	HSPA1A
KEGG_2019_Human	Relaxin signaling pathway	2/130	2.189860e-01	3.563595e-01	0	0	2.318727e+00	3.521560e+00	FOS;EGFR
KEGG_2019_Human	African trypanosomiasis	1/37	2.218397e-01	3.563595e-01	0	0	4.110489e+00	6.189576e+00	HBA1
KEGG_2019_Human	Primary immunodeficiency	1/37	2.218397e-01	3.563595e-01	0	0	4.110489e+00	6.189576e+00	RFXANK
KEGG_2019_Human	Systemic lupus erythematosus	2/133	2.264302e-01	3.599049e-01	0	0	2.265282e+00	3.364664e+00	HIST4H4;HIST1H2AE
KEGG_2019_Human	Apoptosis	2/143	2.513578e-01	3.936716e-01	0	0	2.103557e+00	2.904755e+00	DAXX;FOS
KEGG_2019_Human	Type I diabetes mellitus	1/43	2.528884e-01	3.936716e-01	0	0	3.522210e+00	4.842360e+00	HSPD1
KEGG_2019_Human	Phospholipase D signaling pathway	2/148	2.638576e-01	4.065561e-01	0	0	2.031002e+00	2.705997e+00	EGFR;DNM2
KEGG_2019_Human	Cysteine and methionine metabolism	1/47	2.729011e-01	4.112834e-01	0	0	3.215282e+00	4.175513e+00	BCAT1
KEGG_2019_Human	mTOR signaling pathway	2/152	2.738607e-01	4.112834e-01	0	0	1.976441e+00	2.559759e+00	MLST8;EIF4B
KEGG_2019_Human	Valine, leucine and isoleucine degradation	1/48	2.778206e-01	4.112834e-01	0	0	3.146713e+00	4.030247e+00	BCAT1
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	1/48	2.778206e-01	4.112834e-01	0	0	3.146713e+00	4.030247e+00	DNM2
KEGG_2019_Human	Malaria	1/49	2.827070e-01	4.144540e-01	0	0	3.081001e+00	3.892365e+00	HBA1
KEGG_2019_Human	N-Glycan biosynthesis	1/50	2.875606e-01	4.175159e-01	0	0	3.017971e+00	3.761363e+00	ALG13
KEGG_2019_Human	cGMP-PKG signaling pathway	2/166	3.087893e-01	4.440684e-01	0	0	1.806437e+00	2.122737e+00	SRF;ATP2A1
KEGG_2019_Human	Alzheimer disease	2/171	3.211964e-01	4.575534e-01	0	0	1.752547e+00	1.990372e+00	ATP2A1;GAPDH
KEGG_2019_Human	Viral myocarditis	1/59	3.298019e-01	4.654213e-01	0	0	2.548507e+00	2.826966e+00	CCND1
KEGG_2019_Human	NOD-like receptor signaling pathway	2/178	3.384743e-01	4.732372e-01	0	0	1.682245e+00	1.822388e+00	HSP90AA1;HSP90AB1
KEGG_2019_Human	Alcoholism	2/180	3.433877e-01	4.757022e-01	0	0	1.663175e+00	1.777760e+00	HIST4H4;HIST1H2AE
KEGG_2019_Human	Shigellosis	1/65	3.565718e-01	4.810600e-01	0	0	2.308885e+00	2.380968e+00	BTRC
KEGG_2019_Human	Calcium signaling pathway	2/188	3.629215e-01	4.810600e-01	0	0	1.590994e+00	1.612582e+00	ATP2A1;EGFR
KEGG_2019_Human	Long-term potentiation	1/67	3.652571e-01	4.810600e-01	0	0	2.238693e+00	2.254708e+00	CREBBP
KEGG_2019_Human	Amphetamine addiction	1/68	3.695561e-01	4.810600e-01	0	0	2.205168e+00	2.195141e+00	FOS
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	1/68	3.695561e-01	4.810600e-01	0	0	2.205168e+00	2.195141e+00	EGFR
KEGG_2019_Human	Fc epsilon RI signaling pathway	1/68	3.695561e-01	4.810600e-01	0	0	2.205168e+00	2.195141e+00	MAP2K3
KEGG_2019_Human	Glycolysis / Gluconeogenesis	1/68	3.695561e-01	4.810600e-01	0	0	2.205168e+00	2.195141e+00	GAPDH
KEGG_2019_Human	Renal cell carcinoma	1/69	3.738261e-01	4.824593e-01	0	0	2.172629e+00	2.137791e+00	CREBBP
KEGG_2019_Human	B cell receptor signaling pathway	1/71	3.822801e-01	4.891890e-01	0	0	2.110341e+00	2.029307e+00	FOS
KEGG_2019_Human	Bacterial invasion of epithelial cells	1/74	3.947493e-01	4.926210e-01	0	0	2.023308e+00	1.880674e+00	DNM2
KEGG_2019_Human	Leishmaniasis	1/74	3.947493e-01	4.926210e-01	0	0	2.023308e+00	1.880674e+00	FOS
KEGG_2019_Human	PPAR signaling pathway	1/74	3.947493e-01	4.926210e-01	0	0	2.023308e+00	1.880674e+00	PPARD
KEGG_2019_Human	Pertussis	1/76	4.029229e-01	4.986997e-01	0	0	1.969154e+00	1.789981e+00	FOS
KEGG_2019_Human	Synaptic vesicle cycle	1/78	4.109870e-01	5.045450e-01	0	0	1.917814e+00	1.705308e+00	DNM2
KEGG_2019_Human	cAMP signaling pathway	2/212	4.200955e-01	5.115679e-01	0	0	1.407447e+00	1.220641e+00	CREBBP;FOS
KEGG_2019_Human	Hypertrophic cardiomyopathy (HCM)	1/85	4.383692e-01	5.247966e-01	0	0	1.757374e+00	1.449295e+00	EMD
KEGG_2019_Human	Salmonella infection	1/86	4.421764e-01	5.247966e-01	0	0	1.736611e+00	1.417155e+00	FOS
KEGG_2019_Human	Gap junction	1/88	4.497140e-01	5.247966e-01	0	0	1.696517e+00	1.355761e+00	EGFR
KEGG_2019_Human	mRNA surveillance pathway	1/91	4.608314e-01	5.247966e-01	0	0	1.639718e+00	1.270327e+00	EIF4A3
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	1/91	4.608314e-01	5.247966e-01	0	0	1.639718e+00	1.270327e+00	EMD
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	1/91	4.608314e-01	5.247966e-01	0	0	1.639718e+00	1.270327e+00	DNM2
KEGG_2019_Human	Rheumatoid arthritis	1/91	4.608314e-01	5.247966e-01	0	0	1.639718e+00	1.270327e+00	FOS
KEGG_2019_Human	Thermogenesis	2/231	4.634820e-01	5.247966e-01	0	0	1.289424e+00	9.915517e-01	MAP2K3;MLST8
KEGG_2019_Human	Th1 and Th2 cell differentiation	1/92	4.644874e-01	5.247966e-01	0	0	1.621617e+00	1.243490e+00	FOS
KEGG_2019_Human	Ras signaling pathway	2/232	4.657136e-01	5.247966e-01	0	0	1.283753e+00	9.810241e-01	FGFR3;EGFR
KEGG_2019_Human	Circadian entrainment	1/97	4.824016e-01	5.387970e-01	0	0	1.536769e+00	1.120271e+00	FOS
KEGG_2019_Human	Pancreatic secretion	1/98	4.859124e-01	5.387970e-01	0	0	1.520849e+00	1.097638e+00	ATP2A1
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	1/100	4.928633e-01	5.387970e-01	0	0	1.489974e+00	1.054192e+00	MAP2K3
