Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hippo signaling pathway	17/160	8.860792e-17	1.639246e-14	0	0	2.278016e+01	8.420074e+02	FBXW11;YWHAB;AXIN1;CSNK1E;AXIN2;YWHAZ;ACTB;AMOT;PPP1CC;LATS2;APC;YWHAQ;PARD3;DVL1;DVL2;CTNNA3;BTRC
KEGG_2019_Human	Oocyte meiosis	13/125	5.850820e-13	5.412008e-11	0	0	2.144393e+01	6.040116e+02	MAP2K1;FBXW11;YWHAB;PLK1;YWHAZ;AURKA;PPP1CC;AR;YWHAQ;BTRC;PRKACA;BUB1;MAD2L1
KEGG_2019_Human	Endometrial cancer	8/58	1.978974e-09	1.079296e-07	0	0	2.832857e+01	5.677240e+02	CASP9;MAP2K1;APC;AXIN1;AKT1;BAX;CTNNA3;AXIN2
KEGG_2019_Human	Pathways in cancer	18/530	2.779606e-09	1.079296e-07	0	0	6.675551e+00	1.315147e+02	CREBBP;MAP2K1;AXIN1;AXIN2;ESR1;PTK2;CASP9;AR;BCL2L11;APC;TPR;DVL1;DVL2;BAX;AKT1;CTNNA3;PRKACA;BCL2L1
KEGG_2019_Human	Wnt signaling pathway	11/158	2.917015e-09	1.079296e-07	0	0	1.354696e+01	2.662345e+02	CREBBP;APC;FBXW11;SIAH1;DVL1;AXIN1;DVL2;CSNK1E;AXIN2;BTRC;PRKACA
KEGG_2019_Human	Cell cycle	10/124	3.796691e-09	1.170646e-07	0	0	1.576236e+01	3.056185e+02	CREBBP;YWHAQ;YWHAB;PLK1;BUB1B;SFN;BUB3;YWHAZ;BUB1;MAD2L1
KEGG_2019_Human	Breast cancer	10/147	1.968591e-08	5.202706e-07	0	0	1.310086e+01	2.324534e+02	MAP2K1;APC;DVL1;AXIN1;DVL2;BAX;AKT1;AXIN2;BRCA1;ESR1
KEGG_2019_Human	Colorectal cancer	8/86	4.764607e-08	1.101815e-06	0	0	1.813370e+01	3.057245e+02	CASP9;MAP2K1;BCL2L11;APC;AXIN1;AKT1;BAX;AXIN2
KEGG_2019_Human	Hepatocellular carcinoma	10/168	7.009054e-08	1.440750e-06	0	0	1.134753e+01	1.869332e+02	MAP2K1;APC;DVL1;AXIN1;DVL2;BAX;AKT1;AXIN2;ACTB;BCL2L1
KEGG_2019_Human	Gastric cancer	9/149	2.871466e-07	5.312213e-06	0	0	1.143243e+01	1.722098e+02	MAP2K1;APC;DVL1;AXIN1;DVL2;BAX;AKT1;CTNNA3;AXIN2
KEGG_2019_Human	Human papillomavirus infection	12/330	7.147957e-07	1.202156e-05	0	0	6.835080e+00	9.672506e+01	CREBBP;MAP2K1;APC;PARD3;DVL1;AXIN1;DVL2;BAX;AKT1;AXIN2;PRKACA;PTK2
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	10/219	8.202826e-07	1.264602e-05	0	0	8.556329e+00	1.199051e+02	CREBBP;MAP2K1;CD40;BUB1B;BAX;AKT1;BUB3;PRKACA;MAD2L1;BCL2L1
KEGG_2019_Human	Basal cell carcinoma	6/63	2.114223e-06	2.925263e-05	0	0	1.830379e+01	2.391723e+02	APC;DVL1;AXIN1;DVL2;BAX;AXIN2
KEGG_2019_Human	Progesterone-mediated oocyte maturation	7/99	2.213712e-06	2.925263e-05	0	0	1.332397e+01	1.734893e+02	MAP2K1;PLK1;AKT1;PRKACA;BUB1;AURKA;MAD2L1
KEGG_2019_Human	Apoptosis	8/143	2.402038e-06	2.962513e-05	0	0	1.044709e+01	1.351769e+02	CASP9;MAP2K1;BCL2L11;BAX;AKT1;HTRA2;ACTB;BCL2L1
KEGG_2019_Human	Proteoglycans in cancer	9/201	3.494013e-06	4.039952e-05	0	0	8.314189e+00	1.044633e+02	PPP1CC;MAP2K1;CAV1;AKT1;EZR;PRKACA;ESR1;ACTB;PTK2
KEGG_2019_Human	Hepatitis C	8/155	4.379509e-06	4.765936e-05	0	0	9.588435e+00	1.183076e+02	CASP9;MAP2K1;YWHAQ;CD81;YWHAB;BAX;AKT1;YWHAZ
KEGG_2019_Human	Regulation of actin cytoskeleton	9/214	5.819932e-06	5.897139e-05	0	0	7.781806e+00	9.380362e+01	PPP1CC;MAP2K1;APC;PFN1;EZR;MYH10;ACTB;PTK2;BCAR1
KEGG_2019_Human	Hepatitis B	8/163	6.352790e-06	5.897139e-05	0	0	9.089862e+00	1.087749e+02	CASP9;CREBBP;MAP2K1;YWHAQ;YWHAB;BAX;AKT1;YWHAZ
KEGG_2019_Human	Thyroid hormone signaling pathway	7/116	6.375285e-06	5.897139e-05	0	0	1.123626e+01	1.344203e+02	CASP9;MAP2K1;CREBBP;AKT1;PRKACA;ESR1;ACTB
KEGG_2019_Human	Tight junction	8/170	8.651706e-06	7.540328e-05	0	0	8.694004e+00	1.013526e+02	ACTR3;AFDN;PARD3;EZR;PRKACA;MYH10;ACTB;AMOT
KEGG_2019_Human	Hedgehog signaling pathway	5/47	8.966876e-06	7.540328e-05	0	0	2.053623e+01	2.386715e+02	FBXW11;ARRB2;CSNK1E;BTRC;PRKACA
KEGG_2019_Human	Chemokine signaling pathway	8/190	1.941332e-05	1.508705e-04	0	0	7.730769e+00	8.387538e+01	LYN;MAP2K1;PARD3;AKT1;ARRB2;PRKACA;PTK2;BCAR1
KEGG_2019_Human	Pathogenic Escherichia coli infection	5/55	1.957240e-05	1.508705e-04	0	0	1.724348e+01	1.869433e+02	KRT18;YWHAQ;EZR;YWHAZ;ACTB
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	7/139	2.082523e-05	1.541067e-04	0	0	9.267632e+00	9.989901e+01	MAP2K1;APC;DVL1;AXIN1;DVL2;AKT1;AXIN2
KEGG_2019_Human	Focal adhesion	8/199	2.706708e-05	1.925927e-04	0	0	7.363126e+00	7.743942e+01	PPP1CC;MAP2K1;CAV1;ZYX;AKT1;ACTB;PTK2;BCAR1
KEGG_2019_Human	Cushing syndrome	7/155	4.193109e-05	2.806136e-04	0	0	8.259029e+00	8.324674e+01	MAP2K1;APC;DVL1;AXIN1;DVL2;AXIN2;PRKACA
KEGG_2019_Human	Human immunodeficiency virus 1 infection	8/212	4.247125e-05	2.806136e-04	0	0	6.889356e+00	6.935296e+01	CASP9;MAP2K1;FBXW11;BAX;AKT1;BTRC;PTK2;BCL2L1
KEGG_2019_Human	PI3K-Akt signaling pathway	10/354	5.502083e-05	3.446314e-04	0	0	5.162791e+00	5.063561e+01	CASP9;MAP2K1;BCL2L11;YWHAQ;YWHAB;AKT1;BRCA1;YWHAZ;PTK2;BCL2L1
KEGG_2019_Human	Prion diseases	4/35	5.588618e-05	3.446314e-04	0	0	2.207898e+01	2.162016e+02	MAP2K1;HSPA5;BAX;PRKACA
KEGG_2019_Human	Leukocyte transendothelial migration	6/112	5.863016e-05	3.498897e-04	0	0	9.818272e+00	9.567181e+01	AFDN;CTNNA3;EZR;ACTB;PTK2;BCAR1
KEGG_2019_Human	Adherens junction	5/72	7.258129e-05	4.068951e-04	0	0	1.285724e+01	1.225398e+02	AFDN;CREBBP;PARD3;CTNNA3;ACTB
KEGG_2019_Human	p53 signaling pathway	5/72	7.258129e-05	4.068951e-04	0	0	1.285724e+01	1.225398e+02	CASP9;SIAH1;BAX;SFN;BCL2L1
KEGG_2019_Human	Bacterial invasion of epithelial cells	5/74	8.277078e-05	4.503704e-04	0	0	1.248330e+01	1.173360e+02	CAV1;CTNNA3;ACTB;PTK2;BCAR1
KEGG_2019_Human	Pancreatic cancer	5/75	8.826092e-05	4.665220e-04	0	0	1.230435e+01	1.148637e+02	CASP9;MAP2K1;AKT1;BAX;BCL2L1
KEGG_2019_Human	FoxO signaling pathway	6/132	1.455852e-04	7.481461e-04	0	0	8.251462e+00	7.289960e+01	CREBBP;MAP2K1;BCL2L11;PLK1;AKT1;CSNK1E
KEGG_2019_Human	Viral carcinogenesis	7/201	2.128472e-04	1.036230e-03	0	0	6.286014e+00	5.314785e+01	LYN;CREBBP;YWHAQ;YWHAB;BAX;PRKACA;YWHAZ
KEGG_2019_Human	Epstein-Barr virus infection	7/201	2.128472e-04	1.036230e-03	0	0	6.286014e+00	5.314785e+01	LYN;CASP9;CD40;BCL2L11;BAX;PSMD1;AKT1
KEGG_2019_Human	Small cell lung cancer	5/93	2.439224e-04	1.143745e-03	0	0	9.778656e+00	8.134532e+01	CASP9;AKT1;BAX;PTK2;BCL2L1
KEGG_2019_Human	Rap1 signaling pathway	7/206	2.472962e-04	1.143745e-03	0	0	6.126518e+00	5.088026e+01	AFDN;MAP2K1;PARD3;AKT1;PFN1;ACTB;BCAR1
KEGG_2019_Human	Prostate cancer	5/97	2.967668e-04	1.339070e-03	0	0	9.351607e+00	7.595902e+01	CASP9;AR;MAP2K1;CREBBP;AKT1
KEGG_2019_Human	Melanogenesis	5/101	3.578714e-04	1.576338e-03	0	0	8.960145e+00	7.110177e+01	MAP2K1;CREBBP;DVL1;DVL2;PRKACA
KEGG_2019_Human	Human cytomegalovirus infection	7/225	4.214102e-04	1.787488e-03	0	0	5.587156e+00	4.342284e+01	CASP9;MAP2K1;BAX;AKT1;PRKACA;PTK2;BCAR1
KEGG_2019_Human	VEGF signaling pathway	4/59	4.347945e-04	1.787488e-03	0	0	1.242947e+01	9.621199e+01	CASP9;MAP2K1;AKT1;PTK2
KEGG_2019_Human	Viral myocarditis	4/59	4.347945e-04	1.787488e-03	0	0	1.242947e+01	9.621199e+01	CASP9;CD40;CAV1;ACTB
KEGG_2019_Human	MicroRNAs in cancer	8/299	4.491669e-04	1.806432e-03	0	0	4.808297e+00	3.706291e+01	CREBBP;MAP2K1;ST14;BCL2L11;APC;KIF23;BRCA1;EZR
KEGG_2019_Human	Influenza A	6/171	5.848261e-04	2.301975e-03	0	0	6.288676e+00	4.681414e+01	CASP9;CREBBP;MAP2K1;AKT1;TRIM25;ACTB
KEGG_2019_Human	Shigellosis	4/65	6.291552e-04	2.424869e-03	0	0	1.120350e+01	8.258252e+01	FBXW11;BTRC;PFN1;ACTB
KEGG_2019_Human	Non-small cell lung cancer	4/66	6.666681e-04	2.517012e-03	0	0	1.102225e+01	8.060810e+01	CASP9;MAP2K1;AKT1;BAX
KEGG_2019_Human	Endocytosis	7/244	6.821491e-04	2.523952e-03	0	0	5.134274e+00	3.743021e+01	KIF5B;PARD3;CAV1;RAB35;ARRB2;AP2M1;ARF6
KEGG_2019_Human	Long-term potentiation	4/67	7.057387e-04	2.560033e-03	0	0	1.084674e+01	7.870685e+01	PPP1CC;MAP2K1;CREBBP;PRKACA
KEGG_2019_Human	Circadian rhythm	3/31	8.375513e-04	2.979750e-03	0	0	1.817949e+01	1.288022e+02	FBXW11;CSNK1E;BTRC
KEGG_2019_Human	B cell receptor signaling pathway	4/71	8.783138e-04	3.065812e-03	0	0	1.019712e+01	7.176228e+01	LYN;MAP2K1;CD81;AKT1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	6/186	9.072561e-04	3.067474e-03	0	0	5.760234e+00	4.035093e+01	LYN;CASP9;CREBBP;MAP2K1;BAX;AKT1
KEGG_2019_Human	Platelet activation	5/124	9.119518e-04	3.067474e-03	0	0	7.219949e+00	5.053909e+01	LYN;PPP1CC;AKT1;PRKACA;ACTB
KEGG_2019_Human	Autophagy	5/128	1.051464e-03	3.473587e-03	0	0	6.983740e+00	4.789150e+01	MAP2K1;RB1CC1;AKT1;PRKACA;BCL2L1
KEGG_2019_Human	Chronic myeloid leukemia	4/76	1.133383e-03	3.678523e-03	0	0	9.486590e+00	6.434326e+01	MAP2K1;AKT1;BAX;BCL2L1
KEGG_2019_Human	Dopaminergic synapse	5/131	1.166055e-03	3.719313e-03	0	0	6.816425e+00	4.603902e+01	PPP1CC;KIF5B;AKT1;ARRB2;PRKACA
KEGG_2019_Human	Thyroid cancer	3/37	1.410377e-03	4.314633e-03	0	0	1.496682e+01	9.824067e+01	MAP2K1;TPR;BAX
KEGG_2019_Human	Estrogen signaling pathway	5/137	1.422663e-03	4.314633e-03	0	0	6.504611e+00	4.263919e+01	MAP2K1;KRT18;AKT1;PRKACA;ESR1
KEGG_2019_Human	Insulin signaling pathway	5/137	1.422663e-03	4.314633e-03	0	0	6.504611e+00	4.263919e+01	PPP1CC;MAP2K1;FLOT1;AKT1;PRKACA
KEGG_2019_Human	cAMP signaling pathway	6/212	1.772049e-03	5.287565e-03	0	0	5.026571e+00	3.184644e+01	PPP1CC;AFDN;CREBBP;MAP2K1;AKT1;PRKACA
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	4/91	2.203894e-03	6.471751e-03	0	0	7.845026e+00	4.799218e+01	LYN;MAP2K1;AKT1;ARF6
KEGG_2019_Human	NF-kappa B signaling pathway	4/95	2.577464e-03	7.450483e-03	0	0	7.498674e+00	4.469921e+01	LYN;CD40;TRIM25;BCL2L1
KEGG_2019_Human	Ras signaling pathway	6/232	2.780922e-03	7.854603e-03	0	0	4.577084e+00	2.693602e+01	AFDN;MAP2K1;AKT1;PRKACA;BCL2L1;ARF6
KEGG_2019_Human	Cellular senescence	5/160	2.802183e-03	7.854603e-03	0	0	5.532959e+00	3.251918e+01	PPP1CC;MAP2K1;FBXW11;AKT1;BTRC
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	3/48	2.992721e-03	8.141960e-03	0	0	1.130199e+01	6.568236e+01	PRKACA;ESR1;AP2M1
KEGG_2019_Human	Notch signaling pathway	3/48	2.992721e-03	8.141960e-03	0	0	1.130199e+01	6.568236e+01	CREBBP;DVL1;DVL2
KEGG_2019_Human	RNA transport	5/165	3.198152e-03	8.574756e-03	0	0	5.358696e+00	3.078668e+01	NUP214;NUP107;TPR;NUP153;NUP58
KEGG_2019_Human	Longevity regulating pathway	4/102	3.331995e-03	8.805987e-03	0	0	6.960591e+00	3.970449e+01	RB1CC1;AKT1;BAX;PRKACA
