Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	38/530	4.104307e-32	8.126527e-30	0	0	2.052250e+01	1.483175e+03	GSK3B;CDKN1A;HDAC2;CDKN1B;HDAC1;CAMK2A;PTEN;KEAP1;CASP9;CDC42;GNA13;CASP8;CDH1;CASP3;CTNNA1;AKT1;EP300;CTNNA3;PRKACA;RALGDS;HRAS;RALBP1;CREBBP;MAP2K1;TGFB1;CHUK;AXIN1;ESR2;RHOA;AR;APC;MDM2;BAX;CTNNB1;KRAS;BIRC2;BCL2L1;NFE2L2
KEGG_2019_Human	Endometrial cancer	16/58	1.732705e-23	1.715378e-21	0	0	7.958697e+01	4.171135e+03	GSK3B;CDKN1A;MAP2K1;PTEN;AXIN1;ILK;CASP9;APC;CDH1;CTNNA1;AKT1;BAX;CTNNB1;CTNNA3;KRAS;HRAS
KEGG_2019_Human	Human papillomavirus infection	25/330	1.433648e-21	9.462078e-20	0	0	1.866565e+01	8.958404e+02	GSK3B;CDKN1A;HDAC2;CDKN1B;HDAC1;PTEN;PSEN1;CDC42;CASP8;CASP3;AKT1;EP300;PRKACA;HRAS;MAGI1;CREBBP;MAP2K1;CHUK;AXIN1;SCRIB;APC;MDM2;BAX;CTNNB1;KRAS
KEGG_2019_Human	Colorectal cancer	15/86	8.613144e-19	4.263506e-17	0	0	4.361356e+01	1.814142e+03	GSK3B;CDKN1A;MAP2K1;TGFB1;AXIN1;RHOA;CASP9;APC;CASP3;AKT1;BAX;CTNNB1;KRAS;HRAS;RALGDS
KEGG_2019_Human	Prostate cancer	15/97	5.821858e-18	2.305456e-16	0	0	3.774200e+01	1.497788e+03	GSK3B;MAP2K1;CREBBP;CDKN1A;CDKN1B;CHUK;PTEN;CASP9;AR;MDM2;AKT1;EP300;CTNNB1;KRAS;HRAS
KEGG_2019_Human	Adherens junction	13/72	1.240459e-16	4.093513e-15	0	0	4.458492e+01	1.632962e+03	CREBBP;CSNK2A1;IQGAP1;BAIAP2;ACTB;RHOA;CDC42;CDH1;CTNNA1;EP300;CTNNB1;CTNNA3;FYN
KEGG_2019_Human	Chronic myeloid leukemia	13/76	2.623441e-16	7.420589e-15	0	0	4.174571e+01	1.497706e+03	CDKN1A;MAP2K1;HDAC2;CDKN1B;TGFB1;CHUK;HDAC1;MDM2;AKT1;BAX;KRAS;HRAS;BCL2L1
KEGG_2019_Human	Proteoglycans in cancer	17/201	1.094449e-15	2.407789e-14	0	0	1.936777e+01	6.671912e+02	MAP2K1;CDKN1A;TGFB1;CAMK2A;IQGAP1;ACTB;RHOA;PPP1CA;CDC42;GPC1;CASP3;MDM2;AKT1;CTNNB1;KRAS;PRKACA;HRAS
KEGG_2019_Human	Viral carcinogenesis	17/201	1.094449e-15	2.407789e-14	0	0	1.936777e+01	6.671912e+02	CREBBP;CDKN1A;HDAC2;CDKN1B;HDAC1;SCRIB;RHOA;CDC42;CASP8;CASP3;CHEK1;MDM2;BAX;EP300;KRAS;PRKACA;HRAS
KEGG_2019_Human	Hepatocellular carcinoma	16/168	1.217356e-15	2.410365e-14	0	0	2.186925e+01	7.510359e+02	GSK3B;MAP2K1;CDKN1A;TGFB1;AXIN1;PTEN;KEAP1;ACTB;APC;BAX;AKT1;CTNNB1;KRAS;HRAS;BCL2L1;NFE2L2
KEGG_2019_Human	Thyroid hormone signaling pathway	14/116	2.859559e-15	5.147207e-14	0	0	2.799859e+01	9.376197e+02	GSK3B;CREBBP;MAP2K1;HDAC2;HDAC1;ACTB;CASP9;MDM2;AKT1;CTNNB1;EP300;KRAS;PRKACA;HRAS
KEGG_2019_Human	Gastric cancer	15/149	4.346148e-15	7.008497e-14	0	0	2.303521e+01	7.617627e+02	GSK3B;MAP2K1;CDKN1A;TGFB1;CDKN1B;AXIN1;APC;CDH1;CTNNA1;BAX;AKT1;CTNNB1;KRAS;CTNNA3;HRAS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	17/219	4.601538e-15	7.008497e-14	0	0	1.762582e+01	5.818702e+02	CREBBP;MAP2K1;CD40;CDKN1A;TGFB1;CHUK;ANAPC7;PTEN;PTTG1;CHEK1;BAX;AKT1;EP300;KRAS;PRKACA;HRAS;BCL2L1
KEGG_2019_Human	Cell cycle	14/124	7.409183e-15	1.047870e-13	0	0	2.595183e+01	8.443701e+02	GSK3B;CREBBP;CDKN1A;HDAC2;TGFB1;CDKN1B;ANAPC7;HDAC1;MAD2L2;PTTG1;CHEK1;MDM2;EP300;BUB1
KEGG_2019_Human	Pancreatic cancer	12/75	9.050626e-15	1.194683e-13	0	0	3.814526e+01	1.233463e+03	CASP9;CDC42;CDKN1A;RALBP1;MAP2K1;TGFB1;CHUK;AKT1;BAX;KRAS;RALGDS;BCL2L1
KEGG_2019_Human	Human cytomegalovirus infection	16/225	1.221537e-13	1.511652e-12	0	0	1.585898e+01	4.715429e+02	GSK3B;MAP2K1;CDKN1A;CHUK;RHOA;CASP9;GNA13;CASP8;CASP3;MDM2;BAX;AKT1;CTNNB1;KRAS;PRKACA;HRAS
KEGG_2019_Human	Hippo signaling pathway	14/160	2.661150e-13	3.099457e-12	0	0	1.951716e+01	5.651164e+02	YAP1;GSK3B;TGFB1;AXIN1;SCRIB;ACTB;PPP1CA;SMAD7;APC;CDH1;CTNNA1;CTNNB1;CTNNA3;BIRC2
KEGG_2019_Human	Breast cancer	13/147	1.728362e-12	1.901199e-11	0	0	1.955643e+01	5.296633e+02	GSK3B;MAP2K1;CDKN1A;AXIN1;PTEN;BRCA1;ESR2;APC;BAX;AKT1;CTNNB1;KRAS;HRAS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	14/186	2.116254e-12	2.205359e-11	0	0	1.654507e+01	4.447543e+02	GSK3B;CREBBP;MAP2K1;CDKN1A;CHUK;CASP9;CASP8;CASP3;BAX;AKT1;CTNNB1;EP300;KRAS;HRAS
KEGG_2019_Human	Hepatitis C	13/155	3.416017e-12	3.381857e-11	0	0	1.844718e+01	4.870526e+02	GSK3B;MAP2K1;CDKN1A;CHUK;CD81;CASP9;CASP8;CASP3;BAX;AKT1;CTNNB1;KRAS;HRAS
KEGG_2019_Human	Hepatitis B	13/163	6.502375e-12	6.130811e-11	0	0	1.745626e+01	4.496532e+02	CREBBP;MAP2K1;CDKN1A;TGFB1;CHUK;CASP9;CASP8;CASP3;BAX;AKT1;EP300;KRAS;HRAS
KEGG_2019_Human	FoxO signaling pathway	12/132	9.309029e-12	8.378126e-11	0	0	1.996869e+01	5.072054e+02	CREBBP;MAP2K1;CDKN1A;TGFB1;CDKN1B;CHUK;MDM2;PTEN;AKT1;EP300;KRAS;HRAS
KEGG_2019_Human	Apoptosis	12/143	2.408896e-11	2.073745e-10	0	0	1.828175e+01	4.469754e+02	CASP9;MAP2K1;CASP8;CHUK;CASP3;BAX;AKT1;KRAS;HRAS;ACTB;BIRC2;BCL2L1
