Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	38/530	4.297941e-26	8.509922e-24	0	0	1.277559e+01	7.462103e+02	GSK3B;NOTCH1;CTBP1;HDAC1;PIK3R1;STK4;ETS1;EGFR;IKBKB;CASP8;CCND1;CDH1;CASP3;ERBB2;AKT1;CTNNA3;HRAS;APPL1;PRKCG;SMAD2;TCF7L2;CREBBP;SMAD4;SMAD3;CHUK;AXIN1;ARNT;ESR1;PML;ESR2;AR;APC;TRAF4;PIK3CA;TRAF6;MDM2;CTNNB1;BCL2L1
KEGG_2019_Human	Adherens junction	18/72	1.068599e-22	1.057913e-20	0	0	4.815328e+01	2.436100e+03	SMAD2;PTPN1;TCF7L2;CREBBP;SMAD4;SMAD3;CSNK2A1;SRC;ACTN4;ACTB;EGFR;CDH1;CSNK2B;ERBB2;CTNNB1;CTNNA3;FYN;PTPN6
KEGG_2019_Human	Endometrial cancer	15/58	2.443535e-19	1.612733e-17	0	0	4.934053e+01	2.114522e+03	GSK3B;TCF7L2;AXIN1;PIK3R1;FOXO3;EGFR;CCND1;PIK3CA;APC;CDH1;ERBB2;AKT1;CTNNB1;CTNNA3;HRAS
KEGG_2019_Human	Colorectal cancer	16/86	4.661353e-18	2.307370e-16	0	0	3.251799e+01	1.297703e+03	SMAD2;GSK3B;TCF7L2;SMAD4;SMAD3;AXIN1;PIK3R1;EGFR;CCND1;PIK3CA;APC;CASP3;AKT1;CTNNB1;HRAS;APPL1
KEGG_2019_Human	Prostate cancer	16/97	3.557503e-17	1.408771e-15	0	0	2.808633e+01	1.063767e+03	GSK3B;TCF7L2;CREBBP;CHUK;PIK3R1;EGFR;IKBKB;AR;CREB1;CCND1;PIK3CA;ERBB2;MDM2;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Hepatocellular carcinoma	19/168	5.206498e-17	1.718144e-15	0	0	1.846743e+01	6.924185e+02	PRKCG;SMAD2;GSK3B;TCF7L2;SMAD4;SMAD3;AXIN1;PIK3R1;EGFR;ACTB;SMARCA4;APC;CCND1;PIK3CA;AKT1;CTNNB1;HRAS;CSNK1A1L;BCL2L1
KEGG_2019_Human	Proteoglycans in cancer	20/201	9.506382e-17	2.688948e-15	0	0	1.609495e+01	5.937745e+02	PRKCG;SMAD2;SRC;MSN;ANK2;PTPN11;PIK3R1;ESR1;EGFR;ACTB;CCND1;PIK3CA;CASP3;ERBB2;MDM2;AKT1;CTNNB1;PTPN6;EZR;HRAS
KEGG_2019_Human	Gastric cancer	18/149	1.095792e-16	2.712086e-15	0	0	1.977222e+01	7.266267e+02	SMAD2;GSK3B;TCF7L2;SMAD4;SMAD3;AXIN1;PIK3R1;EGFR;CCND1;PIK3CA;APC;CDH1;ERBB2;AKT1;CTNNB1;CTNNA3;HRAS;CSNK1A1L
KEGG_2019_Human	Hippo signaling pathway	18/160	3.967310e-16	8.728082e-15	0	0	1.823039e+01	6.465093e+02	YAP1;SMAD2;GSK3B;TCF7L2;SMAD4;SMAD3;AXIN1;ACTB;AMOT;SOX2;LATS2;APC;CCND1;CDH1;TP53BP2;CTNNB1;CTNNA3;NF2
KEGG_2019_Human	Chronic myeloid leukemia	14/76	7.053020e-16	1.396498e-14	0	0	3.168177e+01	1.105310e+03	SMAD4;SMAD3;CHUK;HDAC1;CTBP1;PTPN11;PIK3R1;IKBKB;CCND1;PIK3CA;MDM2;AKT1;HRAS;BCL2L1
KEGG_2019_Human	Human papillomavirus infection	23/330	1.081679e-15	1.947022e-14	0	0	1.108908e+01	3.821327e+02	GSK3B;TCF7L2;CREBBP;NOTCH1;CHUK;HDAC1;AXIN1;UBE3A;PIK3R1;EGFR;IKBKB;CREB1;CASP8;PKM;APC;CCND1;PIK3CA;CASP3;MDM2;AKT1;CTNNB1;HRAS;CSNK1A1L
KEGG_2019_Human	Breast cancer	17/147	1.702210e-15	2.808646e-14	0	0	1.868200e+01	6.353158e+02	GSK3B;TCF7L2;NOTCH1;AXIN1;PIK3R1;BRCA1;ESR1;ESR2;EGFR;CCND1;PIK3CA;APC;ERBB2;AKT1;CTNNB1;HRAS;CSNK1A1L
KEGG_2019_Human	Thyroid hormone signaling pathway	15/116	1.542485e-14	2.349323e-13	0	0	2.094484e+01	6.661044e+02	PRKCG;GSK3B;CREBBP;NOTCH1;SRC;HDAC1;PIK3R1;ESR1;ACTB;CCND1;PIK3CA;MDM2;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Wnt signaling pathway	16/158	9.867281e-14	1.395515e-12	0	0	1.597163e+01	4.783018e+02	PRKCG;GSK3B;TCF7L2;CREBBP;SMAD4;SMAD3;CSNK2A1;CTBP1;AXIN1;APC;CCND1;RUVBL1;CSNK2B;CTNNB1;TBL1X;CSNK1A1L
KEGG_2019_Human	FoxO signaling pathway	15/132	1.086031e-13	1.433561e-12	0	0	1.806593e+01	5.392876e+02	SMAD2;CREBBP;SMAD4;SMAD3;CHUK;PIK3R1;FOXO3;STK4;EGFR;IKBKB;CCND1;PIK3CA;MDM2;AKT1;HRAS
KEGG_2019_Human	Hepatitis B	16/163	1.611398e-13	1.994104e-12	0	0	1.542446e+01	4.543507e+02	PRKCG;SMAD2;CREBBP;SMAD4;SMAD3;CHUK;SRC;PIK3R1;IKBKB;CREB1;CASP8;PIK3CA;TRAF6;CASP3;AKT1;HRAS
KEGG_2019_Human	Viral carcinogenesis	17/201	3.180022e-13	3.703791e-12	0	0	1.316308e+01	3.787903e+02	LYN;CREBBP;SRC;HDAC1;UBE3A;ACTN4;PIK3R1;HDAC6;CREB1;CASP8;PKM;CCND1;PIK3CA;CASP3;MDM2;CDK1;HRAS
KEGG_2019_Human	Pancreatic cancer	12/75	5.235119e-13	5.758631e-12	0	0	2.634965e+01	7.451211e+02	IKBKB;SMAD2;SMAD4;SMAD3;CCND1;CHUK;PIK3CA;ERBB2;AKT1;PIK3R1;EGFR;BCL2L1
KEGG_2019_Human	Cell cycle	14/124	8.127870e-13	8.470096e-12	0	0	1.781367e+01	4.959024e+02	SMAD2;GSK3B;CREBBP;SMAD4;SMAD3;MCM7;HDAC1;FZR1;CCND1;CDC27;MDM2;CDK1;SFN;MCM2
KEGG_2019_Human	Measles	14/138	3.588432e-12	3.552547e-11	0	0	1.579124e+01	4.161513e+02	GSK3B;CSNK2A1;CHUK;MSN;PIK3R1;IKBKB;CASP8;CCND1;PIK3CA;CASP3;TRAF6;CSNK2B;AKT1;BCL2L1
