Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Thyroid hormone signaling pathway	21/116	1.650770e-24	3.185987e-22	0	0	3.867639e+01	2.117950e+03	NCOA2;CREBBP;HDAC3;SRC;NCOA3;PIK3R1;ATP1A1;ESR1;ACTB;FOXO1;MTOR;MED24;NCOR1;CCND1;SIN3A;AKT2;MDM2;AKT1;EP300;MAPK1;TP53
KEGG_2019_Human	Pathways in cancer	33/530	7.056851e-23	6.809862e-21	0	0	1.273337e+01	6.494714e+02	HSP90AB1;CAMK2A;PTEN;PIK3R1;FOXO1;CCND1;AKT2;E2F1;AKT1;EP300;MAPK1;SKP2;SKP1;APPL1;SMAD2;STAT5A;CREBBP;JUN;HSP90AA1;CHUK;ZBTB16;NCOA3;TXNRD1;NCOA4;ARNT;FOS;ESR1;ESR2;MTOR;AR;MDM2;GRB2;TP53
KEGG_2019_Human	Prostate cancer	18/97	2.448655e-21	1.575302e-19	0	0	3.886578e+01	1.844521e+03	CREBBP;HSP90AA1;HSP90AB1;CHUK;PTEN;PIK3R1;FOXO1;MTOR;AR;CCND1;AKT2;MDM2;E2F1;AKT1;EP300;MAPK1;GRB2;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	21/219	1.504024e-18	6.801534e-17	0	0	1.846018e+01	7.575759e+02	SMAD2;STAT5A;CREBBP;JUN;MAP3K1;TBP;CHUK;TRRAP;PTEN;PIK3R1;FOS;XPO1;CCND1;LCK;AKT2;E2F1;AKT1;EP300;MAPK1;TP53;RAN
KEGG_2019_Human	Hepatitis B	19/163	1.762055e-18	6.801534e-17	0	0	2.262790e+01	9.250296e+02	SMAD2;STAT5A;CREBBP;JUN;MAP3K1;CHUK;SRC;PIK3R1;FOS;MAPK14;YWHAQ;AKT2;E2F1;AKT1;EP300;MAPK1;GRB2;TAB2;TP53
KEGG_2019_Human	Hepatocellular carcinoma	19/168	3.148045e-18	1.012621e-16	0	0	2.186303e+01	8.810746e+02	SMAD2;SMARCE1;SMARCD1;SHC1;TXNRD1;PTEN;PIK3R1;ARID1A;SMARCA2;ACTB;MTOR;SMARCA4;CCND1;AKT2;E2F1;AKT1;MAPK1;GRB2;TP53
KEGG_2019_Human	Proteoglycans in cancer	20/201	5.022101e-18	1.384665e-16	0	0	1.908016e+01	7.600139e+02	SMAD2;DDX5;SRC;CAV1;CAMK2A;PIK3R1;MAPK14;ESR1;ACTB;MTOR;PPP1CC;PAK1;CCND1;ERBB4;AKT2;MDM2;AKT1;MAPK1;GRB2;TP53
KEGG_2019_Human	Breast cancer	18/147	5.998173e-18	1.447059e-16	0	0	2.374138e+01	9.414662e+02	JUN;SHC1;NCOA3;PTEN;PIK3R1;BRCA1;FOS;ESR1;ESR2;MTOR;CCND1;AKT2;E2F1;AKT1;MAPK1;PGR;GRB2;TP53
KEGG_2019_Human	ErbB signaling pathway	14/85	4.652822e-16	9.977719e-15	0	0	3.252700e+01	1.148329e+03	STAT5A;JUN;SHC1;SRC;CAMK2A;PIK3R1;MTOR;PAK1;ERBB4;AKT2;AKT1;PAK6;MAPK1;GRB2
KEGG_2019_Human	FoxO signaling pathway	16/132	5.380503e-16	1.038437e-14	0	0	2.308591e+01	8.116680e+02	SMAD2;CREBBP;CHUK;PTEN;FOXO4;PIK3R1;MAPK14;FOXO1;CCND1;AKT2;MDM2;AKT1;EP300;MAPK1;GRB2;SKP2
KEGG_2019_Human	Estrogen signaling pathway	16/137	9.832400e-16	1.669203e-14	0	0	2.212635e+01	7.645910e+02	NCOA2;JUN;HSP90AA1;HSP90AB1;SHC1;SRC;NCOA3;PIK3R1;FOS;ESR1;ESR2;AKT2;AKT1;MAPK1;PGR;GRB2
KEGG_2019_Human	Prolactin signaling pathway	13/70	1.037846e-15	1.669203e-14	0	0	3.733754e+01	1.288206e+03	STAT5A;SHC1;SRC;FOS;PIK3R1;MAPK14;ESR1;ESR2;CCND1;AKT2;AKT1;MAPK1;GRB2
KEGG_2019_Human	Glioma	13/75	2.691203e-15	3.995402e-14	0	0	3.431778e+01	1.151320e+03	SHC1;CAMK2A;PTEN;PIK3R1;MTOR;CCND1;AKT2;E2F1;MDM2;AKT1;MAPK1;GRB2;TP53
KEGG_2019_Human	Focal adhesion	17/199	2.347201e-14	3.235784e-13	0	0	1.571466e+01	4.931727e+02	VAV3;JUN;SHC1;SRC;CAV1;PTEN;ACTN4;PIK3R1;ACTB;PPP1CC;PAK1;CCND1;AKT2;AKT1;PAK6;MAPK1;GRB2
KEGG_2019_Human	Viral carcinogenesis	17/201	2.771197e-14	3.565607e-13	0	0	1.554227e+01	4.851817e+02	STAT5A;CREBBP;JUN;TBP;HDAC3;SRC;GTF2H1;ACTN4;PIK3R1;CCND1;YWHAQ;MDM2;EP300;MAPK1;GRB2;SKP2;TP53
