Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	36/530	5.286018e-30	9.620553e-28	0	0	1.963360e+01	1.323550e+03	CDKN1A;SPI1;NOTCH1;CAMK2A;ETS1;FGF2;HIF1A;FOXO1;GLI2;IKBKB;CDH1;AKT1;EP300;HRAS;JAK3;JAK1;TCF7L2;CREBBP;HSP90AA1;CHUK;STAT1;NCOA4;AXIN1;ARNT;FOS;ESR1;ESR2;EPOR;AR;MSH2;SP1;CDK2;MDM2;RARA;CTNNB1;FGFR3
KEGG_2019_Human	Prostate cancer	15/97	3.793774e-18	3.452334e-16	0	0	3.896538e+01	1.563025e+03	TCF7L2;CREBBP;CDKN1A;HSP90AA1;CHUK;FOXO1;IKBKB;AR;CREB1;CDK2;MDM2;AKT1;EP300;CTNNB1;HRAS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	19/219	7.125397e-18	4.322741e-16	0	0	2.101955e+01	8.299121e+02	MAP2K4;CREBBP;CDKN1A;SPI1;CHUK;FOS;ETS1;ETS2;IKBKB;KAT2B;CREB1;LCK;CHEK1;CDK2;AKT1;EP300;HRAS;JAK3;JAK1
KEGG_2019_Human	Hepatitis B	16/163	4.779115e-16	2.174497e-14	0	0	2.335995e+01	8.240715e+02	MAP2K4;CREBBP;CDKN1A;CHUK;STAT1;FOS;MAPK14;IKBKB;CREB1;IRAK1;CDK2;AKT1;EP300;HRAS;JAK3;JAK1
KEGG_2019_Human	Thyroid hormone signaling pathway	14/116	1.928207e-15	7.018674e-14	0	0	2.889654e+01	9.790778e+02	MED1;CREBBP;NOTCH1;STAT1;ESR1;HIF1A;FOXO1;ACTB;KAT2B;MDM2;AKT1;CTNNB1;EP300;HRAS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	16/186	3.935937e-15	1.193901e-13	0	0	2.017596e+01	6.692089e+02	MAP2K4;CREBBP;CDKN1A;CHUK;STAT1;FOS;MAPK14;FGF2;HIF1A;IKBKB;CREB1;AKT1;CTNNB1;EP300;HRAS;JAK1
KEGG_2019_Human	Th17 cell differentiation	13/107	1.876452e-14	4.878774e-13	0	0	2.882128e+01	9.109486e+02	HSP90AA1;CHUK;STAT1;GATA3;FOS;MAPK14;FOXP3;HIF1A;IKBKB;LCK;RARA;JAK3;JAK1
KEGG_2019_Human	FoxO signaling pathway	13/132	2.987131e-13	6.795723e-12	0	0	2.273764e+01	6.557374e+02	CREBBP;CDKN1A;CHUK;FOXO4;MAPK14;FOXO3;FOXO1;IKBKB;CDK2;MDM2;AKT1;EP300;HRAS
KEGG_2019_Human	PI3K-Akt signaling pathway	18/354	6.193663e-13	1.252496e-11	0	0	1.164048e+01	3.272147e+02	HSP90AA1;CDKN1A;CHUK;BRCA1;FOXO3;FGF2;EPOR;IKBKB;CREB1;ERBB3;CDK2;MDM2;AKT1;FGFR3;EIF4E;HRAS;JAK3;JAK1
KEGG_2019_Human	Breast cancer	13/147	1.207548e-12	2.197738e-11	0	0	2.017706e+01	5.537076e+02	TCF7L2;CDKN1A;NOTCH1;AXIN1;BRCA1;FOS;ESR1;FGF2;ESR2;SP1;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Human papillomavirus infection	17/330	2.339236e-12	3.870373e-11	0	0	1.168567e+01	3.129563e+02	TCF7L2;CREBBP;CDKN1A;NOTCH1;CHUK;STAT1;AXIN1;FOXO1;IKBKB;CREB1;CDK2;MDM2;AKT1;CTNNB1;EP300;HRAS;JAK1
