Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	44/530	7.647967e-42	1.430170e-39	0	0	2.928807e+01	2.772822e+03	CAMK2B;GSK3B;CAMK2A;ARAF;FGF2;GNAI1;GNAI2;CASP9;FRAT1;NRAS;FRAT2;BCL2L11;CASP8;CDH1;CTNNA1;RAC2;AKT1;PMAIP1;EP300;MAPK1;RALGDS;HRAS;APPL1;JAK1;EGLN1;CREBBP;CHUK;BAD;AXIN1;ARNT;BRAF;ESR1;ESR2;AR;TRAF6;GNB1;BAX;CTNNB1;KRAS;RAF1;FGFR3;SOS2;FGFR1;BCL2L1
KEGG_2019_Human	Colorectal cancer	20/86	4.190571e-28	3.884578e-26	0	0	7.153680e+01	4.509647e+03	GSK3B;BAD;ARAF;AXIN1;BRAF;CASP9;NRAS;BCL2L11;RAC2;AKT1;MAPK1;PMAIP1;BAX;CTNNB1;KRAS;RAF1;HRAS;SOS2;RALGDS;APPL1
KEGG_2019_Human	Endometrial cancer	18/58	6.231944e-28	3.884578e-26	0	0	1.038977e+02	6.508430e+03	GSK3B;BAD;ARAF;AXIN1;BRAF;FOXO3;CASP9;NRAS;CDH1;CTNNA1;AKT1;MAPK1;BAX;CTNNB1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Prostate cancer	19/97	3.573884e-25	1.670791e-23	0	0	5.679367e+01	3.196971e+03	GSK3B;CREBBP;CHUK;BAD;ARAF;BRAF;CASP9;AR;NRAS;CREB1;AKT1;EP300;MAPK1;CTNNB1;KRAS;RAF1;HRAS;SOS2;FGFR1
KEGG_2019_Human	Breast cancer	20/147	4.225142e-23	1.580203e-21	0	0	3.706224e+01	1.909388e+03	GSK3B;ARAF;AXIN1;BRAF;BRCA1;ESR1;FGF2;ESR2;FRAT1;NRAS;FRAT2;BAX;AKT1;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;FGFR1
KEGG_2019_Human	Hepatitis C	19/155	4.351996e-21	1.356372e-19	0	0	3.247751e+01	1.522664e+03	GSK3B;CHUK;BAD;CD81;ARAF;BRAF;CASP9;NRAS;CASP8;TRAF6;BAX;AKT1;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;JAK1
KEGG_2019_Human	Hepatitis B	19/163	1.162366e-20	3.105177e-19	0	0	3.066078e+01	1.407368e+03	CREBBP;CHUK;BAD;ARAF;BRAF;CASP9;NRAS;CREB1;CASP8;TRAF6;BAX;AKT1;EP300;MAPK1;KRAS;RAF1;SOS2;HRAS;JAK1
KEGG_2019_Human	PI3K-Akt signaling pathway	24/354	2.630562e-20	6.148939e-19	0	0	1.778727e+01	8.019304e+02	GSK3B;CHUK;BAD;BRCA1;FOXO3;FGF2;PIK3CG;CASP9;NRAS;BCL2L11;CREB1;ERBB3;GNB1;AKT1;MAPK1;KRAS;RAF1;FGFR3;SOS2;EIF4E;HRAS;FGFR1;BCL2L1;JAK1
KEGG_2019_Human	Gastric cancer	18/149	6.704668e-20	1.393081e-18	0	0	3.157909e+01	1.394182e+03	GSK3B;ARAF;AXIN1;BRAF;FGF2;FRAT1;NRAS;FRAT2;CDH1;CTNNA1;BAX;AKT1;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	19/186	1.494771e-19	2.795221e-18	0	0	2.640726e+01	1.144679e+03	GSK3B;CREBBP;CHUK;FGF2;PIK3CG;CASP9;NRAS;CREB1;CASP8;GNB1;BAX;AKT1;CTNNB1;EP300;MAPK1;KRAS;RAF1;HRAS;JAK1
KEGG_2019_Human	Renal cell carcinoma	14/69	5.206982e-19	8.851870e-18	0	0	5.611596e+01	2.362432e+03	EGLN1;CREBBP;BAD;ARAF;ARNT;BRAF;NRAS;AKT1;EP300;MAPK1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Hepatocellular carcinoma	18/168	6.098854e-19	9.504047e-18	0	0	2.755256e+01	1.155582e+03	GSK3B;BAD;ARAF;AXIN1;BRAF;ACTB;FRAT1;NRAS;FRAT2;BAX;AKT1;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;BCL2L1
KEGG_2019_Human	Pancreatic cancer	14/75	1.841179e-18	2.648465e-17	0	0	5.058106e+01	2.065534e+03	CHUK;BAD;ARAF;BRAF;CASP9;RAC2;AKT1;MAPK1;BAX;KRAS;RAF1;RALGDS;JAK1;BCL2L1
KEGG_2019_Human	Human cytomegalovirus infection	19/225	5.623414e-18	7.125321e-17	0	0	2.136551e+01	8.486292e+02	GSK3B;CHUK;GNAI1;GNAI2;CASP9;NRAS;CREB1;CASP8;GNB1;RAC2;BAX;AKT1;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;JAK1
KEGG_2019_Human	Chemokine signaling pathway	18/190	5.715498e-18	7.125321e-17	0	0	2.400162e+01	9.529448e+02	GSK3B;GSK3A;CHUK;BAD;BRAF;FOXO3;GNAI1;PIK3CG;GNAI2;NRAS;GNB1;RAC2;AKT1;MAPK1;KRAS;RAF1;SOS2;HRAS
KEGG_2019_Human	ErbB signaling pathway	14/85	1.196284e-17	1.398157e-16	0	0	4.343505e+01	1.692435e+03	CAMK2B;GSK3B;BAD;CAMK2A;ARAF;BRAF;NRAS;ERBB3;AKT1;MAPK1;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Non-small cell lung cancer	13/66	1.523697e-17	1.676067e-16	0	0	5.348518e+01	2.071096e+03	BAD;ARAF;BRAF;FOXO3;CASP9;NRAS;AKT1;MAPK1;BAX;KRAS;RAF1;HRAS;SOS2
KEGG_2019_Human	Human immunodeficiency virus 1 infection	18/212	4.100406e-17	4.259867e-16	0	0	2.125605e+01	8.020517e+02	CHUK;BAD;GNAI1;GNAI2;CASP9;NRAS;CASP8;TRAF6;CHEK1;GNB1;RAC2;BAX;AKT1;MAPK1;KRAS;RAF1;HRAS;BCL2L1
KEGG_2019_Human	Neurotrophin signaling pathway	15/119	5.120292e-17	4.816114e-16	0	0	3.207433e+01	1.203132e+03	CAMK2B;GSK3B;BAD;CAMK2A;BRAF;FOXO3;NRAS;TRAF6;BAX;AKT1;MAPK1;KRAS;RAF1;SOS2;HRAS
KEGG_2019_Human	Melanoma	13/72	5.150924e-17	4.816114e-16	0	0	4.803148e+01	1.801410e+03	BAD;ARAF;BRAF;FGF2;NRAS;CDH1;AKT1;MAPK1;BAX;KRAS;RAF1;HRAS;FGFR1
KEGG_2019_Human	Chronic myeloid leukemia	13/76	1.090792e-16	9.713242e-16	0	0	4.497279e+01	1.652950e+03	CHUK;BAD;ARAF;BRAF;NRAS;AKT1;MAPK1;BAX;KRAS;RAF1;HRAS;SOS2;BCL2L1
KEGG_2019_Human	Melanogenesis	14/101	1.509761e-16	1.283297e-15	0	0	3.541839e+01	1.290271e+03	CAMK2B;GSK3B;CREBBP;CAMK2A;GNAI1;GNAI2;NRAS;CREB1;EP300;MAPK1;CTNNB1;KRAS;RAF1;HRAS
KEGG_2019_Human	Ras signaling pathway	18/232	2.043501e-16	1.661455e-15	0	0	1.924995e+01	6.954370e+02	CHUK;BAD;FGF2;NRAS;GNB1;RAC2;AKT1;MAPK1;SHOC2;KRAS;RAF1;FGFR3;SOS2;RALGDS;HRAS;FGFR1;BCL2L1;ARF6
KEGG_2019_Human	Proteoglycans in cancer	17/201	3.506616e-16	2.732238e-15	0	0	2.093353e+01	7.449556e+02	CAMK2B;CAMK2A;ARAF;BRAF;ESR1;FGF2;ACTB;NRAS;ERBB3;AKT1;CTNNB1;MAPK1;KRAS;RAF1;SOS2;HRAS;FGFR1
