Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	mTOR signaling pathway	24/152	1.527404e-27	2.840972e-25	0	0	3.817848e+01	2.357377e+03	PRR5;GSK3B;PRKAA1;CHUK;IRS1;PDPK1;BRAF;MTOR;TTI1;IKBKB;CLIP1;RPS6KB1;RHEB;RRAGD;AKT1S1;EIF4EBP1;AKT1;ULK1;KRAS;RICTOR;LAMTOR1;EIF4E;HRAS;TELO2
KEGG_2019_Human	Autophagy	20/128	5.861002e-23	5.450732e-21	0	0	3.625046e+01	1.855702e+03	UVRAG;BECN1;PRKAA1;MTMR3;BAD;IRS1;PDPK1;HIF1A;MTOR;MAPK8;RPS6KB1;RHEB;RRAGD;AKT1S1;AKT1;ULK1;PIK3C3;KRAS;HRAS;BCL2L1
KEGG_2019_Human	Pancreatic cancer	17/75	1.344132e-22	8.333616e-21	0	0	5.586157e+01	2.813252e+03	SMAD4;CHUK;BAD;STAT1;GADD45A;BRAF;EGFR;MTOR;CASP9;IKBKB;MAPK8;RPS6KB1;AKT1;BAX;KRAS;RAC1;BCL2L1
KEGG_2019_Human	Apoptosis	19/143	1.860343e-20	8.650595e-19	0	0	2.967623e+01	1.348219e+03	BECN1;CHUK;BAD;GADD45A;PDPK1;TRAF2;ACTB;CASP9;IKBKB;MAPK8;BCL2L11;CASP8;BAX;AKT1;KRAS;HRAS;BIRC2;BCL2L1;BIRC3
KEGG_2019_Human	Pathways in cancer	29/530	6.743237e-20	2.083273e-18	0	0	1.219218e+01	5.382014e+02	GSK3B;CAMK2A;HIF1A;EGFR;CASP9;IKBKB;MAPK8;BCL2L11;CASP8;AKT1;VHL;RAC1;HRAS;SMAD4;CHUK;BAD;GADD45A;STAT1;TRAF2;BRAF;PML;MTOR;AR;RPS6KB1;BAX;KRAS;BIRC2;BCL2L1;BIRC3
KEGG_2019_Human	PI3K-Akt signaling pathway	25/354	7.646227e-20	2.083273e-18	0	0	1.547461e+01	6.811534e+02	GSK3B;PRKAA1;IRS1;BRCA1;EFNA5;EGFR;CASP9;IKBKB;BCL2L11;YWHAQ;EIF4EBP1;AKT1;RAC1;EIF4E;HRAS;CHUK;BAD;PDPK1;YWHAZ;MTOR;RPS6KB1;RHEB;CDC37;KRAS;BCL2L1
KEGG_2019_Human	Colorectal cancer	16/86	7.840275e-20	2.083273e-18	0	0	4.312163e+01	1.897025e+03	GSK3B;SMAD4;BAD;GADD45A;BRAF;EGFR;MTOR;CASP9;MAPK8;BCL2L11;RPS6KB1;AKT1;BAX;KRAS;RAC1;HRAS
KEGG_2019_Human	Hepatitis C	18/155	2.391962e-18	5.561313e-17	0	0	2.518291e+01	1.021782e+03	GSK3B;CHUK;BAD;CD81;STAT1;TRAF2;BRAF;YWHAZ;EGFR;CASP9;IKBKB;TBK1;CASP8;YWHAQ;BAX;AKT1;KRAS;HRAS
KEGG_2019_Human	Insulin signaling pathway	17/137	7.028238e-18	1.452502e-16	0	0	2.691530e+01	1.063063e+03	GSK3B;PRKAA1;BAD;IRS1;PDPK1;BRAF;MTOR;IKBKB;MAPK8;RPS6KB1;RHEB;PRKAR1A;EIF4EBP1;AKT1;KRAS;EIF4E;HRAS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	18/186	6.525653e-17	1.213771e-15	0	0	2.050381e+01	7.641404e+02	GSK3B;BECN1;CHUK;STAT1;TRAF2;HIF1A;MTOR;CASP9;IKBKB;MAPK8;TBK1;CASP8;BAX;AKT1;PIK3C3;KRAS;RAC1;HRAS
