Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	28/530	1.962113e-23	3.433697e-21	0	0	1.899644e+01	9.932369e+02	NOTCH1;HDAC1;CTBP1;LEF1;CAMK2A;CASP8;CDH1;MYC;AKT1;EP300;MAPK1;APPL1;SMAD2;JUN;CREBBP;SMAD3;CHUK;AXIN1;ARNT;FOS;ESR1;ESR2;RUNX1;AR;SP1;TRAF6;CTNNB1;BCL2L1
KEGG_2019_Human	Hepatitis B	14/163	7.461572e-15	6.528876e-13	0	0	2.615786e+01	8.508893e+02	SMAD2;JUN;CREBBP;SMAD3;CHUK;NFATC2;FOS;CASP8;CREB1;MYC;TRAF6;AKT1;EP300;MAPK1
KEGG_2019_Human	Breast cancer	13/147	5.001763e-14	2.765133e-12	0	0	2.665350e+01	8.163009e+02	JUN;NOTCH1;LEF1;AXIN1;BRCA1;FOS;ESR1;ESR2;SP1;MYC;AKT1;CTNNB1;MAPK1
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	7.466238e-14	2.765133e-12	0	0	3.131349e+01	9.464752e+02	CREBBP;NCOR1;NOTCH1;HDAC3;HDAC1;SIN3A;MYC;AKT1;CTNNB1;EP300;MAPK1;ESR1
KEGG_2019_Human	Colorectal cancer	11/86	7.900381e-14	2.765133e-12	0	0	3.932252e+01	1.186332e+03	SMAD2;JUN;SMAD3;MYC;LEF1;AXIN1;AKT1;CTNNB1;MAPK1;FOS;APPL1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	14/219	4.491657e-13	1.310067e-11	0	0	1.895843e+01	5.390145e+02	SMAD2;JUN;CREBBP;SMAD3;CHUK;NFATC2;FOS;CREB1;MYC;CHEK1;AKT1;EP300;MAPK1;BCL2L1
KEGG_2019_Human	Wnt signaling pathway	12/158	3.100640e-12	7.751600e-11	0	0	2.225821e+01	5.898295e+02	JUN;CREBBP;SMAD3;CTBP1;MYC;LEF1;SIAH1;CAMK2A;AXIN1;NFATC2;CTNNB1;EP300
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	11/139	1.684323e-11	3.684456e-10	0	0	2.297899e+01	5.700415e+02	SMAD2;SOX2;SMAD1;SMAD3;MYC;AXIN1;AKT1;CTNNB1;MAPK1;BMI1;SMAD5
KEGG_2019_Human	Transcriptional misregulation in cancer	12/186	2.133587e-11	3.733777e-10	0	0	1.864998e+01	4.582417e+02	SMAD1;CEBPB;NCOR1;SP1;HDAC1;SIN3A;MYC;PAX5;BMI1;RUNX2;RUNX1;BCL2L1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	2.133587e-11	3.733777e-10	0	0	1.864998e+01	4.582417e+02	JUN;CREBBP;CASP8;CREB1;CHUK;MYC;NFATC2;AKT1;CTNNB1;EP300;MAPK1;FOS
KEGG_2019_Human	Chronic myeloid leukemia	9/76	3.309156e-11	5.264566e-10	0	0	3.508091e+01	8.465635e+02	SMAD3;CHUK;HDAC1;CTBP1;MYC;AKT1;MAPK1;RUNX1;BCL2L1
KEGG_2019_Human	TGF-beta signaling pathway	9/90	1.563596e-10	2.280244e-09	0	0	2.899708e+01	6.547210e+02	SMAD2;SMAD1;CREBBP;SMAD3;SP1;MYC;EP300;MAPK1;SMAD5
KEGG_2019_Human	Prostate cancer	9/97	3.089005e-10	4.158276e-09	0	0	2.668107e+01	5.842621e+02	AR;CREBBP;CREB1;CHUK;LEF1;AKT1;CTNNB1;EP300;MAPK1
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	9/103	5.314128e-10	6.642660e-09	0	0	2.497046e+01	5.332563e+02	SMAD2;JUN;CASP8;SMAD3;CHUK;TRAF6;AKT1;MAPK1;FOS
KEGG_2019_Human	Adherens junction	8/72	7.292808e-10	8.190551e-09	0	0	3.222565e+01	6.779942e+02	SMAD2;CREBBP;SMAD3;CDH1;LEF1;EP300;MAPK1;CTNNB1
KEGG_2019_Human	Th17 cell differentiation	9/107	7.488504e-10	8.190551e-09	0	0	2.394643e+01	5.031739e+02	SMAD2;JUN;SMAD3;CHUK;NFATC2;MAPK1;FOS;FOXP3;RUNX1
KEGG_2019_Human	Viral carcinogenesis	11/201	8.953549e-10	9.216889e-09	0	0	1.543208e+01	3.215088e+02	JUN;CREBBP;CASP8;CREB1;HDAC3;HIST4H4;HDAC1;CHEK1;CDK1;EP300;MAPK1
KEGG_2019_Human	TNF signaling pathway	9/110	9.598730e-10	9.332099e-09	0	0	2.323163e+01	4.823867e+02	JUN;CEBPB;CASP8;CREB1;CHUK;BCL3;AKT1;MAPK1;FOS
