Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	14/137	5.461004e-12	8.792216e-10	0	0	1.526597e+01	3.958983e+02	PIAS4;UBE2I;CUL3;SIAH1;UBE2D1;CBL;PIAS2;PML;UBE2J1;CUL4A;UBE2Q1;UBE2N;MDM2;UBE2M
KEGG_2019_Human	Spliceosome	9/134	1.402408e-06	9.795058e-05	0	0	9.338211e+00	1.258540e+02	EFTUD2;DDX5;HNRNPA3;HNRNPK;SF3B3;SRSF1;SRSF4;PRPF31;SF3B1
KEGG_2019_Human	p53 signaling pathway	7/72	1.825166e-06	9.795058e-05	0	0	1.382797e+01	1.827206e+02	CDKN2A;SERPINE1;SIAH1;CCNG1;MDM2;ATM;TP53
KEGG_2019_Human	MicroRNAs in cancer	12/299	5.732962e-06	2.307517e-04	0	0	5.486612e+00	6.621945e+01	HDAC4;UBE2I;HNRNPK;CDKN2A;CCNG1;MDM2;ATM;TP53;SIRT1;CRK;BCL2L2;EZH2
KEGG_2019_Human	Fluid shear stress and atherosclerosis	8/139	1.708139e-05	5.500208e-04	0	0	7.866287e+00	8.635234e+01	PIAS4;SUMO1;SUMO3;SUMO2;CTNNB1;TNF;TP53;ACTB
KEGG_2019_Human	Adherens junction	6/72	2.497228e-05	6.700894e-04	0	0	1.159707e+01	1.229028e+02	TCF7L2;CSNK2A1;CDH1;CTNNB1;SSX2IP;ACTB
KEGG_2019_Human	Chronic myeloid leukemia	6/76	3.402959e-05	7.826805e-04	0	0	1.093217e+01	1.124732e+02	BAD;CDKN2A;MDM2;CBL;TP53;CRK
KEGG_2019_Human	Wnt signaling pathway	8/158	4.291576e-05	8.636796e-04	0	0	6.863268e+00	6.901889e+01	RNF43;TCF7L2;CSNK2A1;CHD8;RUVBL1;SIAH1;CTNNB1;TP53
KEGG_2019_Human	Hepatocellular carcinoma	8/168	6.624404e-05	1.185032e-03	0	0	6.431046e+00	6.188058e+01	TCF7L2;SMARCD1;BAD;CDKN2A;CTNNB1;BRD7;TP53;ACTB
KEGG_2019_Human	Endometrial cancer	5/58	1.031472e-04	1.660671e-03	0	0	1.196541e+01	1.098347e+02	TCF7L2;CDH1;BAD;CTNNB1;TP53
KEGG_2019_Human	Non-homologous end-joining	3/13	1.380056e-04	2.019901e-03	0	0	3.765000e+01	3.346413e+02	XRCC6;MRE11;PRKDC
KEGG_2019_Human	Thyroid cancer	4/37	2.171987e-04	2.631591e-03	0	0	1.529126e+01	1.289771e+02	TCF7L2;CDH1;CTNNB1;TP53
