Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Wnt signaling pathway	16/158	9.707278e-15	1.766725e-12	0	0	1.883409e+01	6.076988e+02	GSK3B;JUN;SMAD3;CSNK2A1;CTBP1;CTNNBIP1;NFATC1;PPP3R2;APC;MYC;CSNK2B;DVL3;CTNNB1;RAC1;BTRC;TP53
KEGG_2019_Human	Hippo signaling pathway	15/160	2.178054e-13	1.982029e-11	0	0	1.714373e+01	4.998283e+02	YAP1;SMAD2;SMAD1;GSK3B;SMAD3;CSNK1D;SAV1;PPP2CA;DLG1;APC;CDH1;MYC;DVL3;CTNNB1;BTRC
KEGG_2019_Human	Hepatocellular carcinoma	15/168	4.475353e-13	2.715048e-11	0	0	1.624073e+01	4.618055e+02	SMAD2;SMARCE1;GSK3B;SMARCB1;SMAD3;ACTL6A;ARID1A;SMARCA2;ARID1B;SMARCA4;APC;MYC;DVL3;CTNNB1;TP53
KEGG_2019_Human	Colorectal cancer	10/86	2.983184e-10	1.357349e-08	0	0	2.099958e+01	4.605807e+02	SMAD2;GSK3B;JUN;SMAD3;APC;MYC;CTNNB1;RAC1;FOS;TP53
KEGG_2019_Human	Transcriptional misregulation in cancer	13/186	3.788016e-10	1.378838e-08	0	0	1.222992e+01	2.653161e+02	SMAD1;SS18;TAF15;FUS;KLF3;RUNX1;TLX3;BCL6;EWSR1;PAX7;MYC;DDIT3;TP53
KEGG_2019_Human	Adherens junction	8/72	2.745952e-08	8.329387e-07	0	0	1.964484e+01	3.420276e+02	CDC42;SMAD2;SMAD3;CSNK2A1;CDH1;CSNK2B;CTNNB1;RAC1
KEGG_2019_Human	Breast cancer	10/147	5.667075e-08	1.473440e-06	0	0	1.161349e+01	1.937828e+02	GSK3B;JUN;APC;MYC;DVL3;CTNNB1;PGR;BRCA1;FOS;TP53
KEGG_2019_Human	Pathways in cancer	17/530	9.788524e-08	2.226889e-06	0	0	5.481431e+00	8.846740e+01	SMAD2;GSK3B;JUN;SMAD3;EPAS1;CTBP1;FOS;RUNX1;CDC42;AR;APC;CDH1;MYC;DVL3;CTNNB1;RAC1;TP53
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	9/139	4.077427e-07	8.245464e-06	0	0	1.093071e+01	1.608195e+02	SMAD2;SMAD1;GSK3B;SMAD3;APC;MYC;DVL3;CTNNB1;PAX6
KEGG_2019_Human	Th17 cell differentiation	8/107	6.146227e-07	1.112311e-05	0	0	1.267725e+01	1.813133e+02	SMAD2;JUN;PPP3R2;SMAD3;NFATC1;GATA3;FOS;RUNX1
KEGG_2019_Human	MAPK signaling pathway	12/295	7.205529e-07	1.112311e-05	0	0	6.806349e+00	9.626387e+01	CDC42;JUN;PPP3R2;MYC;RASA1;DDIT3;FLNA;NFATC1;FOS;RAC1;TP53;RELB
KEGG_2019_Human	Gastric cancer	9/149	7.333921e-07	1.112311e-05	0	0	1.014480e+01	1.433012e+02	SMAD2;GSK3B;SMAD3;APC;CDH1;MYC;DVL3;CTNNB1;TP53
KEGG_2019_Human	Cell cycle	8/124	1.887410e-06	2.642374e-05	0	0	1.081007e+01	1.424800e+02	SMAD2;GSK3B;SMAD3;PCNA;MYC;MCM5;SMC3;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	10/219	2.256001e-06	2.932801e-05	0	0	7.584890e+00	9.861811e+01	SMAD2;DLG1;JUN;SMAD3;PPP3R2;MYC;NFATC1;FOS;TP53;RELB
KEGG_2019_Human	Endometrial cancer	6/58	2.458133e-06	2.982534e-05	0	0	1.786118e+01	2.306969e+02	GSK3B;APC;CDH1;MYC;CTNNB1;TP53
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	4.607423e-06	5.240944e-05	0	0	8.009085e+00	9.841437e+01	GSK3B;JUN;PPP3R2;MYC;CTNNB1;NFATC1;FOS;RAC1;TP53
KEGG_2019_Human	T cell receptor signaling pathway	7/101	5.275244e-06	5.647614e-05	0	0	1.159357e+01	1.408907e+02	CDC42;GSK3B;JUN;DLG1;PPP3R2;NFATC1;FOS
KEGG_2019_Human	B cell receptor signaling pathway	6/71	8.100118e-06	8.190119e-05	0	0	1.427957e+01	1.674084e+02	GSK3B;JUN;PPP3R2;NFATC1;RAC1;FOS
KEGG_2019_Human	Viral carcinogenesis	9/201	8.638278e-06	8.274561e-05	0	0	7.377750e+00	8.601945e+01	CDC42;DLG1;JUN;SNW1;HIST4H4;PXN;CHD4;RAC1;TP53
KEGG_2019_Human	Human papillomavirus infection	11/330	1.413390e-05	1.240025e-04	0	0	5.479955e+00	6.119430e+01	PPP2CA;CDC42;GSK3B;DLG1;APC;IRF1;PXN;DVL3;CTNNB1;CHD4;TP53
KEGG_2019_Human	Hepatitis B	8/163	1.430798e-05	1.240025e-04	0	0	8.074142e+00	9.006458e+01	SMAD2;JUN;PCNA;SMAD3;MYC;NFATC1;FOS;TP53
KEGG_2019_Human	Tight junction	8/170	1.940193e-05	1.605068e-04	0	0	7.722516e+00	8.379037e+01	PPP2CA;CDC42;DLG1;JUN;PCNA;NEDD4;RAC1;RUNX1
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	6/100	5.753285e-05	4.512644e-04	0	0	9.859707e+00	9.626185e+01	SMAD2;CDC42;JUN;SMAD3;NFATC1;RAC1
KEGG_2019_Human	Epstein-Barr virus infection	8/201	6.396921e-05	4.512644e-04	0	0	6.471914e+00	6.249997e+01	JUN;SNW1;PSMD4;MYC;NEDD4;RAC1;TP53;RELB
KEGG_2019_Human	Proteoglycans in cancer	8/201	6.396921e-05	4.512644e-04	0	0	6.471914e+00	6.249997e+01	SMAD2;CDC42;MYC;PXN;FLNA;CTNNB1;RAC1;TP53
KEGG_2019_Human	Basal cell carcinoma	5/63	6.446635e-05	4.512644e-04	0	0	1.323710e+01	1.277297e+02	GSK3B;APC;DVL3;CTNNB1;TP53
KEGG_2019_Human	Inflammatory bowel disease (IBD)	5/65	7.495033e-05	5.052207e-04	0	0	1.279457e+01	1.215316e+02	SMAD2;JUN;SMAD3;NFATC1;GATA3
