Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hippo signaling pathway	19/160	1.187751e-20	2.280482e-18	0	0	3.059485e+01	1.403681e+03	YWHAE;SMAD1;GSK3B;TCF7L2;TGFB1;YWHAB;AXIN1;CSNK1D;PPP2R2A;YWHAZ;SAV1;PPP2CA;APC;YWHAQ;CDH1;CTNNA1;DVL3;CTNNB1;YWHAG
KEGG_2019_Human	Hepatitis C	17/155	5.790469e-18	5.558850e-16	0	0	2.734506e+01	1.085334e+03	YWHAE;GSK3B;YWHAB;BRAF;PPP2R2A;TYK2;YWHAZ;PPP2CA;NRAS;YWHAQ;TRAF3;AKT1;CTNNB1;PPARA;HRAS;YWHAG;MAPK3
KEGG_2019_Human	Pathways in cancer	25/530	3.776164e-17	2.416745e-15	0	0	1.185002e+01	4.481113e+02	GSK3B;EPAS1;CTBP1;CDC42;NRAS;CDH1;GNA12;CTNNA1;AKT1;DVL3;RAC1;HRAS;MAPK3;TCF7L2;HSP90AA1;TGFB1;JUP;AXIN1;PRKCA;BRAF;ESR1;RHOA;APC;TRAF3;CTNNB1
KEGG_2019_Human	Endometrial cancer	12/58	1.883772e-16	9.042106e-15	0	0	5.508233e+01	1.994426e+03	GSK3B;TCF7L2;NRAS;APC;CDH1;AXIN1;CTNNA1;AKT1;CTNNB1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Colorectal cancer	13/86	7.698398e-16	2.956185e-14	0	0	3.795449e+01	1.320829e+03	GSK3B;TCF7L2;TGFB1;AXIN1;BRAF;RHOA;NRAS;APC;AKT1;CTNNB1;RAC1;HRAS;MAPK3
KEGG_2019_Human	Gastric cancer	15/149	2.139236e-15	6.845556e-14	0	0	2.430704e+01	8.210510e+02	GSK3B;TCF7L2;TGFB1;JUP;AXIN1;BRAF;NRAS;APC;CDH1;CTNNA1;AKT1;DVL3;CTNNB1;HRAS;MAPK3
KEGG_2019_Human	Adherens junction	11/72	1.257444e-13	3.448989e-12	0	0	3.764676e+01	1.118279e+03	CDC42;TCF7L2;CSNK2A1;CDH1;CSNK2B;CTNNA1;CTNNB1;RAC1;IQGAP1;RHOA;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	15/201	1.850764e-13	4.441833e-12	0	0	1.746544e+01	5.120518e+02	TGFB1;PXN;PRKCA;BRAF;IQGAP1;ESR1;RHOA;CDC42;NRAS;AKT1;FLNA;CTNNB1;RAC1;HRAS;MAPK3
KEGG_2019_Human	Viral carcinogenesis	14/201	3.195537e-12	6.817146e-11	0	0	1.603685e+01	4.244837e+02	YWHAE;USP7;YWHAB;PXN;YWHAZ;RHOA;CDC42;NRAS;YWHAQ;TRAF3;RAC1;HRAS;YWHAG;MAPK3
KEGG_2019_Human	Hepatitis B	13/163	3.568083e-12	6.850720e-11	0	0	1.839943e+01	4.849903e+02	TGFB1;PCNA;YWHAB;PRKCA;BRAF;TYK2;YWHAZ;NRAS;YWHAQ;TRAF3;AKT1;HRAS;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	13/168	5.249287e-12	9.162392e-11	0	0	1.780139e+01	4.623542e+02	GSK3B;TCF7L2;TGFB1;AXIN1;PRKCA;BRAF;NRAS;APC;AKT1;DVL3;CTNNB1;HRAS;MAPK3
KEGG_2019_Human	Breast cancer	12/147	1.921503e-11	2.990300e-10	0	0	1.868463e+01	4.610495e+02	GSK3B;TCF7L2;NRAS;APC;AXIN1;AKT1;DVL3;CTNNB1;BRAF;ESR1;HRAS;MAPK3
KEGG_2019_Human	Human papillomavirus infection	16/330	2.024682e-11	2.990300e-10	0	0	1.108563e+01	2.729618e+02	GSK3B;TCF7L2;PXN;AXIN1;PPP2R2A;TYK2;PPP2CA;CDC42;NRAS;APC;TRAF3;AKT1;DVL3;CTNNB1;HRAS;MAPK3
