Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	35/530	6.766583e-25	1.217985e-22	0	0	1.355966e+01	7.546305e+02	GSK3B;CEBPA;SPI1;EPAS1;CTBP1;LAMA4;HIF1A;CDC42;RPS6KA5;CDH1;MYC;E2F1;CTNNA1;AKT1;EP300;STAT6;IKBKG;MAPK3;CREBBP;EGLN3;JUP;STAT1;NCOA3;STAT2;ESR2;RUNX1;NFKB2;MSH2;APC;CDK2;MDM2;CTNNB1;PPARG;FGFR1;NFE2L2
KEGG_2019_Human	Adherens junction	13/72	1.865370e-15	1.678833e-13	0	0	3.547816e+01	1.203253e+03	CREBBP;CSNK2A1;IQGAP1;NLK;CDC42;CDH1;CSNK2B;CTNNA1;EP300;SNAI2;CTNNB1;MAPK3;FGFR1
KEGG_2019_Human	Thyroid hormone signaling pathway	14/116	5.129629e-14	3.077778e-12	0	0	2.223304e+01	6.803569e+02	GSK3B;CREBBP;STAT1;NCOA3;HIF1A;KAT2B;KAT2A;NCOR1;MYC;MDM2;AKT1;EP300;CTNNB1;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	16/219	2.021277e-12	9.095749e-11	0	0	1.291363e+01	3.477290e+02	CREBBP;SPI1;TBP;NFKB2;CCNA2;KAT2B;KAT2A;KAT5;MYC;CDC16;CDK2;E2F1;AKT1;EP300;IKBKG;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	14/186	3.496900e-11	1.258884e-09	0	0	1.313801e+01	3.163181e+02	LYN;GSK3B;CREBBP;STAT1;STAT2;HIF1A;HCK;MYC;E2F1;AKT1;CTNNB1;EP300;IKBKG;MAPK3
KEGG_2019_Human	Prostate cancer	11/97	5.771202e-11	1.731361e-09	0	0	2.023795e+01	4.771210e+02	GSK3B;CREBBP;CDK2;MDM2;E2F1;AKT1;EP300;CTNNB1;IKBKG;FGFR1;MAPK3
KEGG_2019_Human	Cellular senescence	13/160	6.960504e-11	1.789844e-09	0	0	1.417626e+01	3.315570e+02	FOXO3;CDC25A;PPP1CA;CCNA2;PPP1CC;RBBP4;MYC;CDK2;E2F1;MDM2;AKT1;MYBL2;MAPK3
KEGG_2019_Human	Viral carcinogenesis	14/201	9.875100e-11	2.065413e-09	0	0	1.207495e+01	2.781879e+02	LYN;USP7;CREBBP;TBP;NFKB2;CCNA2;CDC42;KAT2B;KAT2A;CDK2;MDM2;EP300;IKBKG;MAPK3
KEGG_2019_Human	Human papillomavirus infection	17/330	1.032707e-10	2.065413e-09	0	0	8.923323e+00	2.051799e+02	GSK3B;CREBBP;TBP;STAT1;STAT2;LAMA4;CCNA2;CDC42;APC;CDK2;E2F1;MDM2;AKT1;CTNNB1;EP300;IKBKG;MAPK3
KEGG_2019_Human	Endometrial cancer	9/58	1.910496e-10	3.438893e-09	0	0	2.865740e+01	6.413093e+02	GSK3B;APC;CDH1;MYC;CTNNA1;AKT1;CTNNB1;FOXO3;MAPK3
