Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteoglycans in cancer	27/201	3.240182e-27	6.577569e-25	0	0	2.727571e+01	1.663659e+03	SRC;ITPR1;PIK3R3;PIK3R2;PIK3R1;IQGAP1;CBL;EGFR;CDC42;ERBB3;MYC;ERBB2;FLNB;PLCG1;HRAS;CAV1;RDX;ESR1;PTK2;VAV2;SDC1;CTNNB1;ITGA5;RAF1;EZR;TP53;CD44
KEGG_2019_Human	ErbB signaling pathway	18/85	3.741212e-22	3.797330e-20	0	0	4.394869e+01	2.168317e+03	SRC;PIK3R3;PIK3R2;PIK3R1;CBL;EGFR;PTK2;CRKL;ERBB3;MYC;ERBB2;NCK2;ABL1;ABL2;PLCG1;RAF1;HRAS;CRK
KEGG_2019_Human	Focal adhesion	22/199	2.155546e-20	1.458586e-18	0	0	2.091110e+01	9.469312e+02	SRC;ACTN1;CAV1;PIK3R3;PIK3R2;PIK3R1;EGFR;PTK2;CRKL;VAV2;CDC42;ERBB2;SPP1;CTNNB1;FLNB;FYN;ITGA5;TLN1;RAF1;CRK;HRAS;BCAR1
KEGG_2019_Human	Pathways in cancer	31/530	3.441686e-20	1.746656e-18	0	0	1.113750e+01	4.991352e+02	HSP90AB1;CTBP1;PIK3R3;PIK3R2;PIK3R1;CBL;EGFR;CRKL;CDC42;FRAT2;CDH1;MYC;ERBB2;ABL1;CTNNA1;PLCG1;HRAS;JAK1;JUP;STAT1;ARNT;ESR1;PTK2;TGFBR2;APC;CTNNB1;IL6ST;RAF1;CALM1;TP53;CRK
KEGG_2019_Human	Adherens junction	15/72	1.621204e-18	6.582089e-17	0	0	4.202886e+01	1.721644e+03	CSNK2A1;SRC;ACTN1;PTPRJ;IQGAP1;EGFR;TGFBR2;CDC42;FER;CDH1;CSNK2B;ERBB2;CTNNA1;CTNNB1;FYN
KEGG_2019_Human	Regulation of actin cytoskeleton	21/214	2.038204e-18	6.895925e-17	0	0	1.813594e+01	7.387579e+02	GSN;SRC;ACTN1;RDX;PIK3R3;PIK3R2;PIK3R1;IQGAP1;EGFR;PTK2;CRKL;VAV2;CDC42;APC;CFL1;ITGA5;RAF1;EZR;CRK;HRAS;BCAR1
KEGG_2019_Human	Bacterial invasion of epithelial cells	15/74	2.529564e-18	7.335735e-17	0	0	4.060005e+01	1.645053e+03	SRC;CAV1;PIK3R3;PIK3R2;PIK3R1;CBL;PTK2;CRKL;CDC42;CDH1;CTNNA1;CTNNB1;ITGA5;CRK;BCAR1
KEGG_2019_Human	Human cytomegalovirus infection	20/225	9.805940e-17	2.488257e-15	0	0	1.611478e+01	5.940061e+02	SRC;ITPR1;PIK3R3;PIK3R2;PIK3R1;EGFR;PTK2;CX3CL1;CRKL;MYC;CCL5;CTNNB1;PTK2B;RAF1;CALM1;TP53;CRK;HRAS;BCAR1;JAK1
KEGG_2019_Human	Endometrial cancer	13/58	1.202707e-16	2.712773e-15	0	0	4.543351e+01	1.665446e+03	PIK3R3;PIK3R2;PIK3R1;EGFR;APC;CDH1;MYC;ERBB2;CTNNA1;CTNNB1;RAF1;HRAS;TP53
KEGG_2019_Human	Chronic myeloid leukemia	13/76	5.237309e-15	1.063174e-13	0	0	3.242303e+01	1.066165e+03	CTBP1;PIK3R3;PIK3R2;PIK3R1;CBL;CRKL;TGFBR2;MYC;ABL1;RAF1;HRAS;TP53;CRK
KEGG_2019_Human	Gastric cancer	16/149	6.855996e-15	1.265243e-13	0	0	1.929507e+01	6.292826e+02	JUP;PIK3R3;PIK3R2;PIK3R1;EGFR;TGFBR2;FRAT2;APC;CDH1;MYC;ERBB2;CTNNA1;CTNNB1;RAF1;TP53;HRAS
KEGG_2019_Human	Chemokine signaling pathway	17/190	2.021133e-14	3.419084e-13	0	0	1.585786e+01	5.000385e+02	STAT1;SRC;PIK3R3;PIK3R2;PIK3R1;PTK2;CX3CL1;CRKL;VAV2;CDC42;GRK2;CCL5;PTK2B;RAF1;CRK;HRAS;BCAR1
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	13/91	6.020465e-14	9.401188e-13	0	0	2.616799e+01	7.965805e+02	GSN;PIK3R3;PIK3R2;ASAP1;ASAP2;PIK3R1;CRKL;VAV2;CDC42;CFL1;PLCG1;RAF1;CRK
KEGG_2019_Human	Rap1 signaling pathway	17/206	7.722051e-14	1.119697e-12	0	0	1.450360e+01	4.378943e+02	SRC;PIK3R3;PIK3R2;PIK3R1;EGFR;CRKL;VAV2;CDC42;CDH1;CTNNB1;PLCG1;TLN1;RAF1;CALM1;CRK;HRAS;BCAR1
KEGG_2019_Human	Axon guidance	16/181	1.489301e-13	2.015520e-12	0	0	1.552777e+01	4.586172e+02	SRC;PIK3R3;PIK3R2;PIK3R1;L1CAM;PTK2;CDC42;EFNB1;RASA1;CFL1;ABL1;NCK2;FYN;PLCG1;RAF1;HRAS
KEGG_2019_Human	MicroRNAs in cancer	19/299	2.764372e-13	3.507297e-12	0	0	1.107259e+01	3.201838e+02	IRS1;RDX;PIK3R2;EGFR;CRKL;APC;ERBB3;MYC;STMN1;ERBB2;ABL1;PLCG1;ITGA5;RAF1;EZR;TP53;CRK;HRAS;CD44
KEGG_2019_Human	Leukocyte transendothelial migration	13/112	9.430485e-13	1.126111e-11	0	0	2.059532e+01	5.702773e+02	ACTN1;PIK3R3;PIK3R2;PIK3R1;PTK2;VAV2;CDC42;CTNNA1;PTK2B;CTNNB1;PLCG1;EZR;BCAR1
KEGG_2019_Human	Endocytosis	17/244	1.226412e-12	1.383120e-11	0	0	1.205236e+01	3.305592e+02	ARF1;RAB5C;SRC;CAV1;ASAP1;ASAP2;AP2B1;CBL;EGFR;TGFBR2;CDC42;GRK2;RAB35;CAPZA2;EPS15;HRAS;ARF5
KEGG_2019_Human	Breast cancer	14/147	1.912307e-12	2.043150e-11	0	0	1.661305e+01	4.482652e+02	PIK3R3;PIK3R2;PIK3R1;ESR1;EGFR;FRAT2;APC;MYC;ERBB2;CTNNB1;PGR;RAF1;TP53;HRAS
KEGG_2019_Human	Neurotrophin signaling pathway	13/119	2.080336e-12	2.111541e-11	0	0	1.922844e+01	5.172159e+02	IRS1;PIK3R3;PIK3R2;PIK3R1;CRKL;CDC42;ABL1;PLCG1;RAF1;CALM1;TP53;HRAS;CRK
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	15/186	3.404808e-12	3.291315e-11	0	0	1.392898e+01	3.678062e+02	STAT1;SRC;ITPR1;PIK3R3;PIK3R2;PIK3R1;MYC;CTNNB1;PLCG1;IL6ST;RAF1;CALM1;TP53;HRAS;JAK1
KEGG_2019_Human	Pancreatic cancer	11/75	4.101350e-12	3.784427e-11	0	0	2.658289e+01	6.969954e+02	CDC42;STAT1;ERBB2;PIK3R3;PIK3R2;PIK3R1;RAF1;TP53;EGFR;JAK1;TGFBR2
