Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	31/530	8.921461e-22	1.570177e-19	0	0	1.294389e+01	6.273697e+02	GSK3B;SPI1;EPAS1;CTBP1;HIF1A;CDC42;HEY1;CDH1;DVL1;CTNNA1;DVL3;RAC1;HRAS;MAPK3;TCF7L2;MAP2K1;HSP90AA1;TGFB1;JAG1;JUP;NCOA3;TRAF2;BRAF;PML;NFKB2;NFKBIA;APC;CCNE2;MDM2;CCDC6;CTNNB1
KEGG_2019_Human	Gastric cancer	16/149	1.082240e-15	9.523715e-14	0	0	2.199165e+01	7.578265e+02	GSK3B;TCF7L2;MAP2K1;TGFB1;JUP;SHC1;BRAF;APC;CCNE2;CDH1;DVL1;CTNNA1;DVL3;CTNNB1;HRAS;MAPK3
KEGG_2019_Human	Breast cancer	15/147	1.918195e-14	1.125341e-12	0	0	2.058382e+01	6.501360e+02	GSK3B;TCF7L2;MAP2K1;JAG1;SHC1;NCOA3;BRAF;NFKB2;APC;HEY1;DVL1;DVL3;CTNNB1;HRAS;MAPK3
KEGG_2019_Human	Adherens junction	11/72	7.272585e-13	3.199938e-11	0	0	3.162121e+01	8.837968e+02	CDC42;TCF7L2;CSNK2A1;CDH1;CSNK2B;CTNNA1;SNAI1;CTNNB1;RAC1;IQGAP1;MAPK3
KEGG_2019_Human	Hippo signaling pathway	14/160	1.259658e-12	4.433995e-11	0	0	1.719925e+01	4.712626e+02	YAP1;SMAD1;GSK3B;TCF7L2;TGFB1;CSNK1D;SAV1;PPP2CA;APC;CDH1;DVL1;CTNNA1;DVL3;CTNNB1
KEGG_2019_Human	Endometrial cancer	10/58	2.355540e-12	6.909584e-11	0	0	3.623538e+01	9.701752e+02	GSK3B;TCF7L2;MAP2K1;APC;CDH1;CTNNA1;CTNNB1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Prostate cancer	11/97	2.101987e-11	5.284997e-10	0	0	2.240070e+01	5.507336e+02	NFKBIA;GSK3B;TCF7L2;MAP2K1;HSP90AA1;CCNE2;MDM2;CTNNB1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	13/168	3.973407e-11	8.741494e-10	0	0	1.490108e+01	3.568631e+02	GSK3B;TCF7L2;MAP2K1;TGFB1;SHC1;BRAF;SMARCA4;APC;DVL1;DVL3;CTNNB1;HRAS;MAPK3
KEGG_2019_Human	Thyroid cancer	8/37	5.768865e-11	1.128134e-09	0	0	4.719857e+01	1.112752e+03	TCF7L2;MAP2K1;CDH1;CCDC6;CTNNB1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Colorectal cancer	10/86	1.382079e-10	2.432458e-09	0	0	2.285319e+01	5.188190e+02	GSK3B;TCF7L2;MAP2K1;TGFB1;APC;CTNNB1;BRAF;RAC1;HRAS;MAPK3
