Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Adherens junction	13/72	1.533021e-15	3.020050e-13	0	0	3.606822e+01	1.230342e+03	SMAD2;TCF7L2;CSNK2A1;ACTN1;INSR;ACTN4;IQGAP1;CDC42;CDH1;CSNK2B;CTNNA1;CTNNB1;FYN
KEGG_2019_Human	Pathways in cancer	24/530	1.157759e-13	1.140392e-11	0	0	8.347826e+00	2.486577e+02	SMAD2;NCOA1;GSK3B;TCF7L2;TGFB1;EGF;EPAS1;CTBP1;ITGA3;ITGA2B;CAMK2A;FOS;ESR1;ESR2;GADD45G;CDC42;APC;CDH1;CTNNA1;DVL3;CTNNB1;PPARG;ITGAV;TP53
KEGG_2019_Human	Hippo signaling pathway	14/160	3.695346e-12	2.426611e-10	0	0	1.575799e+01	4.148125e+02	SMAD2;SMAD1;GSK3B;TCF7L2;TGFB1;CSNK1D;SAV1;PPP2CA;APC;CDH1;CTNNA1;DVL3;CTNNB1;TEAD1
KEGG_2019_Human	Endometrial cancer	9/58	1.672516e-10	8.237139e-09	0	0	2.911886e+01	6.555098e+02	GSK3B;TCF7L2;APC;CDH1;EGF;CTNNA1;CTNNB1;TP53;GADD45G
KEGG_2019_Human	Colorectal cancer	10/86	2.983184e-10	1.013710e-08	0	0	2.099958e+01	4.605807e+02	SMAD2;GSK3B;TCF7L2;TGFB1;APC;EGF;CTNNB1;FOS;TP53;GADD45G
KEGG_2019_Human	Breast cancer	12/147	3.087443e-10	1.013710e-08	0	0	1.437596e+01	3.148120e+02	NCOA1;GSK3B;TCF7L2;APC;EGF;DVL3;CTNNB1;FOS;TP53;ESR1;ESR2;GADD45G
KEGG_2019_Human	Gastric cancer	12/149	3.613051e-10	1.016816e-08	0	0	1.416465e+01	3.079579e+02	SMAD2;GSK3B;TCF7L2;TGFB1;APC;EGF;CDH1;CTNNA1;DVL3;CTNNB1;TP53;GADD45G
KEGG_2019_Human	Human papillomavirus infection	15/330	6.199420e-09	1.526607e-07	0	0	7.823529e+00	1.478554e+02	MAGI1;GSK3B;TCF7L2;ITGA4;EGF;ITGA3;ITGA2B;PXN;PPP2CA;CDC42;APC;DVL3;CTNNB1;ITGAV;TP53
KEGG_2019_Human	Focal adhesion	12/199	9.854500e-09	2.157041e-07	0	0	1.035101e+01	1.908244e+02	CDC42;GSK3B;ITGA4;EGF;ITGA3;ACTN1;ITGA2B;PXN;CTNNB1;ITGAV;FYN;ACTN4
KEGG_2019_Human	Regulation of actin cytoskeleton	12/214	2.218092e-08	4.369642e-07	0	0	9.575069e+00	1.687513e+02	CDC42;APC;ITGA4;EGF;ITGA3;ACTN1;ITGA2B;PXN;ITGAV;ACTN4;IQGAP1;EZR
