Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Endocytosis	24/244	1.167050e-20	2.380781e-18	0	0	1.800183e+01	8.262342e+02	ARF1;RAB5C;SH3KBP1;SMURF1;SRC;CAV1;CLTC;CXCR4;ASAP1;ASAP2;AP2B1;ARRB2;ARFGAP3;EGFR;RAB11A;CDC42;ITCH;RAB11FIP1;HGS;RAB35;RAB11FIP3;RAB8A;RAB11FIP5;ARF6
KEGG_2019_Human	Pathways in cancer	23/530	3.930806e-12	4.009423e-10	0	0	7.315089e+00	1.921102e+02	GSK3B;HSP90AB1;CTBP1;PTCH1;STAT3;AXIN1;PIK3R3;CXCR4;EGFR;PTK2;LRP6;CDC42;MSH2;APC;SMO;ABL1;DVL3;CTNNB1;ELOB;RAC1;IKBKG;CALM1;PRKACA
KEGG_2019_Human	Proteoglycans in cancer	14/201	1.941971e-10	1.320540e-08	0	0	1.141566e+01	2.552787e+02	SRC;CAV1;PTCH1;STAT3;PIK3R3;ITPR3;EGFR;PTK2;CDC42;SMO;CTNNB1;RAC1;PRKACA;CD44
KEGG_2019_Human	Chemokine signaling pathway	13/190	1.107666e-09	5.649098e-08	0	0	1.111864e+01	2.292777e+02	LYN;GSK3B;SRC;STAT3;PIK3R3;CXCR4;ARRB2;PTK2;CDC42;HCK;RAC1;IKBKG;PRKACA
KEGG_2019_Human	Hedgehog signaling pathway	8/47	1.393340e-09	5.684827e-08	0	0	3.011282e+01	6.140475e+02	GSK3B;SMO;SMURF1;PTCH1;CSNK1D;ARRB2;PRKACA;CDON
KEGG_2019_Human	Human papillomavirus infection	16/330	1.935981e-09	6.582335e-08	0	0	7.841115e+00	1.573136e+02	BCAP31;GSK3B;AXIN1;PIK3R3;MPP5;EGFR;PTK2;CDC42;APC;PPP2R1A;DVL3;CTNNB1;ATM;IKBKG;PRKACA;ATR
KEGG_2019_Human	Bacterial invasion of epithelial cells	9/74	2.822451e-09	8.225430e-08	0	0	2.045098e+01	4.025910e+02	CDC42;SEPT9;SRC;CAV1;CLTC;PIK3R3;CTNNB1;RAC1;PTK2
KEGG_2019_Human	Fluid shear stress and atherosclerosis	11/139	4.845109e-09	1.235503e-07	0	0	1.284440e+01	2.459099e+02	BMPR2;HSP90AB1;SRC;CAV1;PIK3R3;CTNNB1;RAC1;IKBKG;CALM1;PTK2;BMPR1A
KEGG_2019_Human	Axon guidance	12/181	7.100313e-09	1.609404e-07	0	0	1.067148e+01	2.002304e+02	CDC42;GSK3B;BMPR2;SMO;SRC;PTCH1;ABL1;PIK3R3;CXCR4;FYN;RAC1;PTK2
KEGG_2019_Human	Human cytomegalovirus infection	13/225	8.621807e-09	1.758849e-07	0	0	9.266509e+00	1.720695e+02	GSK3B;SRC;STAT3;PIK3R3;CXCR4;ITPR3;EGFR;PTK2;CTNNB1;RAC1;IKBKG;CALM1;PRKACA
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	9/91	1.806162e-08	3.158056e-07	0	0	1.619722e+01	2.887879e+02	CDC42;LYN;HCK;MARCKS;PIK3R3;ASAP1;RAC1;ASAP2;ARF6
KEGG_2019_Human	Wnt signaling pathway	11/158	1.857680e-08	3.158056e-07	0	0	1.117347e+01	1.989029e+02	GSK3B;APC;CSNK2A1;CTBP1;RUVBL1;AXIN1;DVL3;CTNNB1;RAC1;PRKACA;LRP6
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	11/186	9.960880e-08	1.563092e-06	0	0	9.372381e+00	1.511017e+02	LYN;GSK3B;HCK;SRC;STAT3;PIK3R3;CTNNB1;ITPR3;RAC1;IKBKG;CALM1
KEGG_2019_Human	Colorectal cancer	8/86	1.860056e-07	2.710367e-06	0	0	1.502678e+01	2.328774e+02	GSK3B;MSH2;APC;AXIN1;PIK3R3;CTNNB1;RAC1;EGFR
KEGG_2019_Human	Hippo signaling pathway	10/160	2.322700e-07	3.158872e-06	0	0	9.878195e+00	1.508930e+02	GSK3B;BMPR2;APC;PPP2R1A;AXIN1;DVL3;CTNNB1;CSNK1D;MPP5;BMPR1A
KEGG_2019_Human	Basal cell carcinoma	7/63	3.263949e-07	4.161535e-06	0	0	1.819945e+01	2.718116e+02	GSK3B;SMO;APC;PTCH1;AXIN1;DVL3;CTNNB1
KEGG_2019_Human	Tight junction	10/170	4.078014e-07	4.893616e-06	0	0	9.256109e+00	1.361804e+02	CDC42;MAP3K1;PCNA;PPP2R1A;SRC;RAC1;PRKACA;MPP5;MYH10;RAB8A
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	9/139	7.067084e-07	8.009361e-06	0	0	1.019191e+01	1.443444e+02	GSK3B;BMPR2;APC;STAT3;AXIN1;PIK3R3;DVL3;CTNNB1;BMPR1A
KEGG_2019_Human	Adherens junction	7/72	8.237362e-07	8.844325e-06	0	0	1.567240e+01	2.195611e+02	CDC42;CSNK2A1;SRC;CTNNB1;FYN;RAC1;EGFR
KEGG_2019_Human	Ras signaling pathway	11/232	9.101595e-07	9.283627e-06	0	0	7.404223e+00	1.029901e+02	CDC42;RAB5C;ABL1;ABL2;PIK3R3;RAC1;IKBKG;CALM1;PRKACA;EGFR;ARF6
KEGG_2019_Human	Focal adhesion	10/199	1.720179e-06	1.631016e-05	0	0	7.824323e+00	1.038529e+02	CDC42;GSK3B;SRC;CAV1;PIK3R3;CTNNB1;FYN;RAC1;EGFR;PTK2
KEGG_2019_Human	Cushing syndrome	9/155	1.758939e-06	1.631016e-05	0	0	9.067624e+00	1.201533e+02	GSK3B;SCARB1;APC;AXIN1;DVL3;CTNNB1;ITPR3;PRKACA;EGFR
KEGG_2019_Human	ErbB signaling pathway	7/85	2.554746e-06	2.265949e-05	0	0	1.305175e+01	1.680747e+02	GSK3B;SRC;ABL1;PIK3R3;ABL2;EGFR;PTK2
KEGG_2019_Human	Human immunodeficiency virus 1 infection	10/212	3.036937e-06	2.581397e-05	0	0	7.315938e+00	9.294652e+01	PIK3R3;CXCR4;ATM;ITPR3;ELOB;RAC1;IKBKG;CALM1;PTK2;ATR
KEGG_2019_Human	Endometrial cancer	6/58	3.584431e-06	2.924895e-05	0	0	1.668024e+01	2.091520e+02	GSK3B;APC;AXIN1;PIK3R3;CTNNB1;EGFR
KEGG_2019_Human	VEGF signaling pathway	6/59	3.966886e-06	2.997203e-05	0	0	1.636469e+01	2.035363e+02	CDC42;SRC;HSPB1;PIK3R3;RAC1;PTK2
KEGG_2019_Human	Viral myocarditis	6/59	3.966886e-06	2.997203e-05	0	0	1.636469e+01	2.035363e+02	CAV1;DAG1;ABL1;ABL2;FYN;RAC1
KEGG_2019_Human	GnRH signaling pathway	7/93	4.675820e-06	3.406669e-05	0	0	1.183285e+01	1.452258e+02	CDC42;MAP3K1;SRC;ITPR3;PRKACA;CALM1;EGFR
KEGG_2019_Human	Shigellosis	6/65	7.020729e-06	4.938720e-05	0	0	1.469603e+01	1.743925e+02	CDC42;SRC;ABL1;RAC1;IKBKG;CD44
