Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	29/530	4.537220e-19	8.303112e-17	0	0	1.121218e+01	4.735664e+02	GSK3B;HDAC2;EPAS1;CTBP1;LAMA4;GLI2;CDC42;NRAS;CDH1;MYC;DVL1;CTNNA1;RAC2;AKT1;HRAS;CAMK2G;SMAD2;CREBBP;SMAD4;SMAD3;JUP;FN1;ESR1;APC;SP1;CDK4;CDK2;CTNNB1;KRAS
KEGG_2019_Human	Hippo signaling pathway	17/160	3.108652e-16	2.844416e-14	0	0	2.094006e+01	7.477103e+02	SMAD2;SMAD1;GSK3B;SMAD4;SMAD3;BMPR2;CSNK1D;GLI2;PAK1;DLG1;APC;CDH1;MYC;DVL1;CTNNA1;CTNNB1;BTRC
KEGG_2019_Human	Adherens junction	13/72	9.254658e-16	5.645341e-14	0	0	3.763238e+01	1.302691e+03	SMAD2;CREBBP;SMAD4;SMAD3;CSNK2A1;ACTN1;IQGAP1;CDC42;CDH1;CSNK2B;RAC2;CTNNA1;CTNNB1
KEGG_2019_Human	Gastric cancer	16/149	2.056348e-15	9.407793e-14	0	0	2.101324e+01	7.106225e+02	SMAD2;GSK3B;SMAD4;SMAD3;JUP;NRAS;APC;CDH1;MYC;CDK2;DVL1;CTNNA1;AKT1;CTNNB1;KRAS;HRAS
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	15/139	1.504272e-14	5.505634e-13	0	0	2.095395e+01	6.669198e+02	SMAD2;SMAD1;GSK3B;SMAD4;SMAD3;BMPR2;ACVR2B;NRAS;APC;MYC;DVL1;AKT1;CTNNB1;KRAS;HRAS
KEGG_2019_Human	Endometrial cancer	11/58	9.169270e-14	2.674110e-12	0	0	3.931915e+01	1.180374e+03	GSK3B;NRAS;APC;CDH1;MYC;CTNNA1;AKT1;CTNNB1;KRAS;FOXO3;HRAS
KEGG_2019_Human	Wnt signaling pathway	15/158	1.022883e-13	2.674110e-12	0	0	1.815237e+01	5.429553e+02	GSK3B;CREBBP;SMAD4;SMAD3;CSNK2A1;CTBP1;PPP3R2;APC;MYC;CSNK2B;DVL1;RAC2;CTNNB1;BTRC;CAMK2G
KEGG_2019_Human	Proteoglycans in cancer	16/201	2.336841e-13	5.345523e-12	0	0	1.506702e+01	4.382213e+02	SMAD2;CAV1;FN1;RRAS2;IQGAP1;ESR1;CDC42;NRAS;PAK1;MYC;AKT1;FLNA;CTNNB1;KRAS;HRAS;CAMK2G
KEGG_2019_Human	Colorectal cancer	12/86	3.141052e-13	6.386805e-12	0	0	2.743867e+01	7.899332e+02	SMAD2;GSK3B;NRAS;SMAD4;SMAD3;APC;MYC;RAC2;AKT1;CTNNB1;KRAS;HRAS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	15/219	1.199266e-11	2.014223e-10	0	0	1.268511e+01	3.189891e+02	SMAD2;CREBBP;SMAD4;SMAD3;RELB;NRAS;DLG1;PPP3R2;XPO1;CDK4;MYC;CDK2;AKT1;KRAS;HRAS
