Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Wnt signaling pathway	20/158	1.115930e-19	1.997514e-17	0	0	2.362079e+01	1.030798e+03	GSK3B;TCF7L2;CREBBP;CTBP2;CSNK2A1;CTBP1;CTNNBIP1;CSNK2A2;NLK;CCND2;APC;CCND1;MYC;RUVBL1;CSNK2B;DVL3;CTNNB1;TBL1X;RAC1;PPARD
KEGG_2019_Human	Pathways in cancer	27/530	5.757304e-16	5.152787e-14	0	0	9.113948e+00	3.198166e+02	GSK3B;CTBP2;EPAS1;CTBP1;LAMA4;PIK3R1;CDC42;CCND2;CCND1;CDH1;MYC;ABL1;CTNNA1;DVL3;RAC1;IKBKG;TCF7L2;CREBBP;TGFB1;JUP;TRAF1;PML;PTK2;AR;APC;CTNNB1;PPARD
KEGG_2019_Human	Adherens junction	13/72	3.006303e-15	1.793761e-13	0	0	3.408369e+01	1.139693e+03	TCF7L2;CREBBP;CSNK2A1;SRC;CSNK2A2;IQGAP1;NLK;CDC42;CDH1;CSNK2B;CTNNA1;CTNNB1;RAC1
KEGG_2019_Human	Hippo signaling pathway	16/160	2.679479e-14	1.199067e-12	0	0	1.752444e+01	5.476489e+02	SMAD1;GSK3B;TCF7L2;TGFB1;CSNK1D;SMAD7;SAV1;PPP2CA;CCND2;APC;CCND1;CDH1;MYC;CTNNA1;DVL3;CTNNB1
KEGG_2019_Human	Endometrial cancer	9/58	2.640663e-10	9.453573e-09	0	0	2.756494e+01	6.079397e+02	GSK3B;TCF7L2;CCND1;APC;CDH1;MYC;CTNNA1;CTNNB1;PIK3R1
KEGG_2019_Human	Gastric cancer	12/149	6.534202e-10	1.949370e-08	0	0	1.339127e+01	2.832094e+02	GSK3B;TCF7L2;TGFB1;APC;CCND1;JUP;CDH1;MYC;CTNNA1;DVL3;CTNNB1;PIK3R1
KEGG_2019_Human	Viral carcinogenesis	13/201	1.853006e-09	4.738402e-08	0	0	1.062679e+01	2.136670e+02	USP7;CREBBP;SRC;SRF;TRAF1;PIK3R1;CDC42;CCND2;CCND1;HIST4H4;RAC1;IKBKG;MAD1L1
KEGG_2019_Human	Transcriptional misregulation in cancer	12/186	8.224972e-09	1.840338e-07	0	0	1.052392e+01	1.959143e+02	SMAD1;CCND2;TLX3;JUP;FUS;PAX7;MYC;TRAF1;KLF3;PML;PTK2;MEN1
KEGG_2019_Human	Colorectal cancer	9/86	9.652921e-09	1.919859e-07	0	0	1.751653e+01	3.232852e+02	GSK3B;TCF7L2;TGFB1;CCND1;APC;MYC;CTNNB1;RAC1;PIK3R1
KEGG_2019_Human	Human papillomavirus infection	15/330	1.250556e-08	2.238495e-07	0	0	7.386243e+00	1.344082e+02	HES6;GSK3B;TCF7L2;CREBBP;LAMA4;PIK3R1;PTK2;PPP2CA;CDC42;CCND2;APC;CCND1;DVL3;CTNNB1;IKBKG
KEGG_2019_Human	Cell cycle	10/124	1.810922e-08	2.946864e-07	0	0	1.322151e+01	2.356978e+02	GSK3B;CREBBP;CCND2;TGFB1;PCNA;CCND1;MYC;ABL1;MCM5;MAD1L1
