Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatitis C	21/155	5.906259e-23	1.027689e-20	0	0	3.190552e+01	1.633035e+03	MAP2K1;BAD;YWHAB;ARAF;BRAF;PPP2R2A;TYK2;YWHAZ;PPP2CA;NRAS;CDK6;YWHAQ;PPP2R1A;CDK4;MYC;AKT1;KRAS;RAF1;HRAS;YWHAG;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	25/354	3.980051e-20	3.462644e-18	0	0	1.597624e+01	7.136651e+02	HSP90AB1;YWHAB;PPP2R2A;HSP90B1;PPP2CA;NRAS;STK11;CCND2;YWHAQ;PPP2R1A;MYC;AKT1;HRAS;YWHAG;MAPK3;MAP2K1;HSP90AA1;BAD;YWHAZ;CDK6;CDK4;KRAS;RAF1;FGFR4;EPHA2
KEGG_2019_Human	Non-small cell lung cancer	13/66	8.370434e-17	3.951473e-15	0	0	4.632111e+01	1.714772e+03	MAP2K1;BAD;ARAF;BRAF;RASSF1;NRAS;CDK6;CDK4;AKT1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Hepatitis B	17/163	9.083847e-17	3.951473e-15	0	0	2.275275e+01	8.404284e+02	MAP2K3;MAP2K1;BAD;YWHAB;ARAF;BRAF;TYK2;YWHAZ;NRAS;IRAK1;YWHAQ;MYC;AKT1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Bladder cancer	11/41	5.094622e-16	1.548270e-14	0	0	6.802866e+01	2.395505e+03	NRAS;RASSF1;MAP2K1;CDK4;MYC;ARAF;BRAF;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	13/76	5.953226e-16	1.548270e-14	0	0	3.894890e+01	1.365448e+03	MAP2K1;BAD;ARAF;BRAF;NRAS;CDK6;CDK4;MYC;AKT1;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	MAPK signaling pathway	20/295	6.946320e-16	1.548270e-14	0	0	1.455065e+01	5.078635e+02	MAP2K3;HSPA8;MAP2K1;ARAF;HSPB1;BRAF;NRAS;MRAS;MAPKAPK3;IRAK1;MYC;GNA12;AKT1;KRAS;RAF1;FGFR4;HRAS;MAP2K5;EPHA2;MAPK3
KEGG_2019_Human	Endometrial cancer	12/58	7.118482e-16	1.548270e-14	0	0	4.881706e+01	1.702674e+03	MAP2K1;NRAS;BAD;MYC;ARAF;CTNNA1;AKT1;BRAF;KRAS;RAF1;HRAS;MAPK3
KEGG_2019_Human	Cellular senescence	16/160	1.514766e-15	2.928548e-14	0	0	2.150109e+01	7.336927e+02	MAP2K3;MAP2K1;CDKN2B;NRAS;CCND2;MRAS;CDK6;CDK4;MYC;CDK1;AKT1;KRAS;RAF1;SLC25A5;HRAS;MAPK3
KEGG_2019_Human	Acute myeloid leukemia	12/66	3.778343e-15	6.574317e-14	0	0	4.156813e+01	1.380457e+03	MAP2K1;NRAS;JUP;BAD;MYC;ARAF;AKT1;BRAF;KRAS;RAF1;HRAS;MAPK3
