Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	38/530	7.139624e-26	1.399366e-23	0	0	1.255958e+01	7.272189e+02	GSK3B;NOTCH1;LEF1;ARAF;PIK3R1;STK4;EGFR;CDC42;IKBKB;GNA13;CCND2;CASP8;CCND1;CDH1;CASP3;ERBB2;AKT1;CTNNA3;HRAS;APPL1;PRKCG;SMAD2;CREBBP;SMAD4;SMAD3;CHUK;BAD;AXIN1;ARNT;PRKCA;ESR1;ESR2;AR;TRAF4;TRAF6;MDM2;CTNNB1;BCL2L1
KEGG_2019_Human	Adherens junction	19/72	2.705083e-24	2.650981e-22	0	0	5.140963e+01	2.789842e+03	SMAD2;PTPN1;CREBBP;SMAD4;SMAD3;CSNK2A1;SRC;LEF1;ACTN4;IQGAP1;ACTB;EGFR;CDC42;CDH1;CSNK2B;ERBB2;CTNNB1;CTNNA3;PTPN6
KEGG_2019_Human	Endometrial cancer	15/58	2.976976e-19	1.944958e-17	0	0	4.864068e+01	2.074924e+03	GSK3B;BAD;LEF1;ARAF;AXIN1;PIK3R1;FOXO3;EGFR;CCND1;CDH1;ERBB2;AKT1;CTNNB1;CTNNA3;HRAS
KEGG_2019_Human	Prostate cancer	17/97	1.484966e-18	7.276335e-17	0	0	2.999741e+01	1.231428e+03	GSK3B;CREBBP;CHUK;BAD;LEF1;ARAF;PIK3R1;EGFR;IKBKB;AR;CREB1;CCND1;ERBB2;MDM2;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Colorectal cancer	16/86	5.745264e-18	2.252143e-16	0	0	3.205350e+01	1.272465e+03	SMAD2;GSK3B;SMAD4;SMAD3;BAD;LEF1;ARAF;AXIN1;PIK3R1;EGFR;CCND1;CASP3;AKT1;CTNNB1;HRAS;APPL1
KEGG_2019_Human	Proteoglycans in cancer	21/201	7.347374e-18	2.400142e-16	0	0	1.686777e+01	6.654704e+02	PRKCG;SMAD2;SRC;ARAF;MSN;PRKCA;PIK3R1;IQGAP1;ESR1;EGFR;ACTB;CDC42;CCND1;CASP3;ERBB2;MDM2;AKT1;CTNNB1;PTPN6;EZR;HRAS
KEGG_2019_Human	Hippo signaling pathway	19/160	2.625517e-17	7.351446e-16	0	0	1.923826e+01	7.344910e+02	YAP1;SMAD2;GSK3B;SMAD4;SMAD3;LEF1;AXIN1;CSNK1D;ACTB;AMOT;SOX2;CCND2;LATS2;CCND1;CDH1;TP53BP2;CTNNB1;CTNNA3;NF2
KEGG_2019_Human	Hepatitis B	19/163	3.742382e-17	9.168836e-16	0	0	1.883459e+01	7.124038e+02	PRKCG;SMAD2;MAP2K3;CREBBP;SMAD4;SMAD3;CHUK;BAD;SRC;ARAF;PRKCA;PIK3R1;IKBKB;CREB1;CASP8;TRAF6;CASP3;AKT1;HRAS
KEGG_2019_Human	Pancreatic cancer	14/75	6.946006e-16	1.512686e-14	0	0	3.174917e+01	1.108147e+03	SMAD2;SMAD4;SMAD3;CHUK;BAD;ARAF;PIK3R1;EGFR;IKBKB;CDC42;CCND1;ERBB2;AKT1;BCL2L1
KEGG_2019_Human	Thyroid hormone signaling pathway	16/116	8.454833e-16	1.657147e-14	0	0	2.240340e+01	7.775465e+02	PRKCG;GSK3B;NCOA2;CREBBP;NOTCH1;SRC;BAD;PRKCA;PIK3R1;ESR1;ACTB;CCND1;MDM2;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Hepatocellular carcinoma	18/168	1.197842e-15	2.134338e-14	0	0	1.700115e+01	5.841299e+02	PRKCG;SMAD2;GSK3B;SMAD4;SMAD3;BAD;LEF1;ARAF;AXIN1;PRKCA;PIK3R1;EGFR;ACTB;CCND1;AKT1;CTNNB1;HRAS;BCL2L1
KEGG_2019_Human	FoxO signaling pathway	16/132	6.887599e-15	1.124974e-13	0	0	1.929763e+01	6.292774e+02	SMAD2;CREBBP;SMAD4;SMAD3;CHUK;ARAF;PIK3R1;FOXO3;STK4;EGFR;IKBKB;CCND2;CCND1;MDM2;AKT1;HRAS
KEGG_2019_Human	Measles	16/138	1.406552e-14	2.120648e-13	0	0	1.834298e+01	5.850504e+02	GSK3B;CSNK2A1;CHUK;BAD;MSN;TNFAIP3;PIK3R1;IKBKB;CCND2;CASP8;CCND1;CASP3;TRAF6;CSNK2B;AKT1;BCL2L1
KEGG_2019_Human	Gastric cancer	16/149	4.777857e-14	6.689000e-13	0	0	1.681651e+01	5.157993e+02	SMAD2;GSK3B;SMAD4;SMAD3;LEF1;ARAF;AXIN1;PIK3R1;EGFR;CCND1;CDH1;ERBB2;AKT1;CTNNB1;CTNNA3;HRAS
KEGG_2019_Human	PI3K-Akt signaling pathway	22/354	6.594508e-14	8.616824e-13	0	0	9.577019e+00	2.906621e+02	GSK3B;CHUK;BAD;NOS3;TSC1;PRKCA;PIK3R1;BRCA1;FOXO3;EGFR;IKBKB;NR4A1;CCND2;CREB1;CCND1;ERBB2;MDM2;AKT1;EIF4E;HRAS;EPHA2;BCL2L1
KEGG_2019_Human	Non-small cell lung cancer	12/66	1.222117e-13	1.497093e-12	0	0	3.032797e+01	9.017422e+02	PRKCG;CCND1;BAD;ERBB2;ARAF;AKT1;PRKCA;PIK3R1;FOXO3;STK4;HRAS;EGFR
KEGG_2019_Human	Human papillomavirus infection	21/330	1.612388e-13	1.858989e-12	0	0	9.761422e+00	2.875314e+02	GSK3B;CREBBP;NOTCH1;CHUK;BAD;AXIN1;TSC1;PIK3R1;EGFR;CDC42;IKBKB;CCND2;CREB1;CASP8;PKM;CCND1;CASP3;MDM2;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Human cytomegalovirus infection	18/225	2.015648e-13	2.194817e-12	0	0	1.228402e+01	3.590945e+02	PRKCG;GSK3B;CHUK;SRC;TSC1;PRKCA;PIK3R1;EGFR;IKBKB;GNA13;CREB1;CASP8;CCND1;CASP3;MDM2;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Breast cancer	15/147	6.516286e-13	6.722064e-12	0	0	1.577385e+01	4.426031e+02	GSK3B;NOTCH1;LEF1;ARAF;AXIN1;PIK3R1;BRCA1;ESR1;ESR2;EGFR;CCND1;ERBB2;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Chronic myeloid leukemia	12/76	7.201079e-13	7.057057e-12	0	0	2.557629e+01	7.150972e+02	IKBKB;SMAD4;SMAD3;CCND1;CHUK;BAD;ARAF;MDM2;AKT1;PIK3R1;HRAS;BCL2L1
KEGG_2019_Human	Wnt signaling pathway	15/158	1.884381e-12	1.758755e-11	0	0	1.455235e+01	3.928759e+02	PRKCG;GSK3B;CREBBP;SMAD4;SMAD3;CSNK2A1;LEF1;AXIN1;PRKCA;CCND2;CCND1;RUVBL1;CSNK2B;CTNNB1;TBL1X
KEGG_2019_Human	Focal adhesion	16/199	4.348743e-12	3.874335e-11	0	0	1.219083e+01	3.189260e+02	PRKCG;GSK3B;BAD;SRC;PRKCA;ACTN4;PIK3R1;EGFR;ACTB;CDC42;CCND2;CCND1;ERBB2;AKT1;CTNNB1;HRAS
KEGG_2019_Human	Viral carcinogenesis	16/201	5.067467e-12	4.318363e-11	0	0	1.205781e+01	3.136017e+02	CREBBP;BAD;SRC;ACTN4;PIK3R1;HDAC6;CDC42;CCND2;CREB1;CASP8;PKM;CCND1;CASP3;MDM2;CDK1;HRAS
KEGG_2019_Human	Hepatitis C	14/155	2.096641e-11	1.712257e-10	0	0	1.367991e+01	3.363630e+02	GSK3B;CHUK;BAD;ARAF;PIK3R1;EGFR;IKBKB;CASP8;CCND1;CASP3;TRAF6;AKT1;CTNNB1;HRAS
