Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	22/530	1.864140e-11	3.579149e-09	0	0	7.102362e+00	1.754684e+02	NCOA1;HSP90AA1;CDKN1A;TGFB1;HSP90AB1;CDKN2A;CUL1;AXIN1;KEAP1;TRAF2;AXIN2;ESR1;NFKB1;HSP90B1;CCNA1;MSH2;MYC;DVL1;RARA;AKT1;MAPK1;RXRG
KEGG_2019_Human	Cellular senescence	13/160	1.004529e-10	8.885688e-09	0	0	1.372698e+01	3.160134e+02	CDKN1A;TGFB1;FBXW11;CDKN2A;NFKB1;CCNA2;PPP1CC;CCNA1;MYC;AKT1;MAPK1;BTRC;SLC25A4
KEGG_2019_Human	Spliceosome	12/134	1.746703e-10	8.885688e-09	0	0	1.516752e+01	3.407857e+02	EFTUD2;HNRNPM;SNW1;SF3B3;PUF60;U2AF2;THOC2;HNRNPC;SRSF6;USP39;PRPF8;HSPA1A
KEGG_2019_Human	Hepatocellular carcinoma	13/168	1.851185e-10	8.885688e-09	0	0	1.301321e+01	2.916263e+02	CDKN1A;TGFB1;CDKN2A;AXIN1;KEAP1;AXIN2;ARID1A;ACTB;MYC;DVL1;AKT1;MAPK1;BRD7
KEGG_2019_Human	Hippo signaling pathway	12/160	1.368031e-09	5.253238e-08	0	0	1.248649e+01	2.548479e+02	PPP2CA;PPP1CC;PPP2CB;TGFB1;FBXW11;MYC;DVL1;AXIN1;AXIN2;BTRC;ACTB;AMOT
KEGG_2019_Human	Cell cycle	10/124	1.691254e-08	4.962629e-07	0	0	1.332389e+01	2.384338e+02	CCNA2;CCNA1;CDKN1A;FZR1;TGFB1;PRKDC;CDKN2A;MYC;CUL1;SMC1A
KEGG_2019_Human	Viral carcinogenesis	12/201	1.809292e-08	4.962629e-07	0	0	9.757440e+00	1.739532e+02	CCNA2;CCNA1;CDKN1A;SNW1;DDX3X;CDKN2A;SRC;EIF2AK2;MAPK1;TRAF2;HIST1H2BH;NFKB1
KEGG_2019_Human	Estrogen signaling pathway	10/137	4.400273e-08	1.056066e-06	0	0	1.195215e+01	2.024576e+02	NCOA1;HSP90AA1;HSP90AB1;SRC;RARA;AKT1;MAPK1;ESR1;HSP90B1;HSPA1A
KEGG_2019_Human	Th17 cell differentiation	9/107	6.245862e-08	1.332451e-06	0	0	1.385403e+01	2.298212e+02	HSP90AA1;TGFB1;HSP90AB1;RARA;MAPK1;NFKBIE;RXRG;NFKB1;NFKBIB
KEGG_2019_Human	Ribosome	10/153	1.252096e-07	2.404024e-06	0	0	1.060624e+01	1.685679e+02	RPL4;RPS15;RPL7A;RPL3;RPS19;RPL27A;RPS6;RPS20;RPL15;RPS2
KEGG_2019_Human	Colorectal cancer	8/86	1.579420e-07	2.756805e-06	0	0	1.537063e+01	2.407200e+02	CDKN1A;TGFB1;MSH2;MYC;AXIN1;AKT1;MAPK1;AXIN2
KEGG_2019_Human	Epstein-Barr virus infection	11/201	1.760054e-07	2.816087e-06	0	0	8.827825e+00	1.372970e+02	CCNA2;CCNA1;CDKN1A;SNW1;MYC;AKT1;EIF2AK2;TRAF2;NFKBIE;NFKB1;NFKBIB
KEGG_2019_Human	Hepatitis B	10/163	2.264883e-07	3.345058e-06	0	0	9.907994e+00	1.515980e+02	CCNA2;CCNA1;CDKN1A;TGFB1;DDX3X;SRC;MYC;AKT1;MAPK1;NFKB1
KEGG_2019_Human	Shigellosis	7/65	3.514077e-07	4.524795e-06	0	0	1.796915e+01	2.670452e+02	FBXW11;SRC;MAPK1;BTRC;ACTB;NFKB1;NFKBIB
KEGG_2019_Human	Influenza A	10/171	3.534996e-07	4.524795e-06	0	0	9.411849e+00	1.398166e+02	NXF1;AKT1;EIF2AK2;TRIM25;MAPK1;RAE1;ACTB;NFKB1;HSPA1A;NFKBIB
KEGG_2019_Human	Ubiquitin mediated proteolysis	9/137	5.227801e-07	6.273361e-06	0	0	1.059089e+01	1.531877e+02	CUL7;FZR1;UBE2I;FBXW11;SIAH1;CUL1;HUWE1;KEAP1;BTRC
KEGG_2019_Human	Breast cancer	9/147	9.465793e-07	1.069078e-05	0	0	9.818453e+00	1.361860e+02	NCOA1;CDKN1A;MYC;DVL1;AXIN1;AKT1;MAPK1;AXIN2;ESR1
KEGG_2019_Human	Chronic myeloid leukemia	7/76	1.035095e-06	1.071239e-05	0	0	1.509611e+01	2.080397e+02	CDKN1A;TGFB1;CDKN2A;MYC;AKT1;MAPK1;NFKB1
KEGG_2019_Human	Gastric cancer	9/149	1.060080e-06	1.071239e-05	0	0	9.677208e+00	1.331310e+02	CDKN1A;TGFB1;MYC;DVL1;AXIN1;AKT1;MAPK1;AXIN2;RXRG
KEGG_2019_Human	PI3K-Akt signaling pathway	13/354	1.276425e-06	1.225368e-05	0	0	5.859261e+00	7.951865e+01	HSP90AA1;CDKN1A;HSP90AB1;RPS6;NFKB1;HSP90B1;GHR;PPP2CA;NR4A1;PPP2CB;MYC;AKT1;MAPK1
KEGG_2019_Human	Hepatitis C	9/155	1.474003e-06	1.323839e-05	0	0	9.276691e+00	1.245630e+02	PPP2CA;PPP2CB;CDKN1A;MYC;AKT1;EIF2AK2;MAPK1;TRAF2;NFKB1
