Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Homologous recombination	8/41	2.256280e-11	2.692734e-09	0	0	5.292840e+01	1.297525e+03	BLM;RAD50;MRE11;RAD51;UIMC1;BRCA1;NBN;TOPBP1
KEGG_2019_Human	Hepatocellular carcinoma	12/168	4.079900e-11	2.692734e-09	0	0	1.745800e+01	4.176367e+02	SMARCE1;SMARCD1;SMARCC1;PBRM1;SMARCD2;SMARCC2;SMARCD3;ARID2;ARID1A;BRD7;EGFR;SMARCA4
KEGG_2019_Human	Thermogenesis	10/231	2.207034e-07	9.710947e-06	0	0	1.000559e+01	1.533502e+02	SMARCE1;SMARCD1;SMARCC1;SMARCD2;SMARCC2;SMARCD3;COX15;RPS6;ARID1A;SMARCA4
KEGG_2019_Human	Pathways in cancer	14/530	3.422311e-07	1.129362e-05	0	0	6.187642e+00	9.212026e+01	NCOA1;JUN;CUL2;CUL1;ESR1;EGFR;ESR2;MSH6;CCNA1;RAD51;MSH2;RARA;CRK;SKP1
KEGG_2019_Human	Ribosome	8/153	9.276613e-07	2.449026e-05	0	0	1.197787e+01	1.663798e+02	RPS16;RPL31;RPL27A;RPS6;RPL26L1;RPS24;RPS13;RPL19
KEGG_2019_Human	Estrogen signaling pathway	7/137	5.345160e-06	1.175935e-04	0	0	1.157166e+01	1.404720e+02	NCOA1;JUN;SRC;RARA;ESR1;EGFR;ESR2
KEGG_2019_Human	Fanconi anemia pathway	5/54	7.003370e-06	1.320636e-04	0	0	2.155015e+01	2.557813e+02	BLM;RAD51;RMI1;FANCA;BRCA1
KEGG_2019_Human	RNA transport	7/165	1.803237e-05	2.975340e-04	0	0	9.507499e+00	1.038537e+02	UPF2;SUMO1;NUP50;SUMO3;MAGOH;EIF4A3;SUMO2
KEGG_2019_Human	Non-homologous end-joining	3/13	3.245643e-05	4.760277e-04	0	0	6.215937e+01	6.424552e+02	XRCC6;RAD50;MRE11
KEGG_2019_Human	ErbB signaling pathway	5/85	6.435455e-05	8.494801e-04	0	0	1.317886e+01	1.271905e+02	JUN;SRC;CRK;EGFR;NCK1
KEGG_2019_Human	Breast cancer	6/147	9.092644e-05	1.091117e-03	0	0	9.041409e+00	8.413447e+01	NCOA1;JUN;BRCA1;ESR1;EGFR;ESR2
KEGG_2019_Human	Viral carcinogenesis	6/201	4.933799e-04	5.311095e-03	0	0	6.519768e+00	4.964302e+01	CCNA1;JUN;SNW1;HIST4H4;SRC;HIST1H2BG
KEGG_2019_Human	Systemic lupus erythematosus	5/133	5.230623e-04	5.311095e-03	0	0	8.216838e+00	6.208487e+01	HIST1H3A;HIST1H2AI;HIST4H4;HIST1H2AE;HIST1H2BG
KEGG_2019_Human	Ubiquitin mediated proteolysis	5/137	5.985806e-04	5.625593e-03	0	0	7.966231e+00	5.911700e+01	HERC2;CUL2;CUL1;BRCA1;SKP1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	5/139	6.392719e-04	5.625593e-03	0	0	7.846539e+00	5.771271e+01	JUN;SUMO1;SRC;SUMO3;SUMO2
KEGG_2019_Human	Colorectal cancer	4/86	8.790736e-04	7.252357e-03	0	0	1.017664e+01	7.160935e+01	MSH6;JUN;MSH2;EGFR
KEGG_2019_Human	mRNA surveillance pathway	4/91	1.085738e-03	8.430436e-03	0	0	9.589353e+00	6.545208e+01	UPF2;RNGTT;EIF4A3;MAGOH
KEGG_2019_Human	Alcoholism	5/180	2.019220e-03	1.480761e-02	0	0	5.995745e+00	3.720386e+01	HIST1H3A;HIST1H2AI;HIST4H4;HIST1H2AE;HIST1H2BG
KEGG_2019_Human	Spliceosome	4/134	4.438456e-03	3.039599e-02	0	0	6.403563e+00	3.469097e+01	SNW1;DHX8;MAGOH;EIF4A3
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	3/68	4.671180e-03	3.039599e-02	0	0	9.536538e+00	5.117634e+01	JUN;SRC;EGFR
KEGG_2019_Human	Renal cell carcinoma	3/69	4.866162e-03	3.039599e-02	0	0	9.391572e+00	5.001434e+01	JUN;CUL2;CRK
KEGG_2019_Human	Prolactin signaling pathway	3/70	5.065998e-03	3.039599e-02	0	0	9.250933e+00	4.889307e+01	SRC;ESR1;ESR2
KEGG_2019_Human	Mismatch repair	2/23	5.734661e-03	3.291197e-02	0	0	1.951890e+01	1.007415e+02	MSH6;MSH2
KEGG_2019_Human	Cellular senescence	4/160	8.247062e-03	4.535884e-02	0	0	5.329285e+00	2.556937e+01	CCNA1;RAD50;MRE11;NBN
KEGG_2019_Human	Circadian rhythm	2/31	1.027285e-02	5.424065e-02	0	0	1.412869e+01	6.468468e+01	CUL1;SKP1
KEGG_2019_Human	GnRH signaling pathway	3/93	1.106840e-02	5.619339e-02	0	0	6.878819e+00	3.097987e+01	JUN;SRC;EGFR
KEGG_2019_Human	HIF-1 signaling pathway	3/100	1.345504e-02	6.514216e-02	0	0	6.380155e+00	2.748827e+01	RPS6;CUL2;EGFR
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	3/101	1.381803e-02	6.514216e-02	0	0	6.314732e+00	2.703830e+01	NOP56;UTP4;GNL2
KEGG_2019_Human	Focal adhesion	4/199	1.719733e-02	7.567565e-02	0	0	4.255007e+00	1.728810e+01	JUN;SRC;CRK;EGFR
KEGG_2019_Human	Bladder cancer	2/41	1.754538e-02	7.567565e-02	0	0	1.050066e+01	4.245380e+01	SRC;EGFR
KEGG_2019_Human	Proteoglycans in cancer	4/201	1.777231e-02	7.567565e-02	0	0	4.211381e+00	1.697234e+01	SRC;RPS6;ESR1;EGFR
KEGG_2019_Human	Thyroid hormone signaling pathway	3/116	1.993338e-02	8.222517e-02	0	0	5.472345e+00	2.142620e+01	NCOA1;SRC;ESR1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	4/212	2.114882e-02	8.459528e-02	0	0	3.986437e+00	1.537238e+01	JUN;CUL1;CRK;SKP1
