Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	C-type lectin receptor signaling pathway	11/104	4.545044e-11	8.453782e-09	0	0	2.070730e+01	4.931319e+02	IKBKB;CASP8;SRC;CARD9;AKT1;NLRP3;PIK3R1;IKBKG;MAPK14;MAP3K14;RHOA
KEGG_2019_Human	Hepatocellular carcinoma	12/168	5.866625e-10	4.308258e-08	0	0	1.354396e+01	2.878981e+02	SMARCD1;SMARCC1;SMARCB1;SMARCD3;MYC;ACTL6A;PTEN;AKT1;PIK3R1;PLCG1;ARID1A;BRD7
KEGG_2019_Human	Pathways in cancer	19/530	6.948804e-10	4.308258e-08	0	0	6.857422e+00	1.446044e+02	NCOA1;HSP90AA1;APAF1;CUL2;CUL1;PTEN;PIK3R1;ESR1;RHOA;IKBKB;CASP8;MYC;TRAF6;RARA;AKT1;PLCG1;IKBKG;CRK;SKP1
KEGG_2019_Human	Hepatitis B	11/163	5.741832e-09	2.669952e-07	0	0	1.263181e+01	2.396948e+02	IKBKB;DDX3X;CASP8;APAF1;SRC;MYC;TRAF6;AKT1;PIK3R1;IKBKG;MAPK14
KEGG_2019_Human	Human immunodeficiency virus 1 infection	12/212	8.285715e-09	3.082286e-07	0	0	1.054071e+01	1.961493e+02	IKBKB;CASP8;TRAF6;AP1B1;CUL1;AKT1;PIK3R1;PLCG1;IKBKG;MAPK14;CRK;SKP1
KEGG_2019_Human	T cell receptor signaling pathway	9/101	1.305115e-08	3.913160e-07	0	0	1.682949e+01	3.055291e+02	IKBKB;AKT1;FYN;PIK3R1;PLCG1;IKBKG;MAPK14;MAP3K14;RHOA
KEGG_2019_Human	Measles	10/138	1.472695e-08	3.913160e-07	0	0	1.353344e+01	2.440565e+02	IKBKB;CASP8;APAF1;TRAF6;AKT1;MSN;EIF2AK2;PIK3R1;IKBKG;HSPA1A
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	11/186	2.272834e-08	5.284339e-07	0	0	1.095884e+01	1.928717e+02	IKBKB;BECN1;CASP8;SRC;MYC;AKT1;EIF2AK2;PIK3R1;PLCG1;IKBKG;MAPK14
KEGG_2019_Human	TNF signaling pathway	9/110	2.769596e-08	5.723832e-07	0	0	1.532286e+01	2.666481e+02	IKBKB;CEBPB;CASP8;MLKL;AKT1;PIK3R1;IKBKG;MAPK14;MAP3K14
KEGG_2019_Human	Thyroid hormone signaling pathway	9/116	4.407963e-08	8.198811e-07	0	0	1.445924e+01	2.449001e+02	NCOA1;SRC;MYC;AKT1;ATP1A3;ATP1A2;PIK3R1;PLCG1;ESR1
KEGG_2019_Human	Epstein-Barr virus infection	11/201	5.048302e-08	8.534681e-07	0	0	1.008598e+01	1.694609e+02	IKBKB;CASP8;APAF1;MYC;TRAF6;AKT1;EIF2AK2;PIK3R1;IKBKG;MAPK14;MAP3K14
KEGG_2019_Human	Neurotrophin signaling pathway	9/119	5.506246e-08	8.534681e-07	0	0	1.406277e+01	2.350563e+02	IKBKB;ARHGDIA;TRAF6;AKT1;PIK3R1;PLCG1;MAPK14;CRK;RHOA
KEGG_2019_Human	Small cell lung cancer	8/93	1.139709e-07	1.630661e-06	0	0	1.605761e+01	2.567181e+02	IKBKB;APAF1;MYC;TRAF6;PTEN;AKT1;IKBKG;PIK3R1
KEGG_2019_Human	Tuberculosis	10/179	1.734373e-07	2.303507e-06	0	0	1.022890e+01	1.592379e+02	CEBPB;CASP8;APAF1;SRC;TRAF6;NFYC;CARD9;AKT1;MAPK14;RHOA
KEGG_2019_Human	Estrogen signaling pathway	9/137	1.857667e-07	2.303507e-06	0	0	1.207418e+01	1.871351e+02	NCOA1;HSP90AA1;KRT18;SRC;RARA;AKT1;PIK3R1;ESR1;HSPA1A
KEGG_2019_Human	Viral carcinogenesis	10/201	5.073325e-07	5.482631e-06	0	0	9.040599e+00	1.310353e+02	HNRNPK;DDX3X;CASP8;SRC;DNAJA3;SRF;EIF2AK2;PIK3R1;IKBKG;RHOA
KEGG_2019_Human	Proteoglycans in cancer	10/201	5.073325e-07	5.482631e-06	0	0	9.040599e+00	1.310353e+02	SRC;MYC;AKT1;MSN;PIK3R1;PLCG1;MAPK14;EZR;ESR1;RHOA
KEGG_2019_Human	Hepatitis C	9/155	5.305772e-07	5.482631e-06	0	0	1.057594e+01	1.528149e+02	IKBKB;CASP8;APAF1;MYC;TRAF6;AKT1;EIF2AK2;PIK3R1;IKBKG
KEGG_2019_Human	Protein processing in endoplasmic reticulum	9/165	8.973360e-07	8.784447e-06	0	0	9.892977e+00	1.377482e+02	DNAJA1;HSP90AA1;HSPA5;DNAJB11;DNAJA2;CUL1;EIF2AK2;HSPA1A;SKP1
KEGG_2019_Human	Osteoclast differentiation	8/127	1.258714e-06	1.170604e-05	0	0	1.145001e+01	1.555533e+02	IKBKB;TRAF6;AKT1;FYN;PIK3R1;IKBKG;MAPK14;MAP3K14
KEGG_2019_Human	Human cytomegalovirus infection	10/225	1.418064e-06	1.255999e-05	0	0	8.021624e+00	1.080209e+02	IKBKB;CASP8;SRC;MYC;AKT1;PIK3R1;IKBKG;MAPK14;CRK;RHOA
KEGG_2019_Human	NOD-like receptor signaling pathway	9/178	1.687676e-06	1.426854e-05	0	0	9.125958e+00	1.213037e+02	IKBKB;HSP90AA1;CASP8;TRAF6;CARD9;NLRP3;IKBKG;MAPK14;RHOA
KEGG_2019_Human	IL-17 signaling pathway	7/93	1.808804e-06	1.462772e-05	0	0	1.376764e+01	1.820474e+02	IKBKB;HSP90AA1;CEBPB;CASP8;TRAF6;IKBKG;MAPK14
KEGG_2019_Human	MAPK signaling pathway	11/295	2.305024e-06	1.786393e-05	0	0	6.715443e+00	8.716927e+01	IKBKB;MYC;TRAF6;SRF;AKT1;IKBKG;MAPK14;MAP3K14;CRK;HSPA1A;MAP4K4
KEGG_2019_Human	Fluid shear stress and atherosclerosis	8/139	2.485096e-06	1.848911e-05	0	0	1.039484e+01	1.341475e+02	IKBKB;HSP90AA1;SRC;AKT1;PIK3R1;IKBKG;MAPK14;RHOA
KEGG_2019_Human	Apoptosis	8/143	3.072541e-06	2.198049e-05	0	0	1.008480e+01	1.280064e+02	IKBKB;BECN1;CASP8;APAF1;AKT1;PIK3R1;IKBKG;MAP3K14
KEGG_2019_Human	Acute myeloid leukemia	6/66	3.371162e-06	2.322356e-05	0	0	1.679322e+01	2.115988e+02	IKBKB;MYC;RARA;AKT1;IKBKG;PIK3R1
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	7/103	3.594418e-06	2.387721e-05	0	0	1.232728e+01	1.545364e+02	IKBKB;CASP8;TRAF6;AKT1;PIK3R1;IKBKG;MAPK14
KEGG_2019_Human	Toll-like receptor signaling pathway	7/104	3.834157e-06	2.459149e-05	0	0	1.219958e+01	1.521478e+02	IKBKB;CASP8;TRAF6;AKT1;PIK3R1;IKBKG;MAPK14
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	6/68	4.020271e-06	2.492568e-05	0	0	1.624986e+01	2.018909e+02	IKBKB;SRC;IKBKG;PLCG1;MAPK14;MAP3K14
KEGG_2019_Human	RIG-I-like receptor signaling pathway	6/70	4.767557e-06	2.860534e-05	0	0	1.574047e+01	1.928786e+02	IKBKB;DDX3X;CASP8;TRAF6;IKBKG;MAPK14
KEGG_2019_Human	Toxoplasmosis	7/113	6.657093e-06	3.869435e-05	0	0	1.115868e+01	1.330096e+02	IKBKB;CASP8;TRAF6;AKT1;IKBKG;MAPK14;HSPA1A
KEGG_2019_Human	Chronic myeloid leukemia	6/76	7.712117e-06	4.234151e-05	0	0	1.438692e+01	1.693732e+02	IKBKB;MYC;AKT1;IKBKG;PIK3R1;CRK
