Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	18/530	1.373102e-09	1.300364e-07	0	0	7.021464e+00	1.432814e+02	HSP90AA1;HSP90AB1;EGF;FLT4;CUL2;CUL1;KEAP1;PIK3R2;PIK3R1;ESR1;FGF2;MYC;TPR;DVL1;ERBB2;PLCG1;IKBKG;CRK
KEGG_2019_Human	ErbB signaling pathway	9/85	1.428971e-09	1.300364e-07	0	0	2.213021e+01	4.507108e+02	SHC1;SRC;EGF;MYC;ERBB2;PIK3R2;PIK3R1;PLCG1;CRK
KEGG_2019_Human	Hepatocellular carcinoma	11/168	3.538999e-09	2.146993e-07	0	0	1.329054e+01	2.586263e+02	SHC1;MYC;DVL1;KEAP1;PIK3R2;PIK3R1;PLCG1;ARID2;ARID1A;BRD7;ACTB
KEGG_2019_Human	Breast cancer	10/147	1.304334e-08	5.934719e-07	0	0	1.372819e+01	2.492351e+02	EGF;SHC1;MYC;FLT4;DVL1;ERBB2;PIK3R2;PIK3R1;ESR1;FGF2
KEGG_2019_Human	Proteoglycans in cancer	11/201	2.297665e-08	8.363502e-07	0	0	1.096382e+01	1.928402e+02	SRC;MYC;RDX;ERBB2;PIK3R2;PIK3R1;PLCG1;IQGAP1;ESR1;FGF2;ACTB
KEGG_2019_Human	Influenza A	10/171	5.517137e-08	1.673532e-06	0	0	1.166755e+01	1.949977e+02	NXF1;HSPA8;EIF2AK2;PIK3R2;PIK3R1;KPNA2;EIF2S1;ACTB;HSPA1A;KPNA1
KEGG_2019_Human	Estrogen signaling pathway	9/137	9.696929e-08	2.521201e-06	0	0	1.310532e+01	2.116362e+02	HSPA8;HSP90AA1;HSP90AB1;SHC1;SRC;PIK3R2;PIK3R1;ESR1;HSPA1A
KEGG_2019_Human	HIF-1 signaling pathway	8/100	1.119700e-07	2.547317e-06	0	0	1.608533e+01	2.574463e+02	EGF;CUL2;ERBB2;PIK3R2;ENO1;PIK3R1;PLCG1;ENO2
KEGG_2019_Human	Rap1 signaling pathway	10/206	3.145903e-07	6.361714e-06	0	0	9.567055e+00	1.432379e+02	PRKCI;EGF;SRC;FLT4;PIK3R2;PIK3R1;PLCG1;FGF2;CRK;ACTB
KEGG_2019_Human	Thyroid hormone signaling pathway	8/116	3.542344e-07	6.447066e-06	0	0	1.369124e+01	2.033602e+02	SRC;MYC;PIK3R2;PIK3R1;PLCG1;ESR1;ACTB;PFKP
KEGG_2019_Human	Regulation of actin cytoskeleton	10/214	4.469224e-07	6.632168e-06	0	0	9.188142e+00	1.343387e+02	EGF;SRC;RDX;MYH9;PIK3R2;PIK3R1;IQGAP1;FGF2;CRK;ACTB
KEGG_2019_Human	Protein processing in endoplasmic reticulum	9/165	4.737263e-07	6.632168e-06	0	0	1.073784e+01	1.563713e+02	DNAJA1;HSPA8;HSP90AA1;HSP90AB1;HSPA5;CUL1;EIF2AK2;EIF2S1;HSPA1A
KEGG_2019_Human	RNA transport	9/165	4.737263e-07	6.632168e-06	0	0	1.073784e+01	1.563713e+02	EEF1A1;FXR1;NXF1;FXR2;FMR1;EEF1A2;TPR;PABPC1;EIF2S1
KEGG_2019_Human	Legionellosis	6/55	7.301671e-07	9.492172e-06	0	0	2.228347e+01	3.148652e+02	EEF1A1;EEF1G;HSPA8;EEF1A2;HSPD1;HSPA1A
KEGG_2019_Human	Ubiquitin mediated proteolysis	8/137	1.261067e-06	1.530095e-05	0	0	1.145026e+01	1.555353e+02	FZR1;ANAPC7;NEDD4;CUL2;HUWE1;CUL1;KEAP1;BTRC
KEGG_2019_Human	Fluid shear stress and atherosclerosis	8/139	1.406973e-06	1.551440e-05	0	0	1.127431e+01	1.519108e+02	HSP90AA1;HSP90AB1;SRC;KEAP1;PIK3R2;PIK3R1;IKBKG;ACTB
KEGG_2019_Human	Prostate cancer	7/97	1.449147e-06	1.551440e-05	0	0	1.425566e+01	1.916607e+02	HSP90AA1;HSP90AB1;EGF;ERBB2;PIK3R2;PIK3R1;IKBKG
KEGG_2019_Human	Central carbon metabolism in cancer	6/65	1.985543e-06	2.007604e-05	0	0	1.849728e+01	2.428622e+02	PKM;MYC;ERBB2;PIK3R2;PIK3R1;PFKP
