Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatocellular carcinoma	17/168	2.016992e-14	3.973474e-12	0	0	1.583557e+01	4.993682e+02	SMARCE1;SMARCC1;PBRM1;SMARCB1;SMARCC2;PHF10;KEAP1;PRKCA;PIK3R2;PIK3R1;ARID1A;ACTB;SMARCA4;MYC;DVL1;ARID2;BRD7
KEGG_2019_Human	ErbB signaling pathway	9/85	2.224699e-08	2.191328e-06	0	0	1.581641e+01	2.787019e+02	CAMK2B;SRC;MYC;CAMK2A;PRKCA;PIK3R2;PIK3R1;CRK;NCK1
KEGG_2019_Human	Hippo signaling pathway	10/160	5.531450e-07	2.756786e-05	0	0	8.931066e+00	1.286756e+02	PPP1CC;DLG1;PATJ;DLG2;DLG3;DLG4;MYC;DVL1;BTRC;ACTB
KEGG_2019_Human	Proteoglycans in cancer	11/201	5.597535e-07	2.756786e-05	0	0	7.793187e+00	1.121889e+02	CAMK2B;PPP1CC;SRC;MYC;CAMK2A;PRKCA;PIK3R2;PIK3R1;IQGAP1;ESR1;ACTB
KEGG_2019_Human	Thermogenesis	11/231	2.193438e-06	8.642144e-05	0	0	6.720205e+00	8.756455e+01	SMARCE1;SMARCC1;ATP5F1A;SMARCB1;SMARCC2;ACSL4;ACSL3;ARID1A;ATP5F1C;ACTB;SMARCA4
KEGG_2019_Human	RNA degradation	7/79	2.899521e-06	9.520094e-05	0	0	1.281454e+01	1.633977e+02	EXOSC7;HSPA9;EXOSC9;ENO1;PABPC1;ENO2;HSPD1
KEGG_2019_Human	Wnt signaling pathway	9/158	4.454133e-06	1.253520e-04	0	0	8.037638e+00	9.903719e+01	CAMK2B;CSNK2A1;MYC;CSNK2B;DVL1;CSNK2A2;CAMK2A;PRKCA;BTRC
KEGG_2019_Human	Tight junction	9/170	8.080619e-06	1.989852e-04	0	0	7.434027e+00	8.717172e+01	DLG1;PATJ;PCNA;DLG2;DLG3;SRC;NEDD4;MYH9;ACTB
KEGG_2019_Human	HIF-1 signaling pathway	7/100	1.395424e-05	2.667664e-04	0	0	9.910394e+00	1.107955e+02	CAMK2B;CAMK2A;PRKCA;PIK3R2;ENO1;PIK3R1;ENO2
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	7/100	1.395424e-05	2.667664e-04	0	0	9.910394e+00	1.107955e+02	CAMK2B;PPP1CC;SRC;CAMK2A;PRKCA;PIK3R2;PIK3R1
KEGG_2019_Human	Ribosome biogenesis in eukaryotes	7/101	1.489559e-05	2.667664e-04	0	0	9.804468e+00	1.089712e+02	NXF1;NOP58;CSNK2A1;DKC1;CSNK2A2;CSNK2B;GNL2
KEGG_2019_Human	Adherens junction	6/72	2.166472e-05	3.556625e-04	0	0	1.190668e+01	1.278757e+02	CSNK2A1;SRC;CSNK2A2;CSNK2B;IQGAP1;ACTB
