Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatocellular carcinoma	11/168	1.014545e-08	2.150836e-06	0	0	1.190841e+01	2.191891e+02	SMARCE1;SMARCD1;SMARCB1;SMARCD3;KEAP1;PIK3R1;ARID2;ARID1A;BRD7;ACTB;SMARCA4
KEGG_2019_Human	Citrate cycle (TCA cycle)	6/30	3.050064e-08	3.101021e-06	0	0	4.101033e+01	7.097050e+02	CS;IDH3G;IDH1;IDH2;IDH3B;IDH3A
KEGG_2019_Human	Pathways in cancer	17/530	4.388238e-08	3.101021e-06	0	0	5.832359e+00	9.881038e+01	NCOA1;NTRK1;HSP90AA1;CUL2;CUL1;KEAP1;PIK3R1;ESR1;CCNA1;RAD51;CDH1;CDK2;RARA;CALM1;PRKACA;CRK;SKP1
KEGG_2019_Human	Estrogen signaling pathway	9/137	2.280408e-07	1.094260e-05	0	0	1.176543e+01	1.799374e+02	NCOA1;HSPA8;HSP90AA1;SRC;RARA;PIK3R1;CALM1;PRKACA;ESR1
KEGG_2019_Human	Fluid shear stress and atherosclerosis	9/139	2.580802e-07	1.094260e-05	0	0	1.158325e+01	1.757178e+02	HSP90AA1;SRC;SUMO2;PECAM1;KEAP1;SUMO4;PIK3R1;CALM1;ACTB
KEGG_2019_Human	Viral carcinogenesis	9/201	5.574665e-06	1.969715e-04	0	0	7.818194e+00	9.457887e+01	CCNA1;RANBP1;HNRNPK;SRC;CDK2;EIF2AK2;PIK3R1;PRKACA;GTF2E2
KEGG_2019_Human	Bacterial invasion of epithelial cells	6/74	7.575422e-06	2.294271e-04	0	0	1.444215e+01	1.702816e+02	CDH1;SRC;ILK;PIK3R1;CRK;ACTB
KEGG_2019_Human	Thermogenesis	9/231	1.702749e-05	4.512284e-04	0	0	6.751374e+00	7.413469e+01	SMARCE1;SMARCD1;SMARCB1;SMARCD3;COX15;PRKACA;ARID1A;ACTB;SMARCA4
KEGG_2019_Human	Ubiquitin mediated proteolysis	7/137	2.737073e-05	6.447329e-04	0	0	8.859038e+00	9.307338e+01	UBE2H;ANAPC7;CUL2;HUWE1;CUL1;KEAP1;SKP1
KEGG_2019_Human	Progesterone-mediated oocyte maturation	6/99	4.026505e-05	8.536190e-04	0	0	1.054652e+01	1.067311e+02	CCNA1;HSP90AA1;ANAPC7;CDK2;PIK3R1;PRKACA
KEGG_2019_Human	Protein processing in endoplasmic reticulum	7/165	8.926159e-05	1.720314e-03	0	0	7.278745e+00	6.786657e+01	HSPA8;HSP90AA1;DNAJA2;CUL1;EIF2AK2;SKP1;UBQLN2
KEGG_2019_Human	Thyroid hormone signaling pathway	6/116	9.766450e-05	1.725406e-03	0	0	8.908941e+00	8.226491e+01	NCOA1;SRC;PIK3R1;PRKACA;ESR1;ACTB
KEGG_2019_Human	Influenza A	7/171	1.115898e-04	1.819773e-03	0	0	7.010315e+00	6.379864e+01	NXF1;FDPS;HSPA8;DDX58;EIF2AK2;PIK3R1;ACTB
KEGG_2019_Human	Cell cycle	6/124	1.410385e-04	2.083081e-03	0	0	8.301583e+00	7.360580e+01	CCNA1;ANAPC7;CDK2;CUL1;MCM3;SKP1
KEGG_2019_Human	Oocyte meiosis	6/125	1.473878e-04	2.083081e-03	0	0	8.231405e+00	7.262110e+01	ANAPC7;CDK2;CUL1;PRKACA;CALM1;SKP1
KEGG_2019_Human	Transcriptional misregulation in cancer	7/186	1.877721e-04	2.487980e-03	0	0	6.417970e+00	5.506799e+01	NTRK1;CCNA1;DDX5;HIST1H3A;EWSR1;HIST3H3;RARA
KEGG_2019_Human	Spliceosome	6/134	2.153224e-04	2.685197e-03	0	0	7.649148e+00	6.458461e+01	EFTUD2;HSPA8;DDX5;HNRNPA3;HNRNPK;HNRNPA1
KEGG_2019_Human	Proteoglycans in cancer	7/201	3.014154e-04	3.550004e-03	0	0	5.917225e+00	4.797107e+01	DDX5;SRC;PIK3R1;IQGAP1;PRKACA;ESR1;ACTB
KEGG_2019_Human	Legionellosis	4/55	4.116471e-04	4.593116e-03	0	0	1.263957e+01	9.852977e+01	EEF1G;HSPA8;EEF1A2;HSPD1
KEGG_2019_Human	Inflammatory mediator regulation of TRP channels	5/100	4.435584e-04	4.701719e-03	0	0	8.532355e+00	6.587560e+01	NTRK1;SRC;PIK3R1;PRKACA;CALM1
