Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatocellular carcinoma	15/168	2.288468e-14	3.455587e-12	0	0	2.036842e+01	6.397377e+02	SMARCE1;SMARCD1;PBRM1;SMARCB1;SMARCC2;SMARCD3;ACTL6A;PTEN;PIK3R1;ARID1A;SMARCA4;MYC;DVL1;ARID2;BRD7
KEGG_2019_Human	Thyroid hormone signaling pathway	13/116	6.984946e-14	5.273634e-12	0	0	2.574627e+01	7.799172e+02	NCOA1;MED1;THRA;SRC;PIK3R1;MED4;ESR1;HIF1A;MED12;KAT2A;MED13;MED30;MYC
KEGG_2019_Human	Pathways in cancer	18/530	6.517174e-10	3.280311e-08	0	0	7.404976e+00	1.566257e+02	NCOA1;NTRK1;EPAS1;CUL2;CUL1;PTEN;PIK3R1;ESR1;HIF1A;ESR2;AR;RAD51;MYC;DVL1;RARA;RARB;CRK;SKP1
KEGG_2019_Human	Ubiquitin mediated proteolysis	8/137	8.989041e-07	3.393363e-05	0	0	1.201459e+01	1.672682e+02	ANAPC7;FBXW7;CDC16;CUL2;CUL1;BRCA1;BTRC;SKP1
KEGG_2019_Human	Breast cancer	8/147	1.531266e-06	4.624422e-05	0	0	1.114459e+01	1.492196e+02	NCOA1;MYC;DVL1;PTEN;PIK3R1;BRCA1;ESR1;ESR2
KEGG_2019_Human	Thermogenesis	9/231	5.285333e-06	1.330142e-04	0	0	7.894568e+00	9.592354e+01	SMARCE1;SMARCD1;SMARCB1;SMARCC2;SMARCD3;ACTL6A;ARID1A;PPARGC1A;SMARCA4
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	8/219	2.859947e-05	5.506108e-04	0	0	7.314934e+00	7.652973e+01	KAT2A;XPO1;ANAPC7;TRRAP;MYC;CDC16;PTEN;PIK3R1
KEGG_2019_Human	Central carbon metabolism in cancer	5/65	2.917143e-05	5.506108e-04	0	0	1.573810e+01	1.643422e+02	NTRK1;MYC;PTEN;PIK3R1;HIF1A
KEGG_2019_Human	Renal cell carcinoma	5/69	3.900459e-05	6.544104e-04	0	0	1.475149e+01	1.497546e+02	EPAS1;CUL2;PIK3R1;CRK;HIF1A
KEGG_2019_Human	Oocyte meiosis	6/125	6.656913e-05	1.005194e-03	0	0	9.585165e+00	9.218311e+01	AR;ANAPC7;CDC16;CUL1;BTRC;SKP1
KEGG_2019_Human	Transcriptional misregulation in cancer	7/186	7.632998e-05	1.047802e-03	0	0	7.483701e+00	7.094882e+01	NTRK1;DDX5;EWSR1;MYC;RARA;BMI1;SUPT3H
KEGG_2019_Human	ErbB signaling pathway	5/85	1.061747e-04	1.284527e-03	0	0	1.179167e+01	1.078988e+02	SRC;MYC;PIK3R1;CRK;NCK1
KEGG_2019_Human	Estrogen signaling pathway	6/137	1.105884e-04	1.284527e-03	0	0	8.701850e+00	7.927120e+01	NCOA1;SRC;RARA;PIK3R1;ESR1;ESR2
KEGG_2019_Human	Prolactin signaling pathway	4/70	6.007367e-04	5.777215e-03	0	0	1.133448e+01	8.407182e+01	SRC;PIK3R1;ESR1;ESR2
KEGG_2019_Human	Cell cycle	5/124	6.151531e-04	5.777215e-03	0	0	7.911565e+00	5.849526e+01	ANAPC7;MYC;CDC16;CUL1;SKP1
KEGG_2019_Human	Circadian rhythm	3/31	6.504149e-04	5.777215e-03	0	0	1.988852e+01	1.459400e+02	CUL1;BTRC;SKP1
KEGG_2019_Human	RNA polymerase	3/31	6.504149e-04	5.777215e-03	0	0	1.988852e+01	1.459400e+02	POLR2C;POLR2G;POLR2H
KEGG_2019_Human	Proteoglycans in cancer	6/201	8.610512e-04	7.223263e-03	0	0	5.826923e+00	4.112267e+01	DDX5;SRC;MYC;PIK3R1;ESR1;HIF1A
KEGG_2019_Human	Small cell lung cancer	4/93	1.736721e-03	1.370458e-02	0	0	8.395590e+00	5.336033e+01	MYC;PTEN;RARB;PIK3R1
KEGG_2019_Human	Wnt signaling pathway	5/158	1.815177e-03	1.370458e-02	0	0	6.142857e+00	3.877109e+01	MYC;DVL1;CUL1;BTRC;SKP1
KEGG_2019_Human	RNA transport	5/165	2.193332e-03	1.554591e-02	0	0	5.872024e+00	3.595049e+01	FXR2;XPO1;SUMO1;ALYREF;EIF3A
KEGG_2019_Human	HIF-1 signaling pathway	4/100	2.264967e-03	1.554591e-02	0	0	7.780660e+00	4.738574e+01	CUL2;ENO1;PIK3R1;HIF1A
