Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Spliceosome	14/134	4.788015e-13	9.623910e-11	0	0	1.857446e+01	5.269109e+02	SF3B4;HSPA1L;ALYREF;THOC2;EFTUD2;HNRNPM;SNW1;DDX39B;PUF60;U2AF2;SRSF3;HNRNPC;SRSF6;SNRNP200
KEGG_2019_Human	Influenza A	11/171	2.910740e-08	2.925294e-06	0	0	1.066545e+01	1.850699e+02	NXF1;HSPA1L;DDX39B;HNRNPUL1;EIF2AK2;TMPRSS2;TRIM25;MAPK1;KPNA2;ACTB;KPNA1
KEGG_2019_Human	Proteoglycans in cancer	11/201	1.519718e-07	1.018211e-05	0	0	8.967758e+00	1.407900e+02	PPP1CC;CDKN1A;SMO;SRC;MYC;CAV1;PTCH1;STAT3;MAPK1;ESR1;ACTB
KEGG_2019_Human	Pathways in cancer	16/530	8.044834e-07	4.042529e-05	0	0	4.936659e+00	6.927646e+01	NCOA1;HSP90AA1;CDKN1A;PTCH1;CUL2;STAT3;CUL1;ESR1;MSH6;MSH2;SMO;MYC;RAC2;MAPK1;CALM1;SKP2
KEGG_2019_Human	Viral carcinogenesis	9/201	1.096337e-05	4.407275e-04	0	0	7.147529e+00	8.163158e+01	CDKN1A;SNW1;SYK;SRC;STAT3;EIF2AK2;MAPK1;SKP2;HIST2H2BE
KEGG_2019_Human	Cellular senescence	8/160	1.549156e-05	5.189672e-04	0	0	7.979757e+00	8.837753e+01	PPP1CC;CDKN1A;MYC;MAPK1;ATM;CALM1;SLC25A4;HIPK2
KEGG_2019_Human	Colorectal cancer	6/86	2.892281e-05	8.304978e-04	0	0	1.123977e+01	1.174655e+02	MSH6;CDKN1A;MSH2;MYC;RAC2;MAPK1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	8/186	4.561484e-05	1.041390e-03	0	0	6.805186e+00	6.801972e+01	CDKN1A;SYK;SRC;MYC;STAT3;EIF2AK2;MAPK1;CALM1
KEGG_2019_Human	Estrogen signaling pathway	7/137	4.662940e-05	1.041390e-03	0	0	8.110628e+00	8.088956e+01	NCOA1;HSP90AA1;HSPA1L;SRC;MAPK1;CALM1;ESR1
KEGG_2019_Human	Adherens junction	5/72	1.404111e-04	2.417898e-03	0	0	1.110706e+01	9.853001e+01	CSNK2A1;SRC;RAC2;MAPK1;ACTB
KEGG_2019_Human	Thyroid hormone signaling pathway	6/116	1.541670e-04	2.417898e-03	0	0	8.161983e+00	7.164160e+01	NCOA1;SRC;MYC;MAPK1;ESR1;ACTB
KEGG_2019_Human	Bacterial invasion of epithelial cells	5/74	1.598862e-04	2.417898e-03	0	0	1.078403e+01	9.426369e+01	SRC;CAV1;CLTC;ILK;ACTB
KEGG_2019_Human	Hepatocellular carcinoma	7/168	1.677446e-04	2.417898e-03	0	0	6.538666e+00	5.684107e+01	CDKN1A;MYC;MAPK1;ARID1A;BRD7;ACTB;SMARCA4
KEGG_2019_Human	Bladder cancer	4/41	1.802436e-04	2.417898e-03	0	0	1.599435e+01	1.378905e+02	CDKN1A;SRC;MYC;MAPK1
KEGG_2019_Human	Tight junction	7/170	1.804401e-04	2.417898e-03	0	0	6.457781e+00	5.566679e+01	PCNA;TUBA1A;HSPA4;SRC;MYH9;MYH10;ACTB
KEGG_2019_Human	Antigen processing and presentation	5/77	1.928897e-04	2.423177e-03	0	0	1.033312e+01	8.838326e+01	CD74;HSP90AA1;HSPA5;HSPA1L;HSPA4
KEGG_2019_Human	Cell cycle	6/124	2.218114e-04	2.622593e-03	0	0	7.605547e+00	6.399066e+01	CDKN1A;PCNA;MYC;CUL1;ATM;SKP2
KEGG_2019_Human	MicroRNAs in cancer	9/299	2.353723e-04	2.628324e-03	0	0	4.708581e+00	3.933709e+01	CDKN1A;UBE2I;IRS1;MYC;STAT3;IGF2BP1;MAPK1;ATM;EZH2
KEGG_2019_Human	FoxO signaling pathway	6/132	3.109299e-04	3.289311e-03	0	0	7.119769e+00	5.749885e+01	CDKN1A;IRS1;STAT3;MAPK1;ATM;SKP2
KEGG_2019_Human	Fluid shear stress and atherosclerosis	6/139	4.100158e-04	4.120659e-03	0	0	6.742652e+00	5.258807e+01	HSP90AA1;SRC;CAV1;RAC2;CALM1;ACTB
KEGG_2019_Human	Focal adhesion	7/199	4.693489e-04	4.308646e-03	0	0	5.474316e+00	4.195606e+01	PPP1CC;SRC;CAV1;RAC2;ILK;MAPK1;ACTB
KEGG_2019_Human	Epstein-Barr virus infection	7/201	4.982245e-04	4.308646e-03	0	0	5.417329e+00	4.119586e+01	CDKN1A;SNW1;SYK;MYC;STAT3;EIF2AK2;SKP2
KEGG_2019_Human	NF-kappa B signaling pathway	5/95	5.123210e-04	4.308646e-03	0	0	8.258981e+00	6.257466e+01	UBE2I;SYK;CSNK2A1;TRIM25;ATM
KEGG_2019_Human	Mismatch repair	3/23	5.144652e-04	4.308646e-03	0	0	2.204667e+01	1.669458e+02	MSH6;PCNA;MSH2
KEGG_2019_Human	Oxytocin signaling pathway	6/153	6.810378e-04	5.232963e-03	0	0	6.096166e+00	4.445259e+01	PPP1CC;CDKN1A;SRC;MAPK1;CALM1;ACTB
KEGG_2019_Human	Endometrial cancer	4/58	6.897285e-04	5.232963e-03	0	0	1.094970e+01	7.970516e+01	CDKN1A;MYC;ILK;MAPK1
KEGG_2019_Human	Regulation of actin cytoskeleton	7/214	7.222485e-04	5.232963e-03	0	0	5.073754e+00	3.669918e+01	PPP1CC;SRC;RAC2;MYH9;MAPK1;MYH10;ACTB
KEGG_2019_Human	Hepatitis C	6/155	7.289700e-04	5.232963e-03	0	0	6.013728e+00	4.344244e+01	SCARB1;CDKN1A;MYC;STAT3;EIF2AK2;MAPK1
KEGG_2019_Human	Hepatitis B	6/163	9.473329e-04	6.488576e-03	0	0	5.704980e+00	3.971727e+01	CDKN1A;PCNA;SRC;MYC;STAT3;MAPK1
KEGG_2019_Human	Human cytomegalovirus infection	7/225	9.684441e-04	6.488576e-03	0	0	4.815043e+00	3.341553e+01	CDKN1A;SRC;MYC;STAT3;RAC2;MAPK1;CALM1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	6/165	1.009056e-03	6.539118e-03	0	0	5.632647e+00	3.885817e+01	ATXN3;HSP90AA1;HSPA1L;HSPA5;CUL1;EIF2AK2
KEGG_2019_Human	cGMP-PKG signaling pathway	6/166	1.041054e-03	6.539118e-03	0	0	5.597159e+00	3.843861e+01	PPP1CC;IRS1;MAPK1;ATP2A1;CALM1;SLC25A4
KEGG_2019_Human	Prolactin signaling pathway	4/70	1.398504e-03	8.518162e-03	0	0	8.953415e+00	5.884499e+01	SRC;STAT3;MAPK1;ESR1
KEGG_2019_Human	B cell receptor signaling pathway	4/71	1.474154e-03	8.714849e-03	0	0	8.819336e+00	5.749917e+01	CD79A;SYK;RAC2;MAPK1
KEGG_2019_Human	Alcoholism	6/180	1.576095e-03	9.050863e-03	0	0	5.143156e+00	3.318778e+01	PPP1CC;HIST1H3A;HIST1H2AI;MAPK1;CALM1;HIST2H2BE
KEGG_2019_Human	Axon guidance	6/181	1.621050e-03	9.050863e-03	0	0	5.113506e+00	3.285265e+01	SMO;SRC;PTCH1;RAC2;ILK;MAPK1
KEGG_2019_Human	Platelet activation	5/124	1.698092e-03	9.224772e-03	0	0	6.237126e+00	3.978195e+01	PPP1CC;SYK;SRC;MAPK1;ACTB
KEGG_2019_Human	Pancreatic cancer	4/75	1.805357e-03	9.549388e-03	0	0	8.320790e+00	5.256241e+01	CDKN1A;STAT3;RAC2;MAPK1
KEGG_2019_Human	Transcriptional misregulation in cancer	6/186	1.860638e-03	9.589440e-03	0	0	4.970202e+00	3.124685e+01	CDKN1A;HIST1H3A;EWSR1;MYC;TMPRSS2;ATM
KEGG_2019_Human	Thyroid cancer	3/37	2.103532e-03	1.057025e-02	0	0	1.295948e+01	7.988400e+01	CDKN1A;MYC;MAPK1
KEGG_2019_Human	Ubiquitin mediated proteolysis	5/137	2.624147e-03	1.286472e-02	0	0	5.619162e+00	3.339467e+01	CUL7;UBE2I;CUL2;CUL1;SKP2
KEGG_2019_Human	Measles	5/138	2.707968e-03	1.295956e-02	0	0	5.576630e+00	3.296656e+01	CSNK2A1;HSPA1L;STAT3;RACK1;EIF2AK2
KEGG_2019_Human	ErbB signaling pathway	4/85	2.852360e-03	1.333312e-02	0	0	7.289847e+00	4.271565e+01	CDKN1A;SRC;MYC;MAPK1
KEGG_2019_Human	Salmonella infection	4/86	2.975716e-03	1.359361e-02	0	0	7.200582e+00	4.188774e+01	MYH9;MAPK1;MYH10;ACTB
KEGG_2019_Human	Gap junction	4/88	3.233276e-03	1.444196e-02	0	0	7.028429e+00	4.030284e+01	TUBA1A;SRC;TUBB;MAPK1
KEGG_2019_Human	Breast cancer	5/147	3.551975e-03	1.524450e-02	0	0	5.220798e+00	2.944662e+01	NCOA1;CDKN1A;MYC;MAPK1;ESR1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	6/212	3.564633e-03	1.524450e-02	0	0	4.337158e+00	2.444723e+01	AP1B1;CUL1;RAC2;MAPK1;ATM;CALM1
KEGG_2019_Human	mRNA surveillance pathway	4/91	3.647486e-03	1.527385e-02	0	0	6.785040e+00	3.808930e+01	PPP1CC;NXF1;DDX39B;ALYREF
KEGG_2019_Human	Hedgehog signaling pathway	3/47	4.175065e-03	1.712629e-02	0	0	1.000909e+01	5.483606e+01	SMO;PTCH1;CUL1
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	3/48	4.431162e-03	1.746399e-02	0	0	9.786173e+00	5.303218e+01	CLTC;ESR1;RAB11A
KEGG_2019_Human	Valine, leucine and isoleucine degradation	3/48	4.431162e-03	1.746399e-02	0	0	9.786173e+00	5.303218e+01	HADHA;HIBADH;HSD17B10
