Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Adherens junction	9/72	2.067366e-09	3.927995e-07	0	0	2.126208e+01	4.251777e+02	CDC42;CDH1;SRC;RAC3;RAC1;IQGAP1;ACTB;RHOA;TGFBR2
KEGG_2019_Human	Regulation of actin cytoskeleton	13/214	4.327609e-09	4.111229e-07	0	0	9.855413e+00	1.897980e+02	PDGFRB;SRC;PIK3R1;IQGAP1;IQGAP3;ACTB;RHOA;CDC42;PPP1CC;MYH9;RAC3;RAC1;PFN2
KEGG_2019_Human	Proteoglycans in cancer	12/201	2.122657e-08	1.344350e-06	0	0	9.606349e+00	1.697251e+02	CDC42;PPP1CC;DDX5;SRC;MYC;PIK3R1;IQGAP1;RAC1;TNF;ESR1;ACTB;RHOA
KEGG_2019_Human	Spliceosome	10/134	4.077952e-08	1.585418e-06	0	0	1.205645e+01	2.051416e+02	EFTUD2;DDX5;DDX46;PUF60;ALYREF;DHX15;HNRNPU;PRPF40A;HNRNPA1;HSPA1A
KEGG_2019_Human	Pathways in cancer	18/530	4.172151e-08	1.585418e-06	0	0	5.484942e+00	9.320150e+01	PDGFRB;HSP90AA1;CUL2;CUL1;KEAP1;PIK3R1;ESR1;RHOA;TGFBR2;CDC42;CDH1;MYC;DVL1;RARA;RAC3;RAC1;IFNAR1;SKP1
KEGG_2019_Human	Bacterial invasion of epithelial cells	8/74	5.376241e-08	1.702476e-06	0	0	1.790321e+01	2.996763e+02	CDC42;CDH1;SRC;ILK;RAC1;PIK3R1;ACTB;RHOA
KEGG_2019_Human	Wnt signaling pathway	10/158	1.934005e-07	5.249443e-06	0	0	1.008907e+01	1.559619e+02	RYK;MYC;DVL1;CUL1;RAC3;GPC4;RAC1;BTRC;RHOA;SKP1
KEGG_2019_Human	Rap1 signaling pathway	11/206	2.603319e-07	6.182882e-06	0	0	8.467136e+00	1.283729e+02	PDGFRB;CDC42;PRKCI;CDH1;SRC;RAC3;PIK3R1;RAC1;ACTB;RHOA;PFN2
KEGG_2019_Human	Fluid shear stress and atherosclerosis	9/139	6.661187e-07	1.406251e-05	0	0	1.026906e+01	1.460445e+02	HSP90AA1;SRC;KEAP1;RAC3;PIK3R1;RAC1;TNF;ACTB;RHOA
KEGG_2019_Human	Focal adhesion	10/199	1.613694e-06	3.066019e-05	0	0	7.883999e+00	1.051488e+02	PDGFRB;CDC42;PPP1CC;SRC;ILK;RAC3;PIK3R1;RAC1;ACTB;RHOA
KEGG_2019_Human	Protein processing in endoplasmic reticulum	9/165	2.783452e-06	4.807781e-05	0	0	8.546270e+00	1.093223e+02	HSP90AA1;HSPA5;CUL1;EIF2AK2;RRBP1;FBXO6;CKAP4;HSPA1A;SKP1
KEGG_2019_Human	Hepatocellular carcinoma	9/168	3.228237e-06	5.111376e-05	0	0	8.383742e+00	1.060005e+02	PBRM1;MYC;DVL1;KEAP1;PIK3R1;ARID1A;BRD7;ACTB;TGFBR2
KEGG_2019_Human	Shigellosis	6/65	6.743179e-06	9.855416e-05	0	0	1.480484e+01	1.762809e+02	CDC42;SRC;RAC1;BTRC;ACTB;PFN2
KEGG_2019_Human	Hippo signaling pathway	8/160	1.906508e-05	2.587403e-04	0	0	7.739984e+00	8.411546e+01	PPP1CC;PRKCI;CDH1;MYC;DVL1;BTRC;ACTB;TGFBR2
KEGG_2019_Human	Influenza A	8/171	3.075465e-05	3.895590e-04	0	0	7.213625e+00	7.494574e+01	NXF1;EIF2AK2;TRIM25;PIK3R1;TNF;ACTB;HSPA1A;IFNAR1
KEGG_2019_Human	Colorectal cancer	6/86	3.397190e-05	4.034163e-04	0	0	1.090699e+01	1.122326e+02	MYC;RAC3;RAC1;PIK3R1;RHOA;TGFBR2
KEGG_2019_Human	TGF-beta signaling pathway	6/90	4.395534e-05	4.609227e-04	0	0	1.038550e+01	1.041909e+02	MYC;CUL1;TNF;RHOA;SKP1;TGFBR2
KEGG_2019_Human	Pathogenic Escherichia coli infection	5/55	4.395815e-05	4.609227e-04	0	0	1.445839e+01	1.450505e+02	CDC42;CDH1;NCL;ACTB;RHOA
