Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	16/124	8.081213e-17	1.389969e-14	0	0	2.637971e+01	9.774846e+02	SMAD2;GSK3B;CREBBP;CDKN1A;SMAD3;PCNA;ANAPC7;MCM7;PRKDC;CUL1;SMC1A;CCNA2;MYC;CDK2;E2F1;EP300
KEGG_2019_Human	Spliceosome	16/134	2.868938e-16	2.467287e-14	0	0	2.413193e+01	8.636195e+02	SF3B4;HSPA8;DDX5;ALYREF;HNRNPU;U2AF1;THOC2;EFTUD2;HNRNPM;HNRNPK;SNW1;U2AF2;SRSF5;SRSF6;SNRNP200;HSPA1A
KEGG_2019_Human	Hepatocellular carcinoma	16/168	1.086388e-14	6.228625e-13	0	0	1.870175e+01	6.013237e+02	SMAD2;GSK3B;CDKN1A;SMAD3;KEAP1;PIK3R1;ARID1A;ACTB;SMARCA4;MYC;DVL1;E2F1;AKT1;PLCG1;ARID2;BRD7
KEGG_2019_Human	Pathways in cancer	21/530	1.980132e-11	8.514569e-10	0	0	7.536865e+00	1.857481e+02	SMAD2;NCOA1;GSK3B;CREBBP;HSP90AA1;CDKN1A;SMAD3;CUL1;KEAP1;PIK3R1;ESR1;MSH2;MYC;CDK2;DVL1;E2F1;RARA;AKT1;EP300;PLCG1;CRK
KEGG_2019_Human	Hepatitis B	13/163	3.682024e-11	1.266616e-09	0	0	1.499409e+01	3.602327e+02	SMAD2;CREBBP;CDKN1A;PCNA;SMAD3;SRC;PIK3R1;CCNA2;MYC;CDK2;E2F1;AKT1;EP300
KEGG_2019_Human	Thyroid hormone signaling pathway	11/116	1.950947e-10	5.592715e-09	0	0	1.785287e+01	3.991463e+02	NCOA1;GSK3B;CREBBP;SRC;MYC;AKT1;EP300;PIK3R1;PLCG1;ESR1;ACTB
KEGG_2019_Human	Cellular senescence	11/160	6.085644e-09	1.495330e-07	0	0	1.255288e+01	2.374670e+02	SMAD2;CCNA2;PPP1CC;CDKN1A;SMAD3;RBBP4;MYC;CDK2;E2F1;AKT1;PIK3R1
KEGG_2019_Human	Prostate cancer	9/97	1.125436e-08	2.332171e-07	0	0	1.714802e+01	3.138517e+02	GSK3B;CREBBP;CDKN1A;HSP90AA1;CDK2;E2F1;AKT1;EP300;PIK3R1
KEGG_2019_Human	Influenza A	11/171	1.220322e-08	2.332171e-07	0	0	1.168335e+01	2.128890e+02	NXF1;HSPA8;GSK3B;CREBBP;HNRNPUL1;AKT1;EP300;TRIM25;PIK3R1;ACTB;HSPA1A
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	12/219	1.563938e-08	2.689974e-07	0	0	9.913548e+00	1.781809e+02	SMAD2;CCNA2;CREBBP;CDKN1A;SMAD3;ANAPC7;MYC;CDK2;E2F1;AKT1;EP300;PIK3R1
KEGG_2019_Human	Gastric cancer	10/149	3.861825e-08	6.038489e-07	0	0	1.213429e+01	2.071268e+02	SMAD2;GSK3B;CDKN1A;SMAD3;MYC;CDK2;DVL1;E2F1;AKT1;PIK3R1
KEGG_2019_Human	Viral carcinogenesis	11/201	6.468374e-08	8.309349e-07	0	0	9.823639e+00	1.626181e+02	CCNA2;USP7;CREBBP;CDKN1A;HNRNPK;SNW1;SRC;CDK2;EP300;PIK3R1;HIST2H2BE
KEGG_2019_Human	Proteoglycans in cancer	11/201	6.468374e-08	8.309349e-07	0	0	9.823639e+00	1.626181e+02	SMAD2;PPP1CC;DDX5;CDKN1A;SRC;MYC;AKT1;PIK3R1;PLCG1;ESR1;ACTB
KEGG_2019_Human	ErbB signaling pathway	8/85	6.763424e-08	8.309349e-07	0	0	1.728342e+01	2.853346e+02	GSK3B;CDKN1A;SRC;MYC;AKT1;PIK3R1;PLCG1;CRK
KEGG_2019_Human	Colorectal cancer	8/86	7.417737e-08	8.505672e-07	0	0	1.706098e+01	2.800868e+02	SMAD2;GSK3B;CDKN1A;SMAD3;MSH2;MYC;AKT1;PIK3R1
KEGG_2019_Human	FoxO signaling pathway	9/132	1.658540e-07	1.782931e-06	0	0	1.224680e+01	1.911989e+02	SMAD2;USP7;CREBBP;CDKN1A;SMAD3;CDK2;AKT1;EP300;PIK3R1
KEGG_2019_Human	Estrogen signaling pathway	9/137	2.280408e-07	2.307236e-06	0	0	1.176543e+01	1.799374e+02	NCOA1;HSPA8;HSP90AA1;SRC;RARA;AKT1;PIK3R1;ESR1;HSPA1A
