Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatocellular carcinoma	20/168	1.946723e-20	3.465167e-18	0	0	2.613937e+01	1.186350e+03	SMARCD1;TGFB2;SMAD4;PBRM1;SMARCB1;SMAD3;SMARCC2;ACTL6A;PIK3R1;ARID1A;ACTB;TGFBR2;TERT;RPS6KB1;MYC;DPF1;DVL1;CTNNB1;PLCG1;BRD7
KEGG_2019_Human	Pathways in cancer	26/530	1.279027e-16	1.138334e-14	0	0	1.041096e+01	3.809919e+02	CUL2;CUL1;PIK3R1;CDC42;RASSF1;TERT;CDH1;MYC;DVL1;ITGAV;PLCG1;SKP1;TGFB2;SMAD4;HSP90AA1;SMAD3;EGF;FN1;ESR1;TGFBR2;RPS6KB1;SP1;RARA;RARB;CTNNB1;CRK
KEGG_2019_Human	TGF-beta signaling pathway	12/90	2.802095e-13	1.662576e-11	0	0	2.769231e+01	8.003974e+02	TGFB2;SMAD4;SMAD3;PPP2R1B;RPS6KB1;SMURF1;SP1;MYC;CUL1;SKP1;TGFBR2;SMAD7
KEGG_2019_Human	Hippo signaling pathway	14/160	1.003909e-12	4.467395e-11	0	0	1.751953e+01	4.840142e+02	TGFB2;SMAD4;SMAD3;ACTB;SMAD7;TGFBR2;PAK1;RASSF1;PPP2R1B;CDH1;MYC;DVL1;CTNNB1;BTRC
KEGG_2019_Human	Proteoglycans in cancer	15/201	1.527447e-12	5.437711e-11	0	0	1.484172e+01	4.038051e+02	TGFB2;SRC;CAV1;FN1;PIK3R1;IQGAP1;ESR1;ACTB;CDC42;PAK1;RPS6KB1;MYC;CTNNB1;ITGAV;PLCG1
KEGG_2019_Human	Gastric cancer	13/149	7.015718e-12	2.081330e-10	0	0	1.731287e+01	4.446442e+02	TGFB2;SMAD4;SMAD3;EGF;PIK3R1;TGFBR2;TERT;RPS6KB1;CDH1;MYC;DVL1;RARB;CTNNB1
KEGG_2019_Human	Endocytosis	15/244	2.478843e-11	6.303345e-10	0	0	1.202853e+01	2.937444e+02	HSPA8;SMAD3;SMURF1;SRC;CAV1;NEDD4L;AP2A1;AP2B1;AP2A2;TGFBR2;CDC42;DAB2;AP2M1;HSPA1A;SNX6
KEGG_2019_Human	Adherens junction	9/72	5.344397e-10	1.189128e-08	0	0	2.505057e+01	5.348247e+02	CDC42;SMAD4;SMAD3;CDH1;SRC;CTNNB1;IQGAP1;ACTB;TGFBR2
KEGG_2019_Human	Bacterial invasion of epithelial cells	9/74	6.869645e-10	1.358663e-08	0	0	2.427733e+01	5.122211e+02	CDC42;CDH1;SRC;CAV1;FN1;CTNNB1;PIK3R1;CRK;ACTB
KEGG_2019_Human	Pancreatic cancer	9/75	7.766741e-10	1.382480e-08	0	0	2.390829e+01	5.015002e+02	CDC42;TGFB2;SMAD4;SMAD3;RPS6KB1;EGF;PIK3R1;TGFBR2;ARHGEF6
KEGG_2019_Human	ErbB signaling pathway	9/85	2.419639e-09	3.915416e-08	0	0	2.075198e+01	4.117120e+02	PAK1;RPS6KB1;SRC;EGF;MYC;PIK3R1;PLCG1;CRK;NCK1
KEGG_2019_Human	Colorectal cancer	9/86	2.688719e-09	3.988267e-08	0	0	2.048144e+01	4.041848e+02	TGFB2;SMAD4;SMAD3;RPS6KB1;EGF;MYC;CTNNB1;PIK3R1;TGFBR2
KEGG_2019_Human	Regulation of actin cytoskeleton	12/214	7.645425e-09	1.046835e-07	0	0	1.062610e+01	1.985929e+02	CDC42;PAK1;EGF;SRC;FN1;ITGAV;PIK3R1;IQGAP1;ARHGEF7;CRK;ACTB;ARHGEF6
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	9/100	1.035639e-08	1.316741e-07	0	0	1.731820e+01	3.184065e+02	CDC42;TGFB2;SMAD4;SMAD3;NOS3;FN1;PIK3R1;PLCG1;TGFBR2
KEGG_2019_Human	Thyroid hormone signaling pathway	9/116	3.825641e-08	4.279821e-07	0	0	1.471665e+01	2.513450e+02	MED12;SRC;MYC;CTNNB1;ITGAV;PIK3R1;PLCG1;ESR1;ACTB
KEGG_2019_Human	Focal adhesion	11/199	3.847030e-08	4.279821e-07	0	0	1.037905e+01	1.772054e+02	CDC42;PAK1;EGF;SRC;CAV1;FN1;CTNNB1;ITGAV;PIK3R1;CRK;ACTB
KEGG_2019_Human	Protein processing in endoplasmic reticulum	10/165	6.921712e-08	7.247439e-07	0	0	1.136118e+01	1.873005e+02	HSPA8;ATXN3;HSP90AA1;NPLOC4;HSPA5;CUL1;EIF2AK2;EIF2S1;HSPA1A;SKP1
KEGG_2019_Human	Estrogen signaling pathway	9/137	1.615300e-07	1.597352e-06	0	0	1.228913e+01	1.921845e+02	HSPA8;HSP90AA1;SP1;NOS3;SRC;RARA;PIK3R1;ESR1;HSPA1A
KEGG_2019_Human	Chronic myeloid leukemia	7/76	4.076431e-07	3.818972e-06	0	0	1.747486e+01	2.571054e+02	TGFB2;SMAD4;SMAD3;MYC;PIK3R1;CRK;TGFBR2
KEGG_2019_Human	Hepatitis B	9/163	7.061243e-07	6.024387e-06	0	0	1.020090e+01	1.444801e+02	TGFB2;SMAD4;MAVS;SMAD3;DDX3X;SRC;MYC;PIK3R1;TGFBR2
KEGG_2019_Human	Human immunodeficiency virus 1 infection	10/212	7.107423e-07	6.024387e-06	0	0	8.696959e+00	1.231225e+02	CCNB2;PAK1;RPS6KB1;AP1B1;CUL1;PIK3R1;PLCG1;BTRC;CRK;SKP1
KEGG_2019_Human	Cell cycle	8/124	9.278605e-07	7.507235e-06	0	0	1.195523e+01	1.660628e+02	CCNB2;TGFB2;SMAD4;SMAD3;ANAPC7;MYC;CUL1;SKP1
