Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	15/201	3.151369e-11	2.027464e-09	0	0	1.174671e+01	2.840426e+02	USP7;CDKN2A;SRC;EIF2AK2;PIK3R3;YWHAZ;RELA;CDC42;HNRNPK;PKM;CDK4;CDK2;CDK1;MAPK1;TP53
KEGG_2019_Human	Hepatocellular carcinoma	14/168	3.360357e-11	2.027464e-09	0	0	1.316578e+01	3.175110e+02	SMARCD1;SMARCB1;CSNK1A1;CDKN2A;ARAF;PIK3R3;ARID1A;SMARCA4;CDK4;MYC;AKT1;MAPK1;BRD7;TP53
KEGG_2019_Human	Ubiquitin mediated proteolysis	13/137	3.379107e-11	2.027464e-09	0	0	1.509524e+01	3.639588e+02	UBE2I;UBE2D2;UBE2D3;CUL2;CUL1;HUWE1;UBE2D1;CUL4A;FZR1;UBR5;VHL;UBE2M;CUL4B
KEGG_2019_Human	Chronic myeloid leukemia	10/76	2.600881e-10	1.170396e-08	0	0	2.141126e+01	4.725464e+02	CDKN2A;CDK4;MYC;ARAF;AKT1;PIK3R3;MAPK1;TP53;CRK;RELA
KEGG_2019_Human	Bladder cancer	8/41	6.427652e-10	2.313955e-08	0	0	3.383184e+01	7.160591e+02	SRC;CDKN2A;CDK4;MYC;ARAF;MAPK1;THBS1;TP53
KEGG_2019_Human	Hepatitis C	12/155	2.102028e-09	6.140777e-08	0	0	1.198358e+01	2.394363e+02	PPP2CA;CDK4;MYC;CDK2;ARAF;AKT1;EIF2AK2;PIK3R3;MAPK1;TP53;YWHAZ;RELA
KEGG_2019_Human	Cell cycle	11/124	2.388080e-09	6.140777e-08	0	0	1.382231e+01	2.744112e+02	FZR1;CCNH;PRKDC;CDK4;CDKN2A;MYC;CDK2;CUL1;CDK1;TP53;YWHAZ
KEGG_2019_Human	Cellular senescence	12/160	3.021920e-09	6.799321e-08	0	0	1.157579e+01	2.270867e+02	PPP1CC;CDK4;CDKN2A;MYC;CDK2;CDK1;AKT1;PIK3R3;MAPK1;FOXO3;TP53;RELA
KEGG_2019_Human	Pancreatic cancer	9/75	4.859201e-09	9.718402e-08	0	0	1.913346e+01	3.662602e+02	CDC42;CDKN2A;CDK4;ARAF;AKT1;PIK3R3;MAPK1;TP53;RELA
KEGG_2019_Human	Pathways in cancer	19/530	1.778565e-08	3.201417e-07	0	0	5.489028e+00	9.795101e+01	HSP90AB1;CDKN2A;CUL2;ARAF;CUL1;PIK3R3;ESR1;RELA;HSP90B1;CDC42;MSH2;CDK4;MYC;CDK2;AKT1;MAPK1;VHL;TP53;CRK
