Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatocellular carcinoma	14/168	2.224987e-14	3.470980e-12	0	0	2.394788e+01	7.528361e+02	SMARCE1;SMARCD1;PBRM1;SMARCB1;SMARCC2;SMARCD3;CDKN2A;ACTL6A;PIK3R1;ARID1A;SMARCA4;E2F3;BRD7;ARID2
KEGG_2019_Human	Homologous recombination	7/41	5.402267e-10	4.213769e-08	0	0	4.990638e+01	1.064954e+03	TOP3B;RAD52;RAD51;RPA3;RPA2;ATM;BRCA1
KEGG_2019_Human	Pathways in cancer	16/530	1.400429e-09	7.282230e-08	0	0	8.271201e+00	1.686207e+02	NCOA1;NTRK1;HDAC2;CDKN2A;HDAC1;CUL2;CUL1;PIK3R1;ESR1;CDC42;CCNA1;RAD51;RARA;E2F3;CRK;SKP1
KEGG_2019_Human	Cell cycle	9/124	4.227425e-09	1.648696e-07	0	0	1.936565e+01	3.734022e+02	CCNA1;HDAC2;CDKN2A;HDAC1;CUL1;ATM;E2F3;ATR;SKP1
KEGG_2019_Human	Fanconi anemia pathway	6/54	1.423990e-07	4.442847e-06	0	0	2.991416e+01	4.715857e+02	TOP3B;RAD51;RPA3;RPA2;BRCA1;ATR
KEGG_2019_Human	Viral carcinogenesis	9/201	2.776215e-07	7.218159e-06	0	0	1.155410e+01	1.744324e+02	CDC42;CCNA1;HDAC2;CDKN2A;HIST4H4;SRC;HDAC1;EIF2AK2;PIK3R1
KEGG_2019_Human	Thermogenesis	9/231	8.922965e-07	1.988546e-05	0	0	9.977534e+00	1.389817e+02	SMARCE1;SMARCD1;SMARCB1;SMARCC2;SMARCD3;COX15;ACTL6A;ARID1A;SMARCA4
KEGG_2019_Human	Chronic myeloid leukemia	6/76	1.114648e-06	2.173563e-05	0	0	2.048985e+01	2.808537e+02	HDAC2;HDAC1;CDKN2A;E2F3;PIK3R1;CRK
KEGG_2019_Human	Cellular senescence	7/160	7.309465e-06	1.266974e-04	0	0	1.102391e+01	1.303725e+02	CCNA1;CDKN2A;ATM;E2F3;PIK3R1;SIRT1;ATR
KEGG_2019_Human	RNA transport	7/165	8.941739e-06	1.394911e-04	0	0	1.067235e+01	1.240638e+02	NXF1;SUMO1;ALYREF;EIF4A3;SUMO2;DDX20;EIF3A
KEGG_2019_Human	Thyroid hormone signaling pathway	6/116	1.312422e-05	1.861254e-04	0	0	1.301271e+01	1.462765e+02	NCOA1;HDAC2;SRC;HDAC1;PIK3R1;ESR1
KEGG_2019_Human	Transcriptional misregulation in cancer	7/186	1.946845e-05	2.524424e-04	0	0	9.410274e+00	1.020706e+02	NTRK1;CCNA1;DDX5;HDAC2;HDAC1;RARA;ATM
KEGG_2019_Human	Pancreatic cancer	5/75	2.103686e-05	2.524424e-04	0	0	1.687160e+01	1.816942e+02	CDC42;RAD51;CDKN2A;E2F3;PIK3R1
KEGG_2019_Human	Spliceosome	6/134	2.978384e-05	3.318771e-04	0	0	1.117263e+01	1.164360e+02	EFTUD2;DDX5;DHX8;ALYREF;EIF4A3;CTNNBL1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	7/212	4.495545e-05	4.675367e-04	0	0	8.205949e+00	8.214022e+01	AP1B1;CUL1;ATM;PIK3R1;CRK;ATR;SKP1
KEGG_2019_Human	Human papillomavirus infection	8/330	1.117035e-04	1.089109e-03	0	0	6.008435e+00	5.467473e+01	CDC42;CCNA1;HDAC2;HDAC1;EIF2AK2;ATM;PIK3R1;ATR
KEGG_2019_Human	Renal cell carcinoma	4/69	2.539848e-04	2.330684e-03	0	0	1.436814e+01	1.189429e+02	CDC42;CUL2;PIK3R1;CRK
KEGG_2019_Human	Epstein-Barr virus infection	6/201	2.779730e-04	2.409100e-03	0	0	7.308990e+00	5.984591e+01	CCNA1;HDAC2;HDAC1;EIF2AK2;E2F3;PIK3R1
KEGG_2019_Human	Bacterial invasion of epithelial cells	4/74	3.323780e-04	2.669158e-03	0	0	1.333849e+01	1.068311e+02	CDC42;SRC;PIK3R1;CRK
KEGG_2019_Human	Ubiquitin mediated proteolysis	5/137	3.668562e-04	2.669158e-03	0	0	8.919102e+00	7.055492e+01	HERC2;CUL2;CUL1;BRCA1;SKP1
KEGG_2019_Human	Estrogen signaling pathway	5/137	3.668562e-04	2.669158e-03	0	0	8.919102e+00	7.055492e+01	NCOA1;SRC;RARA;PIK3R1;ESR1
KEGG_2019_Human	MicroRNAs in cancer	7/299	3.764197e-04	2.669158e-03	0	0	5.735591e+00	4.522402e+01	CDKN2A;HDAC1;ATM;E2F3;BRCA1;SIRT1;CRK
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	6/219	4.390875e-04	2.978159e-03	0	0	6.685220e+00	5.168218e+01	CCNA1;CDKN2A;ATM;E2F3;PIK3R1;ATR
KEGG_2019_Human	Breast cancer	5/147	5.065076e-04	3.292300e-03	0	0	8.286804e+00	6.288003e+01	NCOA1;E2F3;BRCA1;PIK3R1;ESR1
KEGG_2019_Human	ErbB signaling pathway	4/85	5.635521e-04	3.516565e-03	0	0	1.152070e+01	8.618923e+01	SRC;PIK3R1;CRK;NCK1
KEGG_2019_Human	mRNA surveillance pathway	4/91	7.289596e-04	4.373758e-03	0	0	1.072292e+01	7.746122e+01	NXF1;CPSF1;ALYREF;EIF4A3
KEGG_2019_Human	Bladder cancer	3/41	8.034749e-04	4.642299e-03	0	0	1.824327e+01	1.300118e+02	SRC;CDKN2A;E2F3
KEGG_2019_Human	Longevity regulating pathway	4/102	1.116841e-03	6.222398e-03	0	0	9.514046e+00	6.466936e+01	HDAC2;HDAC1;PIK3R1;SIRT1
KEGG_2019_Human	Neurotrophin signaling pathway	4/119	1.970816e-03	1.060163e-02	0	0	8.100665e+00	5.046154e+01	NTRK1;CDC42;PIK3R1;CRK
KEGG_2019_Human	Proteoglycans in cancer	5/201	2.045154e-03	1.063480e-02	0	0	5.987306e+00	3.707509e+01	CDC42;DDX5;SRC;PIK3R1;ESR1
KEGG_2019_Human	VEGF signaling pathway	3/59	2.313014e-03	1.163968e-02	0	0	1.236815e+01	7.506481e+01	CDC42;SRC;PIK3R1
KEGG_2019_Human	Shigellosis	3/65	3.048800e-03	1.460800e-02	0	0	1.116785e+01	6.469546e+01	CDC42;SRC;CRK
KEGG_2019_Human	Acute myeloid leukemia	3/66	3.183796e-03	1.460800e-02	0	0	1.099003e+01	6.318919e+01	CCNA1;RARA;PIK3R1
KEGG_2019_Human	Non-small cell lung cancer	3/66	3.183796e-03	1.460800e-02	0	0	1.099003e+01	6.318919e+01	CDKN2A;E2F3;PIK3R1
KEGG_2019_Human	Human cytomegalovirus infection	5/225	3.326249e-03	1.482557e-02	0	0	5.327652e+00	3.039910e+01	CDKN2A;SRC;E2F3;PIK3R1;CRK
KEGG_2019_Human	Fluid shear stress and atherosclerosis	4/139	3.455742e-03	1.497488e-02	0	0	6.893595e+00	3.907095e+01	SUMO1;SRC;SUMO2;PIK3R1
KEGG_2019_Human	Prolactin signaling pathway	3/70	3.760261e-03	1.585407e-02	0	0	1.033183e+01	5.768536e+01	SRC;PIK3R1;ESR1
KEGG_2019_Human	p53 signaling pathway	3/72	4.070797e-03	1.628319e-02	0	0	1.003134e+01	5.521168e+01	CDKN2A;ATM;ATR
