Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatitis C	15/155	6.586401e-13	1.159207e-10	0	0	1.576039e+01	4.420570e+02	YWHAB;BRAF;PPP2R2A;TYK2;EIF2S1;YWHAZ;PPP2CA;NRAS;YWHAQ;TRAF3;PSME3;AKT1;HRAS;YWHAG;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	12/168	4.877610e-09	4.292297e-07	0	0	1.105839e+01	2.116423e+02	SMARCE1;NRAS;SMARCB1;SMARCC2;RPS6KB2;AKT1;BRAF;ARID2;BRD7;HRAS;SMARCA4;MAPK3
KEGG_2019_Human	Hepatitis B	11/163	3.932657e-08	2.307159e-06	0	0	1.033033e+01	1.761462e+02	NRAS;PCNA;YWHAQ;TRAF3;YWHAB;AKT1;BRAF;TYK2;YWHAZ;HRAS;MAPK3
KEGG_2019_Human	Viral carcinogenesis	11/201	3.310515e-07	9.958836e-06	0	0	8.248322e+00	1.230731e+02	USP7;NRAS;GSN;SNW1;YWHAQ;TRAF3;YWHAB;YWHAZ;HRAS;YWHAG;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	11/201	3.310515e-07	9.958836e-06	0	0	8.248322e+00	1.230731e+02	PPP1CC;NRAS;MRAS;CTTN;RPS6KB2;AKT1;FLNA;FLNB;BRAF;HRAS;MAPK3
KEGG_2019_Human	mRNA surveillance pathway	8/91	3.960901e-07	9.958836e-06	0	0	1.351312e+01	1.992053e+02	PPP2CA;PPP1CC;CPSF7;DDX39B;CPSF1;PAPOLA;CSTF1;PPP2R2A
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	8/91	3.960901e-07	9.958836e-06	0	0	1.351312e+01	1.992053e+02	VASP;GSN;PRKCE;RPS6KB2;AKT1;ARPC4;WASL;MAPK3
KEGG_2019_Human	Autophagy	9/128	4.977274e-07	1.087572e-05	0	0	1.065954e+01	1.547042e+02	PPP2CA;NRAS;MRAS;RPS6KB2;IRS4;AKT1;EIF2S1;HRAS;MAPK3
KEGG_2019_Human	Acute myeloid leukemia	7/66	5.961222e-07	1.087572e-05	0	0	1.653664e+01	2.370167e+02	NRAS;JUP;RPS6KB2;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Regulation of actin cytoskeleton	11/214	6.179384e-07	1.087572e-05	0	0	7.715000e+00	1.103004e+02	PPP1CC;NRAS;GSN;MRAS;ARPC4;BRAF;WASL;PFN1;HRAS;VCL;MAPK3
KEGG_2019_Human	Spliceosome	9/134	7.333921e-07	1.173427e-05	0	0	1.014480e+01	1.433012e+02	PRPF6;SNW1;PHF5A;DDX39B;DHX15;PPIE;CDC5L;SNRNP200;CRNKL1
KEGG_2019_Human	Insulin signaling pathway	9/137	8.837569e-07	1.296177e-05	0	0	9.905525e+00	1.380739e+02	PPP1CC;NRAS;RPS6KB2;IRS4;AKT1;BRAF;CALM1;HRAS;MAPK3
KEGG_2019_Human	C-type lectin receptor signaling pathway	8/104	1.106541e-06	1.498086e-05	0	0	1.167553e+01	1.601214e+02	CYLD;NRAS;MRAS;KSR1;AKT1;CALM1;HRAS;MAPK3
KEGG_2019_Human	Pathogenic Escherichia coli infection	6/55	3.316043e-06	4.168739e-05	0	0	1.695619e+01	2.139318e+02	TUBA1C;YWHAQ;CTTN;ARPC4;WASL;YWHAZ
KEGG_2019_Human	Colorectal cancer	7/86	3.632706e-06	4.262376e-05	0	0	1.233767e+01	1.545359e+02	NRAS;MSH2;RPS6KB2;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Cell cycle	8/124	4.172715e-06	4.586572e-05	0	0	9.652727e+00	1.195678e+02	PCNA;YWHAQ;CCNH;YWHAB;SFN;TTK;YWHAZ;YWHAG
KEGG_2019_Human	Oocyte meiosis	8/125	4.430212e-06	4.586572e-05	0	0	9.569740e+00	1.179668e+02	PPP2CA;PPP1CC;YWHAQ;YWHAB;CALM1;YWHAZ;YWHAG;MAPK3
KEGG_2019_Human	Tight junction	9/170	5.279758e-06	5.162430e-05	0	0	7.862023e+00	9.553640e+01	VASP;PPP2CA;TUBA1C;PCNA;CTTN;PRKCE;NEDD4L;PPP2R2A;WASL
KEGG_2019_Human	Apelin signaling pathway	8/137	8.732927e-06	7.820970e-05	0	0	8.674254e+00	1.010413e+02	NRAS;MRAS;PRKCE;RPS6KB2;AKT1;CALM1;HRAS;MAPK3
KEGG_2019_Human	Shigellosis	6/65	8.887466e-06	7.820970e-05	0	0	1.407515e+01	1.637062e+02	CTTN;ARPC4;WASL;PFN1;VCL;MAPK3
KEGG_2019_Human	Long-term potentiation	6/67	1.060728e-05	8.889909e-05	0	0	1.361229e+01	1.559148e+02	PPP1CC;NRAS;BRAF;CALM1;HRAS;MAPK3
KEGG_2019_Human	Apoptosis	8/143	1.195771e-05	9.566165e-05	0	0	8.286210e+00	9.391702e+01	TUBA1C;NRAS;AKT1;CAPN1;EIF2S1;HRAS;SPTAN1;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	12/354	1.419818e-05	1.086469e-04	0	0	4.996542e+00	5.577339e+01	PPP2CA;NRAS;HSP90AA1;YWHAQ;YWHAB;RPS6KB2;AKT1;PPP2R2A;YWHAZ;HRAS;YWHAG;MAPK3
KEGG_2019_Human	Focal adhesion	9/199	1.874182e-05	1.374400e-04	0	0	6.652218e+00	7.240775e+01	VASP;PPP1CC;AKT1;FLNA;FLNB;BRAF;HRAS;VCL;MAPK3
KEGG_2019_Human	Glioma	6/75	2.038110e-05	1.434829e-04	0	0	1.202919e+01	1.299261e+02	NRAS;AKT1;BRAF;CALM1;HRAS;MAPK3
KEGG_2019_Human	Rap1 signaling pathway	9/206	2.463559e-05	1.667640e-04	0	0	6.413561e+00	6.805633e+01	VASP;NRAS;MRAS;AKT1;BRAF;PFN1;CALM1;HRAS;MAPK3
KEGG_2019_Human	Cellular senescence	8/160	2.698430e-05	1.758977e-04	0	0	7.353117e+00	7.735667e+01	PPP1CC;NRAS;MRAS;AKT1;CAPN1;CALM1;HRAS;MAPK3
KEGG_2019_Human	Sphingolipid signaling pathway	7/119	3.086782e-05	1.940263e-04	0	0	8.687940e+00	9.023118e+01	PPP2CA;NRAS;PRKCE;AKT1;PPP2R2A;HRAS;MAPK3
KEGG_2019_Human	ErbB signaling pathway	6/85	4.164518e-05	2.527431e-04	0	0	1.050120e+01	1.059185e+02	NRAS;RPS6KB2;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Salmonella infection	6/86	4.449613e-05	2.610440e-04	0	0	1.036941e+01	1.039026e+02	FLNA;FLNB;ARPC4;WASL;PFN1;MAPK3
KEGG_2019_Human	FoxO signaling pathway	7/132	5.992137e-05	3.309820e-04	0	0	7.779268e+00	7.563375e+01	USP7;NRAS;IRS4;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Thermogenesis	9/231	6.017854e-05	3.309820e-04	0	0	5.684073e+00	5.523893e+01	SMARCE1;NRAS;ATP5F1A;SMARCB1;SMARCC2;ATP5F1B;RPS6KB2;HRAS;SMARCA4
KEGG_2019_Human	Endometrial cancer	5/58	7.153636e-05	3.815273e-04	0	0	1.297039e+01	1.238063e+02	NRAS;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Long-term depression	5/60	8.425273e-05	4.361318e-04	0	0	1.249747e+01	1.172474e+02	PPP2CA;NRAS;BRAF;HRAS;MAPK3
KEGG_2019_Human	Prostate cancer	6/97	8.745229e-05	4.397601e-04	0	0	9.110889e+00	8.513595e+01	HSP90AA1;NRAS;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Choline metabolism in cancer	6/99	9.796399e-05	4.789351e-04	0	0	8.914054e+00	8.228483e+01	NRAS;RPS6KB2;AKT1;WASL;HRAS;MAPK3
KEGG_2019_Human	Adrenergic signaling in cardiomyocytes	7/145	1.083018e-04	5.151654e-04	0	0	7.041794e+00	6.429573e+01	PPP2CA;PPP1CC;ACTC1;AKT1;PPP2R2A;CALM1;MAPK3
KEGG_2019_Human	Gastric cancer	7/149	1.283429e-04	5.944302e-04	0	0	6.842045e+00	6.131023e+01	NRAS;JUP;RPS6KB2;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	5/66	1.330145e-04	6.002707e-04	0	0	1.126480e+01	1.005389e+02	NRAS;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Thyroid cancer	4/37	1.613777e-04	7.052992e-04	0	0	1.656677e+01	1.446571e+02	NRAS;BRAF;HRAS;MAPK3
KEGG_2019_Human	Renal cell carcinoma	5/69	1.643027e-04	7.052992e-04	0	0	1.073513e+01	9.354382e+01	NRAS;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Hippo signaling pathway	7/160	1.994077e-04	8.223825e-04	0	0	6.346589e+00	5.407395e+01	PPP2CA;PPP1CC;YWHAQ;YWHAB;PPP2R2A;YWHAZ;YWHAG
KEGG_2019_Human	Melanoma	5/72	2.009230e-04	8.223825e-04	0	0	1.025290e+01	8.727874e+01	NRAS;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Bladder cancer	4/41	2.417973e-04	9.671892e-04	0	0	1.477279e+01	1.230191e+02	NRAS;BRAF;HRAS;MAPK3
KEGG_2019_Human	cGMP-PKG signaling pathway	7/166	2.498602e-04	9.772312e-04	0	0	6.105235e+00	5.064054e+01	VASP;PPP1CC;PRKCE;IRS4;AKT1;CALM1;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	5/76	2.590525e-04	9.911572e-04	0	0	9.673318e+00	7.988690e+01	NRAS;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	6/119	2.685926e-04	1.005793e-03	0	0	7.328919e+00	6.026068e+01	NRAS;AKT1;BRAF;CALM1;HRAS;MAPK3
KEGG_2019_Human	Ras signaling pathway	8/232	3.558420e-04	1.304754e-03	0	0	4.971378e+00	3.947783e+01	BRAP;NRAS;MRAS;KSR1;AKT1;CALM1;HRAS;MAPK3
KEGG_2019_Human	NOD-like receptor signaling pathway	7/178	3.815457e-04	1.370450e-03	0	0	5.673338e+00	4.465643e+01	HSP90AA1;TRAF3;TXN;TP53BP1;TYK2;DNM1L;MAPK3
KEGG_2019_Human	Alcoholism	7/180	4.080795e-04	1.436440e-03	0	0	5.607181e+00	4.375871e+01	PPP1CC;NRAS;H2AFZ;BRAF;CALM1;HRAS;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	7/186	4.966485e-04	1.683398e-03	0	0	5.417578e+00	4.121492e+01	NRAS;TRAF3;AKT1;TYK2;CALM1;HRAS;MAPK3
KEGG_2019_Human	Endocytosis	8/244	4.973675e-04	1.683398e-03	0	0	4.715711e+00	3.586855e+01	ITCH;SMURF2;CAPZA1;NEDD4L;WWP1;ARPC4;WASL;HRAS
KEGG_2019_Human	Ubiquitin mediated proteolysis	6/137	5.702101e-04	1.858463e-03	0	0	6.316127e+00	4.717834e+01	ITCH;SMURF2;NEDD4L;WWP1;UBA1;WWP2
KEGG_2019_Human	Estrogen signaling pathway	6/137	5.702101e-04	1.858463e-03	0	0	6.316127e+00	4.717834e+01	HSP90AA1;NRAS;AKT1;CALM1;HRAS;MAPK3
KEGG_2019_Human	Epstein-Barr virus infection	7/201	7.860970e-04	2.515510e-03	0	0	4.994882e+00	3.570556e+01	USP7;PSMC5;SNW1;TRAF3;AKT1;TYK2;CALR
KEGG_2019_Human	Breast cancer	6/147	8.252470e-04	2.593634e-03	0	0	5.865199e+00	4.164190e+01	NRAS;RPS6KB2;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Human papillomavirus infection	9/330	8.407348e-04	2.595953e-03	0	0	3.911215e+00	2.769623e+01	PPP2CA;NRAS;TRAF3;RPS6KB2;AKT1;PPP2R2A;TYK2;HRAS;MAPK3
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	5/100	9.152048e-04	2.777173e-03	0	0	7.220760e+00	5.051906e+01	NRAS;PRKCE;AKT1;HRAS;MAPK3
KEGG_2019_Human	VEGF signaling pathway	4/59	9.796254e-04	2.880264e-03	0	0	9.929028e+00	6.879169e+01	NRAS;AKT1;HRAS;MAPK3
KEGG_2019_Human	mTOR signaling pathway	6/152	9.819083e-04	2.880264e-03	0	0	5.662899e+00	3.922131e+01	NRAS;RPS6KB2;AKT1;BRAF;HRAS;MAPK3
KEGG_2019_Human	Longevity regulating pathway	5/102	1.000552e-03	2.886837e-03	0	0	7.071163e+00	4.884196e+01	NRAS;RPS6KB2;IRS4;AKT1;HRAS
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	5/103	1.045376e-03	2.967519e-03	0	0	6.998654e+00	4.803441e+01	PPP2CA;AKT1;PPP2R2A;CALR;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	7/212	1.072720e-03	2.996804e-03	0	0	4.724218e+00	3.230212e+01	NRAS;RPS6KB2;AKT1;CALR;CALM1;HRAS;MAPK3
KEGG_2019_Human	Necroptosis	6/162	1.363016e-03	3.748294e-03	0	0	5.297203e+00	3.495124e+01	CYLD;HSP90AA1;H2AFZ;CAPN1;TYK2;DNM1L
KEGG_2019_Human	TNF signaling pathway	5/110	1.402090e-03	3.754369e-03	0	0	6.529762e+00	4.289917e+01	ITCH;TRAF3;AKT1;DNM1L;MAPK3
KEGG_2019_Human	Central carbon metabolism in cancer	4/65	1.407889e-03	3.754369e-03	0	0	8.949689e+00	5.876065e+01	NRAS;AKT1;HRAS;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	7/225	1.511021e-03	3.969250e-03	0	0	4.439559e+00	2.883480e+01	NRAS;RPS6KB2;AKT1;CALR;CALM1;HRAS;MAPK3
KEGG_2019_Human	Fc epsilon RI signaling pathway	4/68	1.664578e-03	4.305575e-03	0	0	8.528879e+00	5.456934e+01	NRAS;AKT1;HRAS;MAPK3
KEGG_2019_Human	MAPK signaling pathway	8/295	1.687981e-03	4.305575e-03	0	0	3.867645e+00	2.469191e+01	NRAS;MRAS;AKT1;FLNA;FLNB;BRAF;HRAS;MAPK3
KEGG_2019_Human	Prolactin signaling pathway	4/70	1.852722e-03	4.658272e-03	0	0	8.269592e+00	5.202483e+01	NRAS;AKT1;HRAS;MAPK3
KEGG_2019_Human	B cell receptor signaling pathway	4/71	1.952103e-03	4.839017e-03	0	0	8.145754e+00	5.082012e+01	NRAS;AKT1;HRAS;MAPK3
KEGG_2019_Human	AMPK signaling pathway	5/120	2.057632e-03	5.029767e-03	0	0	5.958937e+00	3.686317e+01	PPP2CA;RPS6KB2;IRS4;AKT1;PPP2R2A
KEGG_2019_Human	Pathways in cancer	11/530	2.103767e-03	5.072096e-03	0	0	2.969088e+00	1.830153e+01	NRAS;HSP90AA1;MSH2;JUP;TRAF3;RPS6KB2;AKT1;BRAF;CALM1;HRAS;MAPK3
