Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ribosome	21/153	1.511092e-20	2.463080e-18	0	0	2.358134e+01	1.076226e+03	RPS9;RPL3;RPL32;RPL21;RPS7;RPL10;RPL23;RPS5;RPL12;RPLP0;RPL35A;RPL23A;RPL10A;MRPL12;RPL14;RPS20;RPL26;RPS10;RPL17;RPS24;RPL19
KEGG_2019_Human	Hepatocellular carcinoma	9/168	6.276561e-06	3.664009e-04	0	0	7.685231e+00	9.205899e+01	SMARCE1;SMARCD1;NRAS;SMARCD3;PIK3CA;ARID2;ARID1A;BRD7;SMARCA4
KEGG_2019_Human	Autophagy	8/128	6.743575e-06	3.664009e-04	0	0	9.007306e+00	1.072493e+02	PPP2CB;NRAS;PIK3CA;STX17;DAPK3;IRS4;HMGB1;SNAP29
KEGG_2019_Human	mRNA surveillance pathway	6/91	7.349375e-05	2.994870e-03	0	0	9.424960e+00	8.970969e+01	PPP1CC;PPP2CB;CPSF1;CSTF2;PAPOLA;PABPC1
KEGG_2019_Human	Prolactin signaling pathway	5/70	2.051255e-04	6.507391e-03	0	0	1.021218e+01	8.672073e+01	NRAS;PIK3CA;STAT1;ESR1;ESR2
KEGG_2019_Human	Cellular senescence	7/160	2.441721e-04	6.507391e-03	0	0	6.129163e+00	5.098015e+01	PPP1CC;CCNA1;NRAS;PIK3CA;RASSF5;MDM2;CAPN1
KEGG_2019_Human	Thyroid hormone signaling pathway	6/116	2.794585e-04	6.507391e-03	0	0	7.273710e+00	5.951827e+01	MED1;NRAS;PIK3CA;STAT1;MDM2;ESR1
KEGG_2019_Human	Basal transcription factors	4/45	3.939883e-04	8.027511e-03	0	0	1.288130e+01	1.009790e+02	CDK7;TAF10;MNAT1;GTF2E2
KEGG_2019_Human	Nucleotide excision repair	4/47	4.660589e-04	8.440845e-03	0	0	1.228093e+01	9.420945e+01	CDK7;PCNA;XPA;MNAT1
KEGG_2019_Human	Spliceosome	6/134	6.036892e-04	9.840133e-03	0	0	6.245144e+00	4.629182e+01	PRPF6;SNW1;SF3A2;PUF60;SNRNP70;CDC5L
KEGG_2019_Human	Pathways in cancer	12/530	8.413266e-04	1.196424e-02	0	0	3.153189e+00	2.232625e+01	CCNA1;NRAS;RAD51;MSH2;PIK3CA;STAT1;RASSF5;DAPK3;MDM2;ESR1;ESR2;SKP1
KEGG_2019_Human	Viral carcinogenesis	7/201	9.542033e-04	1.196424e-02	0	0	4.823760e+00	3.354749e+01	CCNA1;NRAS;GSN;SNW1;PIK3CA;MDM2;GTF2E2
KEGG_2019_Human	Proteoglycans in cancer	7/201	9.542033e-04	1.196424e-02	0	0	4.823760e+00	3.354749e+01	PPP1CC;NRAS;PIK3CA;CTTN;MDM2;FLNA;ESR1
KEGG_2019_Human	Regulation of actin cytoskeleton	7/214	1.371121e-03	1.596377e-02	0	0	4.517828e+00	2.978210e+01	CYFIP1;PPP1CC;NRAS;GSN;PIK3CA;PFN1;BAIAP2
KEGG_2019_Human	Thermogenesis	7/231	2.117263e-03	2.210000e-02	0	0	4.171344e+00	2.568559e+01	SMARCE1;SMARCD1;NRAS;ATP5F1A;SMARCD3;ARID1A;SMARCA4
KEGG_2019_Human	Ras signaling pathway	7/232	2.169325e-03	2.210000e-02	0	0	4.152593e+00	2.546926e+01	AFDN;NRAS;PIK3CA;RASSF5;NF1;SHOC2;RIN1
KEGG_2019_Human	AMPK signaling pathway	5/120	2.375398e-03	2.277588e-02	0	0	5.757514e+00	3.479030e+01	CCNA1;PPP2CB;PIK3CA;IRS4;ELAVL1
KEGG_2019_Human	Cell cycle	5/124	2.738458e-03	2.479826e-02	0	0	5.562856e+00	3.282285e+01	CCNA1;CDK7;PCNA;MDM2;SKP1
KEGG_2019_Human	Bladder cancer	3/41	3.851717e-03	3.304367e-02	0	0	1.035622e+01	5.757268e+01	NRAS;DAPK3;MDM2
KEGG_2019_Human	Insulin signaling pathway	5/137	4.196695e-03	3.420307e-02	0	0	5.011694e+00	2.743130e+01	PPP1CC;NRAS;PIK3CA;IRS4;SORBS1
KEGG_2019_Human	Epstein-Barr virus infection	6/201	4.697834e-03	3.646414e-02	0	0	4.085447e+00	2.190067e+01	CCNA1;PSMC5;SNW1;PIK3CA;STAT1;MDM2
KEGG_2019_Human	Hepatitis C	5/155	7.032186e-03	5.210210e-02	0	0	4.406264e+00	2.184299e+01	PPP2CB;NRAS;PIK3CA;STAT1;PSME3
KEGG_2019_Human	Necroptosis	5/162	8.428678e-03	5.635070e-02	0	0	4.208310e+00	2.009937e+01	H2AFZ;STAT1;CAPN1;HMGB1;DNM1L
KEGG_2019_Human	C-type lectin receptor signaling pathway	4/104	8.572189e-03	5.635070e-02	0	0	5.265600e+00	2.506021e+01	NRAS;PIK3CA;STAT1;MDM2
KEGG_2019_Human	Hepatitis B	5/163	8.642746e-03	5.635070e-02	0	0	4.181463e+00	1.986628e+01	CCNA1;NRAS;PCNA;PIK3CA;STAT1
KEGG_2019_Human	Mismatch repair	2/23	1.340416e-02	8.372303e-02	0	0	1.242168e+01	5.356464e+01	PCNA;MSH2
