Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Prostate cancer	13/97	1.369618e-15	2.287262e-13	0	0	3.608319e+01	1.234920e+03	GSK3B;PTEN;AR;CREB1;CCND1;CCNE1;E2F1;EP300;MAPK1;CTNNB1;GRB2;ERG;MAPK3
KEGG_2019_Human	Pathways in cancer	22/530	9.116366e-15	7.612166e-13	0	0	1.105128e+01	3.572737e+02	GSK3B;EGLN2;CTBP1;CDKN2A;ZBTB16;NCOA3;DAPK3;FN1;PTEN;ESR1;GLI2;AR;CDK6;CCND1;CCNE1;E2F1;CTNNB1;EP300;MAPK1;GRB2;CRK;MAPK3
KEGG_2019_Human	Breast cancer	13/147	3.354362e-13	1.867262e-11	0	0	2.256225e+01	6.480632e+02	GSK3B;NCOA3;PTEN;BRCA1;ESR1;CDK6;CCND1;E2F1;CTNNB1;MAPK1;PGR;GRB2;MAPK3
KEGG_2019_Human	Viral carcinogenesis	13/201	1.836665e-11	7.668075e-10	0	0	1.603767e+01	3.964590e+02	GSN;CDKN2A;CHD4;HDAC6;CREB1;CDK6;CCND1;CCNE1;CDK1;EP300;MAPK1;GRB2;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	9/76	1.216051e-10	4.061611e-09	0	0	2.993711e+01	6.834715e+02	CDK6;CCND1;CTBP1;CDKN2A;E2F1;MAPK1;GRB2;CRK;MAPK3
KEGG_2019_Human	Cell cycle	10/124	5.136212e-10	1.429579e-08	0	0	1.972488e+01	4.219060e+02	GSK3B;FZR1;CDK6;CCND1;CDKN2A;CCNE1;CDC27;E2F1;CDK1;EP300
KEGG_2019_Human	Hepatocellular carcinoma	11/168	6.300585e-10	1.503140e-08	0	0	1.590124e+01	3.368710e+02	GSK3B;CDK6;CCND1;CDKN2A;E2F1;PTEN;CTNNB1;MAPK1;GRB2;BRD7;MAPK3
KEGG_2019_Human	Human papillomavirus infection	14/330	7.888279e-10	1.646678e-08	0	0	1.033017e+01	2.165252e+02	GSK3B;FN1;PTEN;CHD4;CREB1;CDK6;CCND1;CCNE1;E2F1;CTNNB1;EP300;MAPK1;GRB2;MAPK3
KEGG_2019_Human	MicroRNAs in cancer	13/299	2.477875e-09	4.597835e-08	0	0	1.048984e+01	2.078652e+02	CDKN2A;PTEN;BRCA1;FOXP1;CDK6;CCND1;CCNE1;E2F1;EP300;MAPK1;GRB2;CRK;EZH2
KEGG_2019_Human	Glioma	8/75	3.200479e-09	5.344799e-08	0	0	2.631509e+01	5.147223e+02	CDK6;CCND1;CDKN2A;PTEN;E2F1;MAPK1;GRB2;MAPK3
KEGG_2019_Human	Cushing syndrome	10/155	4.557724e-09	6.919454e-08	0	0	1.548354e+01	2.973838e+02	GSK3B;CREB1;CDK6;CCND1;CDKN2A;CCNE1;E2F1;CTNNB1;MAPK1;MAPK3
KEGG_2019_Human	Endometrial cancer	7/58	1.337582e-08	1.745450e-07	0	0	2.994118e+01	5.428280e+02	GSK3B;CCND1;PTEN;MAPK1;CTNNB1;GRB2;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	11/225	1.358734e-08	1.745450e-07	0	0	1.163218e+01	2.107069e+02	GSK3B;CREB1;CDK6;CCND1;CDKN2A;E2F1;CTNNB1;MAPK1;GRB2;CRK;MAPK3
