Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Hepatitis C	15/155	4.483795e-15	7.981156e-13	0	0	2.300427e+01	7.600221e+02	YWHAB;BRAF;PPP2R2A;EIF2S1;YWHAZ;EGFR;PPP2CA;NRAS;YWHAQ;TRAF3;AKT1;GRB2;HRAS;YWHAG;MAPK3
KEGG_2019_Human	ErbB signaling pathway	11/85	9.316054e-13	8.291288e-11	0	0	3.068820e+01	8.501205e+02	CAMK2D;NRAS;RPS6KB2;AKT1;BRAF;GRB2;HRAS;CAMK2G;EGFR;NCK1;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	14/201	3.644475e-12	2.162388e-10	0	0	1.586361e+01	4.178127e+02	CAMK2D;BRAF;ESR1;EGFR;ACTB;NRAS;MRAS;RPS6KB2;AKT1;GRB2;EZR;HRAS;CAMK2G;MAPK3
KEGG_2019_Human	Glioma	10/75	7.758097e-12	3.452353e-10	0	0	3.144806e+01	8.045131e+02	CAMK2D;NRAS;AKT1;BRAF;GRB2;CALM1;HRAS;CAMK2G;EGFR;MAPK3
KEGG_2019_Human	Viral carcinogenesis	12/201	8.215087e-10	2.924571e-08	0	0	1.316892e+01	2.754923e+02	NRAS;YWHAQ;TRAF3;YWHAB;DNAJA3;CDK1;GRB2;YWHAZ;HRAS;YWHAG;HDAC6;MAPK3
KEGG_2019_Human	Oocyte meiosis	10/125	1.330733e-09	3.947841e-08	0	0	1.773017e+01	3.623609e+02	PPP2CA;CAMK2D;YWHAQ;YWHAB;CDK1;CALM1;YWHAZ;CAMK2G;YWHAG;MAPK3
KEGG_2019_Human	Acute myeloid leukemia	8/66	2.285875e-09	5.812653e-08	0	0	2.763497e+01	5.498397e+02	NRAS;JUP;RPS6KB2;AKT1;BRAF;GRB2;HRAS;MAPK3
KEGG_2019_Human	Pathways in cancer	17/530	3.113850e-09	6.452339e-08	0	0	7.135802e+00	1.397719e+02	HSP90AA1;CAMK2D;JUP;CUL2;BRAF;BRCA2;ESR1;EGFR;NRAS;TRAF3;RPS6KB2;AKT1;GRB2;CALM1;HRAS;CAMK2G;MAPK3
KEGG_2019_Human	Estrogen signaling pathway	10/137	3.262419e-09	6.452339e-08	0	0	1.604513e+01	3.135347e+02	NRAS;HSP90AA1;AKT1;GRB2;CALM1;ESR1;HRAS;EGFR;FKBP5;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	14/354	6.308231e-09	1.045881e-07	0	0	8.657242e+00	1.634609e+02	HSP90AA1;YWHAB;PPP2R2A;YWHAZ;EGFR;PPP2CA;NRAS;YWHAQ;RPS6KB2;AKT1;GRB2;HRAS;YWHAG;MAPK3
KEGG_2019_Human	Breast cancer	10/147	6.463311e-09	1.045881e-07	0	0	1.486643e+01	2.803381e+02	NRAS;RPS6KB2;AKT1;GRB2;BRAF;BRCA2;ESR1;HRAS;EGFR;MAPK3
KEGG_2019_Human	mTOR signaling pathway	10/152	8.926445e-09	1.324089e-07	0	0	1.433933e+01	2.657688e+02	NRAS;RPS6KB2;AKT1;GRB2;BRAF;SLC3A2;RICTOR;FNIP1;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	9/119	1.513740e-08	2.072659e-07	0	0	1.651642e+01	2.973963e+02	NRAS;CAMK2D;AKT1;GRB2;BRAF;CALM1;HRAS;CAMK2G;MAPK3
KEGG_2019_Human	Hepatitis B	10/163	1.745922e-08	2.219815e-07	0	0	1.330099e+01	2.376009e+02	NRAS;YWHAQ;TRAF3;YWHAB;AKT1;GRB2;BRAF;YWHAZ;HRAS;MAPK3
KEGG_2019_Human	Colorectal cancer	8/86	1.933616e-08	2.294558e-07	0	0	2.052836e+01	3.646101e+02	NRAS;RPS6KB2;AKT1;BRAF;GRB2;HRAS;EGFR;MAPK3
KEGG_2019_Human	Endometrial cancer	7/58	2.470951e-08	2.748933e-07	0	0	2.723412e+01	4.770349e+02	NRAS;AKT1;BRAF;GRB2;HRAS;EGFR;MAPK3
KEGG_2019_Human	GnRH signaling pathway	8/93	3.598581e-08	3.767926e-07	0	0	1.883113e+01	3.227683e+02	CAMK2D;NRAS;GRB2;CALM1;HRAS;CAMK2G;EGFR;MAPK3
KEGG_2019_Human	Prostate cancer	8/97	5.017442e-08	4.850647e-07	0	0	1.798116e+01	3.022230e+02	HSP90AA1;NRAS;AKT1;BRAF;GRB2;HRAS;EGFR;MAPK3
KEGG_2019_Human	Insulin signaling pathway	9/137	5.177657e-08	4.850647e-07	0	0	1.418088e+01	2.379032e+02	NRAS;PRKAR1A;RPS6KB2;AKT1;GRB2;BRAF;CALM1;HRAS;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	7/66	6.179853e-08	5.404221e-07	0	0	2.353186e+01	3.906145e+02	NRAS;AKT1;BRAF;GRB2;HRAS;EGFR;MAPK3
KEGG_2019_Human	HIF-1 signaling pathway	8/100	6.375767e-08	5.404221e-07	0	0	1.739218e+01	2.881568e+02	CAMK2D;CUL2;RPS6KB2;AKT1;ENO1;CAMK2G;EGFR;MAPK3
KEGG_2019_Human	Long-term potentiation	7/67	6.870695e-08	5.559016e-07	0	0	2.313850e+01	3.816329e+02	CAMK2D;NRAS;BRAF;CALM1;HRAS;CAMK2G;MAPK3
KEGG_2019_Human	Renal cell carcinoma	7/69	8.449579e-08	6.430951e-07	0	0	2.238984e+01	3.646535e+02	NRAS;CUL2;AKT1;BRAF;GRB2;HRAS;MAPK3
KEGG_2019_Human	C-type lectin receptor signaling pathway	8/104	8.670946e-08	6.430951e-07	0	0	1.666414e+01	2.709707e+02	CYLD;NRAS;MRAS;KSR1;AKT1;CALM1;HRAS;MAPK3
KEGG_2019_Human	Gastric cancer	9/149	1.068720e-07	7.609286e-07	0	0	1.295751e+01	2.079892e+02	NRAS;JUP;RPS6KB2;AKT1;GRB2;BRAF;HRAS;EGFR;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	9/168	2.977239e-07	2.038263e-06	0	0	1.139815e+01	1.712812e+02	NRAS;RPS6KB2;AKT1;GRB2;BRAF;HRAS;EGFR;ACTB;MAPK3
KEGG_2019_Human	Autophagy	8/128	4.330129e-07	2.835303e-06	0	0	1.331515e+01	1.951002e+02	PPP2CA;NRAS;MRAS;RPS6KB2;AKT1;EIF2S1;HRAS;MAPK3
KEGG_2019_Human	Gap junction	7/88	4.575140e-07	2.835303e-06	0	0	1.712148e+01	2.499301e+02	TUBA1C;NRAS;CDK1;GRB2;HRAS;EGFR;MAPK3
KEGG_2019_Human	Pathogenic Escherichia coli infection	6/55	4.769354e-07	2.835303e-06	0	0	2.405819e+01	3.501883e+02	TUBA1C;YWHAQ;EZR;YWHAZ;ACTB;NCK1
KEGG_2019_Human	Ras signaling pathway	10/232	4.778601e-07	2.835303e-06	0	0	9.134857e+00	1.329482e+02	BRAP;NRAS;MRAS;KSR1;AKT1;GRB2;CALM1;HRAS;EGFR;MAPK3
KEGG_2019_Human	Apelin signaling pathway	8/137	7.275480e-07	4.052623e-06	0	0	1.238055e+01	1.749816e+02	NRAS;MRAS;PRKCE;RPS6KB2;AKT1;CALM1;HRAS;MAPK3
KEGG_2019_Human	VEGF signaling pathway	6/59	7.285615e-07	4.052623e-06	0	0	2.223800e+01	3.142717e+02	NRAS;MAPKAPK3;HSPB1;AKT1;HRAS;MAPK3
KEGG_2019_Human	Choline metabolism in cancer	7/99	1.022479e-06	5.515190e-06	0	0	1.506598e+01	2.078093e+02	NRAS;RPS6KB2;AKT1;GRB2;HRAS;EGFR;MAPK3
KEGG_2019_Human	Rap1 signaling pathway	9/206	1.642930e-06	8.531096e-06	0	0	9.181809e+00	1.222928e+02	NRAS;MRAS;AKT1;BRAF;CALM1;HRAS;EGFR;ACTB;MAPK3
KEGG_2019_Human	Oxytocin signaling pathway	8/153	1.677463e-06	8.531096e-06	0	0	1.100550e+01	1.463537e+02	NRAS;CAMK2D;CALM1;HRAS;CAMK2G;EGFR;ACTB;MAPK3
KEGG_2019_Human	Prolactin signaling pathway	6/70	2.021578e-06	9.995582e-06	0	0	1.840563e+01	2.413279e+02	NRAS;AKT1;GRB2;HRAS;ESR1;MAPK3
KEGG_2019_Human	Melanoma	6/72	2.388186e-06	1.148911e-05	0	0	1.784608e+01	2.310171e+02	NRAS;AKT1;BRAF;HRAS;EGFR;MAPK3
KEGG_2019_Human	Bladder cancer	5/41	2.564383e-06	1.201211e-05	0	0	2.703840e+01	3.480867e+02	NRAS;BRAF;HRAS;EGFR;MAPK3
KEGG_2019_Human	Pancreatic cancer	6/75	3.038210e-06	1.386670e-05	0	0	1.706759e+01	2.168307e+02	RPS6KB2;AKT1;BRAF;BRCA2;EGFR;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	6/76	3.284398e-06	1.461557e-05	0	0	1.682291e+01	2.124116e+02	NRAS;AKT1;BRAF;GRB2;HRAS;MAPK3
