Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Spliceosome	24/134	1.247026e-27	2.095004e-25	0	0	3.848182e+01	2.383912e+03	SF3A3;SF3B2;SF3A1;SF3B3;SF3B6;EIF4A3;CDC5L;PRPF19;PRPF8;HNRNPM;HNRNPK;SNW1;PUF60;U2AF2;MAGOH;DHX15;SRSF3;SNRPE;SNRPA1;SRSF6;SF3B1;SMNDC1;RBMX;SNRPB
KEGG_2019_Human	Cell cycle	11/124	8.401205e-10	7.057012e-08	0	0	1.538131e+01	3.214305e+02	YWHAE;GSK3B;MCM7;CCNE1;CUL1;MDM2;EP300;SMC1A;TP53;YWHAZ;YWHAG
KEGG_2019_Human	Ribosome	10/153	9.522609e-08	5.332661e-06	0	0	1.094517e+01	1.769506e+02	RPS19;RPS8;RPL31;RPLP0;RPL13;RPL35;RPSA;RPL26;RPS10;RPL19
KEGG_2019_Human	Viral carcinogenesis	11/201	1.308935e-07	5.497525e-06	0	0	9.112168e+00	1.444177e+02	YWHAE;HNRNPK;SNW1;CCNE1;HIST4H4;MDM2;EP300;CHD4;TP53;YWHAZ;YWHAG
KEGG_2019_Human	Oocyte meiosis	9/125	1.869283e-07	6.280790e-06	0	0	1.206435e+01	1.869074e+02	YWHAE;AR;CCNE1;CUL1;CALM1;SMC1A;YWHAZ;YWHAG;PPP1CA
KEGG_2019_Human	Fanconi anemia pathway	6/54	1.748089e-06	4.894648e-05	0	0	1.905385e+01	2.525966e+02	FANCD2;RPA3;RPA1;RPA2;BRCA1;BRCA2
KEGG_2019_Human	Prostate cancer	7/97	4.444189e-06	1.066605e-04	0	0	1.192231e+01	1.469295e+02	AR;GSK3B;CCNE1;MDM2;AKT1;EP300;TP53
KEGG_2019_Human	Homologous recombination	5/41	8.312548e-06	1.745635e-04	0	0	2.102205e+01	2.459106e+02	RPA3;RPA1;RPA2;BRCA1;BRCA2
KEGG_2019_Human	Thyroid hormone signaling pathway	7/116	1.449383e-05	2.705515e-04	0	0	9.834649e+00	1.095756e+02	GSK3B;MDM2;AKT1;EP300;ATP1A1;TP53;ESR1
KEGG_2019_Human	MicroRNAs in cancer	10/299	3.883536e-05	6.277687e-04	0	0	5.375680e+00	5.459637e+01	HNRNPK;CCNE1;CDCA5;MDM2;EP300;BRCA1;BMI1;TP53;PAK4;EZH2
KEGG_2019_Human	Transcriptional misregulation in cancer	8/186	4.110391e-05	6.277687e-04	0	0	6.912219e+00	6.980932e+01	HIST1H3A;TAF15;EWSR1;FUS;H3F3A;MDM2;BMI1;TP53
KEGG_2019_Human	Hepatitis C	7/155	9.279289e-05	1.299101e-03	0	0	7.228787e+00	6.712030e+01	YWHAE;GSK3B;PSME3;AKT1;TP53;YWHAZ;YWHAG
KEGG_2019_Human	DNA replication	4/36	1.017641e-04	1.315105e-03	0	0	1.878030e+01	1.726446e+02	MCM7;RPA3;RPA1;RPA2
KEGG_2019_Human	PI3K-Akt signaling pathway	10/354	1.570745e-04	1.884894e-03	0	0	4.503507e+00	3.944527e+01	YWHAE;GSK3B;CCNE1;MDM2;FN1;AKT1;BRCA1;TP53;YWHAZ;YWHAG
KEGG_2019_Human	Pathways in cancer	12/530	2.735057e-04	3.053675e-03	0	0	3.614273e+00	2.965218e+01	AR;GSK3B;CCNE1;MDM2;CUL1;FN1;AKT1;EP300;CALM1;BRCA2;TP53;ESR1
KEGG_2019_Human	Nucleotide excision repair	4/47	2.908262e-04	3.053675e-03	0	0	1.396829e+01	1.137408e+02	RPA3;RPA1;RPA2;ERCC6
KEGG_2019_Human	mRNA surveillance pathway	5/91	3.931159e-04	3.884910e-03	0	0	8.777738e+00	6.882981e+01	NUDT21;EIF4A3;MAGOH;RNPS1;PPP1CA
KEGG_2019_Human	Mismatch repair	3/23	4.929986e-04	4.515968e-03	0	0	2.238045e+01	1.704272e+02	RPA3;RPA1;RPA2
KEGG_2019_Human	Breast cancer	6/147	5.107345e-04	4.515968e-03	0	0	6.455974e+00	4.893409e+01	GSK3B;AKT1;BRCA1;BRCA2;TP53;ESR1
KEGG_2019_Human	Cellular senescence	6/160	7.971511e-04	6.696069e-03	0	0	5.907093e+00	4.214396e+01	CCNE1;MDM2;AKT1;CALM1;TP53;PPP1CA
KEGG_2019_Human	Neurotrophin signaling pathway	5/119	1.327006e-03	1.061604e-02	0	0	6.612428e+00	4.380621e+01	YWHAE;GSK3B;AKT1;CALM1;TP53
KEGG_2019_Human	Glioma	4/75	1.711446e-03	1.306922e-02	0	0	8.447717e+00	5.381548e+01	MDM2;AKT1;CALM1;TP53
KEGG_2019_Human	Human papillomavirus infection	8/330	1.912003e-03	1.396593e-02	0	0	3.793090e+00	2.374324e+01	GSK3B;CCNE1;MDM2;FN1;AKT1;EP300;CHD4;TP53
KEGG_2019_Human	Dopaminergic synapse	5/131	2.026856e-03	1.418799e-02	0	0	5.979038e+00	3.707763e+01	GSK3B;AKT1;ARRB2;CALM1;PPP1CA
