Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	22/201	4.772295e-19	8.106755e-17	0	0	1.776972e+01	7.496384e+02	CREBBP;YWHAB;SRC;EIF2AK2;PIK3R3;YWHAZ;RELA;KAT2B;HNRNPK;CREB1;CASP8;PKM;CHEK1;CDK2;CDK1;REL;BAX;EP300;MAPK1;TP53;HRAS;YWHAG
KEGG_2019_Human	Hepatitis C	20/155	7.720719e-19	8.106755e-17	0	0	2.115620e+01	8.823237e+02	GSK3B;CHUK;YWHAB;PIK3R3;EIF2AK2;YWHAZ;RELA;PIAS1;PPP2CA;MAVS;CASP8;MYC;PSME3;CDK2;AKT1;MAPK1;BAX;TP53;HRAS;YWHAG
KEGG_2019_Human	PI3K-Akt signaling pathway	25/354	6.458226e-17	4.520758e-15	0	0	1.114850e+01	4.156005e+02	GSK3B;HSP90AB1;YWHAB;PTEN;PIK3R3;FOXO3;THBS1;RELA;HSP90B1;PPP2CA;GYS2;STK11;MYC;AKT1;MAPK1;HRAS;YWHAG;NGFR;CHUK;YWHAZ;PTK2;CREB1;CDK2;TP53;BCL2L1
KEGG_2019_Human	Hepatitis B	18/163	7.817728e-16	4.104307e-14	0	0	1.746532e+01	6.075306e+02	CREBBP;CHUK;YWHAB;SRC;PIK3R3;YWHAZ;RELA;MAVS;CREB1;CASP8;MYC;CDK2;BAX;AKT1;EP300;MAPK1;TP53;HRAS
KEGG_2019_Human	Prostate cancer	15/97	1.313092e-15	5.514988e-14	0	0	2.527716e+01	8.661571e+02	GSK3B;CREBBP;HSP90AB1;CHUK;PTEN;PIK3R3;RELA;HSP90B1;CREB1;CDK2;AKT1;EP300;MAPK1;TP53;HRAS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	18/186	8.170100e-15	2.859535e-13	0	0	1.505663e+01	4.884115e+02	GSK3B;CREBBP;CHUK;SRC;EIF2AK2;PIK3R3;HIF1A;RELA;CREB1;CASP8;UBB;MYC;BAX;AKT1;EP300;MAPK1;TP53;HRAS
KEGG_2019_Human	p53 signaling pathway	13/72	1.342100e-14	4.026299e-13	0	0	3.006184e+01	9.602338e+02	SERPINE1;PTEN;SHISA5;THBS1;CASP8;RRM2B;CHEK1;CDK2;CDK1;BAX;MDM4;TP53;BCL2L1
KEGG_2019_Human	Pathways in cancer	26/530	8.773401e-14	2.303018e-12	0	0	7.557540e+00	2.272134e+02	GSK3B;HSP90AB1;PTEN;PIK3R3;BRCA2;STK4;HIF1A;RELA;HSP90B1;CASP8;MYC;AKT1;EP300;MAPK1;VHL;HRAS;NQO1;CREBBP;CHUK;DAPK3;PTK2;MSH2;CDK2;BAX;TP53;BCL2L1
KEGG_2019_Human	Thyroid hormone signaling pathway	14/116	4.160416e-13	9.707638e-12	0	0	1.881536e+01	5.363881e+02	GSK3B;NCOA2;CREBBP;SRC;PIK3R3;ATP1A1;HIF1A;KAT2B;MYC;AKT1;EP300;MAPK1;TP53;HRAS
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	17/219	1.764226e-12	3.375095e-11	0	0	1.172249e+01	3.172494e+02	CREBBP;CHUK;PTEN;PIK3R3;RELA;KAT2B;CREB1;MYC;CHEK1;CDK2;BAX;AKT1;EP300;MAPK1;TP53;HRAS;BCL2L1
KEGG_2019_Human	Human papillomavirus infection	20/330	1.767907e-12	3.375095e-11	0	0	9.131370e+00	2.471061e+02	GSK3B;CREBBP;CHUK;PTEN;EIF2AK2;PIK3R3;THBS1;RELA;PTK2;PPP2CA;CREB1;CASP8;PKM;CDK2;BAX;AKT1;EP300;MAPK1;TP53;HRAS
KEGG_2019_Human	FoxO signaling pathway	14/132	2.525767e-12	4.420093e-11	0	0	1.625094e+01	4.339729e+02	CREBBP;CHUK;PRMT1;PTEN;PIK3R3;FOXO3;STK4;STK11;CDK2;AKT1;EP300;MAPK1;HRAS;RAG1
KEGG_2019_Human	Measles	14/138	4.666749e-12	7.538595e-11	0	0	1.545990e+01	4.033575e+02	GSK3B;CSNK2A1;CHUK;PIK3R3;EIF2AK2;RELA;MAVS;CASP8;CSNK2B;CDK2;AKT1;BAX;TP53;BCL2L1
KEGG_2019_Human	Endometrial cancer	10/58	2.676903e-11	4.015354e-10	0	0	2.786318e+01	6.782949e+02	GSK3B;MYC;PTEN;AKT1;PIK3R3;MAPK1;BAX;FOXO3;HRAS;TP53
KEGG_2019_Human	Mitophagy	10/65	8.760180e-11	1.226425e-09	0	0	2.430835e+01	5.629382e+02	CSNK2A1;UBB;SRC;CSNK2B;FOXO3;HRAS;TP53;HIF1A;RELA;BCL2L1
KEGG_2019_Human	Small cell lung cancer	11/93	1.838880e-10	2.413531e-09	0	0	1.803219e+01	4.042221e+02	CHUK;MYC;CDK2;PTEN;AKT1;PIK3R3;BAX;TP53;RELA;PTK2;BCL2L1
KEGG_2019_Human	Cell cycle	12/124	2.882625e-10	3.560890e-09	0	0	1.447896e+01	3.180615e+02	GSK3B;CREBBP;PRKDC;YWHAB;MYC;CHEK1;CDK2;CDK1;EP300;TP53;YWHAZ;YWHAG
KEGG_2019_Human	Chronic myeloid leukemia	10/76	4.337017e-10	5.057085e-09	0	0	2.024570e+01	4.364703e+02	CHUK;MYC;AKT1;PIK3R3;MAPK1;BAX;HRAS;TP53;RELA;BCL2L1
KEGG_2019_Human	Cellular senescence	13/160	4.575458e-10	5.057085e-09	0	0	1.201196e+01	2.583190e+02	SERPINE1;PTEN;PIK3R3;FOXO3;RELA;MYC;CHEK1;CDK2;CDK1;AKT1;MAPK1;TP53;HRAS
KEGG_2019_Human	Epstein-Barr virus infection	14/201	7.336706e-10	7.703542e-09	0	0	1.021873e+01	2.149302e+02	CHUK;EIF2AK2;PIK3R3;RELA;NCOR2;PSMC5;MAVS;CASP8;PSMC3;MYC;CDK2;BAX;AKT1;TP53
KEGG_2019_Human	Human immunodeficiency virus 1 infection	14/212	1.471681e-09	1.443220e-08	0	0	9.645623e+00	1.961617e+02	CHUK;PIK3R3;RELA;PTK2;CUL4A;CASP8;CHEK1;CDK1;BAX;AKT1;MAPK1;HRAS;BCL2L1;CUL4B
KEGG_2019_Human	Apoptosis	12/143	1.511944e-09	1.443220e-08	0	0	1.236704e+01	2.511730e+02	NGFR;CASP8;CHUK;AKT1;PIK3R3;MAPK1;BAX;TP53;HRAS;RELA;BCL2L1;CTSB
KEGG_2019_Human	Central carbon metabolism in cancer	9/65	2.087760e-09	1.906216e-08	0	0	2.134156e+01	4.265575e+02	PKM;MYC;PTEN;AKT1;PIK3R3;MAPK1;HRAS;TP53;HIF1A
KEGG_2019_Human	Human cytomegalovirus infection	14/225	3.182053e-09	2.784297e-08	0	0	9.045353e+00	1.769790e+02	GSK3B;CHUK;SRC;PIK3R3;RELA;PTK2;CREB1;CASP8;MYC;BAX;AKT1;MAPK1;TP53;HRAS
KEGG_2019_Human	Autophagy	11/128	5.793783e-09	4.866778e-08	0	0	1.261556e+01	2.392728e+02	PPP2CA;STK11;DAPK3;PTEN;AKT1;PIK3R3;MAPK1;HIF1A;HRAS;BCL2L1;CTSB
KEGG_2019_Human	Pancreatic cancer	9/75	7.669748e-09	6.194797e-08	0	0	1.809884e+01	3.381946e+02	CHUK;AKT1;PIK3R3;MAPK1;BAX;BRCA2;TP53;RELA;BCL2L1
KEGG_2019_Human	Longevity regulating pathway	10/102	8.121695e-09	6.316874e-08	0	0	1.450499e+01	2.702096e+02	STK11;CREB1;EHMT1;AKT1;PIK3R3;BAX;FOXO3;TP53;HRAS;RELA
KEGG_2019_Human	Fluid shear stress and atherosclerosis	11/139	1.380761e-08	1.035571e-07	0	0	1.152498e+01	2.085796e+02	NQO1;HSP90AB1;CHUK;SRC;AKT1;PIK3R3;TXN;TP53;PTK2;RELA;HSP90B1
KEGG_2019_Human	Colorectal cancer	9/86	2.608213e-08	1.888706e-07	0	0	1.550466e+01	2.707427e+02	GSK3B;MSH2;MYC;AKT1;PIK3R3;MAPK1;BAX;HRAS;TP53
KEGG_2019_Human	Bladder cancer	7/41	3.014957e-08	2.110470e-07	0	0	2.700740e+01	4.676897e+02	SRC;MYC;DAPK3;MAPK1;THBS1;HRAS;TP53
KEGG_2019_Human	Neurotrophin signaling pathway	10/119	3.617382e-08	2.450485e-07	0	0	1.223221e+01	2.095981e+02	NGFR;GSK3B;AKT1;PIK3R3;MAPK1;BAX;FOXO3;TP53;HRAS;RELA
KEGG_2019_Human	Non-small cell lung cancer	8/66	4.945112e-08	3.245230e-07	0	0	1.819218e+01	3.060340e+02	AKT1;PIK3R3;MAPK1;BAX;FOXO3;STK4;HRAS;TP53
KEGG_2019_Human	IL-17 signaling pathway	9/93	5.204847e-08	3.312175e-07	0	0	1.420757e+01	2.382765e+02	GSK3B;HSP90AB1;CASP8;CHUK;MAPK1;MAPK6;ELAVL1;RELA;HSP90B1
KEGG_2019_Human	Renal cell carcinoma	8/69	7.056373e-08	4.358348e-07	0	0	1.729486e+01	2.847902e+02	CREBBP;AKT1;EP300;PIK3R3;MAPK1;VHL;HRAS;HIF1A
KEGG_2019_Human	Prolactin signaling pathway	8/70	7.913890e-08	4.748334e-07	0	0	1.701505e+01	2.782312e+02	GSK3B;SRC;AKT1;PIK3R3;MAPK1;FOXO3;HRAS;RELA
KEGG_2019_Human	Hepatocellular carcinoma	11/168	9.802718e-08	5.574141e-07	0	0	9.382339e+00	1.514124e+02	GSK3B;NQO1;MYC;PTEN;BAX;AKT1;PIK3R3;MAPK1;TP53;HRAS;BCL2L1
KEGG_2019_Human	HIF-1 signaling pathway	9/100	9.821106e-08	5.574141e-07	0	0	1.311004e+01	2.115455e+02	CREBBP;SERPINE1;AKT1;EP300;PIK3R3;MAPK1;VHL;HIF1A;RELA
KEGG_2019_Human	Influenza A	11/171	1.174087e-07	6.488374e-07	0	0	9.205017e+00	1.468900e+02	GSK3B;DNAJB1;CREBBP;MAVS;AKT1;EIF2AK2;PIK3R3;EP300;MAPK1;KPNA2;RELA
KEGG_2019_Human	Insulin resistance	9/108	1.913849e-07	1.030534e-06	0	0	1.204576e+01	1.863356e+02	GYS2;GSK3B;SREBF1;CREB1;PTEN;AKT1;PIK3R3;OGT;RELA
KEGG_2019_Human	Breast cancer	10/147	2.673079e-07	1.403366e-06	0	0	9.718386e+00	1.470865e+02	GSK3B;MYC;PTEN;AKT1;PIK3R3;MAPK1;BAX;BRCA2;TP53;HRAS
KEGG_2019_Human	ErbB signaling pathway	8/85	3.650181e-07	1.869605e-06	0	0	1.369004e+01	2.029319e+02	GSK3B;SRC;MYC;AKT1;PIK3R3;MAPK1;HRAS;PTK2
KEGG_2019_Human	Sphingolipid signaling pathway	9/119	4.395927e-07	2.197963e-06	0	0	1.083514e+01	1.585985e+02	PPP2CA;PTEN;AKT1;PIK3R3;MAPK1;BAX;TP53;HRAS;RELA
KEGG_2019_Human	AMPK signaling pathway	9/120	4.720575e-07	2.305397e-06	0	0	1.073699e+01	1.563967e+02	GYS2;PPP2CA;SREBF1;STK11;CREB1;AKT1;PIK3R3;FOXO3;ELAVL1
KEGG_2019_Human	Hippo signaling pathway	10/160	5.865016e-07	2.783269e-06	0	0	8.870270e+00	1.272803e+02	YAP1;PPP2CA;GSK3B;YWHAB;MYC;SERPINE1;TP53BP2;YWHAZ;YWHAG;SMAD7
KEGG_2019_Human	Proteoglycans in cancer	11/201	5.964148e-07	2.783269e-06	0	0	7.739778e+00	1.109290e+02	DDX5;SRC;MYC;AKT1;PIK3R3;MAPK1;TP53;HIF1A;THBS1;HRAS;PTK2
KEGG_2019_Human	JAK-STAT signaling pathway	10/162	6.575643e-07	3.001924e-06	0	0	8.752667e+00	1.245918e+02	CREBBP;MYC;AKT1;PIK3R3;EP300;HRAS;PIAS2;PIAS1;GFAP;BCL2L1
