Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	26/530	6.664200e-17	1.306183e-14	0	0	1.074846e+01	4.003501e+02	NOTCH3;CDKN1A;HDAC2;NOTCH1;PIK3R2;PIK3R1;GLI1;HIF1A;RELA;EGFR;IKBKB;SUFU;E2F1;ABL1;DVL2;PRKACA;NKX3-1;JUN;PTCH1;NFKBIA;AR;TRAF6;MDM2;CTNNB1;TP53;NFE2L2
KEGG_2019_Human	Prostate cancer	14/97	5.872080e-16	5.754638e-14	0	0	3.180402e+01	1.115403e+03	CDKN1A;PIK3R2;PIK3R1;RELA;EGFR;NFKBIA;IKBKB;AR;CREB1;MDM2;E2F1;CTNNB1;TP53;NKX3-1
KEGG_2019_Human	Human papillomavirus infection	20/330	7.048469e-15	4.605000e-13	0	0	1.275399e+01	4.156011e+02	NOTCH3;PRKCI;CDKN1A;HDAC2;NOTCH1;PIK3R2;PIK3R1;RELA;EGFR;PPP2CA;IKBKB;CREB1;PPP2R1A;E2F1;MDM2;DVL2;CTNNB1;ATM;PRKACA;TP53
KEGG_2019_Human	Proteoglycans in cancer	16/201	6.440471e-14	3.155831e-12	0	0	1.653823e+01	5.023255e+02	DDX5;CDKN1A;CAV1;PTCH1;PIK3R2;PIK3R1;MAPK14;HIF1A;EGFR;PPP1CA;ERBB3;ERBB4;MDM2;CTNNB1;PRKACA;TP53
KEGG_2019_Human	Hepatitis C	14/155	4.566879e-13	1.790217e-11	0	0	1.866667e+01	5.304092e+02	CDKN1A;PIK3R2;PIK3R1;YWHAZ;RELA;EGFR;NFKBIA;PPP2CA;IKBKB;PPP2R1A;TRAF6;E2F1;CTNNB1;TP53
KEGG_2019_Human	Chronic myeloid leukemia	11/76	8.541803e-13	2.790322e-11	0	0	3.105071e+01	8.628569e+02	IKBKB;NFKBIA;CDKN1A;HDAC2;E2F1;ABL1;MDM2;PIK3R2;PIK3R1;TP53;RELA
KEGG_2019_Human	Viral carcinogenesis	15/201	1.054254e-12	2.951910e-11	0	0	1.527218e+01	4.211790e+02	USP7;JUN;CDKN1A;HDAC2;PIK3R2;PIK3R1;YWHAZ;RELA;HDAC6;NFKBIA;KAT2B;CREB1;MDM2;PRKACA;TP53
KEGG_2019_Human	Cellular senescence	13/160	1.262617e-11	3.093411e-10	0	0	1.646400e+01	4.131681e+02	CDKN1A;MRE11;PIK3R2;PIK3R1;MAPK14;RELA;PPP1CA;CHEK2;E2F1;MDM2;ATM;NBN;TP53
KEGG_2019_Human	Epstein-Barr virus infection	14/201	1.594837e-11	3.133777e-10	0	0	1.404207e+01	3.491092e+02	USP7;JUN;CDKN1A;HDAC2;PIK3R2;PIK3R1;MAPK14;RELA;NFKBIA;IKBKB;TRAF6;E2F1;MDM2;TP53
KEGG_2019_Human	Hepatitis B	13/163	1.598866e-11	3.133777e-10	0	0	1.613226e+01	4.010342e+02	JUN;CDKN1A;PIK3R2;PIK3R1;MAPK14;YWHAZ;RELA;NFKBIA;IKBKB;CREB1;TRAF6;E2F1;TP53
KEGG_2019_Human	MicroRNAs in cancer	16/299	2.812105e-11	5.010660e-10	0	0	1.075742e+01	2.613461e+02	NOTCH3;CDKN1A;NOTCH1;PIK3R2;BRCA1;BMI1;EGFR;IKBKB;SOCS1;ERBB3;E2F1;MDM2;ABL1;MDM4;ATM;TP53
KEGG_2019_Human	PI3K-Akt signaling pathway	17/354	3.548694e-11	5.796200e-10	0	0	9.665678e+00	2.325741e+02	PRKAA1;CDKN1A;PIK3R2;PIK3R1;BRCA1;YWHAZ;RELA;EGFR;PPP2CA;IKBKB;NR4A1;CREB1;ERBB3;PPP2R1A;ERBB4;MDM2;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	14/219	5.040661e-11	7.599766e-10	0	0	1.279740e+01	3.034378e+02	JUN;CDKN1A;PIK3R2;PIK3R1;RELA;NFKBIA;IKBKB;KAT2B;CREB1;CHEK2;E2F1;ATM;PRKACA;TP53
KEGG_2019_Human	Human cytomegalovirus infection	14/225	7.227271e-11	9.979463e-10	0	0	1.242970e+01	2.902406e+02	CDKN1A;PIK3R2;PIK3R1;MAPK14;RELA;EGFR;NFKBIA;IKBKB;CREB1;E2F1;MDM2;CTNNB1;PRKACA;TP53
KEGG_2019_Human	Breast cancer	12/147	7.637344e-11	9.979463e-10	0	0	1.640374e+01	3.821314e+02	NOTCH3;JUN;CDKN1A;NOTCH1;E2F1;DVL2;CTNNB1;PIK3R2;PIK3R1;BRCA1;TP53;EGFR
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	13/186	8.444788e-11	1.034487e-09	0	0	1.397121e+01	3.240606e+02	JUN;CDKN1A;PIK3R2;PIK3R1;MAPK14;HIF1A;RELA;NFKBIA;IKBKB;CREB1;E2F1;CTNNB1;TP53
KEGG_2019_Human	Thyroid hormone signaling pathway	11/116	9.611495e-11	1.108149e-09	0	0	1.918307e+01	4.424666e+02	NOTCH3;KAT2B;HDAC2;NOTCH1;MDM2;CTNNB1;PIK3R2;PIK3R1;PRKACA;TP53;HIF1A
KEGG_2019_Human	Cell cycle	11/124	1.987216e-10	2.163857e-09	0	0	1.781776e+01	3.980331e+02	CDKN1A;HDAC2;PRKDC;CHEK2;E2F1;MDM2;ABL1;ATM;TP53;YWHAZ;MCM2
KEGG_2019_Human	FoxO signaling pathway	11/132	3.908514e-10	4.031941e-09	0	0	1.663300e+01	3.603155e+02	IKBKB;USP7;PRKAA1;CDKN1A;PRMT1;MDM2;ATM;PIK3R2;PIK3R1;MAPK14;EGFR
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	10/103	5.614120e-10	5.501838e-09	0	0	1.952057e+01	4.157992e+02	NFKBIA;IKBKB;PPP2CA;JUN;PPP2R1A;TRAF6;PIK3R2;PIK3R1;MAPK14;RELA
KEGG_2019_Human	Fluid shear stress and atherosclerosis	11/139	6.813453e-10	6.359223e-09	0	0	1.571781e+01	3.317551e+02	IKBKB;PRKAA1;JUN;CAV1;CTNNB1;PIK3R2;PIK3R1;MAPK14;TP53;RELA;NFE2L2
KEGG_2019_Human	Neurotrophin signaling pathway	10/119	2.338447e-09	2.083344e-08	0	0	1.664170e+01	3.307334e+02	NFKBIA;IKBKB;JUN;TRAF6;ABL1;PIK3R2;PIK3R1;MAPK14;TP53;RELA
KEGG_2019_Human	Homologous recombination	7/41	4.199916e-09	3.463043e-08	0	0	3.648346e+01	7.037002e+02	MRE11;RBBP8;RPA1;RPA2;ATM;BRCA1;NBN
KEGG_2019_Human	Small cell lung cancer	9/93	4.352768e-09	3.463043e-08	0	0	1.928279e+01	3.712411e+02	IKBKB;NFKBIA;CDKN1A;TRAF6;E2F1;PIK3R2;PIK3R1;TP53;RELA
KEGG_2019_Human	Osteoclast differentiation	10/127	4.417146e-09	3.463043e-08	0	0	1.549753e+01	2.981379e+02	NFKBIA;IKBKB;JUN;CREB1;SOCS1;TRAF6;PIK3R2;PIK3R1;MAPK14;RELA
KEGG_2019_Human	Longevity regulating pathway	9/102	9.912706e-09	7.472656e-08	0	0	1.740880e+01	3.208345e+02	HSPA8;PRKAA1;HDAC2;CREB1;PIK3R2;PIK3R1;PRKACA;TP53;RELA
KEGG_2019_Human	Apoptosis	10/143	1.393183e-08	1.011348e-07	0	0	1.362213e+01	2.464119e+02	NFKBIA;IKBKB;DAXX;JUN;PARP1;ATM;PIK3R2;PIK3R1;TP53;RELA
KEGG_2019_Human	Transcriptional misregulation in cancer	11/186	1.475091e-08	1.012505e-07	0	0	1.146910e+01	2.068104e+02	CDK9;DDX5;CDKN1A;HDAC2;HIST1H3A;EWSR1;MDM2;ATM;BMI1;TP53;RELA
KEGG_2019_Human	Pancreatic cancer	8/75	1.498094e-08	1.012505e-07	0	0	2.131397e+01	3.840029e+02	IKBKB;CDKN1A;E2F1;PIK3R2;PIK3R1;TP53;RELA;EGFR
KEGG_2019_Human	MAPK signaling pathway	13/295	2.321632e-08	1.516799e-07	0	0	8.523585e+00	1.498311e+02	HSPA8;DAXX;JUN;MAPK14;RELA;EGFR;IKBKB;NR4A1;ERBB3;ERBB4;TRAF6;PRKACA;TP53
KEGG_2019_Human	ErbB signaling pathway	8/85	4.067365e-08	2.497029e-07	0	0	1.853656e+01	3.154494e+02	CDKN1A;JUN;ERBB3;ERBB4;ABL1;PIK3R2;PIK3R1;EGFR
KEGG_2019_Human	Hippo signaling pathway	10/160	4.076782e-08	2.497029e-07	0	0	1.206789e+01	2.053396e+02	YAP1;PPP2CA;PRKCI;LATS2;PPP2R1A;DVL2;CTNNB1;YWHAZ;PPP1CA;SMAD7
KEGG_2019_Human	Hepatocellular carcinoma	10/168	6.471363e-08	3.843598e-07	0	0	1.145221e+01	1.895718e+02	CDKN1A;E2F1;DVL2;CTNNB1;PIK3R2;PIK3R1;TP53;EGFR;SMARCA4;NFE2L2
KEGG_2019_Human	Relaxin signaling pathway	9/130	8.293186e-08	4.780778e-07	0	0	1.336138e+01	2.178606e+02	NFKBIA;JUN;CREB1;PIK3R2;PIK3R1;MAPK14;PRKACA;RELA;EGFR
KEGG_2019_Human	Basal cell carcinoma	7/63	9.278824e-08	5.196142e-07	0	0	2.212612e+01	3.582870e+02	CDKN1A;SUFU;PTCH1;DVL2;CTNNB1;GLI1;TP53
KEGG_2019_Human	Measles	9/138	1.387383e-07	7.553529e-07	0	0	1.252770e+01	1.978208e+02	NFKBIA;IKBKB;HSPA8;JUN;TRAF6;PIK3R2;PIK3R1;TP53;RELA
KEGG_2019_Human	C-type lectin receptor signaling pathway	8/104	1.982011e-07	1.022301e-06	0	0	1.485360e+01	2.292503e+02	NFKBIA;IKBKB;JUN;MDM2;PIK3R2;PIK3R1;MAPK14;RELA
KEGG_2019_Human	Toll-like receptor signaling pathway	8/104	1.982011e-07	1.022301e-06	0	0	1.485360e+01	2.292503e+02	NFKBIA;IKBKB;JUN;TRAF6;PIK3R2;PIK3R1;MAPK14;RELA
KEGG_2019_Human	Melanoma	7/72	2.363916e-07	1.188019e-06	0	0	1.905385e+01	2.907193e+02	CDKN1A;E2F1;MDM2;PIK3R2;PIK3R1;TP53;EGFR
KEGG_2019_Human	Insulin resistance	8/108	2.655827e-07	1.301355e-06	0	0	1.425658e+01	2.158637e+02	NFKBIA;IKBKB;PRKAA1;CREB1;PIK3R2;PIK3R1;RELA;PPP1CA
KEGG_2019_Human	TNF signaling pathway	8/110	3.060621e-07	1.463126e-06	0	0	1.397562e+01	2.096270e+02	NFKBIA;IKBKB;JUN;CREB1;PIK3R2;PIK3R1;MAPK14;RELA
KEGG_2019_Human	Glioma	7/75	3.138595e-07	1.464678e-06	0	0	1.821048e+01	2.726895e+02	CDKN1A;E2F1;MDM2;PIK3R2;PIK3R1;TP53;EGFR
KEGG_2019_Human	Notch signaling pathway	6/48	3.910248e-07	1.782345e-06	0	0	2.508091e+01	3.700562e+02	NOTCH3;KAT2B;HDAC2;NOTCH1;DVL2;NUMB
KEGG_2019_Human	Human immunodeficiency virus 1 infection	10/212	5.640162e-07	2.456604e-06	0	0	8.937687e+00	1.285971e+02	DCAF1;NFKBIA;IKBKB;JUN;TRAF6;ATM;PIK3R2;PIK3R1;MAPK14;RELA
KEGG_2019_Human	cAMP signaling pathway	10/212	5.640162e-07	2.456604e-06	0	0	8.937687e+00	1.285971e+02	NFKBIA;JUN;CREB1;PTCH1;PIK3R2;PIK3R1;PRKACA;GLI1;RELA;PPP1CA
KEGG_2019_Human	Colorectal cancer	7/86	8.050811e-07	3.430345e-06	0	0	1.566614e+01	2.198323e+02	CDKN1A;JUN;CTNNB1;PIK3R2;PIK3R1;TP53;EGFR
KEGG_2019_Human	Legionellosis	6/55	8.929593e-07	3.723830e-06	0	0	2.149034e+01	2.993330e+02	EEF1A1;EEF1G;NFKBIA;HSPA8;RELA;HSPD1
KEGG_2019_Human	Endometrial cancer	6/58	1.228777e-06	5.017506e-06	0	0	2.024745e+01	2.755575e+02	CDKN1A;CTNNB1;PIK3R2;PIK3R1;TP53;EGFR
KEGG_2019_Human	Th1 and Th2 cell differentiation	7/92	1.274604e-06	5.098417e-06	0	0	1.455588e+01	1.975652e+02	IKBKB;NFKBIA;NOTCH3;JUN;NOTCH1;MAPK14;RELA
KEGG_2019_Human	Insulin signaling pathway	8/137	1.634137e-06	6.280212e-06	0	0	1.103541e+01	1.470401e+02	IKBKB;PRKAA1;PRKCI;SOCS1;PIK3R2;PIK3R1;PRKACA;PPP1CA
KEGG_2019_Human	Ubiquitin mediated proteolysis	8/137	1.634137e-06	6.280212e-06	0	0	1.103541e+01	1.470401e+02	PRKN;SOCS1;TRAF6;HUWE1;MDM2;TRIM37;BRCA1;TRIM32
KEGG_2019_Human	T cell receptor signaling pathway	7/101	2.394550e-06	8.964520e-06	0	0	1.315625e+01	1.702723e+02	NFKBIA;IKBKB;JUN;PIK3R2;PIK3R1;MAPK14;RELA
KEGG_2019_Human	Mitophagy	6/65	2.424079e-06	8.964520e-06	0	0	1.783891e+01	2.306581e+02	PRKN;JUN;E2F1;TP53;HIF1A;RELA
KEGG_2019_Human	Non-small cell lung cancer	6/66	2.653619e-06	9.631656e-06	0	0	1.754071e+01	2.252154e+02	CDKN1A;E2F1;PIK3R2;PIK3R1;TP53;EGFR
KEGG_2019_Human	Gastric cancer	8/149	3.067017e-06	1.092973e-05	0	0	1.009009e+01	1.280917e+02	CDKN1A;E2F1;DVL2;CTNNB1;PIK3R2;PIK3R1;TP53;EGFR
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	6/68	3.165916e-06	1.108071e-05	0	0	1.697317e+01	2.149324e+02	IKBKB;NFKBIA;JUN;MAPK14;RELA;EGFR
KEGG_2019_Human	B cell receptor signaling pathway	6/71	4.082911e-06	1.390350e-05	0	0	1.618734e+01	2.008638e+02	IKBKB;NFKBIA;JUN;PIK3R2;PIK3R1;RELA
KEGG_2019_Human	Cushing syndrome	8/155	4.114301e-06	1.390350e-05	0	0	9.675308e+00	1.199839e+02	NR4A1;CDKN1A;CREB1;E2F1;DVL2;CTNNB1;PRKACA;EGFR
KEGG_2019_Human	Bladder cancer	5/41	4.326956e-06	1.437430e-05	0	0	2.417763e+01	2.986094e+02	CDKN1A;E2F1;MDM2;TP53;EGFR
KEGG_2019_Human	p53 signaling pathway	6/72	4.432598e-06	1.447982e-05	0	0	1.594127e+01	1.965005e+02	CDKN1A;CHEK2;MDM2;ATM;MDM4;TP53
KEGG_2019_Human	Toxoplasmosis	7/113	5.070061e-06	1.629069e-05	0	0	1.165979e+01	1.421580e+02	NFKBIA;IKBKB;HSPA8;SOCS1;TRAF6;MAPK14;RELA
