Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	MAPK signaling pathway	26/295	7.233970e-27	9.595852e-25	0	0	3.013466e+01	1.813835e+03	ATF2;ARRB1;ARRB2;CRKL;CDC42;IKBKB;PAK1;MAPK8;MYC;MAPK1;FLNB;HRAS;MAPK3;MAP4K4;MAP2K6;NTRK1;HSPA8;MAP2K1;MAP3K1;MAP2K2;CHUK;TRAF2;MAPK14;GRB2;RAF1;CRK
KEGG_2019_Human	Pathways in cancer	31/530	1.135604e-26	9.595852e-25	0	0	2.079234e+01	1.242136e+03	ALK;GSK3B;NOTCH1;HDAC1;BRCA2;CBL;HIF1A;CRKL;CDC42;IKBKB;MAPK8;MYC;E2F1;ABL1;MAPK1;FADD;HRAS;MAPK3;JAK1;NTRK1;MAP2K1;MAP2K2;CHUK;TRAF2;RARA;MDM2;GRB2;RAF1;CRK;NFE2L2;BIRC3
KEGG_2019_Human	Chronic myeloid leukemia	17/76	6.462418e-25	3.640496e-23	0	0	7.944539e+01	4.424999e+03	MAP2K1;MAP2K2;CHUK;HDAC1;CBL;CRKL;IKBKB;MYC;E2F1;ABL1;MDM2;MAPK1;GRB2;RAF1;HRAS;CRK;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	22/225	9.761132e-24	4.124078e-22	0	0	3.187824e+01	1.689025e+03	ATF2;GSK3B;MAP2K1;MAP2K2;CHUK;TRAF2;MAPK14;CRKL;IKBKB;CREB1;MYC;E2F1;MDM2;MAPK1;GRB2;FADD;RAF1;CRK;HRAS;MAPK3;JAK1;MAP2K6
KEGG_2019_Human	Hepatitis B	20/163	1.236112e-23	4.178059e-22	0	0	4.006892e+01	2.113535e+03	ATF2;MAP2K1;MAP3K1;MAP2K2;CHUK;MAPK14;IKBKB;MAPK8;CREB1;YWHAQ;MYC;E2F1;MAPK1;GRB2;FADD;RAF1;HRAS;MAPK3;JAK1;MAP2K6
KEGG_2019_Human	Neurotrophin signaling pathway	18/119	4.893574e-23	1.378357e-21	0	0	4.972528e+01	2.554464e+03	YWHAE;NTRK1;GSK3B;MAP2K1;MAP3K1;MAP2K2;MAPK14;CRKL;CDC42;IKBKB;MAPK8;ABL1;MAPK1;GRB2;RAF1;CRK;HRAS;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	21/219	1.720199e-22	4.153051e-21	0	0	3.074666e+01	1.540851e+03	ATF2;MAP2K1;MAP3K1;MAP2K2;CDKN2C;CHUK;CRTC1;IKBKB;MAPK8;CREB1;XPO1;KAT5;MYC;CHEK2;CHEK1;E2F1;MAPK1;ATM;HRAS;MAPK3;JAK1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	19/186	6.351131e-21	1.314306e-19	0	0	3.209033e+01	1.492382e+03	GSK3B;MAP2K1;MAP2K2;CHUK;TRAF2;MAPK14;HIF1A;IKBKB;MAPK8;CREB1;MYC;E2F1;MAPK1;FADD;RAF1;HRAS;MAPK3;JAK1;MAP2K6
KEGG_2019_Human	Hepatitis C	18/155	6.999263e-21	1.314306e-19	0	0	3.659217e+01	1.698187e+03	YWHAE;GSK3B;MAP2K1;MAP2K2;CHUK;TRAF2;IKBKB;YWHAQ;MYC;E2F1;MAPK1;GRB2;FADD;RAF1;HRAS;YWHAG;MAPK3;JAK1
KEGG_2019_Human	ErbB signaling pathway	15/85	2.155802e-20	3.643305e-19	0	0	5.745463e+01	2.601749e+03	GSK3B;MAP2K1;MAP2K2;CBL;CRKL;PAK1;MAPK8;MYC;ABL1;MAPK1;GRB2;RAF1;HRAS;CRK;MAPK3
KEGG_2019_Human	Human immunodeficiency virus 1 infection	18/212	2.150839e-18	3.304471e-17	0	0	2.576637e+01	1.048193e+03	MAP2K1;MAP2K2;CHUK;TRAF2;MAPK14;CRKL;IKBKB;PAK1;MAPK8;CHEK1;MAPK1;ATM;FADD;RAF1;CRK;HRAS;MAPK3;MAP2K6
KEGG_2019_Human	MicroRNAs in cancer	20/299	2.577950e-18	3.630612e-17	0	0	2.039582e+01	8.260214e+02	MAP2K1;UBE2I;MAP2K2;NOTCH1;HDAC1;BRCA1;BMI1;CRKL;IKBKB;HNRNPK;MYC;E2F1;MDM2;ABL1;MAPK1;ATM;GRB2;RAF1;CRK;HRAS
KEGG_2019_Human	PI3K-Akt signaling pathway	20/354	6.965999e-17	9.055798e-16	0	0	1.698950e+01	6.320587e+02	YWHAE;NTRK1;ATF2;GSK3B;MAP2K1;MAP2K2;CHUK;BRCA1;IKBKB;CREB1;YWHAQ;MYC;MDM2;MAPK1;GRB2;RAF1;HRAS;YWHAG;MAPK3;JAK1
KEGG_2019_Human	Renal cell carcinoma	12/69	2.002437e-16	2.417228e-15	0	0	5.428298e+01	1.962167e+03	CDC42;MAP2K1;PAK1;MAP2K2;MAPK1;GRB2;RAF1;HRAS;CRK;HIF1A;CRKL;MAPK3
KEGG_2019_Human	Cell cycle	14/124	3.013101e-16	3.394760e-15	0	0	3.360170e+01	1.200871e+03	YWHAE;GSK3B;CDKN2C;HDAC1;YWHAQ;MYC;CHEK2;CHEK1;E2F1;MDM2;ABL1;ATM;YWHAG;MCM2
KEGG_2019_Human	Human papillomavirus infection	19/330	3.216999e-16	3.397956e-15	0	0	1.710611e+01	6.102247e+02	GSK3B;MAP2K1;MAP2K2;NOTCH1;CHUK;HDAC1;CDC42;IKBKB;CREB1;E2F1;MDM2;MAPK1;ATM;GRB2;FADD;RAF1;HRAS;MAPK3;JAK1
