Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Chronic myeloid leukemia	14/76	2.970525e-18	2.653566e-16	0	0	4.867602e+01	1.964457e+03	SMAD3;CHUK;HDAC1;GAB2;CBL;IKBKB;MYC;E2F1;ABL1;MDM2;MAPK1;KRAS;RAF1;HRAS
KEGG_2019_Human	Pathways in cancer	26/530	3.050076e-18	2.653566e-16	0	0	1.250347e+01	5.042821e+02	NOTCH1;HDAC1;BRCA2;CBL;EGFR;CDC42;IKBKB;MAPK8;MYC;E2F1;ABL1;MAPK1;RAC1;HRAS;NKX3-1;SMAD2;SMAD3;CHUK;PML;ESR2;RHOA;TRAF6;MDM2;KRAS;RAF1;BIRC3
KEGG_2019_Human	MAPK signaling pathway	20/295	7.749629e-17	4.494785e-15	0	0	1.659112e+01	6.154692e+02	HSPA8;DAXX;CHUK;MAPK14;EGFR;CDC25B;CDC42;IKBKB;NR4A1;RPS6KA6;MAPK8;MYC;TRAF6;RPS6KA1;NF1;MAPK1;KRAS;RAC1;RAF1;HRAS
KEGG_2019_Human	Pancreatic cancer	13/75	1.174422e-16	4.523204e-15	0	0	4.471315e+01	1.640104e+03	SMAD2;SMAD3;CHUK;BRCA2;EGFR;IKBKB;CDC42;MAPK8;E2F1;MAPK1;KRAS;RAC1;RAF1
KEGG_2019_Human	Cell cycle	15/124	1.299771e-16	4.523204e-15	0	0	2.991985e+01	1.094443e+03	SMAD2;SMAD3;YWHAB;HDAC1;CDC25C;CDC25B;MYC;CHEK2;CHEK1;E2F1;MDM2;ABL1;ATM;MCM2;YWHAH
KEGG_2019_Human	MicroRNAs in cancer	19/299	1.628222e-15	4.721844e-14	0	0	1.529828e+01	5.209260e+02	NOTCH1;HDAC1;BRCA1;CDC25C;BMI1;EGFR;RHOA;CDC25B;IKBKB;MYC;E2F1;MDM2;ABL1;MAPK1;ATM;KRAS;RAF1;HRAS;SOX4
KEGG_2019_Human	Neurotrophin signaling pathway	14/119	2.123463e-15	5.278323e-14	0	0	2.867971e+01	9.689649e+02	MAPK14;RHOA;CDC42;IKBKB;RPS6KA6;MAPK8;TRAF6;RPS6KA1;ABL1;MAPK1;KRAS;RAC1;RAF1;HRAS
KEGG_2019_Human	Hepatitis B	15/163	8.264553e-15	1.797540e-13	0	0	2.199213e+01	7.131344e+02	SMAD2;SMAD3;CHUK;YWHAB;MAPK14;IKBKB;MAPK8;CREB1;MYC;TRAF6;E2F1;MAPK1;KRAS;RAF1;HRAS
KEGG_2019_Human	Cellular senescence	14/160	1.384733e-13	2.677151e-12	0	0	2.058309e+01	6.094260e+02	SMAD2;SMAD3;MAPK14;MYC;CHEK2;CHEK1;E2F1;MDM2;MAPK1;ATM;KRAS;NBN;RAF1;HRAS
KEGG_2019_Human	FoxO signaling pathway	13/132	2.334094e-13	4.061324e-12	0	0	2.322897e+01	6.756374e+02	SMAD2;SMAD3;CHUK;MAPK14;EGFR;IKBKB;MAPK8;MDM2;MAPK1;ATM;KRAS;RAF1;HRAS
