Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	18/219	2.910588e-17	5.064423e-15	0	0	2.177999e+01	8.292860e+02	ATF2;EGR1;CDKN2C;CHUK;PTEN;PIK3R1;IKBKB;PPP3CA;DLG1;MAPK8;CREB1;CHEK2;CHEK1;CDC27;E2F1;AKT1;MAPK1;ATM
KEGG_2019_Human	Ubiquitin mediated proteolysis	14/137	5.887515e-15	5.122138e-13	0	0	2.648417e+01	8.677788e+02	UBE2I;FBXW7;HUWE1;BRCA1;CBL;UBE2L3;CUL4A;FZR1;SOCS1;NEDD4;CDC27;MDM2;TRIM37;CUL4B
KEGG_2019_Human	Prostate cancer	12/97	5.486692e-14	3.182281e-12	0	0	3.215578e+01	9.818403e+02	IKBKB;AR;CREB1;CHUK;MDM2;PTEN;E2F1;AKT1;MAPK1;CTNNB1;PIK3R1;NKX3-1
KEGG_2019_Human	Human papillomavirus infection	17/330	5.359865e-13	2.331541e-11	0	0	1.297421e+01	3.665819e+02	NOTCH1;CHUK;CSNK1A1;HDAC1;PXN;PTEN;PIK3R1;IKBKB;DLG1;CREB1;E2F1;MDM2;DVL2;AKT1;CTNNB1;MAPK1;ATM
KEGG_2019_Human	Pathways in cancer	20/530	1.257590e-12	4.376412e-11	0	0	9.625714e+00	2.637621e+02	NOTCH1;CHUK;HDAC1;NCOA3;PTEN;PIK3R1;CBL;HIF1A;IKBKB;AR;MAPK8;E2F1;MDM2;ABL1;DVL2;AKT1;CTNNB1;MAPK1;NKX3-1;NFE2L2
KEGG_2019_Human	MicroRNAs in cancer	16/299	1.545120e-12	4.480848e-11	0	0	1.336319e+01	3.634243e+02	UBE2I;NOTCH1;HDAC1;PTEN;BRCA1;BMI1;IKBKB;SOCS1;ERBB3;E2F1;FSCN1;MDM2;ABL1;MAPK1;MDM4;ATM
KEGG_2019_Human	Human immunodeficiency virus 1 infection	14/212	2.525906e-12	6.278681e-11	0	0	1.638990e+01	4.376828e+02	CHUK;PXN;PIK3R1;MAPK14;DCAF1;CUL4A;IKBKB;PPP3CA;MAPK8;CHEK1;AKT1;MAPK1;ATM;CUL4B
KEGG_2019_Human	Chronic myeloid leukemia	10/76	4.039600e-12	8.786130e-11	0	0	3.376745e+01	8.858848e+02	IKBKB;CHUK;HDAC1;E2F1;ABL1;MDM2;AKT1;MAPK1;PIK3R1;CBL
KEGG_2019_Human	Human cytomegalovirus infection	14/225	5.661490e-12	1.094555e-10	0	0	1.536995e+01	3.980407e+02	ATF2;CHUK;PXN;PIK3R1;MAPK14;IKBKB;PPP3CA;CREB1;E2F1;MDM2;AKT1;CTNNB1;MAPK1;BCAR1
KEGG_2019_Human	Cellular senescence	12/160	2.298544e-11	3.999467e-10	0	0	1.840913e+01	4.509531e+02	PPP3CA;CHEK2;CHEK1;E2F1;MDM2;PTEN;AKT1;MAPK1;ATM;PIK3R1;MAPK14;PPP1CA
