Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Ubiquitin mediated proteolysis	27/137	4.757356e-32	9.134124e-30	0	0	4.367764e+01	3.150164e+03	UBE2D2;CUL1;KEAP1;UBE2D1;UBE3A;BRCA1;ANAPC10;ANAPC11;CDC20;FZR1;CDC23;CDC26;UBR5;BTRC;ANAPC7;UBE2E3;UBE2E1;UBE2E2;PIAS1;UBE2U;CDC16;UBE2N;ANAPC5;UBA1;UBE2K;TRIM32;ANAPC1
KEGG_2019_Human	Wnt signaling pathway	18/158	3.836049e-17	3.682607e-15	0	0	2.113071e+01	7.987305e+02	APC2;RNF43;GSK3B;TCF7L2;CSNK2A1;CTBP1;CSNK1A1;CTNNBIP1;CUL1;CSNK1E;AXIN2;APC;CSNK2B;CTNNB1;RAC1;BTRC;PRKACA;TP53
KEGG_2019_Human	Cell cycle	16/124	3.131644e-16	1.713915e-14	0	0	2.398786e+01	8.563618e+02	GSK3B;TGFB1;ANAPC7;CUL1;YWHAZ;ANAPC10;ANAPC11;CDC20;FZR1;CDC23;CDC26;CDC16;ANAPC5;MCM5;TP53;ANAPC1
KEGG_2019_Human	Oocyte meiosis	16/125	3.570657e-16	1.713915e-14	0	0	2.376658e+01	8.453443e+02	ANAPC7;CUL1;YWHAZ;ANAPC10;ANAPC11;AURKA;CDC20;PPP2CA;CDC23;CDC26;CDC16;MAPK1;ANAPC5;BTRC;PRKACA;ANAPC1
KEGG_2019_Human	Hippo signaling pathway	17/160	9.919752e-16	3.809185e-14	0	0	1.937369e+01	6.692997e+02	APC2;GSK3B;TCF7L2;TGFB1;SCRIB;CSNK1D;CSNK1E;AXIN2;YWHAZ;SMAD7;PPP2CA;APC;CDH1;TP53BP2;CTNNA1;CTNNB1;BTRC
KEGG_2019_Human	Progesterone-mediated oocyte maturation	12/99	3.971852e-12	1.270993e-10	0	0	2.164751e+01	5.682858e+02	FZR1;CDC23;ANAPC7;CDC26;CDC16;MAPK1;ANAPC5;PRKACA;ANAPC1;ANAPC10;ANAPC11;AURKA
KEGG_2019_Human	Endometrial cancer	10/58	6.920775e-12	1.898270e-10	0	0	3.224935e+01	8.286952e+02	APC2;GSK3B;TCF7L2;APC;CDH1;CTNNA1;MAPK1;CTNNB1;AXIN2;TP53
KEGG_2019_Human	Pathways in cancer	22/530	1.389228e-11	3.334148e-10	0	0	7.225563e+00	1.806368e+02	APC2;GSK3B;TCF7L2;TGFB1;EPAS1;CTBP1;CUL1;KEAP1;TRAF1;AXIN2;RELA;CDC42;MSH2;APC;CDH1;CTNNA1;CTNNB1;MAPK1;RAC1;PRKACA;TP53;NFE2L2
KEGG_2019_Human	Colorectal cancer	11/86	1.774194e-11	3.784947e-10	0	0	2.285113e+01	5.656817e+02	APC2;GSK3B;TCF7L2;TGFB1;MSH2;APC;MAPK1;CTNNB1;RAC1;AXIN2;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	15/219	3.202780e-11	6.149338e-10	0	0	1.175155e+01	2.839695e+02	TGFB1;ANAPC7;RELA;ANAPC10;ANAPC11;CDC20;CDC23;XPO1;CDC26;CDC16;MAPK1;ANAPC5;PRKACA;TP53;ANAPC1
KEGG_2019_Human	Adherens junction	10/72	6.554296e-11	1.144023e-09	0	0	2.494960e+01	5.850260e+02	CDC42;TCF7L2;CSNK2A1;CDH1;CSNK2B;CTNNA1;MAPK1;CTNNB1;RAC1;IQGAP1
KEGG_2019_Human	Human papillomavirus infection	17/330	1.305188e-10	2.088301e-09	0	0	8.774932e+00	1.997131e+02	APC2;GSK3B;TCF7L2;CSNK1A1;PXN;SCRIB;UBE3A;AXIN2;TUBG1;RELA;PPP2CA;CDC42;APC;CTNNB1;MAPK1;PRKACA;TP53
KEGG_2019_Human	Hepatocellular carcinoma	13/168	1.544410e-10	2.280975e-09	0	0	1.322276e+01	2.987182e+02	APC2;GSK3B;TCF7L2;TGFB1;CSNK1A1;KEAP1;AXIN2;APC;CTNNB1;MAPK1;BRD7;TP53;NFE2L2
KEGG_2019_Human	Gastric cancer	12/149	5.089882e-10	6.980410e-09	0	0	1.371220e+01	2.934218e+02	APC2;GSK3B;TCF7L2;TGFB1;APC;CDH1;CSNK1A1;CTNNA1;CTNNB1;MAPK1;AXIN2;TP53
