Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	ErbB signaling pathway	16/85	9.647356e-20	1.823350e-17	0	0	4.252711e+01	1.862050e+03	MAP2K1;SHC1;BRAF;PIK3R1;CBL;EGFR;ERBB3;ERBB4;ERBB2;ABL2;GRB2;PLCG1;HRAS;CRK;NCK1;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	20/201	1.022396e-18	9.661646e-17	0	0	2.092541e+01	8.668224e+02	ITGB1;MAP2K1;TGFB1;CAV1;PTPN11;BRAF;PIK3R1;CBL;HIF1A;EGFR;ERBB3;ERBB4;ERBB2;MDM2;FLNA;GRB2;PLCG1;HRAS;CD44;MAPK3
KEGG_2019_Human	Pathways in cancer	28/530	1.643334e-18	1.035301e-16	0	0	1.125647e+01	4.609504e+02	ITGB1;CSF3R;SPI1;HSP90AB1;FLT3;PIK3R1;CBL;HIF1A;EGFR;DVL1;ERBB2;PLCG1;HRAS;MAPK3;MAP2K1;HSP90AA1;TGFB1;JAG1;NCOA3;TRAF2;BRAF;PML;NFKB2;NFKBIA;CCNE2;MDM2;GRB2;CRK
KEGG_2019_Human	Chronic myeloid leukemia	13/76	1.153567e-15	5.450602e-14	0	0	3.683240e+01	1.266884e+03	MAP2K1;TGFB1;SHC1;PTPN11;BRAF;PIK3R1;CBL;NFKBIA;MDM2;GRB2;HRAS;CRK;MAPK3
KEGG_2019_Human	MAPK signaling pathway	20/295	1.888445e-15	7.138323e-14	0	0	1.370699e+01	4.647085e+02	MAP4K1;HSPA8;MAP2K1;TGFB1;FLT3;TRAF2;BRAF;EGFR;RELB;NFKB2;ERBB3;ERBB4;ERBB2;FLNA;GRB2;CRK;HRAS;HSPA1A;EPHA2;MAPK3
KEGG_2019_Human	Prostate cancer	13/97	3.158178e-14	9.948259e-13	0	0	2.759502e+01	8.578243e+02	MAP2K1;HSP90AA1;HSP90AB1;BRAF;PIK3R1;EGFR;NFKBIA;CCNE2;ERBB2;MDM2;GRB2;HRAS;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	19/354	6.728878e-13	1.816797e-11	0	0	1.055520e+01	2.958326e+02	ITGB1;MAP2K1;HSP90AA1;CSF3R;HSP90AB1;FLT3;PIK3R1;EGFR;ERBB3;CCNE2;ERBB4;CDC37;MYB;ERBB2;MDM2;GRB2;HRAS;EPHA2;MAPK3
KEGG_2019_Human	Breast cancer	13/147	7.279433e-12	1.719766e-10	0	0	1.725467e+01	4.425128e+02	MAP2K1;JAG1;SHC1;NCOA3;BRAF;PIK3R1;EGFR;NFKB2;DVL1;ERBB2;GRB2;HRAS;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	12/119	1.017137e-11	2.135989e-10	0	0	1.979539e+01	5.010500e+02	NFKBIA;MAP2K1;SHC1;ARHGDIA;BRAF;GRB2;PTPN11;PIK3R1;PLCG1;HRAS;CRK;MAPK3
KEGG_2019_Human	Renal cell carcinoma	10/69	1.449763e-11	2.740052e-10	0	0	2.946328e+01	7.353161e+02	MAP2K1;TGFB1;PTPN11;BRAF;GRB2;PIK3R1;HRAS;CRK;HIF1A;MAPK3
KEGG_2019_Human	Osteoclast differentiation	12/127	2.211132e-11	3.799126e-10	0	0	1.841087e+01	4.517094e+02	NFKBIA;MAP2K1;TGFB1;SPI1;SOCS1;TRAF2;GRB2;PIK3R1;SQSTM1;RELB;NFKB2;MAPK3
KEGG_2019_Human	Glioma	10/75	3.425770e-11	5.395588e-10	0	0	2.673549e+01	6.442481e+02	MAP2K1;SHC1;MDM2;BRAF;GRB2;PIK3R1;PLCG1;HRAS;EGFR;MAPK3
KEGG_2019_Human	Estrogen signaling pathway	12/137	5.427078e-11	7.890136e-10	0	0	1.692943e+01	4.001615e+02	HSPA8;MAP2K1;HSP90AA1;HSP90AB1;SHC1;NCOA3;GRB2;PIK3R1;HRAS;EGFR;HSPA1A;MAPK3
KEGG_2019_Human	Gastric cancer	12/149	1.455132e-10	1.964428e-09	0	0	1.543717e+01	3.496636e+02	MAP2K1;TGFB1;CCNE2;SHC1;DVL1;ERBB2;GRB2;BRAF;PIK3R1;HRAS;EGFR;MAPK3
KEGG_2019_Human	Central carbon metabolism in cancer	9/65	2.407792e-10	3.033819e-09	0	0	2.769876e+01	6.134483e+02	MAP2K1;PKM;FLT3;ERBB2;PIK3R1;HRAS;HIF1A;EGFR;MAPK3
KEGG_2019_Human	Acute myeloid leukemia	9/66	2.773551e-10	3.083536e-09	0	0	2.721144e+01	5.988074e+02	MAP2K1;SPI1;FLT3;BRAF;GRB2;PIK3R1;HRAS;PML;MAPK3
KEGG_2019_Human	Non-small cell lung cancer	9/66	2.773551e-10	3.083536e-09	0	0	2.721144e+01	5.988074e+02	MAP2K1;ERBB2;BRAF;GRB2;PIK3R1;PLCG1;HRAS;EGFR;MAPK3
KEGG_2019_Human	Focal adhesion	13/199	3.298766e-10	3.463704e-09	0	0	1.239804e+01	2.706778e+02	ITGB1;MAP2K1;SHC1;CAV1;BRAF;PIK3R1;EGFR;ERBB2;FLNA;GRB2;CRK;HRAS;MAPK3
KEGG_2019_Human	Hepatocellular carcinoma	12/168	5.866625e-10	5.761987e-09	0	0	1.354396e+01	2.878981e+02	MAP2K1;TGFB1;SHC1;DVL1;GRB2;BRAF;PIK3R1;PLCG1;HRAS;EGFR;SMARCA4;MAPK3
KEGG_2019_Human	FoxO signaling pathway	11/132	6.097341e-10	5.761987e-09	0	0	1.589300e+01	3.372177e+02	MAP2K1;TGFB1;PLK1;CAT;MDM2;GRB2;BRAF;PIK3R1;HRAS;EGFR;MAPK3
KEGG_2019_Human	Endometrial cancer	8/58	2.569813e-09	2.312832e-08	0	0	2.734621e+01	5.408925e+02	MAP2K1;ERBB2;BRAF;GRB2;PIK3R1;HRAS;EGFR;MAPK3
KEGG_2019_Human	MicroRNAs in cancer	14/299	5.125296e-09	4.403096e-08	0	0	8.748772e+00	1.670060e+02	MAP2K1;SHC1;EGFR;HNRNPK;SOCS1;ERBB3;CCNE2;ERBB2;MDM2;GRB2;PLCG1;CRK;HRAS;CD44
KEGG_2019_Human	Bladder cancer	7/41	5.601831e-09	4.603244e-08	0	0	3.491554e+01	6.634012e+02	MAP2K1;ERBB2;MDM2;BRAF;HRAS;EGFR;MAPK3
