Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Adherens junction	20/72	2.320153e-25	4.918725e-23	0	0	5.105576e+01	2.896035e+03	PTPN1;TCF7L2;CREBBP;SMAD4;SRC;ACTN4;IQGAP1;ACTB;RHOA;TGFBR1;CDC42;CDH1;CSNK2B;ERBB2;CTNNB1;CTNNA3;FYN;PTPN6;VCL;FGFR1
KEGG_2019_Human	Pathways in cancer	30/530	1.213818e-16	1.286647e-14	0	0	8.344317e+00	3.057991e+02	NOTCH1;EPAS1;HDAC1;PIK3R1;ETS1;CDC42;IKBKB;CDH1;CASP3;ERBB2;CTNNA3;PRKCG;TCF7L2;CREBBP;SMAD4;CHUK;ARNT;MITF;AXIN2;PML;ESR2;RHOA;TGFBR1;AR;TRAF6;MDM2;FAS;CTNNB1;FGFR1;BCL2L1
KEGG_2019_Human	Proteoglycans in cancer	17/201	1.322905e-12	7.011395e-11	0	0	1.194218e+01	3.266330e+02	PRKCG;SRC;MSN;PTPN11;PIK3R1;IQGAP1;ACTB;RHOA;CDC42;CASP3;ERBB2;MDM2;FAS;CTNNB1;PTPN6;EZR;FGFR1
KEGG_2019_Human	Viral carcinogenesis	17/201	1.322905e-12	7.011395e-11	0	0	1.194218e+01	3.266330e+02	LYN;ATF2;CREBBP;SRC;HDAC1;HLA-B;HLA-C;ACTN4;HLA-A;PIK3R1;RHOA;CDC42;CREB1;PKM;CASP3;MDM2;CDK1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	17/219	5.292319e-12	2.243943e-10	0	0	1.086806e+01	2.821867e+02	ATF2;CREBBP;SMAD4;CHUK;HLA-B;HLA-C;HLA-A;PIK3R1;ETS1;TGFBR1;IKBKB;CREB1;XPO1;TCF3;CALR;B2M;BCL2L1
KEGG_2019_Human	Human cytomegalovirus infection	17/225	8.163883e-12	2.884572e-10	0	0	1.055133e+01	2.693893e+02	PRKCG;ATF2;CHUK;SRC;HLA-B;HLA-C;HLA-A;PIK3R1;RHOA;IKBKB;CREB1;CASP3;MDM2;FAS;CTNNB1;CALR;B2M
KEGG_2019_Human	Leukocyte transendothelial migration	13/112	1.157251e-11	3.504819e-10	0	0	1.660943e+01	4.182651e+02	PRKCG;MSN;PTPN11;ACTN4;PIK3R1;ACTB;RHOA;CDC42;CDH5;CTNNB1;CTNNA3;EZR;VCL
KEGG_2019_Human	Endocytosis	17/244	2.965510e-11	7.858601e-10	0	0	9.658822e+00	2.341432e+02	ARFGEF1;ARFGEF2;TFRC;SRC;HLA-B;HLA-C;HLA-A;AP2B1;PML;RHOA;TGFBR1;CDC42;TRAF6;RAB35;MDM2;CHMP4B;AP2M1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	16/212	3.514047e-11	8.277532e-10	0	0	1.047619e+01	2.521794e+02	PRKCG;CHUK;HLA-B;HLA-C;HLA-A;PIK3R1;CUL4A;IKBKB;TRAF6;CASP3;CDK1;FAS;CALR;BTRC;B2M;BCL2L1
KEGG_2019_Human	Human papillomavirus infection	19/330	5.294139e-11	1.122358e-09	0	0	7.950268e+00	1.881179e+02	TCF7L2;CREBBP;NOTCH1;CHUK;CSNK1A1;HDAC1;HLA-B;HLA-C;HLA-A;PIK3R1;AXIN2;CDC42;IKBKB;CREB1;PKM;CASP3;MDM2;FAS;CTNNB1
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	13/131	8.614364e-11	1.660223e-09	0	0	1.392161e+01	3.226334e+02	PRKCG;HLA-B;HLA-C;PTPN11;HLA-A;PIK3R1;KIR2DL1;CASP3;FAS;KLRD1;FYN;PTPN6;CD244
KEGG_2019_Human	Prostate cancer	11/97	6.002314e-10	1.044084e-08	0	0	1.598432e+01	3.394064e+02	IKBKB;AR;TCF7L2;CREBBP;CREB1;CHUK;ERBB2;MDM2;CTNNB1;PIK3R1;FGFR1
KEGG_2019_Human	Bacterial invasion of epithelial cells	10/74	6.402404e-10	1.044084e-08	0	0	1.942512e+01	4.112138e+02	CDC42;CDH1;SRC;ILK;CTNNB1;CTNNA3;PIK3R1;ACTB;RHOA;VCL
KEGG_2019_Human	Hepatitis B	13/163	1.323919e-09	2.004792e-08	0	0	1.093389e+01	2.235179e+02	PRKCG;ATF2;CREBBP;SMAD4;CHUK;SRC;PIK3R1;TGFBR1;IKBKB;CREB1;CASP3;TRAF6;FAS
KEGG_2019_Human	Epstein-Barr virus infection	14/201	1.778417e-09	2.513496e-08	0	0	9.488218e+00	1.911643e+02	LYN;CHUK;HDAC1;HLA-B;HLA-C;HLA-A;PIK3R1;IKBKB;TRAF6;CASP3;MDM2;FAS;CALR;B2M
