Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	16/219	4.924864e-12	1.004672e-09	0	0	1.210160e+01	3.150860e+02	MAP2K1;TGFB1;CSF2;HLA-B;HLA-C;HLA-A;PIK3R1;NFKB2;NFKBIA;KAT5;CANX;VDAC1;CALR;SLC25A5;B2M;MAPK3
KEGG_2019_Human	Cellular senescence	14/160	9.940807e-12	1.013962e-09	0	0	1.453846e+01	3.683228e+02	MAP2K1;TGFB1;IGFBP3;HLA-B;HLA-C;HLA-A;PIK3R1;FOXM1;HIPK2;MDM2;VDAC1;SLC25A5;SQSTM1;MAPK3
KEGG_2019_Human	Viral carcinogenesis	15/201	1.745263e-11	1.186779e-09	0	0	1.229682e+01	3.046112e+02	LYN;HDAC2;SYK;HLA-B;HLA-C;TRAF2;HLA-A;PIK3R1;NFKB2;NFKBIA;CDC42;MDM2;GRB2;ATP6V0D1;MAPK3
KEGG_2019_Human	Epstein-Barr virus infection	14/201	2.132314e-10	1.087480e-08	0	0	1.132727e+01	2.522430e+02	LYN;HDAC2;SYK;HLA-B;HLA-C;TRAF2;HLA-A;PIK3R1;NFKB2;NFKBIA;MDM2;BCL2;CALR;B2M
KEGG_2019_Human	HIF-1 signaling pathway	10/100	2.721909e-09	1.110539e-07	0	0	1.638972e+01	3.232369e+02	MAP2K1;EGLN2;TFRC;BCL2;ENO1;PIK3R1;ENO2;HIF1A;GAPDH;MAPK3
KEGG_2019_Human	Chronic myeloid leukemia	9/76	3.822520e-09	1.299657e-07	0	0	1.969055e+01	3.816492e+02	NFKBIA;MAP2K1;HDAC2;TGFB1;SHC1;MDM2;GRB2;PIK3R1;MAPK3
KEGG_2019_Human	Pathways in cancer	19/530	9.006494e-09	2.624750e-07	0	0	5.754286e+00	1.066000e+02	MAP2K1;HSP90AA1;HDAC2;TGFB1;CSF3R;EGLN2;NCOA3;TRAF2;PIK3R1;HIF1A;PML;NFKB2;NFKBIA;CDC42;MDM2;BCL2;CCDC6;GRB2;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	12/186	1.044313e-08	2.662998e-07	0	0	1.028318e+01	1.889772e+02	LYN;NFKBIA;MAP2K1;CSF2;SYK;HLA-B;HLA-C;TRAF2;HLA-A;PIK3R1;HIF1A;MAPK3
KEGG_2019_Human	Osteoclast differentiation	10/127	2.788519e-08	6.320643e-07	0	0	1.259025e+01	2.190096e+02	NFKBIA;MAP2K1;TGFB1;SYK;GRB2;TRAF2;PIK3R1;SQSTM1;NFKB2;MAPK3
KEGG_2019_Human	Renal cell carcinoma	8/69	3.427795e-08	6.960236e-07	0	0	1.908872e+01	3.281115e+02	CDC42;MAP2K1;TGFB1;EGLN2;GRB2;PIK3R1;HIF1A;MAPK3
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	10/131	3.753068e-08	6.960236e-07	0	0	1.217158e+01	2.081110e+02	MAP2K1;CSF2;SYK;SHC1;HLA-B;HLA-C;GRB2;HLA-A;PIK3R1;MAPK3
