Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	mTOR signaling pathway	16/152	1.659754e-14	3.037350e-12	0	0	1.812500e+01	5.750976e+02	ATP6V1A;PRKAA2;INS;FLCN;RRAGA;RRAGC;RRAGB;RRAGD;ULK1;GRB2;LAMTOR1;LAMTOR4;FNIP2;LAMTOR3;ATP6V1B1;LAMTOR5
KEGG_2019_Human	Viral carcinogenesis	12/201	2.483878e-08	2.272748e-06	0	0	9.459836e+00	1.656499e+02	LYN;CDC42;USP7;HDAC2;CDKN2A;SRC;CASP3;HLA-B;CDK1;GRB2;YWHAG;YWHAH
KEGG_2019_Human	Adherens junction	8/72	4.818460e-08	2.939261e-06	0	0	1.819118e+01	3.064891e+02	CDC42;SMAD4;CDH1;SRC;CTNNB1;FYN;ACTB;VCL
KEGG_2019_Human	Autophagy	9/128	3.727601e-07	1.557345e-05	0	0	1.105714e+01	1.636715e+02	GABARAPL1;RRAGA;PRKAA2;RRAGC;RRAGB;RRAGD;ULK1;GABARAP;INS
KEGG_2019_Human	Mitophagy	7/65	4.255040e-07	1.557345e-05	0	0	1.744098e+01	2.558590e+02	PRKN;GABARAPL1;USP15;SRC;ULK1;SQSTM1;GABARAP
KEGG_2019_Human	Epithelial cell signaling in Helicobacter pylori infection	7/68	5.819559e-07	1.774965e-05	0	0	1.658071e+01	2.380471e+02	ATP6V1A;CDC42;LYN;SRC;CASP3;CSK;ATP6V1B1
KEGG_2019_Human	Pathogenic Escherichia coli infection	6/55	2.720723e-06	7.112747e-05	0	0	1.757498e+01	2.252165e+02	CDC42;CDH1;TUBB3;CTNNB1;FYN;ACTB
KEGG_2019_Human	Oocyte meiosis	8/125	3.437042e-06	7.862233e-05	0	0	9.924082e+00	1.248539e+02	PTTG1;FBXW11;CDK1;BTRC;YWHAG;YWHAH;AURKA;INS
KEGG_2019_Human	Shigellosis	6/65	7.307481e-06	1.485854e-04	0	0	1.458880e+01	1.725361e+02	CDC42;FBXW11;SRC;BTRC;ACTB;VCL
KEGG_2019_Human	Bacterial invasion of epithelial cells	6/74	1.554139e-05	2.844074e-04	0	0	1.265217e+01	1.400849e+02	CDC42;CDH1;SRC;CTNNB1;ACTB;VCL
KEGG_2019_Human	Hippo signaling pathway	8/160	2.109662e-05	3.509710e-04	0	0	7.625387e+00	8.209795e+01	SMAD4;FBXW11;CDH1;CTNNB1;BTRC;ACTB;YWHAG;YWHAH
KEGG_2019_Human	Cell cycle	7/124	3.232339e-05	4.929317e-04	0	0	8.620188e+00	8.913033e+01	SMAD4;HDAC2;PTTG1;CDKN2A;CDK1;YWHAG;YWHAH
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	7/131	4.596014e-05	6.306318e-04	0	0	8.130680e+00	8.120709e+01	LCK;CASP3;HLA-B;FAS;GRB2;FYN;CD244
KEGG_2019_Human	FoxO signaling pathway	7/132	4.824506e-05	6.306318e-04	0	0	8.065226e+00	8.016204e+01	USP7;GABARAPL1;SMAD4;PRKAA2;GRB2;GABARAP;INS
KEGG_2019_Human	Ubiquitin mediated proteolysis	7/137	6.111187e-05	7.056471e-04	0	0	7.753060e+00	7.522643e+01	PRKN;UBE2I;FBXW11;HUWE1;WWP2;STUB1;BTRC
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	8/186	6.169592e-05	7.056471e-04	0	0	6.502974e+00	6.303523e+01	LYN;GABARAPL1;SRC;CASP3;HLA-B;FAS;CTNNB1;GABARAP
KEGG_2019_Human	Circadian rhythm	4/31	6.971550e-05	7.504669e-04	0	0	2.098307e+01	2.008308e+02	PRKAA2;FBXW11;CRY1;BTRC
KEGG_2019_Human	Longevity regulating pathway	6/102	9.578961e-05	9.738611e-04	0	0	8.949275e+00	8.281083e+01	HDAC2;PRKAA2;ULK1;CRYAB;INS;HSPA1A
KEGG_2019_Human	Proteoglycans in cancer	8/201	1.060507e-04	1.021435e-03	0	0	5.992990e+00	5.484541e+01	CDC42;SRC;CASP3;FAS;CTNNB1;GRB2;NUDT16L1;ACTB
KEGG_2019_Human	Cellular senescence	7/160	1.615194e-04	1.477902e-03	0	0	6.579886e+00	5.744824e+01	FBXW11;CDKN2A;HLA-B;CDK1;BTRC;SLC25A5;SQSTM1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	8/219	1.912366e-04	1.666490e-03	0	0	5.476721e+00	4.689168e+01	SMAD4;PTTG1;KAT5;CDKN2A;LCK;HLA-B;SLC25A5;B2M
KEGG_2019_Human	Human cytomegalovirus infection	8/225	2.297890e-04	1.911427e-03	0	0	5.323665e+00	4.460352e+01	CDKN2A;SRC;CASP3;HLA-B;FAS;CTNNB1;GRB2;B2M
KEGG_2019_Human	Alzheimer disease	7/171	2.430377e-04	1.933735e-03	0	0	6.135126e+00	5.105832e+01	APP;ATP5F1A;CASP3;FAS;MAPT;GAPDH;SNCA
KEGG_2019_Human	Type I diabetes mellitus	4/43	2.557252e-04	1.949904e-03	0	0	1.451795e+01	1.200839e+02	HLA-B;FAS;HSPD1;INS
KEGG_2019_Human	Focal adhesion	7/199	6.054049e-04	4.320488e-03	0	0	5.232968e+00	3.877427e+01	CDC42;SRC;CTNNB1;GRB2;FYN;ACTB;VCL
KEGG_2019_Human	Epstein-Barr virus infection	7/201	6.423233e-04	4.320488e-03	0	0	5.178493e+00	3.806410e+01	LYN;USP7;HDAC2;CASP3;HLA-B;FAS;B2M
KEGG_2019_Human	Human papillomavirus infection	9/330	6.584099e-04	4.320488e-03	0	0	4.057113e+00	2.972112e+01	ATP6V1A;CDC42;HDAC2;CASP3;HLA-B;FAS;CTNNB1;GRB2;ATP6V1B1
KEGG_2019_Human	Legionellosis	4/55	6.610583e-04	4.320488e-03	0	0	1.109524e+01	8.123566e+01	VCP;CASP3;HSPD1;HSPA1A
KEGG_2019_Human	Viral myocarditis	4/59	8.627677e-04	5.359269e-03	0	0	1.028623e+01	7.257313e+01	CASP3;HLA-B;FYN;ACTB
