Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	28/530	8.933921e-17	1.974396e-14	0	0	9.387494e+00	3.469063e+02	CAMK2B;HDAC2;ARAF;PIK3R1;HSP90B1;GNAI2;CDC42;FRAT2;RASSF5;RAC2;PMAIP1;MAPK1;PRKACA;HRAS;JAK1;EGLN1;MAP2K1;CDKN2A;ARNT;BRAF;TRAF6;CTNNB1;GRB2;KRAS;RAF1;FGFR3;FGFR1;BCL2L1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	18/219	2.427302e-14	2.470853e-12	0	0	1.408191e+01	4.414596e+02	MAP2K1;CDKN2A;HLA-B;PIK3R1;KAT5;CANX;VDAC3;MAPK1;VDAC1;KRAS;CALR;PRKACA;SLC25A5;B2M;HRAS;BCL2L1;SLC25A6;JAK1
KEGG_2019_Human	Cellular senescence	16/160	3.354099e-14	2.470853e-12	0	0	1.724672e+01	5.350968e+02	MAP2K1;CDKN2A;IGFBP3;HLA-B;PIK3R1;RASSF5;CDK1;VDAC3;MAPK1;VDAC1;KRAS;RAF1;SLC25A5;SQSTM1;HRAS;SLC25A6
KEGG_2019_Human	Renal cell carcinoma	12/69	6.947693e-14	3.838600e-12	0	0	3.182001e+01	9.640757e+02	CDC42;EGLN1;MAP2K1;ARAF;ARNT;MAPK1;BRAF;KRAS;GRB2;PIK3R1;RAF1;HRAS
KEGG_2019_Human	Pancreatic cancer	12/75	1.985381e-13	8.631449e-12	0	0	2.878081e+01	8.417751e+02	CDC42;MAP2K1;CDKN2A;ARAF;RAC2;MAPK1;BRAF;KRAS;PIK3R1;RAF1;JAK1;BCL2L1
KEGG_2019_Human	Chronic myeloid leukemia	12/76	2.343380e-13	8.631449e-12	0	0	2.832968e+01	8.238840e+02	MAP2K1;HDAC2;CDKN2A;ARAF;MAPK1;BRAF;KRAS;GRB2;PIK3R1;RAF1;HRAS;BCL2L1
KEGG_2019_Human	Colorectal cancer	12/86	1.087008e-12	2.606865e-11	0	0	2.448896e+01	6.746119e+02	MAP2K1;ARAF;RAC2;MAPK1;PMAIP1;CTNNB1;BRAF;KRAS;GRB2;PIK3R1;RAF1;HRAS
KEGG_2019_Human	Hepatocellular carcinoma	15/168	1.172561e-12	2.606865e-11	0	0	1.509191e+01	4.146024e+02	MAP2K1;SMARCB1;CDKN2A;ARAF;BRAF;PIK3R1;ACTB;FRAT2;CTNNB1;MAPK1;GRB2;KRAS;RAF1;HRAS;BCL2L1
KEGG_2019_Human	Proteoglycans in cancer	16/201	1.186142e-12	2.606865e-11	0	0	1.339655e+01	3.678736e+02	CAMK2B;MAP2K1;ARAF;BRAF;PIK3R1;ACTB;CDC42;ERBB3;CTNNB1;MAPK1;GRB2;KRAS;RAF1;PRKACA;HRAS;FGFR1
KEGG_2019_Human	Viral carcinogenesis	16/201	1.186142e-12	2.606865e-11	0	0	1.339655e+01	3.678736e+02	LYN;HDAC2;SYK;CDKN2A;HLA-B;PIK3R1;CDC42;CDK1;VDAC3;PMAIP1;MAPK1;GRB2;KRAS;PRKACA;HRAS;JAK1
KEGG_2019_Human	Non-small cell lung cancer	11/66	1.297535e-12	2.606865e-11	0	0	3.000303e+01	8.211996e+02	MAP2K1;CDKN2A;RASSF5;ARAF;MAPK1;BRAF;KRAS;GRB2;PIK3R1;RAF1;HRAS
KEGG_2019_Human	Prostate cancer	12/97	4.740544e-12	8.730502e-11	0	0	2.130795e+01	5.556020e+02	MAP2K1;ARAF;MAPK1;CTNNB1;BRAF;GRB2;KRAS;PIK3R1;RAF1;HRAS;HSP90B1;FGFR1
KEGG_2019_Human	Glioma	11/75	5.602745e-12	9.524666e-11	0	0	2.577214e+01	6.676984e+02	CAMK2B;MAP2K1;CDKN2A;ARAF;MAPK1;BRAF;KRAS;GRB2;PIK3R1;RAF1;HRAS
KEGG_2019_Human	Human cytomegalovirus infection	16/225	6.670871e-12	1.053045e-10	0	0	1.184373e+01	3.047778e+02	MAP2K1;CDKN2A;HLA-B;PIK3R1;GNAI2;RAC2;CTNNB1;MAPK1;GRB2;KRAS;CALR;RAF1;PRKACA;B2M;HRAS;JAK1
KEGG_2019_Human	Endometrial cancer	10/58	9.889009e-12	1.419722e-10	0	0	3.102914e+01	7.862658e+02	MAP2K1;ARAF;MAPK1;CTNNB1;BRAF;KRAS;GRB2;PIK3R1;RAF1;HRAS
KEGG_2019_Human	Ras signaling pathway	16/232	1.061849e-11	1.419722e-10	0	0	1.145582e+01	2.894705e+02	MAP2K1;KSR1;PIK3R1;CDC42;RASSF5;RAC2;MAPK1;GRB2;KRAS;RAF1;PRKACA;RGL2;FGFR3;HRAS;FGFR1;BCL2L1
KEGG_2019_Human	Bladder cancer	9/41	1.092094e-11	1.419722e-10	0	0	4.161031e+01	1.050258e+03	MAP2K1;CDKN2A;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;FGFR3
KEGG_2019_Human	Rap1 signaling pathway	15/206	2.241922e-11	2.671398e-10	0	0	1.206602e+01	2.958721e+02	MAP2K1;BRAF;PIK3R1;ACTB;GNAI2;CDC42;RASSF5;RAC2;CTNNB1;MAPK1;KRAS;RAF1;FGFR3;HRAS;FGFR1
KEGG_2019_Human	ErbB signaling pathway	11/85	2.296677e-11	2.671398e-10	0	0	2.227815e+01	5.457473e+02	CAMK2B;MAP2K1;ERBB3;ARAF;MAPK1;BRAF;KRAS;GRB2;PIK3R1;RAF1;HRAS
KEGG_2019_Human	Parkinson disease	13/142	2.906185e-11	3.211335e-10	0	0	1.529302e+01	3.710331e+02	NDUFA9;PARK7;ATP5F1C;GNAI2;ATP5F1A;ATP5F1B;UQCRC1;VDAC3;VDAC1;CYTB;PRKACA;SLC25A5;SLC25A6
KEGG_2019_Human	Regulation of actin cytoskeleton	15/214	3.859121e-11	4.061265e-10	0	0	1.157624e+01	2.775751e+02	CYFIP1;MAP2K1;ARAF;BRAF;PIK3R1;ACTB;CDC42;RAC2;MAPK1;KRAS;RAF1;FGFR3;HRAS;VCL;FGFR1
KEGG_2019_Human	Fc epsilon RI signaling pathway	10/68	5.186253e-11	5.209826e-10	0	0	2.566632e+01	6.078407e+02	LYN;MAP2K1;SYK;RAC2;MAPK1;KRAS;GRB2;PIK3R1;RAF1;HRAS
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	14/186	6.910705e-11	6.640286e-10	0	0	1.242068e+01	2.905863e+02	LYN;BECN1;MAP2K1;SYK;HLA-B;PIK3R1;PIK3CG;CLEC2B;CTNNB1;MAPK1;KRAS;RAF1;HRAS;JAK1
KEGG_2019_Human	B cell receptor signaling pathway	10/71	8.087773e-11	7.447491e-10	0	0	2.440035e+01	5.670172e+02	LYN;MAP2K1;SYK;RAC2;MAPK1;KRAS;GRB2;PIK3R1;RAF1;HRAS
KEGG_2019_Human	Chemokine signaling pathway	14/190	9.184687e-11	7.935171e-10	0	0	1.213592e+01	2.804721e+02	LYN;MAP2K1;BRAF;PIK3R1;PIK3CG;GNAI2;CDC42;RAC2;MAPK1;GRB2;KRAS;RAF1;PRKACA;HRAS
KEGG_2019_Human	Melanoma	10/72	9.335495e-11	7.935171e-10	0	0	2.400558e+01	5.543995e+02	MAP2K1;CDKN2A;ARAF;MAPK1;BRAF;KRAS;PIK3R1;RAF1;HRAS;FGFR1
KEGG_2019_Human	Autophagy	12/128	1.307128e-10	1.069908e-09	0	0	1.558910e+01	3.547771e+02	BECN1;MAP2K1;STX17;ATG16L1;TRAF6;MAPK1;KRAS;PIK3R1;PRKACA;RAF1;HRAS;BCL2L1
KEGG_2019_Human	Hepatitis B	13/163	1.656567e-10	1.307505e-09	0	0	1.313800e+01	2.958823e+02	MAP2K1;PCNA;ARAF;BRAF;PIK3R1;TRAF6;VDAC3;MAPK1;GRB2;KRAS;RAF1;HRAS;JAK1
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	12/131	1.716312e-10	1.307948e-09	0	0	1.519379e+01	3.416426e+02	MAP2K1;SYK;ARAF;HLA-B;RAC2;MAPK1;BRAF;GRB2;KRAS;PIK3R1;RAF1;HRAS
KEGG_2019_Human	Human immunodeficiency virus 1 infection	14/212	3.925652e-10	2.891897e-09	0	0	1.077543e+01	2.333777e+02	MAP2K1;HLA-B;PIK3R1;GNAI2;TRAF6;CDK1;RAC2;MAPK1;KRAS;CALR;RAF1;B2M;HRAS;BCL2L1
KEGG_2019_Human	Long-term depression	9/60	4.108400e-10	2.928892e-09	0	0	2.608341e+01	5.637359e+02	LYN;MAP2K1;ARAF;MAPK1;BRAF;KRAS;RAF1;HRAS;GNAI2
KEGG_2019_Human	Breast cancer	12/147	6.579198e-10	4.532090e-09	0	0	1.338219e+01	2.829254e+02	MAP2K1;FRAT2;ARAF;CTNNB1;MAPK1;GRB2;BRAF;KRAS;PIK3R1;RAF1;HRAS;FGFR1
KEGG_2019_Human	PI3K-Akt signaling pathway	17/354	6.767374e-10	4.532090e-09	0	0	7.814988e+00	1.650036e+02	MAP2K1;SYK;PIK3R1;PIK3CG;HSP90B1;ERBB3;CDC37;MAPK1;GRB2;KRAS;RAF1;FGFR3;HRAS;FGFR1;BCL2L1;MCL1;JAK1
KEGG_2019_Human	Thyroid hormone signaling pathway	11/116	7.010281e-10	4.556682e-09	0	0	1.567619e+01	3.304302e+02	MAP2K1;HDAC2;MAPK1;CTNNB1;KRAS;PIK3R1;ATP1A1;PRKACA;RAF1;HRAS;ACTB
KEGG_2019_Human	Gastric cancer	12/149	7.692835e-10	4.857476e-09	0	0	1.318549e+01	2.767049e+02	MAP2K1;FRAT2;MUC2;ARAF;CTNNB1;MAPK1;GRB2;BRAF;KRAS;PIK3R1;RAF1;HRAS
KEGG_2019_Human	Neurotrophin signaling pathway	11/119	9.232670e-10	5.667834e-09	0	0	1.523843e+01	3.170065e+02	CAMK2B;CDC42;MAP2K1;TRAF6;MAPK1;BRAF;GRB2;KRAS;PIK3R1;RAF1;HRAS
KEGG_2019_Human	Acute myeloid leukemia	9/66	9.920388e-10	5.925421e-09	0	0	2.333071e+01	4.836751e+02	MAP2K1;ARAF;MAPK1;BRAF;KRAS;GRB2;PIK3R1;RAF1;HRAS
KEGG_2019_Human	Long-term potentiation	9/67	1.139073e-09	6.624606e-09	0	0	2.292730e+01	4.721431e+02	CAMK2B;MAP2K1;ARAF;MAPK1;BRAF;KRAS;PRKACA;RAF1;HRAS
