Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	PI3K-Akt signaling pathway	29/354	3.003342e-23	3.253132e-21	0	0	1.629421e+01	8.450131e+02	CSF1R;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;IGF1R;CD19;AKT3;KDR;JAK2;JAK3;YWHAH;MAPK3;JAK1;NGFR;MAP2K1;PDPK1;NFKB1;PTK2;PIK3CA;CDC37;GNB1;IL3RA;KIT;GRB2;KRAS;PIK3AP1;TP53
KEGG_2019_Human	Proteoglycans in cancer	24/201	3.128012e-23	3.253132e-21	0	0	2.383414e+01	1.235063e+03	MAP2K1;DDX5;FZD4;PDPK1;CAV1;GAB1;PIK3R3;FASLG;PIK3R2;PIK3R1;CBL;ESR1;ACTB;PTK2;IGF1R;CDC42;PIK3CA;AKT3;KDR;FLNB;GRB2;KRAS;TP53;MAPK3
KEGG_2019_Human	Pathways in cancer	33/530	1.174247e-22	8.141443e-21	0	0	1.248483e+01	6.304371e+02	CSF1R;HDAC2;NOTCH1;HDAC1;PIK3R3;FASLG;CSF2RB;PIK3R2;PIK3R1;CBL;RELA;IGF1R;CDC42;AKT3;JAK2;JAK3;MAPK3;JAK1;MAP2K1;FZD4;F2;ESR1;NFKB1;PTK2;PIK3CA;GNAQ;GNB1;IL3RA;KIT;GRB2;KRAS;TP53;CRK
KEGG_2019_Human	Neurotrophin signaling pathway	19/119	4.974188e-21	2.586578e-19	0	0	3.209538e+01	1.500460e+03	NGFR;MAP2K1;PDPK1;PRKCD;GAB1;PIK3R3;PIK3R2;FASLG;PIK3R1;NFKB1;RELA;CDC42;PIK3CA;AKT3;GRB2;KRAS;TP53;CRK;MAPK3
KEGG_2019_Human	Human cytomegalovirus infection	23/225	9.993504e-21	4.157298e-19	0	0	1.981188e+01	9.123837e+02	MAP2K1;HLA-B;HLA-C;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;TNFRSF1A;PIK3CA;GNAQ;AKT3;GNB1;GRB2;KRAS;CALR;TP53;B2M;CRK;MAPK3;JAK1
KEGG_2019_Human	Human papillomavirus infection	26/330	1.872750e-20	6.492202e-19	0	0	1.520813e+01	6.908187e+02	ATP6V1A;HDAC2;NOTCH1;HDAC1;PIK3R3;FASLG;PIK3R2;PIK3R1;RELA;CDC42;AKT3;MAPK3;JAK1;MAP2K1;FZD4;HLA-B;HLA-C;NFKB1;PTK2;TNFRSF1A;PIK3CA;GRB2;KRAS;ATP6V0D1;TP53;ATR
KEGG_2019_Human	Chronic myeloid leukemia	16/76	6.464290e-20	1.740850e-18	0	0	4.400889e+01	1.944551e+03	MAP2K1;HDAC2;HDAC1;PIK3R3;PIK3R2;PIK3R1;CBL;RELA;NFKB1;PIK3CA;AKT3;KRAS;GRB2;TP53;CRK;MAPK3
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	21/186	6.695577e-20	1.740850e-18	0	0	2.180126e+01	9.625314e+02	LYN;MAP2K1;CSF2;HLA-B;HLA-C;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;TNFRSF1A;HCK;CLEC2B;PIK3CA;AKT3;GNB1;KRAS;JAK2;TP53;MAPK3;JAK1
KEGG_2019_Human	Chemokine signaling pathway	21/190	1.050417e-19	2.254805e-18	0	0	2.128094e+01	9.299754e+02	LYN;MAP2K1;PRKCD;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;PTK2;CDC42;FGR;HCK;PIK3CA;AKT3;GNB1;GRB2;KRAS;JAK2;CRK;JAK3;MAPK3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	22/219	1.084041e-19	2.254805e-18	0	0	1.926592e+01	8.413122e+02	MAP2K1;CSF2;HLA-B;HLA-C;PIK3R3;PIK3R2;PIK3R1;RELA;NFKB1;TNFRSF1A;PTTG1;KAT5;PIK3CA;AKT3;KRAS;CALR;TP53;B2M;JAK3;ATR;MAPK3;JAK1
