Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	15/201	4.604026e-11	9.208052e-09	0	0	1.140636e+01	2.714885e+02	LYN;CREBBP;HDAC2;SYK;CDKN2A;SRF;HLA-B;TRAF1;PIK3R1;CDC42;CCND2;CCND1;HIST4H4;GRB2;ATP6V0D1
KEGG_2019_Human	Wnt signaling pathway	13/158	2.841597e-10	2.841597e-08	0	0	1.252693e+01	2.753604e+02	TCF7L2;CREBBP;CTBP2;CSNK2A1;CTBP1;CSNK2A2;NLK;CCND2;APC;CCND1;MYC;RUVBL1;PPARD
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	14/219	1.602813e-09	1.068542e-07	0	0	9.580976e+00	1.940292e+02	CREBBP;CDKN2A;SRF;HLA-B;PIK3R1;CCND2;CCND1;KAT5;LCK;MYC;VDAC1;SLC25A5;B2M;SLC25A6
KEGG_2019_Human	Chronic myeloid leukemia	8/76	1.246151e-07	5.871397e-06	0	0	1.593715e+01	2.533693e+02	HDAC2;CCND1;CTBP2;CTBP1;CDKN2A;MYC;GRB2;PIK3R1
KEGG_2019_Human	Pathways in cancer	18/530	1.467849e-07	5.871397e-06	0	0	4.997875e+00	7.863804e+01	TCF7L2;CREBBP;HDAC2;EGLN2;CTBP2;CTBP1;CDKN2A;TRAF1;PIK3R1;PML;CDC42;AR;CCND2;APC;CCND1;MYC;GRB2;PPARD
KEGG_2019_Human	Transcriptional misregulation in cancer	11/186	2.120553e-07	7.068509e-06	0	0	8.646593e+00	1.328672e+02	HDAC2;CCND2;HIST1H3A;TLX3;FUS;H3F3C;MYC;TRAF1;ERG;HIST2H3C;PML
KEGG_2019_Human	Cellular senescence	10/160	4.628253e-07	1.322358e-05	0	0	9.118519e+00	1.330019e+02	CCND2;CCND1;CDKN2A;MYC;HLA-B;VDAC1;PIK3R1;FOXM1;SLC25A5;SLC25A6
KEGG_2019_Human	Acute myeloid leukemia	7/66	7.449175e-07	1.862294e-05	0	0	1.597014e+01	2.253385e+02	TCF7L2;CCND1;MYC;GRB2;PIK3R1;PML;PPARD
KEGG_2019_Human	Adherens junction	7/72	1.355730e-06	3.012733e-05	0	0	1.449158e+01	1.957981e+02	CDC42;TCF7L2;CREBBP;CSNK2A1;CSNK2A2;NLK;ACTB
KEGG_2019_Human	Epstein-Barr virus infection	10/201	3.675598e-06	7.351196e-05	0	0	7.146233e+00	8.942650e+01	LYN;HDAC2;CCND2;CCND1;SYK;MYC;HLA-B;PIK3R1;RUNX3;B2M
KEGG_2019_Human	Hippo signaling pathway	9/160	4.215548e-06	7.664633e-05	0	0	8.095684e+00	1.001981e+02	TCF7L2;CCND2;APC;CCND1;MYC;BMP7;TEAD1;ACTB;SMAD7
KEGG_2019_Human	Endometrial cancer	6/58	5.498102e-06	9.163503e-05	0	0	1.543191e+01	1.868976e+02	TCF7L2;CCND1;APC;MYC;GRB2;PIK3R1
KEGG_2019_Human	Influenza A	9/171	7.245995e-06	1.114768e-04	0	0	7.541762e+00	8.925722e+01	DNAJB1;CREBBP;VDAC1;FURIN;PIK3R1;PML;ACTB;HSPA1A;SLC25A6
KEGG_2019_Human	NF-kappa B signaling pathway	7/95	8.773152e-06	1.253307e-04	0	0	1.069156e+01	1.244905e+02	LYN;UBE2I;SYK;CSNK2A1;LCK;CSNK2A2;TRAF1
KEGG_2019_Human	Prostate cancer	7/97	1.006915e-05	1.342553e-04	0	0	1.045291e+01	1.202715e+02	AR;TCF7L2;CREBBP;CCND1;GRB2;ERG;PIK3R1
KEGG_2019_Human	Thyroid hormone signaling pathway	7/116	3.235574e-05	4.044468e-04	0	0	8.622543e+00	8.914605e+01	CREBBP;HDAC2;CCND1;MYC;PIK3R1;ATP1A1;ACTB
KEGG_2019_Human	Hepatocellular carcinoma	8/168	4.838230e-05	5.631654e-04	0	0	6.741781e+00	6.698887e+01	TCF7L2;APC;CCND1;CDKN2A;MYC;GRB2;PIK3R1;ACTB
KEGG_2019_Human	Human papillomavirus infection	11/330	5.157668e-05	5.631654e-04	0	0	4.708705e+00	4.648641e+01	CDC42;TCF7L2;CREBBP;HDAC2;CCND2;APC;CCND1;HLA-B;GRB2;PIK3R1;ATP6V0D1
KEGG_2019_Human	Colorectal cancer	6/86	5.350071e-05	5.631654e-04	0	0	1.001655e+01	9.852098e+01	TCF7L2;CCND1;APC;MYC;GRB2;PIK3R1
KEGG_2019_Human	Measles	7/138	9.765901e-05	9.765901e-04	0	0	7.166485e+00	6.617553e+01	CCND2;CCND1;CSNK2A1;CSNK2A2;EIF3H;PIK3R1;HSPA1A
KEGG_2019_Human	HIF-1 signaling pathway	6/100	1.241780e-04	1.182648e-03	0	0	8.518689e+00	7.661534e+01	CREBBP;EGLN2;TFRC;PIK3R1;ENO2;GAPDH
KEGG_2019_Human	Renal cell carcinoma	5/69	1.916527e-04	1.742298e-03	0	0	1.037227e+01	8.878485e+01	CDC42;CREBBP;EGLN2;GRB2;PIK3R1
KEGG_2019_Human	Cell cycle	6/124	3.999233e-04	3.477594e-03	0	0	6.777829e+00	5.303134e+01	CREBBP;HDAC2;CCND2;CCND1;CDKN2A;MYC
