Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Cell cycle	17/124	1.938291e-16	4.167325e-14	0	0	2.161953e+01	7.821850e+02	YWHAE;CDKN1C;CDKN2D;CDKN2B;CDKN2C;HDAC1;CDKN2A;CUL1;CDC6;RBX1;FZR1;CDK6;TFDP1;MDM2;E2F1;MCM5;TP53
KEGG_2019_Human	Alzheimer disease	15/171	9.409051e-12	1.011473e-09	0	0	1.287415e+01	3.268663e+02	NDUFA6;NDUFA12;COX4I1;NDUFA10;PSEN1;ATP5F1C;HSD17B10;ATP5F1A;ATP5F1B;NDUFS6;NDUFS3;NDUFS2;MAPK1;NDUFS1;NDUFV2
KEGG_2019_Human	Huntington disease	15/193	5.343089e-11	2.937739e-09	0	0	1.127035e+01	2.665735e+02	NDUFA6;NDUFA12;HDAC1;COX4I1;NDUFA10;ATP5F1C;ATP5F1A;ATP5F1B;NDUFS6;NDUFS3;BAX;NDUFS2;NDUFS1;NDUFV2;TP53
KEGG_2019_Human	Pathways in cancer	23/530	5.465561e-11	2.937739e-09	0	0	6.308984e+00	1.490811e+02	PDGFRA;CDKN2B;CDKN2A;HDAC1;CUL2;CUL1;ARNT;PRKCA;PML;RELA;RHOA;RBX1;CDC42;AR;CDK6;E2F1;MDM2;BCL2;BAX;MAPK1;VHL;TP53;BIRC3
KEGG_2019_Human	Parkinson disease	13/142	1.404025e-10	6.037308e-09	0	0	1.333006e+01	3.024124e+02	NDUFA6;NDUFA12;LRRK2;COX4I1;NDUFA10;ATP5F1C;ATP5F1A;ATP5F1B;NDUFS6;NDUFS3;NDUFS2;NDUFS1;NDUFV2
KEGG_2019_Human	Oxidative phosphorylation	12/133	8.717627e-10	3.123816e-08	0	0	1.303603e+01	2.719382e+02	ATP5F1A;ATP5F1B;NDUFA6;NDUFA12;NDUFS6;COX4I1;NDUFA10;NDUFS3;NDUFS2;NDUFS1;NDUFV2;ATP5F1C
KEGG_2019_Human	Viral carcinogenesis	14/201	1.020507e-09	3.134413e-08	0	0	9.940526e+00	2.057984e+02	YWHAE;CDKN2B;CDKN2A;HDAC1;HLA-B;RELA;RHOA;CDC42;CDK6;DNAJA3;MDM2;BAX;MAPK1;TP53
KEGG_2019_Human	Non-alcoholic fatty liver disease (NAFLD)	12/149	3.225497e-09	8.668523e-08	0	0	1.150423e+01	2.249328e+02	CDC42;NDUFA6;NDUFA12;NDUFS6;COX4I1;NDUFA10;NDUFS3;NDUFS2;BAX;NDUFS1;NDUFV2;RELA
KEGG_2019_Human	Thermogenesis	14/231	6.176117e-09	1.475406e-07	0	0	8.553182e+00	1.616772e+02	NDUFA6;NDUFA12;COX4I1;NDUFA10;MAPK14;ATP5F1C;ATP5F1A;ATP5F1B;NDUFS6;NDUFAF2;NDUFS3;NDUFS2;NDUFS1;NDUFV2
KEGG_2019_Human	Cellular senescence	12/160	7.252918e-09	1.559377e-07	0	0	1.064324e+01	1.994742e+02	PPP1CB;PPP1CC;CDKN2B;CDK6;CDKN2A;HLA-B;MDM2;E2F1;MAPK1;MAPK14;TP53;RELA
KEGG_2019_Human	Glioma	9/75	9.546785e-09	1.865963e-07	0	0	1.762210e+01	3.254285e+02	PDGFRA;CDK6;CDKN2A;E2F1;MDM2;MAPK1;BAX;PRKCA;TP53
KEGG_2019_Human	Chronic myeloid leukemia	9/76	1.075475e-08	1.926894e-07	0	0	1.735821e+01	3.184870e+02	CDK6;HDAC1;CDKN2A;E2F1;MDM2;MAPK1;BAX;TP53;RELA
KEGG_2019_Human	MicroRNAs in cancer	15/299	2.224032e-08	3.678207e-07	0	0	7.025726e+00	1.238028e+02	PDGFRA;UBE2I;CDKN2A;HDAC1;PRKCA;RHOA;GLS;CDK6;E2F1;MDM2;BCL2;MAPK1;MDM4;TP53;SOX4
KEGG_2019_Human	Retrograde endocannabinoid signaling	11/148	3.441957e-08	5.285862e-07	0	0	1.047571e+01	1.800213e+02	NDUFA6;NDUFA12;NDUFS6;NDUFA10;NDUFS3;NDUFS2;MAPK1;PRKCA;NDUFS1;NDUFV2;MAPK14
KEGG_2019_Human	Human cytomegalovirus infection	13/225	3.870583e-08	5.547836e-07	0	0	8.077055e+00	1.378533e+02	PDGFRA;CDKN2A;HLA-B;PRKCA;MAPK14;RELA;RHOA;CDK6;E2F1;MDM2;BAX;MAPK1;TP53
KEGG_2019_Human	Neurotrophin signaling pathway	10/119	4.586921e-08	6.163676e-07	0	0	1.190789e+01	2.012133e+02	YWHAE;CDC42;BCL2;MAPK1;BAX;PSEN1;MAPK14;TP53;RHOA;RELA
KEGG_2019_Human	Valine, leucine and isoleucine degradation	7/48	1.118767e-07	1.308254e-06	0	0	2.180629e+01	3.490287e+02	BCKDHA;HADHA;ECHS1;EHHADH;HSD17B10;DLD;ACAT1
KEGG_2019_Human	Melanoma	8/72	1.200979e-07	1.308254e-06	0	0	1.605032e+01	2.557613e+02	PDGFRA;CDK6;CDKN2A;E2F1;MDM2;MAPK1;BAX;TP53
KEGG_2019_Human	p53 signaling pathway	8/72	1.200979e-07	1.308254e-06	0	0	1.605032e+01	2.557613e+02	CDK6;SIVA1;CDKN2A;BCL2;MDM2;BAX;MDM4;TP53
KEGG_2019_Human	HIF-1 signaling pathway	9/100	1.216980e-07	1.308254e-06	0	0	1.276471e+01	2.032361e+02	PDHA1;CUL2;BCL2;ARNT;MAPK1;PRKCA;VHL;RELA;RBX1
KEGG_2019_Human	Pancreatic cancer	8/75	1.658424e-07	1.697911e-06	0	0	1.532933e+01	2.393249e+02	CDC42;CDK6;CDKN2A;E2F1;MAPK1;BAX;TP53;RELA
