Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	14/201	1.861566e-12	2.792350e-10	0	0	1.676920e+01	4.529295e+02	HDAC4;HDAC5;JUN;TBP;HDAC3;SYK;HDAC1;ACTN4;YWHAZ;HDAC9;HDAC6;HDAC7;CASP3;EP300
KEGG_2019_Human	Alcoholism	12/180	1.305357e-10	9.551250e-09	0	0	1.565873e+01	3.563829e+02	HDAC4;HDAC5;HDAC3;HDAC1;GNB2;H3F3A;H2AFX;GNG12;HDAC9;HDAC6;PPP1CA;HDAC7
KEGG_2019_Human	Transcriptional misregulation in cancer	12/186	1.910250e-10	9.551250e-09	0	0	1.511418e+01	3.382344e+02	MEF2C;CEBPB;MYCN;NCOR1;BCL6;HDAC1;SIN3A;H3F3A;TCF3;MLLT3;BMI1;ETV6
KEGG_2019_Human	Apelin signaling pathway	9/137	3.404330e-08	1.276624e-06	0	0	1.494708e+01	2.570244e+02	SMAD2;MEF2A;HDAC4;HDAC5;MEF2C;MEF2B;GNB2;GNG12;MEF2D
KEGG_2019_Human	Epstein-Barr virus infection	10/201	8.018451e-08	2.405535e-06	0	0	1.121500e+01	1.832412e+02	MAPK10;NCOR2;MAPK9;JUN;MAPK8;SYK;HDAC1;SIN3A;CASP3;RUNX3
KEGG_2019_Human	Wnt signaling pathway	9/158	1.166757e-07	2.916893e-06	0	0	1.282680e+01	2.047654e+02	MAPK10;MAPK9;JUN;MAPK8;CSNK2A1;CSNK2A2;EP300;SENP2;SKP1
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	4.667447e-07	9.336450e-06	0	0	1.078239e+01	1.571802e+02	MAPK10;MAPK9;JUN;MAPK8;SYK;GNB2;CASP3;EP300;GNG12
KEGG_2019_Human	Pathways in cancer	14/530	4.979440e-07	9.336450e-06	0	0	5.975775e+00	8.672510e+01	SMAD2;JUN;HDAC1;GNG12;ESR1;MAPK10;AR;MAPK9;MAPK8;GNB2;CASP3;EP300;CRK;SKP1
KEGG_2019_Human	Mitophagy	6/65	9.819685e-07	1.636614e-05	0	0	2.101589e+01	2.907277e+02	MAPK10;MAPK9;MAPK8;JUN;CSNK2A1;CSNK2A2
KEGG_2019_Human	Human immunodeficiency virus 1 infection	9/212	1.392298e-06	2.088447e-05	0	0	9.389004e+00	1.266065e+02	MAPK10;MAPK9;JUN;MAPK8;GNB2;CASP3;GNG12;CRK;SKP1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	9/219	1.821276e-06	2.345726e-05	0	0	9.072811e+00	1.199060e+02	MAPK10;SMAD2;MAPK9;JUN;MAPK8;TBP;XPO1;EP300;TCF3
KEGG_2019_Human	Hepatitis B	8/163	1.876580e-06	2.345726e-05	0	0	1.084036e+01	1.429416e+02	MAPK10;SMAD2;MAPK9;JUN;MAPK8;CASP3;EP300;YWHAZ
KEGG_2019_Human	Thyroid hormone signaling pathway	7/116	2.156282e-06	2.488017e-05	0	0	1.337740e+01	1.745366e+02	NCOR1;HDAC3;THRA;HDAC1;SIN3A;EP300;ESR1
KEGG_2019_Human	Relaxin signaling pathway	7/130	4.609225e-06	4.806738e-05	0	0	1.184638e+01	1.455619e+02	MAPK10;SMAD2;MAPK9;JUN;MAPK8;GNB2;GNG12
KEGG_2019_Human	Colorectal cancer	6/86	5.127187e-06	4.806738e-05	0	0	1.548281e+01	1.885954e+02	SMAD2;MAPK10;MAPK9;MAPK8;JUN;CASP3
KEGG_2019_Human	Salmonella infection	6/86	5.127187e-06	4.806738e-05	0	0	1.548281e+01	1.885954e+02	MAPK10;DYNC1LI1;KLC4;MAPK9;MAPK8;JUN
KEGG_2019_Human	Measles	7/138	6.838413e-06	5.976018e-05	0	0	1.111844e+01	1.322311e+02	MAPK10;MAPK9;JUN;MAPK8;CSNK2A1;CASP3;CSNK2A2
KEGG_2019_Human	Fluid shear stress and atherosclerosis	7/139	7.171221e-06	5.976018e-05	0	0	1.103365e+01	1.306984e+02	MAPK10;MEF2A;MAPK9;JUN;MEF2C;MAPK8;SUMO2
KEGG_2019_Human	IL-17 signaling pathway	6/93	8.076918e-06	6.376514e-05	0	0	1.423204e+01	1.668920e+02	MAPK10;MAPK9;CEBPB;MAPK8;JUN;CASP3
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	6/100	1.227335e-05	9.205010e-05	0	0	1.316755e+01	1.488998e+02	SMAD2;MAPK10;MAPK9;JUN;MAPK8;CASP3
KEGG_2019_Human	Th17 cell differentiation	6/107	1.808031e-05	1.291451e-04	0	0	1.225062e+01	1.337852e+02	MAPK10;SMAD2;MAPK9;JUN;MAPK8;FOXP3
