Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	MicroRNAs in cancer	18/299	5.684698e-14	8.299658e-12	0	0	1.350568e+01	4.119019e+02	HDAC4;CREBBP;DNMT1;HDAC1;PTEN;KIF23;BRCA1;BMI1;CDC25B;CCND1;MYC;DNMT3B;EP300;E2F3;TP53;CRK;HRAS;PAK4
KEGG_2019_Human	Viral carcinogenesis	12/201	1.262008e-09	9.212657e-08	0	0	1.263428e+01	2.588835e+02	HDAC4;HDAC5;CREBBP;SNW1;CCND1;HDAC1;EP300;HIST1H2BG;TP53;HRAS;HDAC6;HDAC7
KEGG_2019_Human	Alcoholism	11/180	5.009474e-09	2.437944e-07	0	0	1.283550e+01	2.453113e+02	HDAC4;HDAC5;HIST1H3A;H2AFY;H2AFZ;HDAC1;H2AFX;HIST1H2BG;HRAS;HDAC6;HDAC7
KEGG_2019_Human	Thyroid hormone signaling pathway	9/116	1.671344e-08	6.090713e-07	0	0	1.631281e+01	2.921143e+02	CREBBP;CCND1;HDAC1;MYC;EP300;TP53;ESR1;HIF1A;HRAS
KEGG_2019_Human	Cellular senescence	10/160	2.085860e-08	6.090713e-07	0	0	1.302904e+01	2.304251e+02	RAD50;MRE11;CCND1;MYC;PTEN;E2F3;NBN;TP53;HRAS;RAD9A
KEGG_2019_Human	Cell cycle	9/124	2.998387e-08	7.296076e-07	0	0	1.517187e+01	2.628163e+02	CREBBP;CCND1;HDAC1;MYC;EP300;E2F3;SMC3;TP53;CDC25B
KEGG_2019_Human	Pathways in cancer	16/530	3.783514e-08	7.891329e-07	0	0	6.348556e+00	1.084970e+02	NTRK1;CREBBP;HDAC1;PTEN;ESR1;HIF1A;MSH6;RAD51;CCND1;MYC;EP300;E2F3;ELOC;TP53;CRK;HRAS
KEGG_2019_Human	Renal cell carcinoma	7/69	1.088655e-07	1.986796e-06	0	0	2.152435e+01	3.451032e+02	CREBBP;EP300;ELOC;HRAS;CRK;HIF1A;PAK4
KEGG_2019_Human	Chronic myeloid leukemia	7/76	2.136787e-07	3.466344e-06	0	0	1.933389e+01	2.969452e+02	CCND1;HDAC1;MYC;E2F3;HRAS;TP53;CRK
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	9/186	9.584659e-07	1.399360e-05	0	0	9.826520e+00	1.361753e+02	CREBBP;CCND1;MYC;EP300;E2F3;TP53;HIF1A;HRAS;GABARAP
KEGG_2019_Human	Prostate cancer	7/97	1.141183e-06	1.514662e-05	0	0	1.480694e+01	2.026100e+02	CREBBP;CCND1;PTEN;EP300;E2F3;TP53;HRAS
KEGG_2019_Human	Central carbon metabolism in cancer	6/65	1.614036e-06	1.710328e-05	0	0	1.920581e+01	2.561435e+02	NTRK1;MYC;PTEN;HRAS;TP53;HIF1A
KEGG_2019_Human	Mitophagy	6/65	1.614036e-06	1.710328e-05	0	0	1.920581e+01	2.561435e+02	CSNK2A1;CSNK2A2;HRAS;TP53;HIF1A;GABARAP
KEGG_2019_Human	Breast cancer	8/147	1.640041e-06	1.710328e-05	0	0	1.103583e+01	1.470060e+02	CCND1;MYC;PTEN;E2F3;BRCA1;TP53;ESR1;HRAS
KEGG_2019_Human	Thyroid cancer	5/37	1.819339e-06	1.770824e-05	0	0	2.927034e+01	3.868672e+02	NTRK1;CCND1;MYC;HRAS;TP53
KEGG_2019_Human	Bladder cancer	5/41	3.073094e-06	2.639246e-05	0	0	2.601284e+01	3.301764e+02	CCND1;MYC;E2F3;HRAS;TP53
KEGG_2019_Human	Homologous recombination	5/41	3.073094e-06	2.639246e-05	0	0	2.601284e+01	3.301764e+02	RAD50;MRE11;RAD51;BRCA1;NBN
KEGG_2019_Human	FoxO signaling pathway	7/132	8.929288e-06	7.242645e-05	0	0	1.064215e+01	1.237275e+02	CREBBP;CCND1;BCL6;PTEN;EP300;HRAS;GABARAP
KEGG_2019_Human	Ubiquitin mediated proteolysis	7/137	1.139162e-05	8.753560e-05	0	0	1.023025e+01	1.164472e+02	CUL7;CDC34;AIRE;CUL3;ERCC8;BRCA1;ELOC
KEGG_2019_Human	Endometrial cancer	5/58	1.743310e-05	1.272616e-04	0	0	1.765397e+01	1.934370e+02	CCND1;MYC;PTEN;HRAS;TP53
KEGG_2019_Human	Wnt signaling pathway	7/158	2.869800e-05	1.995194e-04	0	0	8.798141e+00	9.201696e+01	CREBBP;CCND1;CSNK2A1;MYC;CSNK2A2;EP300;TP53
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	8/219	3.053414e-05	2.026357e-04	0	0	7.243547e+00	7.530873e+01	CREBBP;CCND1;MYC;PTEN;EP300;E2F3;TP53;HRAS
KEGG_2019_Human	Non-homologous end-joining	3/13	4.569340e-05	2.900538e-04	0	0	5.521944e+01	5.518386e+02	XRCC6;RAD50;MRE11
KEGG_2019_Human	Adherens junction	5/72	5.004951e-05	2.922891e-04	0	0	1.395522e+01	1.381916e+02	CREBBP;CSNK2A1;CSNK2A2;SNAI1;EP300
KEGG_2019_Human	Melanoma	5/72	5.004951e-05	2.922891e-04	0	0	1.395522e+01	1.381916e+02	CCND1;PTEN;E2F3;HRAS;TP53
KEGG_2019_Human	Glioma	5/75	6.092936e-05	3.421418e-04	0	0	1.335512e+01	1.296221e+02	CCND1;PTEN;E2F3;HRAS;TP53
KEGG_2019_Human	Transcriptional misregulation in cancer	7/186	8.083541e-05	4.371100e-04	0	0	7.411367e+00	6.983801e+01	NTRK1;HIST1H3A;BCL6;HDAC1;MYC;BMI1;TP53
KEGG_2019_Human	Colorectal cancer	5/86	1.171389e-04	6.107959e-04	0	0	1.153506e+01	1.044171e+02	MSH6;CCND1;MYC;HRAS;TP53
