Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Viral carcinogenesis	15/201	6.073335e-11	1.135714e-08	0	0	1.116368e+01	2.626202e+02	RB1;HDAC5;USP7;CREBBP;TBP;YWHAB;EIF2AK2;YWHAZ;RELA;HNRNPK;PKM;CDK2;EP300;TP53;YWHAG
KEGG_2019_Human	Cell cycle	10/124	5.050721e-08	4.443178e-06	0	0	1.177288e+01	1.977980e+02	RB1;CREBBP;PRKDC;YWHAB;MYC;CDK2;EP300;TP53;YWHAZ;YWHAG
KEGG_2019_Human	Prostate cancer	9/97	7.128092e-08	4.443178e-06	0	0	1.365134e+01	2.246551e+02	RB1;CREBBP;HSP90AB1;CDK2;PTEN;EP300;TP53;RELA;HSP90B1
KEGG_2019_Human	Hepatitis C	10/155	4.124593e-07	1.928247e-05	0	0	9.241379e+00	1.358587e+02	RB1;YWHAB;MYC;CDK2;EIF2AK2;TP53;YWHAZ;YWHAG;RELA;PIAS1
KEGG_2019_Human	Hepatitis B	10/163	6.563530e-07	2.454760e-05	0	0	8.754613e+00	1.246356e+02	RB1;CREBBP;YWHAB;MYC;CDK2;EP300;PRKCA;TP53;YWHAZ;RELA
KEGG_2019_Human	Wnt signaling pathway	9/158	4.454133e-06	1.194261e-04	0	0	8.037638e+00	9.903719e+01	CREBBP;CSNK2A1;MYC;CHD8;CSNK2B;CSNK2A2;EP300;PRKCA;TP53
KEGG_2019_Human	Pathways in cancer	16/530	4.470494e-06	1.194261e-04	0	0	4.267241e+00	5.256392e+01	RB1;NQO1;CREBBP;HSP90AB1;DAPK3;PTEN;PRKCA;GLI1;RELA;HSP90B1;BCR;MYC;CDK2;EP300;TP53;CRK
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	10/219	9.306959e-06	2.068045e-04	0	0	6.390652e+00	7.403409e+01	RB1;NRP1;CREBBP;TBP;MYC;CDK2;PTEN;EP300;TP53;RELA
KEGG_2019_Human	NF-kappa B signaling pathway	7/95	9.953160e-06	2.068045e-04	0	0	1.047614e+01	1.206602e+02	PIAS4;UBE2I;CSNK2A1;CSNK2A2;CSNK2B;TRIM25;RELA
KEGG_2019_Human	Mitophagy	6/65	1.198280e-05	2.240784e-04	0	0	1.332405e+01	1.509887e+02	CSNK2A1;CSNK2A2;CSNK2B;FOXO3;TP53;RELA
