Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Chronic myeloid leukemia	13/76	2.323001e-16	4.111712e-14	0	0	4.217820e+01	1.518352e+03	RB1;HDAC2;CDKN1B;HDAC1;CDKN2A;RELA;RUNX1;CDK6;CCND1;MDM2;MAPK1;TP53;CRK
KEGG_2019_Human	Viral carcinogenesis	17/201	9.349714e-16	8.274497e-14	0	0	1.957702e+01	6.774827e+02	RB1;HDAC4;HDAC2;CDKN1B;HDAC3;CDKN2A;HDAC1;RELA;HDAC6;RBL2;KAT2B;CDK6;CCND1;MDM2;EP300;MAPK1;TP53
KEGG_2019_Human	Cell cycle	14/124	6.508172e-15	3.839821e-13	0	0	2.622348e+01	8.566090e+02	RB1;GSK3B;HDAC2;PCNA;CDKN1B;CDKN2A;HDAC1;RBX1;RBL2;CDK6;CCND1;MDM2;EP300;TP53
KEGG_2019_Human	Pathways in cancer	22/530	1.162090e-13	5.142246e-12	0	0	9.538386e+00	2.840854e+02	RB1;NCOA1;GSK3B;HDAC2;CDKN1B;CDKN2A;HDAC1;FOS;RELA;RUNX1;RBX1;AR;CDK6;CCND1;CDH1;SP1;MDM2;EP300;MAPK1;ELOC;TP53;CRK
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	1.769526e-12	6.264122e-11	0	0	2.329592e+01	6.303948e+02	NCOA1;KAT2B;GSK3B;HDAC2;NCOR1;HDAC3;CCND1;HDAC1;MDM2;EP300;MAPK1;TP53
KEGG_2019_Human	Transcriptional misregulation in cancer	13/186	3.083070e-11	9.095058e-10	0	0	1.527448e+01	3.696807e+02	HDAC2;CDKN1B;HDAC1;IGFBP3;MLLT3;RELA;RUNX1;CDK9;NCOR1;BCL6;SP1;MDM2;TP53
KEGG_2019_Human	Cellular senescence	12/160	8.110672e-11	2.050841e-09	0	0	1.633370e+01	3.795177e+02	RB1;RBL2;PPP1CC;CDK6;CCND1;RBBP4;CDKN2A;IGFBP3;MDM2;MAPK1;TP53;RELA
KEGG_2019_Human	Prostate cancer	10/97	1.408539e-10	3.116393e-09	0	0	2.276207e+01	5.163188e+02	RB1;AR;GSK3B;CDKN1B;CCND1;MDM2;EP300;MAPK1;TP53;RELA
KEGG_2019_Human	Bladder cancer	7/41	2.418080e-09	4.755557e-08	0	0	3.968932e+01	7.874477e+02	RB1;CCND1;CDH1;CDKN2A;MDM2;MAPK1;TP53
KEGG_2019_Human	Measles	10/138	4.592710e-09	8.129097e-08	0	0	1.543906e+01	2.964114e+02	HSPA8;GSK3B;CDK6;CDKN1B;CCND1;CSNK2A1;CSNK2A2;FOS;TP53;RELA
