Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	35/530	1.942756e-22	3.924367e-20	0	0	1.103144e+01	5.514924e+02	GSK3B;CTBP1;HDAC1;LRP5;PIK3R1;STK4;ETS1;EGFR;LRP6;CASP8;CDH1;ERBB2;DVL2;AKT1;DVL3;E2F3;ELOC;PRKCG;SMAD2;NTRK1;TCF7L2;CHUK;AXIN1;ARNT;PRKCA;AXIN2;ESR1;PML;TGFBR1;APC;PIK3CA;MDM2;CTNNB1;CRK;PPARD
KEGG_2019_Human	Wnt signaling pathway	20/158	1.294423e-18	1.307367e-16	0	0	2.054322e+01	8.461436e+02	PRKCG;GSK3B;TCF7L2;CSNK2A1;CTBP1;CSNK2A2;SIAH1;AXIN1;LRP5;PRKCA;AXIN2;LRP6;APC;RUVBL1;CSNK2B;DVL2;DVL3;CTNNB1;TBL1X;PPARD
KEGG_2019_Human	Hepatocellular carcinoma	20/168	4.466350e-18	3.007342e-16	0	0	1.914544e+01	7.648596e+02	PRKCG;SMAD2;GSK3B;TCF7L2;LRP5;AXIN1;PRKCA;PIK3R1;AXIN2;EGFR;TGFBR1;SMARCA4;LRP6;APC;PIK3CA;DVL2;AKT1;DVL3;CTNNB1;E2F3
KEGG_2019_Human	Gastric cancer	19/149	8.536084e-18	4.310722e-16	0	0	2.057742e+01	8.087384e+02	SMAD2;GSK3B;TCF7L2;AXIN1;LRP5;PIK3R1;AXIN2;TGFBR1;EGFR;LRP6;PIK3CA;APC;CDH1;ERBB2;DVL2;AKT1;DVL3;CTNNB1;E2F3
KEGG_2019_Human	Breast cancer	18/147	1.359300e-16	5.491574e-15	0	0	1.950717e+01	7.126828e+02	GSK3B;TCF7L2;AXIN1;LRP5;PIK3R1;BRCA1;AXIN2;ESR1;EGFR;LRP6;PIK3CA;APC;ERBB2;DVL2;AKT1;DVL3;CTNNB1;E2F3
KEGG_2019_Human	Adherens junction	14/72	4.520022e-16	1.521741e-14	0	0	3.293246e+01	1.163598e+03	SMAD2;PTPN1;TCF7L2;CSNK2A1;SRC;CSNK2A2;ACTN4;IQGAP1;TGFBR1;EGFR;CDH1;CSNK2B;ERBB2;CTNNB1
KEGG_2019_Human	Endometrial cancer	13/58	7.134827e-16	2.058907e-14	0	0	3.917017e+01	1.366113e+03	GSK3B;TCF7L2;AXIN1;AXIN2;PIK3R1;FOXO3;EGFR;PIK3CA;APC;CDH1;ERBB2;AKT1;CTNNB1
KEGG_2019_Human	Hippo signaling pathway	15/160	2.726150e-12	6.883528e-11	0	0	1.414943e+01	3.767727e+02	YAP1;SMAD2;GSK3B;TCF7L2;AXIN1;AXIN2;TGFBR1;AMOT;APC;CDH1;TP53BP2;DVL2;DVL3;CTNNB1;NF2
KEGG_2019_Human	Colorectal cancer	12/86	3.858059e-12	8.659199e-11	0	0	2.180585e+01	5.730763e+02	SMAD2;GSK3B;TCF7L2;PIK3CA;APC;AXIN1;AKT1;CTNNB1;AXIN2;PIK3R1;TGFBR1;EGFR
KEGG_2019_Human	Proteoglycans in cancer	16/201	6.160361e-12	1.244393e-10	0	0	1.188796e+01	3.068626e+02	PRKCG;SMAD2;SRC;MSN;PRKCA;PTPN11;PIK3R1;IQGAP1;ESR1;EGFR;PIK3CA;ERBB2;KDR;MDM2;AKT1;CTNNB1
KEGG_2019_Human	Prostate cancer	12/97	1.668862e-11	3.064638e-10	0	0	1.897335e+01	4.708482e+02	GSK3B;TCF7L2;CREB1;CHUK;PIK3CA;ERBB2;MDM2;AKT1;CTNNB1;E2F3;PIK3R1;EGFR
KEGG_2019_Human	Chronic myeloid leukemia	11/76	2.075715e-11	3.494120e-10	0	0	2.261289e+01	5.562348e+02	CHUK;PIK3CA;HDAC1;CTBP1;MDM2;AKT1;E2F3;PTPN11;PIK3R1;CRK;TGFBR1
KEGG_2019_Human	MicroRNAs in cancer	18/299	3.040756e-11	4.724867e-10	0	0	8.886197e+00	2.151911e+02	PRKCG;DNMT1;HDAC1;PRKCA;BRCA1;EGFR;SOCS1;APC;PIK3CA;ERBB2;FSCN1;MDM2;DNMT3B;IGF2BP1;E2F3;CRK;TP63;EZH2
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	13/139	8.479467e-11	1.223466e-09	0	0	1.393210e+01	3.230965e+02	SMAD2;GSK3B;AXIN1;HNF1A;PIK3R1;AXIN2;PIK3CA;APC;DVL2;AKT1;DVL3;CTNNB1;TCF3
