Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Mitophagy	6/65	1.301370e-06	1.522603e-04	0	0	1.997046e+01	2.706416e+02	GABARAPL2;TBK1;CSNK2A1;CSNK2A2;NBR1;SQSTM1
KEGG_2019_Human	Viral carcinogenesis	8/201	1.260402e-05	7.373351e-04	0	0	8.248286e+00	9.305300e+01	HDAC4;CDK4;CDKN2A;HIST4H4;HDAC1;EP300;RBPJ;HDAC6
KEGG_2019_Human	Hippo signaling pathway	7/160	2.453042e-05	9.566865e-04	0	0	9.031373e+00	9.587341e+01	YAP1;LATS1;PPP1CC;TP53BP2;CTNNB1;NF2;AMOT
KEGG_2019_Human	Alcoholism	7/180	5.204398e-05	1.522286e-03	0	0	7.979191e+00	7.870212e+01	HDAC4;PPP1CC;HIST4H4;HDAC1;HIST3H3;H2AFX;HDAC6
KEGG_2019_Human	Notch signaling pathway	4/48	1.256964e-04	2.941295e-03	0	0	1.751898e+01	1.573492e+02	NCOR2;HDAC1;EP300;RBPJ
KEGG_2019_Human	Wnt signaling pathway	6/158	2.070340e-04	4.037163e-03	0	0	7.715347e+00	6.544641e+01	CSNK2A1;CSNK2A2;CTNNB1;EP300;SENP2;SKP1
KEGG_2019_Human	Cell cycle	5/124	5.422568e-04	8.809220e-03	0	0	8.145493e+00	6.125225e+01	CDK4;CDKN2A;HDAC1;EP300;SKP1
KEGG_2019_Human	Adherens junction	4/72	6.023399e-04	8.809220e-03	0	0	1.132210e+01	8.394986e+01	CSNK2A1;CSNK2A2;EP300;CTNNB1
KEGG_2019_Human	Measles	5/138	8.800614e-04	1.144080e-02	0	0	7.282913e+00	5.123907e+01	TBK1;CSNK2A1;CDK4;CSNK2A2;RACK1
KEGG_2019_Human	MicroRNAs in cancer	7/299	1.134573e-03	1.327450e-02	0	0	4.698870e+00	3.186538e+01	HDAC4;DNMT1;CDKN2A;HDAC1;FSCN1;DNMT3B;EP300
KEGG_2019_Human	Cellular senescence	5/160	1.698056e-03	1.806114e-02	0	0	6.242252e+00	3.981478e+01	PPP1CC;RBBP4;CDK4;CDKN2A;SQSTM1
KEGG_2019_Human	Pathways in cancer	9/530	2.168112e-03	1.991728e-02	0	0	3.414705e+00	2.094545e+01	CDK4;CDKN2A;HDAC1;CTNNB1;EP300;KIF7;STK4;ESR2;SKP1
KEGG_2019_Human	Tight junction	5/170	2.213032e-03	1.991728e-02	0	0	5.860963e+00	3.583036e+01	TUBA1A;CDK4;AMOTL2;NF2;AMOT
KEGG_2019_Human	Kaposi sarcoma-associated herpesvirus infection	5/186	3.261413e-03	2.725610e-02	0	0	5.338533e+00	3.056628e+01	GABARAPL2;TBK1;CDK4;CTNNB1;EP300
KEGG_2019_Human	Thyroid hormone signaling pathway	4/116	3.503695e-03	2.732882e-02	0	0	6.858877e+00	3.877966e+01	NCOR1;HDAC1;CTNNB1;EP300
KEGG_2019_Human	Epstein-Barr virus infection	5/201	4.532314e-03	3.314254e-02	0	0	4.926220e+00	2.658446e+01	NCOR2;TBK1;CDK4;HDAC1;RBPJ
KEGG_2019_Human	Non-small cell lung cancer	3/66	5.335263e-03	3.601428e-02	0	0	9.079670e+00	4.751770e+01	CDKN2A;CDK4;STK4
