Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	ErbB signaling pathway	12/85	2.983687e-13	5.639169e-11	0	0	2.757883e+01	7.953856e+02	PIK3CA;ERBB3;ERBB2;MAPK1;CBLB;PRKCA;GRB2;RAF1;HRAS;CRK;EGFR;MAPK3
KEGG_2019_Human	Prostate cancer	12/97	1.513984e-12	1.430715e-10	0	0	2.367099e+01	6.442361e+02	HSP90AA1;HSP90AB1;PIK3CA;ERBB2;EP300;MAPK1;GRB2;RAF1;TP53;HRAS;EGFR;MAPK3
KEGG_2019_Human	T cell receptor signaling pathway	12/101	2.476943e-12	1.560474e-10	0	0	2.260255e+01	6.040305e+02	DLG1;CD4;PTPRC;PIK3CA;LCK;MAPK1;CBLB;GRB2;PDCD1;RAF1;HRAS;MAPK3
KEGG_2019_Human	MicroRNAs in cancer	17/299	1.054237e-11	4.981269e-10	0	0	1.044988e+01	2.641273e+02	HDAC4;DNMT1;PRKCA;BMI1;EGFR;PIK3CA;ERBB3;ERBB2;DNMT3B;EP300;MAPK1;GRB2;RAF1;TP53;CRK;HRAS;TP63
KEGG_2019_Human	Non-small cell lung cancer	10/66	1.468940e-11	5.034519e-10	0	0	2.948512e+01	7.354737e+02	PIK3CA;ERBB2;MAPK1;PRKCA;GRB2;RAF1;HRAS;TP53;EGFR;MAPK3
KEGG_2019_Human	PI3K-Akt signaling pathway	18/354	1.598260e-11	5.034519e-10	0	0	9.343431e+00	2.322732e+02	NGFR;HSP90AA1;HSP90AB1;SYK;PRKCA;EGFR;PIK3CA;YWHAQ;ERBB3;ERBB2;KIT;MAPK1;GRB2;RAF1;JAK2;TP53;HRAS;MAPK3
KEGG_2019_Human	Renal cell carcinoma	10/69	2.328936e-11	6.288126e-10	0	0	2.798164e+01	6.850751e+02	PIK3CA;EP300;MAPK1;PTPN11;GRB2;ELOC;RAF1;HRAS;CRK;MAPK3
KEGG_2019_Human	Adherens junction	10/72	3.612841e-11	8.535336e-10	0	0	2.662366e+01	6.401376e+02	CSNK2A1;CSNK2A2;CSNK2B;ERBB2;EP300;MAPK1;WASL;ACTB;EGFR;MAPK3
KEGG_2019_Human	Proteoglycans in cancer	14/201	5.353911e-11	1.124321e-09	0	0	1.270339e+01	3.004430e+02	PXN;PRKCA;PTPN11;EGFR;ACTB;PIK3CA;ERBB3;ERBB2;MAPK1;GRB2;RAF1;TP53;HRAS;MAPK3
KEGG_2019_Human	Endometrial cancer	9/58	1.273531e-10	2.406974e-09	0	0	3.008754e+01	6.855161e+02	PIK3CA;ERBB2;MAPK1;GRB2;RAF1;HRAS;TP53;EGFR;MAPK3
KEGG_2019_Human	Neurotrophin signaling pathway	11/119	3.314738e-10	5.695322e-09	0	0	1.691425e+01	3.691954e+02	NGFR;PIK3CA;MAPK1;GRB2;PTPN11;RAF1;TP53;HRAS;CRK;TP73;MAPK3
