Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pathways in cancer	32/530	1.243006e-19	2.527590e-17	0	0	1.002513e+01	4.364099e+02	GSK3B;HDAC1;FLT4;PTEN;PIK3R2;EGFR;GNAI1;IGF1R;GNAI2;CDC42;AKT2;ABL1;AKT1;RAC1;ELOC;PRKACA;JAK2;SKP1;JAK1;NTRK1;STAT3;ESR1;PTK2;RHOA;GNG13;TGFBR2;APC;GNB2;CTNNB1;KRAS;CRK;FGFR1
KEGG_2019_Human	PI3K-Akt signaling pathway	27/354	3.216036e-19	2.527590e-17	0	0	1.249221e+01	5.319305e+02	GSK3B;FLT1;YWHAB;PKN3;FLT4;PTEN;PIK3R2;EGFR;IGF1R;YWHAQ;ERBB3;ERBB4;AKT2;KDR;AKT1;RAC1;JAK2;JAK1;NTRK1;NGFR;PDPK1;PTK2;GNG13;GNB2;KRAS;EPHA2;FGFR1
KEGG_2019_Human	Proteoglycans in cancer	22/201	3.593730e-19	2.527590e-17	0	0	1.803677e+01	7.660203e+02	PDPK1;SRC;CAV1;STAT3;FRS2;PIK3R2;ESR1;EGFR;PTK2;RHOA;IGF1R;CDC42;ERBB3;ERBB4;AKT2;KDR;AKT1;CTNNB1;KRAS;RAC1;PRKACA;FGFR1
KEGG_2019_Human	Chemokine signaling pathway	21/190	1.981775e-18	1.045387e-16	0	0	1.810980e+01	7.382013e+02	LYN;GSK3B;GSK3A;SRC;STAT3;PIK3R2;ARRB1;PTK2;RHOA;GNAI1;GNG13;GNAI2;CDC42;AKT2;GNB2;AKT1;KRAS;RAC1;PRKACA;JAK2;CRK
KEGG_2019_Human	Ras signaling pathway	21/232	1.238204e-16	5.225222e-15	0	0	1.447404e+01	5.301507e+02	NTRK1;NGFR;FLT1;FLT4;PIK3R2;EGFR;RHOA;IGF1R;GNG13;CDC42;AKT2;GNB2;KDR;ABL1;AKT1;KRAS;RAC1;PRKACA;EPHA2;FGFR1;ARF6
KEGG_2019_Human	Rap1 signaling pathway	20/206	1.752672e-16	6.163564e-15	0	0	1.554238e+01	5.638809e+02	NGFR;FLT1;SRC;FLT4;PIK3R2;EGFR;RHOA;GNAI1;IGF1R;GNAI2;CDC42;AKT2;KDR;AKT1;CTNNB1;KRAS;RAC1;CRK;EPHA2;FGFR1
KEGG_2019_Human	Insulin signaling pathway	17/137	5.690780e-16	1.715364e-14	0	0	2.010240e+01	7.056447e+02	GSK3B;SREBF1;PDPK1;INPPL1;IRS4;CBLB;IRS2;PIK3R2;PRKAB1;ACACB;PRKAG3;AKT2;FLOT1;AKT1;KRAS;PRKACA;CRK
KEGG_2019_Human	Focal adhesion	19/199	1.421413e-15	3.748976e-14	0	0	1.515069e+01	5.179585e+02	GSK3B;FLT1;PDPK1;SRC;CAV1;FLT4;PTEN;PIK3R2;EGFR;PTK2;RHOA;IGF1R;CDC42;AKT2;KDR;AKT1;CTNNB1;RAC1;CRK
KEGG_2019_Human	Human cytomegalovirus infection	19/225	1.372804e-14	3.218463e-13	0	0	1.322096e+01	4.220043e+02	GSK3B;SRC;STAT3;PIK3R2;EGFR;PTK2;RHOA;GNAI1;GNG13;GNAI2;AKT2;GNB2;AKT1;CTNNB1;KRAS;RAC1;PRKACA;CRK;JAK1
KEGG_2019_Human	ErbB signaling pathway	13/85	1.085309e-13	2.290002e-12	0	0	2.496465e+01	7.452382e+02	GSK3B;SRC;CBLB;PIK3R2;EGFR;PTK2;ERBB3;ERBB4;AKT2;ABL1;AKT1;KRAS;CRK
KEGG_2019_Human	FoxO signaling pathway	15/132	1.194952e-13	2.292136e-12	0	0	1.793690e+01	5.337214e+02	PDPK1;STAT3;IRS4;PTEN;IRS2;PIK3R2;PRKAB1;PRKAG3;EGFR;IGF1R;TGFBR2;BCL6;AKT2;AKT1;KRAS
KEGG_2019_Human	MAPK signaling pathway	20/295	1.727414e-13	3.037369e-12	0	0	1.046471e+01	3.075261e+02	NTRK1;NGFR;FLT1;FLT4;ARRB1;EGFR;IGF1R;TGFBR2;CDC42;ERBB3;ERBB4;AKT2;KDR;AKT1;KRAS;RAC1;PRKACA;CRK;EPHA2;FGFR1
KEGG_2019_Human	Neurotrophin signaling pathway	14/119	4.992463e-13	8.103151e-12	0	0	1.853427e+01	5.249958e+02	NTRK1;NGFR;GSK3B;PDPK1;FRS2;PIK3R2;RHOA;CDC42;AKT2;ABL1;AKT1;KRAS;RAC1;CRK
KEGG_2019_Human	Insulin resistance	13/108	2.595005e-12	3.911043e-11	0	0	1.889856e+01	5.041652e+02	GSK3B;SREBF1;CPT1A;PDPK1;STAT3;PTEN;IRS2;PIK3R2;PRKAB1;ACACB;PRKAG3;AKT2;AKT1
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	14/139	4.329358e-12	6.054525e-11	0	0	1.555301e+01	4.069540e+02	GSK3B;PCGF2;STAT3;PIK3R2;IGF1R;APC;AKT2;AKT1;PCGF1;CTNNB1;KRAS;JAK2;FGFR1;JAK1
KEGG_2019_Human	Viral carcinogenesis	16/201	4.591109e-12	6.054525e-11	0	0	1.214456e+01	3.170567e+02	LYN;HDAC4;YWHAB;SRC;HDAC1;STAT3;PIK3R2;RHOA;HDAC6;CDC42;DLG1;YWHAQ;KRAS;RAC1;PRKACA;JAK1
KEGG_2019_Human	Adherens junction	11/72	9.141662e-12	1.134642e-10	0	0	2.460294e+01	6.253619e+02	CDC42;CSNK2A1;SRC;CSNK2A2;CTNNB1;RAC1;RHOA;EGFR;IGF1R;TGFBR2;FGFR1
KEGG_2019_Human	AMPK signaling pathway	13/120	1.018817e-11	1.194280e-10	0	0	1.676890e+01	4.244175e+02	RAB2A;SREBF1;CPT1A;PDPK1;IRS4;IRS2;PIK3R2;PRKAB1;ACACB;PRKAG3;IGF1R;AKT2;AKT1
KEGG_2019_Human	T cell receptor signaling pathway	12/101	2.169425e-11	2.409203e-10	0	0	1.849719e+01	4.541795e+02	CDC42;GSK3B;DLG1;TEC;PDPK1;LCK;AKT2;AKT1;CBLB;PIK3R2;KRAS;RHOA
KEGG_2019_Human	Endometrial cancer	10/58	2.358084e-11	2.487779e-10	0	0	2.824772e+01	6.912382e+02	GSK3B;APC;PDPK1;AKT2;PTEN;AKT1;CTNNB1;PIK3R2;KRAS;EGFR
KEGG_2019_Human	Relaxin signaling pathway	13/130	2.846518e-11	2.860073e-10	0	0	1.532789e+01	3.721971e+02	SRC;PIK3R2;ARRB1;EGFR;GNAI1;GNG13;TGFBR2;GNAI2;AKT2;GNB2;AKT1;KRAS;PRKACA
KEGG_2019_Human	Colorectal cancer	11/86	6.740394e-11	6.464651e-10	0	0	1.999623e+01	4.683181e+02	GSK3B;APC;AKT2;AKT1;CTNNB1;PIK3R2;KRAS;RAC1;RHOA;EGFR;TGFBR2
KEGG_2019_Human	Thyroid hormone signaling pathway	12/116	1.132517e-10	1.038962e-09	0	0	1.581731e+01	3.622386e+02	GSK3B;NCOR1;PDPK1;SRC;HDAC1;AKT2;AKT1;CTNNB1;PIK3R2;KRAS;PRKACA;ESR1
KEGG_2019_Human	Breast cancer	13/147	1.352077e-10	1.188701e-09	0	0	1.337178e+01	3.038631e+02	GSK3B;FLT4;PTEN;PIK3R2;ESR1;EGFR;IGF1R;APC;AKT2;AKT1;CTNNB1;KRAS;FGFR1
KEGG_2019_Human	Adipocytokine signaling pathway	10/69	1.428209e-10	1.205408e-09	0	0	2.296842e+01	5.206811e+02	CPT1A;AKT2;STAT3;IRS4;AKT1;IRS2;JAK2;PRKAB1;ACACB;PRKAG3
